"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Boone County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Boone County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Boone County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Boone County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Boone County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Boone County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Boone County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Bullitt County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Bullitt County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Bullitt County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Bullitt County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Bullitt County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Bullitt County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Bullitt County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Campbell County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Campbell County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Campbell County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Campbell County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Campbell County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Campbell County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Campbell County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Christian County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Christian County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Christian County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Christian County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Christian County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Christian County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Christian County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Daviess County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Daviess County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Daviess County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Daviess County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Daviess County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Daviess County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Daviess County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Fayette County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Fayette County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Fayette County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Fayette County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Fayette County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Fayette County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Fayette County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Hardin County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Hardin County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Hardin County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Hardin County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Hardin County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Hardin County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Hardin County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Jefferson County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Jefferson County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Jefferson County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Jefferson County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Jefferson County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Jefferson County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Jefferson County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Kenton County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Kenton County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Kenton County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Kenton County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Kenton County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Kenton County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Kenton County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","McCracken County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","McCracken County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","McCracken County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","McCracken County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","McCracken County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","McCracken County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","McCracken County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Madison County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Madison County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Madison County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Madison County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Madison County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Madison County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Madison County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Oldham County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Oldham County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Oldham County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Oldham County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Oldham County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Oldham County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Oldham County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Women with births in the past 12 months!!Number!!Estimate","Warren County, Kentucky!!Women with births in the past 12 months!!Number!!Margin of Error","Warren County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Warren County, Kentucky!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Warren County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Warren County, Kentucky!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Warren County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Warren County, Kentucky!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,545","±1,351","208","±193","7.6%","±6.3","59","±59","27.4%","±44.8","N","N","N","N","N","N","N","N","N","N","4,327","±1,118","26","±42","0.3%","±0.5","6","±9","0.0%","±100.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,700,398","±41,258","134,688","±7,753","3.5%","±0.2","50","±3","40.7%","±2.4"
"        Hispanic or Latino origin (of any race)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,826","±629","469","±350","17.2%","±11.9","81","±60","50.3%","±45.5","1,708","±95","175","±211","16.4%","±17.9","102","±124","0.0%","±50.9","11,515","±98","457","±303","5.6%","±4.1","40","±26","6.1%","±11.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,405","±423","141","±135","9.1%","±8.9","59","±61","15.6%","±29.8","15,869,681","±22,244","864,844","±18,065","22.3%","±0.4","54","±1","40.4%","±1.0"
"        White alone, not Hispanic or Latino","27,125","±729","1,278","±597","91.5%","±10.5","47","±22","46.4%","±25.6","17,573","±278","414","±299","89.2%","±20.5","24","±17","62.3%","±30.5","20,126","±342","1,207","±511","100.0%","±12.9","60","±25","22.0%","±19.0","10,138","±336","1,047","±514","75.8%","±20.6","103","±51","8.1%","±13.4","19,598","±419","946","±498","80.1%","±21.5","48","±26","28.8%","±22.7","60,072","±681","1,563","±583","57.4%","±15.8","26","±10","21.3%","±16.5","18,541","±295","895","±456","83.6%","±17.9","48","±24","32.7%","±23.6","113,891","±963","4,332","±1,055","53.0%","±10.9","38","±9","28.9%","±13.0","33,998","±416","2,382","±822","97.2%","±3.9","70","±24","6.8%","±5.4","11,661","±393","951","±594","89.2%","±13.6","82","±50","26.2%","±23.5","22,312","±284","909","±440","68.5%","±24.9","41","±20","27.0%","±24.4","12,817","±213","569","±342","89.7%","±17.0","44","±27","47.3%","±30.2","27,470","±561","936","±534","60.7%","±18.2","34","±19","25.0%","±26.7","42,308,780","±20,070","2,066,688","±21,543","53.3%","±0.5","49","±1","23.6%","±0.6"
"    NATIVITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","29,113","±1,299","1,348","±601","96.5%","±6.0","46","±21","44.0%","±24.3","17,719","±604","464","±317","100.0%","±29.4","26","±18","55.6%","±31.5","21,447","±528","1,207","±511","100.0%","±12.9","56","±24","22.0%","±19.0","16,697","±1,109","1,314","±617","95.1%","±9.0","79","±37","14.6%","±19.0","20,285","±775","998","±520","84.5%","±21.2","49","±25","32.5%","±21.2","74,517","±1,700","2,516","±749","92.4%","±5.9","34","±10","33.2%","±18.9","24,165","±1,235","1,055","±508","98.6%","±2.6","44","±21","27.8%","±21.1","157,637","±2,739","7,060","±1,599","86.4%","±7.0","45","±10","47.4%","±12.4","36,767","±993","2,450","±824","100.0%","±6.6","67","±23","9.4%","±6.7","N","N","N","N","N","N","N","N","N","N","24,049","±583","1,327","±634","100.0%","±11.8","55","±26","50.0%","±24.2","12,987","±583","634","±352","100.0%","±22.9","49","±27","42.4%","±27.8","31,805","±1,051","977","±519","63.4%","±20.1","31","±16","28.1%","±24.7","64,041,016","±73,247","3,144,037","±31,873","81.1%","±0.4","49","±1","35.7%","±0.6"
"        Foreign born","3,126","±1,087","49","±85","3.5%","±6.0","16","±29","0.0%","±96.2","948","±726","0","±201","0.0%","±29.4","0","±161","-","**","569","±323","0","±201","0.0%","±12.9","0","±251","-","**","987","±573","68","±122","4.9%","±9.0","69","±131","0.0%","±81.6","2,288","±635","183","±270","15.5%","±21.2","80","±123","0.0%","±49.8","10,619","±1,475","206","±166","7.6%","±5.9","19","±16","0.0%","±46.9","2,103","±998","15","±27","1.4%","±2.6","7","±14","0.0%","±100.0","24,186","±2,520","1,115","±564","13.6%","±7.0","46","±23","16.8%","±17.6","2,248","±812","0","±201","0.0%","±6.6","0","±72","-","**","N","N","N","N","N","N","N","N","N","N","923","±505","0","±201","0.0%","±11.8","0","±165","-","**","963","±440","0","±201","0.0%","±22.9","0","±159","-","**","4,706","±874","564","±386","36.6%","±20.1","120","±78","29.3%","±32.8","12,838,555","±65,782","733,845","±15,201","18.9%","±0.4","57","±1","20.2%","±0.9"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","5,634","±1,107","0","±201","0.0%","±11.3","0","±29","-","**","N","N","N","N","N","N","N","N","N","N","2,354","±575","29","±50","2.4%","±4.0","12","±23","0.0%","±100.0","4,929","±1,263","215","±150","15.6%","±11.9","44","±32","0.0%","±45.9","3,870","±929","205","±260","17.4%","±19.9","53","±66","21.0%","±51.6","9,322","±1,313","203","±241","7.5%","±8.5","22","±26","0.0%","±47.3","4,613","±847","138","±166","12.9%","±14.9","30","±38","39.1%","±60.9","24,901","±1,880","779","±525","9.5%","±6.1","31","±21","54.2%","±45.1","5,119","±741","34","±71","1.4%","±2.9","7","±14","100.0%","±100.0","N","N","N","N","N","N","N","N","N","N","3,425","±773","343","±427","25.8%","±27.1","100","±116","100.0%","±36.2","2,319","±525","0","±201","0.0%","±22.9","0","±70","-","**","5,760","±1,089","391","±297","25.4%","±16.7","68","±48","42.2%","±41.6","12,354,406","±61,002","423,188","±13,965","10.9%","±0.3","34","±1","52.1%","±1.6"
"        High school graduate (includes equivalency)","7,788","±1,570","483","±394","34.6%","±23.0","62","±49","84.9%","±30.8","N","N","N","N","N","N","N","N","N","N","4,058","±922","224","±250","18.6%","±16.7","55","±64","86.6%","±31.7","3,548","±956","274","±294","19.8%","±18.8","77","±79","31.0%","±50.8","3,828","±821","397","±316","33.6%","±21.7","104","±80","60.2%","±34.4","13,208","±2,100","502","±263","18.4%","±8.9","38","±20","16.9%","±21.0","5,622","±1,304","186","±172","17.4%","±14.8","33","±33","60.8%","±36.4","38,240","±2,965","2,450","±1,183","30.0%","±11.3","64","±31","64.0%","±21.1","8,251","±1,403","266","±191","10.9%","±8.3","32","±25","44.0%","±39.7","N","N","N","N","N","N","N","N","N","N","5,285","±1,111","224","±262","16.9%","±18.2","42","±50","86.6%","±33.1","1,546","±575","89","±168","14.0%","±24.6","58","±101","100.0%","±71.4","6,556","±1,353","209","±192","13.6%","±13.4","32","±29","66.5%","±44.0","16,058,268","±79,183","899,106","±16,148","23.2%","±0.4","56","±1","50.1%","±1.2"
"        Some college or associate's degree","9,038","±1,419","228","±305","16.3%","±19.4","25","±34","80.3%","±48.4","N","N","N","N","N","N","N","N","N","N","6,071","±1,021","274","±221","22.7%","±19.4","45","±36","25.9%","±38.8","6,436","±1,069","589","±353","42.6%","±20.0","92","±55","0.0%","±24.4","7,626","±863","349","±275","29.6%","±18.1","46","±35","12.0%","±22.7","27,290","±2,187","818","±481","30.1%","±13.8","30","±18","71.5%","±29.6","9,327","±1,376","678","±428","63.4%","±20.2","73","±46","18.6%","±27.9","54,907","±3,961","1,765","±768","21.6%","±8.0","32","±14","60.5%","±19.3","10,997","±1,553","1,204","±698","49.1%","±17.5","109","±60","0.0%","±13.0","N","N","N","N","N","N","N","N","N","N","7,991","±1,295","152","±188","11.5%","±13.9","19","±23","0.0%","±54.6","4,424","±937","220","±179","34.7%","±23.9","50","±40","0.0%","±45.4","13,350","±1,642","552","±464","35.8%","±22.9","41","±34","8.2%","±16.6","23,726,891","±70,345","1,176,144","±20,007","30.3%","±0.5","50","±1","39.2%","±0.8"
"        Bachelor's degree","6,559","±1,271","557","±356","39.9%","±22.6","85","±52","0.0%","±25.5","N","N","N","N","N","N","N","N","N","N","6,685","±978","473","±319","39.2%","±22.1","71","±47","0.0%","±29.0","2,131","±747","304","±320","22.0%","±19.3","143","±151","35.2%","±55.9","3,979","±1,057","96","±114","8.1%","±9.5","24","±28","0.0%","±68.7","20,899","±2,195","658","±426","24.2%","±13.7","31","±20","19.3%","±22.5","4,408","±1,249","68","±111","6.4%","±11.0","15","±25","0.0%","±81.6","39,369","±3,199","1,553","±488","19.0%","±6.6","39","±13","18.9%","±15.9","9,499","±1,490","594","±337","24.2%","±14.6","63","±34","7.7%","±14.6","N","N","N","N","N","N","N","N","N","N","5,234","±1,390","407","±292","30.7%","±21.5","78","±55","18.4%","±31.5","3,702","±778","262","±233","41.3%","±27.7","71","±59","68.7%","±34.3","7,756","±1,635","344","±326","22.3%","±19.5","44","±43","26.5%","±39.5","16,023,912","±78,212","848,593","±16,439","21.9%","±0.4","53","±1","12.2%","±0.6"
"        Graduate or professional degree","3,220","±1,009","129","±155","9.2%","±11.8","40","±50","0.0%","±59.3","N","N","N","N","N","N","N","N","N","N","2,848","±624","207","±182","17.1%","±14.2","73","±65","0.0%","±46.8","640","±364","0","±201","0.0%","±11.4","0","±228","-","**","3,270","±762","134","±168","11.3%","±14.4","41","±50","0.0%","±58.2","14,417","±1,385","541","±309","19.9%","±11.0","38","±21","7.0%","±13.4","2,298","±821","0","±201","0.0%","±14.5","0","±70","-","**","24,406","±2,318","1,628","±546","19.9%","±6.8","67","±23","11.3%","±13.5","5,149","±1,098","352","±277","14.4%","±10.4","68","±50","9.7%","±19.1","N","N","N","N","N","N","N","N","N","N","3,037","±967","201","±179","15.1%","±13.8","66","±54","25.4%","±38.6","1,959","±523","63","±102","9.9%","±16.1","32","±51","0.0%","±84.8","3,089","±911","45","±74","2.9%","±4.8","15","±24","0.0%","±100.0","8,716,094","±57,883","530,851","±11,241","13.7%","±0.3","61","±1","6.8%","±0.5"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","32,239","±872","1,397","±613","(X)","(X)","43","±19","42.4%","±24.0","N","N","N","N","(X)","(X)","N","N","N","N","20,996","±638","1,207","±511","(X)","(X)","57","±24","22.0%","±19.0","17,375","±1,073","1,382","±605","(X)","(X)","80","±35","13.9%","±17.9","21,638","±659","1,129","±538","(X)","(X)","52","±25","24.1%","±20.6","81,037","±1,370","2,625","±759","(X)","(X)","32","±9","31.8%","±18.1","25,699","±1,358","1,070","±506","(X)","(X)","42","±20","27.4%","±20.7","177,721","±2,091","8,079","±1,609","(X)","(X)","45","±9","43.0%","±12.0","38,644","±752","2,450","±824","(X)","(X)","63","±21","9.4%","±6.7","13,574","±1,011","1,066","±611","(X)","(X)","79","±44","28.6%","±23.2","21,708","±970","1,327","±634","(X)","(X)","61","±29","50.0%","±24.2","13,950","±475","634","±352","(X)","(X)","45","±25","42.4%","±27.8","32,792","±1,547","1,541","±623","(X)","(X)","47","±19","28.6%","±20.5","75,108,636","±51,346","3,865,281","±31,905","(X)","(X)","51","±1","32.6%","±0.5"
"        Below 100 percent of poverty level","2,657","±1,096","169","±275","12.1%","±18.4","64","±105","100.0%","±51.8","N","N","N","N","N","N","N","N","N","N","2,555","±839","0","±201","0.0%","±12.9","0","±63","-","**","4,454","±1,309","190","±241","13.7%","±17.4","43","±54","56.3%","±56.3","3,694","±1,019","341","±286","30.2%","±21.1","92","±82","79.8%","±29.8","14,272","±1,933","487","±410","18.6%","±13.0","34","±29","74.5%","±30.0","4,141","±1,246","404","±309","37.8%","±22.0","98","±84","72.5%","±29.8","28,760","±3,687","2,084","±981","25.8%","±9.9","72","±31","81.0%","±15.8","3,423","±1,068","34","±71","1.4%","±2.9","10","±21","100.0%","±100.0","2,358","±878","283","±263","26.5%","±23.1","120","±101","100.0%","±40.0","5,364","±1,160","572","±516","43.1%","±26.7","107","±88","100.0%","±25.0","677","±436","0","±201","0.0%","±22.9","0","±217","-","**","6,558","±1,724","406","±290","26.3%","±17.3","62","±42","67.2%","±33.4","10,710,505","±73,562","792,565","±18,706","20.5%","±0.4","74","±2","67.5%","±1.2"
"        100 to 199 percent of poverty level","4,570","±1,333","254","±253","18.2%","±16.8","56","±56","53.5%","±53.5","N","N","N","N","N","N","N","N","N","N","2,950","±930","318","±282","26.3%","±17.2","108","±96","61.0%","±42.9","4,588","±1,404","797","±448","57.7%","±23.2","174","±100","10.7%","±17.3","3,436","±972","349","±350","30.9%","±25.0","102","±103","0.0%","±35.8","14,158","±2,519","631","±399","24.0%","±13.3","45","±28","42.0%","±40.5","3,662","±1,216","172","±224","16.1%","±19.1","47","±60","0.0%","±51.3","29,490","±3,756","1,584","±829","19.6%","±9.2","54","±29","43.8%","±22.3","5,572","±1,410","367","±270","15.0%","±11.1","66","±53","12.5%","±20.6","2,061","±669","167","±230","15.7%","±18.7","81","±98","0.0%","±52.1","4,543","±1,044","213","±196","16.1%","±15.0","47","±44","18.8%","±34.9","931","±506","63","±114","9.9%","±17.7","68","±128","0.0%","±84.8","7,873","±1,814","264","±256","17.1%","±15.7","34","±33","11.7%","±22.2","12,757,677","±81,695","777,748","±15,747","20.1%","±0.4","61","±1","41.3%","±1.1"
"        200 percent or more above poverty level","25,012","±1,751","974","±527","69.7%","±25.5","39","±21","29.6%","±27.6","N","N","N","N","N","N","N","N","N","N","15,491","±992","889","±358","73.7%","±17.2","57","±23","8.0%","±12.8","8,333","±1,267","395","±383","28.6%","±23.4","47","±45","0.0%","±33.0","14,508","±1,357","439","±274","38.9%","±20.5","30","±19","0.0%","±30.7","52,607","±2,624","1,507","±513","57.4%","±16.5","29","±10","13.7%","±11.2","17,896","±1,933","494","±327","46.2%","±23.6","28","±18","0.0%","±28.1","119,471","±5,182","4,411","±1,000","54.6%","±10.2","37","±8","24.7%","±15.0","29,649","±1,765","2,049","±786","83.6%","±11.5","69","±27","7.4%","±5.9","9,155","±1,211","616","±451","57.8%","±26.6","67","±50","3.6%","±6.4","11,801","±1,228","542","±320","40.8%","±24.0","46","±27","9.4%","±14.9","12,342","±802","571","±341","90.1%","±17.7","46","±27","47.1%","±29.3","18,361","±1,998","871","±534","56.5%","±22.2","47","±29","15.6%","±20.3","51,640,454","±111,133","2,294,968","±25,665","59.4%","±0.5","44","±1","17.6%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","31,493","±1,074","1,397","±613","(X)","(X)","44","±19","42.4%","±24.0","18,559","±519","464","±317","(X)","(X)","25","±17","55.6%","±31.5","21,451","±615","1,207","±511","(X)","(X)","56","±24","22.0%","±19.0","17,055","±1,049","1,382","±605","(X)","(X)","81","±36","13.9%","±17.9","21,315","±418","1,181","±557","(X)","(X)","55","±26","27.4%","±19.7","83,179","±1,267","2,722","±777","(X)","(X)","33","±9","30.7%","±17.6","25,342","±1,103","1,070","±506","(X)","(X)","42","±20","27.4%","±20.7","177,674","±1,714","8,175","±1,595","(X)","(X)","46","±9","43.2%","±11.9","37,968","±647","2,450","±824","(X)","(X)","65","±22","9.4%","±6.7","13,544","±661","1,066","±611","(X)","(X)","79","±45","28.6%","±23.2","24,199","±628","1,327","±634","(X)","(X)","55","±26","50.0%","±24.2","13,379","±519","634","±352","(X)","(X)","47","±26","42.4%","±27.8","35,577","±740","1,541","±623","(X)","(X)","43","±18","28.6%","±20.5","74,826,006","±52,632","3,872,204","±31,895","(X)","(X)","52","±1","32.7%","±0.5"
