"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Benton County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Benton County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Benton County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Benton County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Benton County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Benton County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Benton County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Craighead County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Craighead County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Craighead County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Craighead County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Craighead County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Craighead County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Craighead County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Faulkner County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Faulkner County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Faulkner County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Faulkner County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Faulkner County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Faulkner County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Faulkner County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Garland County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Garland County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Garland County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Garland County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Garland County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Garland County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Garland County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Jefferson County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Jefferson County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Jefferson County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Jefferson County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Jefferson County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Jefferson County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Jefferson County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Lonoke County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Lonoke County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Lonoke County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Lonoke County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Lonoke County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Lonoke County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Lonoke County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Pulaski County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Pulaski County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Pulaski County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Pulaski County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Pulaski County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Pulaski County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Pulaski County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Saline County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Saline County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Saline County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Saline County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Saline County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Saline County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Saline County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Sebastian County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Sebastian County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Sebastian County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Sebastian County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Sebastian County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Sebastian County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Sebastian County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","Washington County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","Washington County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Washington County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Washington County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Washington County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Washington County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Washington County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Women with births in the past 12 months!!Number!!Estimate","White County, Arkansas!!Women with births in the past 12 months!!Number!!Margin of Error","White County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Estimate","White County, Arkansas!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","White County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","White County, Arkansas!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","White County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","White County, Arkansas!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,700,398","±41,258","134,688","±7,753","3.5%","±0.2","50","±3","40.7%","±2.4"
"        Hispanic or Latino origin (of any race)","13,428","±315","341","±251","8.8%","±6.5","25","±19","82.1%","±28.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","6,246","±358","372","±281","10.8%","±8.0","60","±45","39.0%","±44.6","N","N","N","N","N","N","N","N","N","N","5,174","±372","287","±302","23.4%","±21.6","55","±59","50.9%","±50.9","10,910","±946","901","±637","23.4%","±14.7","83","±59","37.4%","±33.5","N","N","N","N","N","N","N","N","N","N","15,869,681","±22,244","864,844","±18,065","22.3%","±0.4","54","±1","40.4%","±1.0"
"        White alone, not Hispanic or Latino","47,640","±604","3,255","±1,016","84.4%","±7.8","68","±21","43.4%","±15.7","19,972","±354","334","±289","N","N","17","±14","44.3%","±40.2","26,305","±326","1,564","±763","95.1%","±7.4","59","±29","23.9%","±25.3","16,170","±685","397","±302","N","N","25","±18","42.8%","±36.7","4,820","±450","653","±485","32.5%","±23.5","135","±95","44.6%","±25.9","15,180","±241","786","±490","68.0%","±20.8","52","±32","21.9%","±25.7","42,949","±548","1,717","±607","49.6%","±14.3","40","±14","26.3%","±15.5","22,672","±438","1,515","±620","94.0%","±11.5","67","±28","26.4%","±18.8","19,205","±385","491","±342","40.0%","±27.6","26","±18","24.8%","±34.4","42,721","±815","2,420","±892","62.9%","±15.6","57","±21","22.4%","±15.7","16,256","±362","1,363","±777","83.8%","±18.5","84","±48","62.1%","±27.5","42,308,780","±20,070","2,066,688","±21,543","53.3%","±0.5","49","±1","23.6%","±0.6"
"    NATIVITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","58,395","±1,280","3,507","±1,079","90.9%","±6.5","60","±18","45.7%","±14.6","N","N","N","N","N","N","N","N","N","N","33,163","±812","1,637","±767","99.6%","±1.0","49","±23","27.3%","±24.2","20,287","±1,180","483","±308","100.0%","±29.5","24","±15","44.3%","±30.2","14,333","±631","2,009","±1,141","100.0%","±8.3","140","±79","76.3%","±16.7","N","N","N","N","N","N","N","N","N","N","89,051","±1,506","3,062","±1,052","88.5%","±9.1","34","±12","32.2%","±14.1","27,180","±970","1,611","±656","100.0%","±10.3","59","±24","30.8%","±17.7","26,065","±1,284","1,088","±589","88.5%","±17.8","42","±23","38.5%","±28.5","54,922","±1,977","2,646","±925","68.8%","±15.2","48","±17","24.1%","±15.8","18,151","±511","1,626","±856","100.0%","±10.2","90","±47","54.8%","±28.0","64,041,016","±73,247","3,144,037","±31,873","81.1%","±0.4","49","±1","35.7%","±0.6"
"        Foreign born","10,354","±1,087","350","±259","9.1%","±6.5","34","±25","55.4%","±35.1","N","N","N","N","N","N","N","N","N","N","1,899","±699","7","±15","0.4%","±1.0","4","±8","0.0%","±100.0","876","±412","0","±206","0.0%","±29.5","0","±180","-","**","536","±453","0","±206","0.0%","±8.3","0","±273","-","**","N","N","N","N","N","N","N","N","N","N","6,337","±1,221","397","±319","11.5%","±9.1","63","±52","6.0%","±12.9","1,345","±759","0","±206","0.0%","±10.3","0","±122","-","**","4,138","±827","141","±233","11.5%","±17.8","34","±56","0.0%","±58.0","7,408","±1,349","1,202","±698","31.2%","±15.2","162","±83","28.1%","±25.8","476","±302","0","±206","0.0%","±10.2","0","±298","-","**","12,838,555","±65,782","733,845","±15,201","18.9%","±0.4","57","±1","20.2%","±0.9"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","12,239","±1,486","503","±421","13.0%","±10.6","41","±33","87.9%","±19.6","N","N","N","N","N","N","N","N","N","N","3,618","±866","152","±218","9.2%","±12.6","42","±60","12.5%","±34.3","3,217","±1,062","52","±95","10.8%","±19.5","16","±30","0.0%","±95.4","1,927","±474","24","±43","1.2%","±2.3","12","±23","100.0%","±100.0","N","N","N","N","N","N","N","N","N","N","13,067","±1,755","0","±206","0.0%","±4.9","0","±13","-","**","4,889","±1,200","32","±61","2.0%","±3.6","7","±12","0.0%","±100.0","6,391","±1,138","289","±331","23.5%","±25.3","45","±49","4.8%","±13.9","10,699","±1,793","616","±521","16.0%","±13.1","58","±48","11.7%","±21.3","N","N","N","N","N","N","N","N","N","N","12,354,406","±61,002","423,188","±13,965","10.9%","±0.3","34","±1","52.1%","±1.6"
"        High school graduate (includes equivalency)","16,194","±2,112","549","±386","14.2%","±10.1","34","±25","37.3%","±35.1","N","N","N","N","N","N","N","N","N","N","6,961","±1,527","262","±397","15.9%","±21.4","38","±54","17.6%","±31.4","6,146","±1,012","139","±180","28.8%","±30.6","23","±29","31.7%","±63.4","5,212","±1,369","1,331","±957","66.3%","±29.7","255","±161","72.8%","±24.3","N","N","N","N","N","N","N","N","N","N","19,720","±2,948","1,053","±770","30.4%","±18.3","53","±39","56.5%","±25.4","8,957","±1,751","467","±356","29.0%","±20.3","52","±39","66.6%","±34.5","7,396","±1,430","334","±305","27.2%","±26.1","45","±41","100.0%","±37.6","13,898","±2,499","372","±326","9.7%","±8.4","27","±23","55.4%","±45.8","N","N","N","N","N","N","N","N","N","N","16,058,268","±79,183","899,106","±16,148","23.2%","±0.4","56","±1","50.1%","±1.2"
"        Some college or associate's degree","18,607","±2,251","1,851","±926","48.0%","±15.9","99","±46","59.2%","±22.0","N","N","N","N","N","N","N","N","N","N","15,990","±1,702","744","±515","45.3%","±25.7","47","±32","51.3%","±37.4","6,835","±1,030","181","±201","37.5%","±31.9","26","±30","53.0%","±53.0","5,304","±1,282","545","±680","27.1%","±30.2","103","±122","79.1%","±46.4","N","N","N","N","N","N","N","N","N","N","30,206","±3,247","692","±404","20.0%","±10.7","23","±14","59.8%","±28.8","6,966","±1,586","520","±355","32.3%","±16.6","75","±49","35.6%","±34.9","10,174","±1,757","159","±223","12.9%","±17.3","16","±21","44.7%","±55.3","20,123","±2,491","1,640","±788","42.6%","±18.2","81","±37","36.8%","±23.6","N","N","N","N","N","N","N","N","N","N","23,726,891","±70,345","1,176,144","±20,007","30.3%","±0.5","50","±1","39.2%","±0.8"
"        Bachelor's degree","14,773","±1,950","724","±357","18.8%","±8.2","49","±25","7.3%","±12.4","N","N","N","N","N","N","N","N","N","N","6,151","±1,143","174","±189","10.6%","±10.8","28","±30","0.0%","±52.2","3,652","±1,180","111","±142","23.0%","±25.2","30","±39","66.7%","±60.5","2,064","±719","73","±133","3.6%","±7.6","35","±62","100.0%","±80.5","N","N","N","N","N","N","N","N","N","N","20,932","±2,940","873","±521","25.2%","±14.4","42","±24","0.0%","±18.1","5,318","±1,082","421","±323","26.1%","±16.1","79","±61","0.0%","±32.6","4,584","±1,427","447","±491","36.4%","±29.9","98","±104","0.0%","±31.2","11,330","±1,614","764","±459","19.9%","±10.7","67","±42","12.4%","±21.2","N","N","N","N","N","N","N","N","N","N","16,023,912","±78,212","848,593","±16,439","21.9%","±0.4","53","±1","12.2%","±0.6"
"        Graduate or professional degree","6,936","±1,475","230","±193","6.0%","±5.1","33","±28","0.0%","±45.4","N","N","N","N","N","N","N","N","N","N","2,342","±804","312","±325","19.0%","±19.6","133","±123","0.0%","±39.0","1,313","±597","0","±206","0.0%","±29.5","0","±125","-","**","362","±248","36","±62","1.8%","±3.5","99","±164","100.0%","±100.0","N","N","N","N","N","N","N","N","N","N","11,463","±1,927","841","±515","24.3%","±13.8","73","±43","0.0%","±18.7","2,395","±768","171","±190","10.6%","±11.7","71","±79","0.0%","±52.6","1,658","±737","0","±206","0.0%","±13.2","0","±100","-","**","6,280","±1,334","456","±509","11.9%","±11.8","73","±76","0.0%","±30.8","N","N","N","N","N","N","N","N","N","N","8,716,094","±57,883","530,851","±11,241","13.7%","±0.3","61","±1","6.8%","±0.5"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","68,109","±987","3,857","±1,136","(X)","(X)","57","±17","46.6%","±13.5","26,699","±1,353","771","±646","(X)","(X)","29","±24","48.1%","±39.5","32,240","±1,012","1,625","±766","(X)","(X)","50","±24","26.3%","±24.5","21,003","±1,253","483","±308","(X)","(X)","23","±15","44.3%","±30.2","13,318","±1,404","2,009","±1,141","(X)","(X)","151","±81","76.3%","±16.7","18,045","±801","1,156","±583","(X)","(X)","64","±32","14.9%","±17.3","94,430","±1,059","3,338","±1,083","(X)","(X)","35","±12","26.6%","±12.1","28,465","±1,173","1,611","±656","(X)","(X)","57","±23","30.8%","±17.7","29,938","±966","1,229","±642","(X)","(X)","41","±22","34.1%","±24.8","58,944","±1,805","3,848","±1,081","(X)","(X)","65","±19","25.4%","±13.0","17,024","±1,067","1,626","±856","(X)","(X)","96","±49","54.8%","±28.0","75,108,636","±51,346","3,865,281","±31,905","(X)","(X)","51","±1","32.6%","±0.5"
"        Below 100 percent of poverty level","5,626","±1,313","479","±367","12.4%","±8.7","85","±62","87.1%","±22.4","4,632","±1,415","336","±394","43.6%","±36.8","73","±87","36.3%","±56.0","6,105","±1,396","640","±613","39.4%","±26.4","105","±94","45.2%","±54.8","4,004","±1,154","170","±212","35.2%","±32.6","42","±52","100.0%","±52.8","3,483","±1,305","1,263","±989","62.9%","±24.1","363","±201","100.0%","±12.9","2,064","±1,226","107","±181","9.3%","±15.1","52","±95","100.0%","±66.5","14,142","±2,639","465","±433","13.9%","±10.5","33","±29","52.7%","±51.2","3,344","±1,265","481","±396","29.9%","±20.9","144","±122","67.8%","±37.0","6,043","±1,416","199","±179","16.2%","±15.3","33","±31","100.0%","±48.8","11,864","±2,841","1,153","±597","30.0%","±13.6","97","±53","66.2%","±23.4","3,131","±1,234","635","±587","39.1%","±30.9","203","±157","79.1%","±32.8","10,710,505","±73,562","792,565","±18,706","20.5%","±0.4","74","±2","67.5%","±1.2"
"        100 to 199 percent of poverty level","14,877","±2,078","1,242","±586","32.2%","±13.2","83","±41","47.4%","±37.9","5,101","±1,900","0","±206","0.0%","±20.1","0","±34","-","**","4,320","±1,206","187","±138","11.5%","±9.7","43","±32","20.9%","±32.5","4,687","±1,426","191","±201","39.5%","±33.1","41","±41","23.0%","±43.8","2,964","±1,290","420","±511","20.9%","±25.0","142","±144","50.0%","±0.3","2,288","±827","158","±199","13.7%","±16.3","69","±86","0.0%","±54.7","22,936","±3,277","752","±525","22.5%","±13.5","33","±22","65.7%","±28.6","5,289","±1,693","312","±269","19.4%","±14.6","59","±48","54.5%","±39.8","8,245","±1,762","586","±564","47.7%","±29.5","71","±66","24.7%","±41.0","14,124","±2,349","991","±617","25.8%","±14.7","70","±47","21.5%","±23.0","4,121","±1,310","695","±694","42.7%","±32.2","169","±145","56.0%","±51.6","12,757,677","±81,695","777,748","±15,747","20.1%","±0.4","61","±1","41.3%","±1.1"
"        200 percent or more above poverty level","47,606","±2,158","2,136","±877","55.4%","±14.2","45","±18","37.0%","±16.9","16,966","±2,226","435","±480","56.4%","±36.8","26","±29","57.2%","±52.5","21,815","±1,908","798","±426","49.1%","±23.8","37","±20","12.5%","±16.7","12,312","±1,805","122","±119","25.3%","±23.0","10","±10","0.0%","±62.3","6,871","±1,163","326","±319","16.2%","±18.9","47","±46","18.4%","±33.0","13,693","±1,467","891","±524","77.1%","±21.8","65","±36","7.3%","±11.7","57,352","±4,010","2,121","±774","63.5%","±16.9","37","±14","7.0%","±9.2","19,832","±2,163","818","±443","50.8%","±19.6","41","±22","0.0%","±19.1","15,650","±2,100","444","±293","36.1%","±25.3","28","±19","16.9%","±28.8","32,956","±3,310","1,704","±793","44.3%","±15.2","52","±24","0.0%","±9.8","9,772","±1,751","296","±290","18.2%","±18.2","30","±30","0.0%","±40.0","51,640,454","±111,133","2,294,968","±25,665","59.4%","±0.5","44","±1","17.6%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","66,295","±1,073","3,857","±1,136","(X)","(X)","58","±17","46.6%","±13.5","27,594","±1,224","771","±646","(X)","(X)","28","±23","48.1%","±39.5","33,892","±1,074","1,644","±768","(X)","(X)","49","±23","27.2%","±24.1","20,895","±1,262","483","±308","(X)","(X)","23","±15","44.3%","±30.2","14,421","±513","2,009","±1,141","(X)","(X)","139","±78","76.3%","±16.7","17,442","±788","1,156","±583","(X)","(X)","66","±33","14.9%","±17.3","92,509","±1,173","3,459","±1,080","(X)","(X)","37","±12","29.2%","±13.0","27,582","±886","1,611","±656","(X)","(X)","58","±24","30.8%","±17.7","29,254","±881","1,229","±642","(X)","(X)","42","±22","34.1%","±24.8","60,792","±1,503","3,848","±1,081","(X)","(X)","63","±18","25.4%","±13.0","18,389","±543","1,626","±856","(X)","(X)","88","±47","54.8%","±28.0","74,826,006","±52,632","3,872,204","±31,895","(X)","(X)","52","±1","32.7%","±0.5"
"        In labor force","46,917","±2,175","2,088","±822","54.1%","±13.5","45","±17","62.5%","±16.5","20,470","±1,930","684","±634","88.7%","±17.4","33","±30","41.5%","±43.7","23,069","±1,851","648","±386","39.4%","±24.2","28","±17","14.4%","±20.7","14,425","±1,528","387","±298","80.1%","±24.6","27","±21","43.9%","±36.4","9,137","±1,125","1,451","±1,032","72.2%","±24.0","159","±107","89.5%","±18.1","12,589","±1,117","904","±527","78.2%","±24.5","72","±42","19.0%","±22.9","67,107","±2,747","2,380","±860","68.8%","±14.2","35","±13","24.6%","±14.8","19,982","±1,610","1,017","±491","63.1%","±17.4","51","±24","16.7%","±15.8","20,661","±1,441","962","±588","78.3%","±22.6","47","±29","24.9%","±27.1","42,729","±2,322","2,722","±942","70.7%","±15.5","64","±22","26.6%","±16.6","10,304","±1,358","699","±484","43.0%","±29.1","68","±47","17.7%","±20.6","55,265,605","±90,158","2,548,687","±29,159","65.8%","±0.5","46","±1","33.2%","±0.6"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","N","N","N","N","(X)","(X)","N","N","N","N","N","N","N","N","(X)","(X)","N","N","N","N","35,062","±785","1,644","±768","(X)","(X)","47","±22","27.2%","±24.1","N","N","N","N","(X)","(X)","N","N","N","N","14,869","±491","2,009","±1,141","(X)","(X)","135","±76","76.3%","±16.7","N","N","N","N","(X)","(X)","N","N","N","N","95,388","±929","3,459","±1,080","(X)","(X)","36","±11","29.2%","±13.0","28,525","±1,163","1,611","±656","(X)","(X)","56","±23","30.8%","±17.7","30,203","±904","1,229","±642","(X)","(X)","41","±21","34.1%","±24.8","62,330","±1,461","3,848","±1,081","(X)","(X)","62","±18","25.4%","±13.0","18,627","±552","1,626","±856","(X)","(X)","87","±46","54.8%","±28.0","76,879,571","±47,490","3,877,882","±31,847","(X)","(X)","50","±1","32.8%","±0.5"
"        Received public assistance income","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","400","±332","37","±65","2.3%","±4.2","93","±166","0.0%","±100.0","N","N","N","N","N","N","N","N","N","N","778","±530","210","±255","10.5%","±12.5","270","±267","100.0%","±47.5","N","N","N","N","N","N","N","N","N","N","2,409","±1,246","60","±103","1.7%","±3.1","25","±45","100.0%","±88.8","1,984","±982","12","±21","0.7%","±1.4","6","±11","0.0%","±100.0","249","±232","0","±206","0.0%","±13.2","0","±436","-","**","724","±533","93","±116","2.4%","±3.0","128","±197","100.0%","±71.4","234","±199","0","±206","0.0%","±10.2","0","±450","-","**","1,339,850","±18,859","149,594","±8,884","3.9%","±0.2","112","±7","70.3%","±2.3"
"        Did not receive public assistance income","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","34,662","±881","1,607","±776","97.7%","±4.2","46","±22","27.8%","±24.7","N","N","N","N","N","N","N","N","N","N","14,091","±448","1,799","±1,073","89.5%","±12.5","128","±76","73.5%","±20.4","N","N","N","N","N","N","N","N","N","N","92,979","±1,475","3,399","±1,087","98.3%","±3.1","37","±12","27.9%","±13.5","26,541","±1,522","1,599","±659","99.3%","±1.4","60","±24","31.0%","±17.8","29,954","±963","1,229","±642","100.0%","±13.2","41","±22","34.1%","±24.8","61,606","±1,485","3,755","±1,064","97.6%","±3.0","61","±18","23.5%","±13.3","18,393","±635","1,626","±856","100.0%","±10.2","88","±47","54.8%","±28.0","75,539,721","±52,688","3,728,288","±31,179","96.1%","±0.2","49","±1","31.3%","±0.5"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
