"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!Public Coverage!!Estimate","Aiken County, South Carolina!!Public Coverage!!Margin of Error","Aiken County, South Carolina!!Percent Public Coverage!!Estimate","Aiken County, South Carolina!!Percent Public Coverage!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!Public Coverage!!Estimate","Anderson County, South Carolina!!Public Coverage!!Margin of Error","Anderson County, South Carolina!!Percent Public Coverage!!Estimate","Anderson County, South Carolina!!Percent Public Coverage!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!Public Coverage!!Estimate","Beaufort County, South Carolina!!Public Coverage!!Margin of Error","Beaufort County, South Carolina!!Percent Public Coverage!!Estimate","Beaufort County, South Carolina!!Percent Public Coverage!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!Public Coverage!!Estimate","Berkeley County, South Carolina!!Public Coverage!!Margin of Error","Berkeley County, South Carolina!!Percent Public Coverage!!Estimate","Berkeley County, South Carolina!!Percent Public Coverage!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!Public Coverage!!Estimate","Charleston County, South Carolina!!Public Coverage!!Margin of Error","Charleston County, South Carolina!!Percent Public Coverage!!Estimate","Charleston County, South Carolina!!Percent Public Coverage!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!Public Coverage!!Estimate","Darlington County, South Carolina!!Public Coverage!!Margin of Error","Darlington County, South Carolina!!Percent Public Coverage!!Estimate","Darlington County, South Carolina!!Percent Public Coverage!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!Public Coverage!!Estimate","Dorchester County, South Carolina!!Public Coverage!!Margin of Error","Dorchester County, South Carolina!!Percent Public Coverage!!Estimate","Dorchester County, South Carolina!!Percent Public Coverage!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!Public Coverage!!Estimate","Florence County, South Carolina!!Public Coverage!!Margin of Error","Florence County, South Carolina!!Percent Public Coverage!!Estimate","Florence County, South Carolina!!Percent Public Coverage!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!Public Coverage!!Estimate","Greenville County, South Carolina!!Public Coverage!!Margin of Error","Greenville County, South Carolina!!Percent Public Coverage!!Estimate","Greenville County, South Carolina!!Percent Public Coverage!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!Public Coverage!!Estimate","Greenwood County, South Carolina!!Public Coverage!!Margin of Error","Greenwood County, South Carolina!!Percent Public Coverage!!Estimate","Greenwood County, South Carolina!!Percent Public Coverage!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!Public Coverage!!Estimate","Horry County, South Carolina!!Public Coverage!!Margin of Error","Horry County, South Carolina!!Percent Public Coverage!!Estimate","Horry County, South Carolina!!Percent Public Coverage!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!Public Coverage!!Estimate","Kershaw County, South Carolina!!Public Coverage!!Margin of Error","Kershaw County, South Carolina!!Percent Public Coverage!!Estimate","Kershaw County, South Carolina!!Percent Public Coverage!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!Public Coverage!!Estimate","Lancaster County, South Carolina!!Public Coverage!!Margin of Error","Lancaster County, South Carolina!!Percent Public Coverage!!Estimate","Lancaster County, South Carolina!!Percent Public Coverage!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!Public Coverage!!Estimate","Laurens County, South Carolina!!Public Coverage!!Margin of Error","Laurens County, South Carolina!!Percent Public Coverage!!Estimate","Laurens County, South Carolina!!Percent Public Coverage!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!Public Coverage!!Estimate","Lexington County, South Carolina!!Public Coverage!!Margin of Error","Lexington County, South Carolina!!Percent Public Coverage!!Estimate","Lexington County, South Carolina!!Percent Public Coverage!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!Public Coverage!!Estimate","Oconee County, South Carolina!!Public Coverage!!Margin of Error","Oconee County, South Carolina!!Percent Public Coverage!!Estimate","Oconee County, South Carolina!!Percent Public Coverage!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!Public Coverage!!Estimate","Orangeburg County, South Carolina!!Public Coverage!!Margin of Error","Orangeburg County, South Carolina!!Percent Public Coverage!!Estimate","Orangeburg County, South Carolina!!Percent Public Coverage!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!Public Coverage!!Estimate","Pickens County, South Carolina!!Public Coverage!!Margin of Error","Pickens County, South Carolina!!Percent Public Coverage!!Estimate","Pickens County, South Carolina!!Percent Public Coverage!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!Public Coverage!!Estimate","Richland County, South Carolina!!Public Coverage!!Margin of Error","Richland County, South Carolina!!Percent Public Coverage!!Estimate","Richland County, South Carolina!!Percent Public Coverage!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!Public Coverage!!Estimate","Spartanburg County, South Carolina!!Public Coverage!!Margin of Error","Spartanburg County, South Carolina!!Percent Public Coverage!!Estimate","Spartanburg County, South Carolina!!Percent Public Coverage!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!Public Coverage!!Estimate","Sumter County, South Carolina!!Public Coverage!!Margin of Error","Sumter County, South Carolina!!Percent Public Coverage!!Estimate","Sumter County, South Carolina!!Percent Public Coverage!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!Public Coverage!!Estimate","York County, South Carolina!!Public Coverage!!Margin of Error","York County, South Carolina!!Percent Public Coverage!!Estimate","York County, South Carolina!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"    VA health care coverage alone or in combination","(X)","(X)","5,910","±1,316","3.5%","±0.8","(X)","(X)","5,893","±1,309","2.9%","±0.6","(X)","(X)","5,722","±1,278","3.1%","±0.7","(X)","(X)","9,519","±1,560","4.3%","±0.7","(X)","(X)","11,049","±1,662","2.7%","±0.4","(X)","(X)","1,533","±626","2.3%","±1.0","(X)","(X)","7,226","±1,567","4.5%","±1.0","(X)","(X)","2,788","±880","2.0%","±0.6","(X)","(X)","10,551","±1,663","2.0%","±0.3","(X)","(X)","2,521","±812","3.6%","±1.2","(X)","(X)","16,836","±3,017","4.8%","±0.9","(X)","(X)","3,736","±1,045","5.7%","±1.6","(X)","(X)","2,626","±1,025","2.7%","±1.1","(X)","(X)","2,776","±952","4.2%","±1.4","(X)","(X)","10,578","±1,701","3.6%","±0.6","(X)","(X)","1,852","±693","2.4%","±0.9","(X)","(X)","4,084","±1,062","4.8%","±1.2","(X)","(X)","2,859","±993","2.3%","±0.8","(X)","(X)","15,863","±1,955","4.1%","±0.5","(X)","(X)","6,741","±1,316","2.1%","±0.4","(X)","(X)","5,866","±1,287","5.8%","±1.3","(X)","(X)","5,687","±1,166","2.0%","±0.4","(X)","(X)","7,246,603","±56,543","2.2%","±0.1"
"        Under 19","39,399","±1,084","0","±218","0.0%","±0.5","49,143","±1,103","0","±218","0.0%","±0.4","38,714","±1,618","46","±83","0.1%","±0.2","56,696","±1,008","0","±218","0.0%","±0.3","86,000","±1,182","153","±213","0.2%","±0.2","15,824","±645","0","±218","0.0%","±1.2","41,154","±392","132","±153","0.3%","±0.4","33,635","±592","0","±218","0.0%","±0.6","126,853","±947","0","±218","0.0%","±0.2","16,318","±1,346","0","±218","0.0%","±1.2","66,701","±892","404","±657","0.6%","±1.0","16,592","±581","0","±218","0.0%","±1.2","22,129","±545","0","±218","0.0%","±0.9","16,145","±900","0","±218","0.0%","±1.2","71,701","±900","300","±413","0.4%","±0.6","16,784","±599","0","±218","0.0%","±1.2","20,351","±870","0","±218","0.0%","±1.0","25,838","±866","0","±218","0.0%","±0.8","95,974","±2,341","0","±218","0.0%","±0.2","77,811","±874","79","±132","0.1%","±0.2","26,602","±637","355","±360","1.3%","±1.4","71,153","±897","69","±98","0.1%","±0.1","77,350,432","±52,527","127,505","±8,949","0.2%","±0.1"
"        19 to 64 years","96,433","±1,590","2,141","±886","2.2%","±0.9","115,644","±1,200","2,581","±1,044","2.2%","±0.9","94,854","±2,192","1,661","±954","1.8%","±1.0","133,234","±1,823","4,380","±1,088","3.3%","±0.8","247,929","±2,362","4,062","±1,286","1.6%","±0.5","37,480","±723","504","±283","1.3%","±0.8","95,555","±1,066","3,832","±1,212","4.0%","±1.3","79,586","±1,039","1,105","±785","1.4%","±1.0","309,382","±1,451","4,357","±1,393","1.4%","±0.4","39,341","±1,316","1,386","±699","3.5%","±1.8","197,993","±1,363","6,826","±1,892","3.4%","±1.0","37,100","±672","2,400","±924","6.5%","±2.5","53,409","±814","945","±577","1.8%","±1.1","38,530","±1,064","1,806","±1,005","4.7%","±2.6","176,956","±1,388","5,123","±1,347","2.9%","±0.8","43,187","±1,035","591","±489","1.4%","±1.1","47,976","±984","1,651","±690","3.4%","±1.4","78,964","±989","1,749","±729","2.2%","±0.9","240,195","±3,324","8,711","±1,363","3.6%","±0.6","187,116","±1,672","2,203","±813","1.2%","±0.4","57,226","±1,515","2,820","±1,072","4.9%","±1.9","166,487","±1,343","2,193","±736","1.3%","±0.4","192,987,829","±49,706","3,239,267","±39,806","1.7%","±0.1"
"        65 years and over","32,653","±576","3,769","±876","11.5%","±2.7","36,415","±808","3,312","±839","9.1%","±2.3","53,405","±711","4,015","±959","7.5%","±1.8","31,410","±761","5,139","±965","16.4%","±2.9","68,375","±583","6,834","±1,312","10.0%","±1.9","12,602","±261","1,029","±518","8.2%","±4.1","23,621","±734","3,262","±784","13.8%","±3.2","23,331","±351","1,683","±493","7.2%","±2.1","82,864","±864","6,194","±1,008","7.5%","±1.2","13,756","±666","1,135","±455","8.3%","±3.3","87,980","±832","9,606","±1,485","10.9%","±1.7","12,210","±251","1,336","±490","10.9%","±4.0","20,496","±301","1,681","±858","8.2%","±4.2","11,698","±340","970","±393","8.3%","±3.3","47,536","±1,000","5,155","±838","10.8%","±1.7","18,722","±683","1,261","±496","6.7%","±2.7","16,981","±285","2,433","±675","14.3%","±4.0","21,244","±626","1,110","±550","5.2%","±2.6","54,266","±974","7,152","±1,303","13.2%","±2.4","50,664","±863","4,459","±936","8.8%","±1.9","17,542","±577","2,691","±742","15.3%","±4.2","41,519","±601","3,425","±927","8.2%","±2.2","52,782,417","±26,301","3,879,831","±34,202","7.4%","±0.1"
"PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Below 138 percent of the poverty threshold","32,886","±6,004","20,289","±4,404","61.7%","±6.2","43,491","±5,364","23,220","±4,065","53.4%","±6.8","28,785","±5,176","13,300","±3,240","46.2%","±8.8","39,695","±5,557","21,587","±4,151","54.4%","±8.3","64,280","±7,589","30,116","±4,362","46.9%","±4.6","20,360","±3,703","14,473","±2,587","71.1%","±7.0","20,128","±3,789","9,525","±2,285","47.3%","±9.3","30,961","±5,051","19,197","±3,594","62.0%","±6.0","83,489","±8,276","46,187","±6,034","55.3%","±4.7","19,155","±3,150","12,382","±2,872","64.6%","±9.5","71,510","±7,694","40,693","±6,090","56.9%","±6.3","13,837","±3,206","6,490","±1,439","46.9%","±12.5","17,361","±4,181","10,878","±2,815","62.7%","±8.0","17,616","±3,595","10,140","±2,445","57.6%","±10.9","57,433","±7,022","36,775","±5,240","64.0%","±4.9","16,662","±3,388","12,939","±2,852","77.7%","±5.9","27,988","±3,668","20,402","±2,881","72.9%","±5.4","28,576","±3,688","15,053","±2,843","52.7%","±7.5","87,592","±9,076","46,480","±6,795","53.1%","±4.3","56,975","±6,698","36,626","±4,843","64.3%","±4.6","24,910","±4,388","17,221","±3,639","69.1%","±7.9","40,324","±5,786","22,291","±4,382","55.3%","±6.1","58,863,556","±320,047","37,755,246","±214,053","64.1%","±0.1"
"    At or above 138 percent of the poverty threshold","134,210","±6,098","47,723","±4,205","35.6%","±3.1","155,674","±5,530","49,154","±4,003","31.6%","±2.5","157,230","±5,403","65,409","±3,007","41.6%","±1.7","180,794","±5,827","49,880","±3,936","27.6%","±2.1","330,440","±7,596","81,122","±4,950","24.5%","±1.4","45,069","±3,753","14,642","±2,599","32.5%","±4.9","138,718","±3,972","35,699","±3,544","25.7%","±2.6","103,787","±5,127","35,964","±3,747","34.7%","±3.1","427,024","±8,410","116,784","±5,869","27.3%","±1.2","48,393","±3,313","17,695","±2,528","36.6%","±4.5","276,431","±7,739","113,253","±4,902","41.0%","±1.4","52,065","±3,215","15,156","±1,697","29.1%","±2.9","76,797","±4,379","24,366","±2,762","31.7%","±3.6","47,676","±3,891","18,527","±2,535","38.9%","±4.5","237,113","±7,180","62,883","±4,645","26.5%","±1.6","61,866","±3,383","25,094","±2,428","40.6%","±3.8","55,304","±3,647","20,732","±2,302","37.5%","±3.6","91,779","±3,480","29,375","±2,954","32.0%","±2.7","292,454","±9,312","78,971","±5,247","27.0%","±1.6","254,218","±6,880","77,276","±5,174","30.4%","±1.9","75,924","±4,827","29,959","±3,136","39.5%","±3.0","235,130","±5,743","56,792","±4,504","24.2%","±1.8","260,361,035","±323,117","75,602,901","±165,164","29.0%","±0.1"
"    Worked full-time, year-round (19-64 years)","50,901","±3,384","2,399","±1,056","4.7%","±2.1","63,359","±3,291","3,702","±1,214","5.8%","±1.9","53,765","±3,439","1,837","±904","3.4%","±1.7","80,356","±3,217","5,788","±1,404","7.2%","±1.8","157,266","±5,281","5,951","±1,389","3.8%","±0.9","21,510","±2,105","810","±507","3.8%","±2.3","57,695","±2,883","3,929","±1,267","6.8%","±2.3","43,935","±3,047","3,057","±1,374","7.0%","±3.0","179,068","±5,109","7,760","±1,720","4.3%","±0.9","23,345","±1,622","2,348","±784","10.1%","±3.3","104,852","±3,964","8,200","±1,433","7.8%","±1.4","21,107","±2,007","1,607","±723","7.6%","±3.4","29,399","±2,537","1,991","±1,183","6.8%","±4.0","19,262","±1,961","1,401","±1,000","7.3%","±5.0","109,755","±3,511","6,475","±1,680","5.9%","±1.5","22,407","±2,228","1,760","±1,020","7.9%","±4.4","21,324","±1,881","1,722","±665","8.1%","±3.1","37,192","±2,669","3,143","±1,064","8.5%","±2.6","134,116","±5,117","11,810","±1,947","8.8%","±1.5","105,687","±4,430","5,683","±1,358","5.4%","±1.3","30,319","±2,378","2,760","±1,060","9.1%","±3.4","102,867","±4,197","3,945","±1,268","3.8%","±1.3","109,214,198","±121,195","8,067,480","±59,599","7.4%","±0.1"
"    Under 6","11,077","±939","5,435","±1,431","49.1%","±13.5","12,931","±935","6,624","±1,555","51.2%","±10.4","10,606","±423","4,696","±878","44.3%","±8.7","16,304","±1,268","5,845","±1,285","35.9%","±7.6","28,650","±1,502","7,836","±1,970","27.4%","±6.4","4,237","±293","2,605","±540","61.5%","±13.4","11,069","±690","4,075","±1,343","36.8%","±11.7","10,300","±1,197","6,468","±1,406","62.8%","±10.8","38,382","±1,556","17,494","±1,925","45.6%","±4.6","5,781","±1,381","3,829","±1,450","66.2%","±15.8","18,893","±1,348","11,420","±1,634","60.4%","±8.4","4,726","±713","1,858","±950","39.3%","±15.6","6,885","±790","2,564","±735","37.2%","±11.5","4,613","±605","3,535","±741","76.6%","±10.4","20,283","±991","8,664","±1,623","42.7%","±7.3","3,955","±581","2,774","±845","70.1%","±18.4","5,855","±776","3,839","±1,115","65.6%","±16.7","7,981","±665","5,099","±1,066","63.9%","±12.4","27,919","±1,187","12,009","±2,288","43.0%","±7.7","23,578","±1,234","12,758","±1,652","54.1%","±6.3","8,507","±845","5,923","±885","69.6%","±9.7","19,671","±1,035","7,507","±1,771","38.2%","±8.6","23,282,008","±42,108","9,826,492","±73,182","42.2%","±0.3"
"    6 to 18 years","28,322","±1,236","14,051","±2,355","49.6%","±7.9","36,212","±1,370","12,197","±2,516","33.7%","±6.9","28,108","±1,640","10,409","±2,178","37.0%","±7.3","40,392","±1,472","13,661","±2,808","33.8%","±6.7","57,350","±1,749","13,985","±3,175","24.4%","±5.3","11,587","±694","7,692","±1,408","66.4%","±10.7","30,085","±764","6,092","±1,910","20.2%","±6.3","23,335","±1,267","11,109","±1,962","47.6%","±8.1","88,471","±1,879","32,715","±3,283","37.0%","±3.8","10,537","±752","5,159","±1,097","49.0%","±9.7","47,808","±1,591","22,243","±3,172","46.5%","±6.0","11,866","±895","2,452","±1,094","20.7%","±8.4","15,244","±1,006","4,384","±1,723","28.8%","±11.3","11,532","±1,045","3,651","±1,194","31.7%","±10.6","51,418","±1,381","19,441","±3,052","37.8%","±5.6","12,829","±802","6,415","±1,433","50.0%","±11.2","14,496","±1,107","9,750","±1,589","67.3%","±9.0","17,857","±1,146","6,593","±1,080","36.9%","±5.5","68,055","±2,684","24,709","±3,143","36.3%","±4.7","54,233","±1,247","21,235","±2,501","39.2%","±4.7","18,095","±1,037","10,492","±1,800","58.0%","±9.1","51,482","±1,313","14,965","±2,722","29.1%","±5.2","54,068,424","±63,346","19,618,243","±120,744","36.3%","±0.2"
"    19 to 25 years","13,747","±2,396","1,903","±1,030","13.8%","±7.0","16,877","±1,497","2,328","±888","13.8%","±5.2","13,156","±1,741","1,668","±984","12.7%","±7.5","18,459","±1,974","3,702","±1,358","20.1%","±7.0","35,874","±2,467","2,689","±1,053","7.5%","±2.9","5,756","±906","568","±523","9.9%","±9.6","12,006","±1,405","1,649","±865","13.7%","±6.8","11,363","±865","1,715","±634","15.1%","±5.5","44,667","±1,836","4,953","±1,311","11.1%","±2.9","6,983","±1,486","2,012","±922","28.8%","±12.4","27,488","±2,083","4,323","±1,327","15.7%","±4.9","4,057","±899","420","±347","10.4%","±8.7","5,833","±1,071","1,298","±751","22.3%","±12.1","4,761","±851","810","±436","17.0%","±8.9","22,213","±1,372","2,359","±794","10.6%","±3.5","5,735","±970","1,245","±738","21.7%","±11.9","9,216","±936","1,711","±692","18.6%","±7.0","22,458","±1,063","2,132","±1,315","9.5%","±5.8","49,004","±3,230","5,392","±1,670","11.0%","±3.4","29,314","±1,672","4,581","±1,289","15.6%","±4.5","10,175","±1,175","2,140","±748","21.0%","±7.6","20,893","±1,555","2,207","±936","10.6%","±4.4","29,667,712","±59,633","4,978,662","±43,422","16.8%","±0.1"
"    26 to 34 years","19,510","±2,272","3,284","±1,147","16.8%","±5.4","21,186","±1,263","2,495","±1,099","11.8%","±5.1","18,103","±2,332","2,175","±1,079","12.0%","±5.6","29,041","±1,463","3,162","±910","10.9%","±3.1","57,670","±2,502","3,405","±1,124","5.9%","±1.9","7,453","±1,190","1,620","±890","21.7%","±10.8","19,963","±1,528","1,733","±769","8.7%","±3.8","17,152","±1,017","2,096","±863","12.2%","±5.2","65,805","±1,642","6,961","±1,462","10.6%","±2.2","7,633","±994","1,317","±610","17.3%","±7.4","33,043","±2,228","4,528","±1,259","13.7%","±3.8","6,863","±1,102","593","±541","8.6%","±7.8","10,081","±930","1,469","±839","14.6%","±8.4","7,944","±863","1,547","±734","19.5%","±9.6","36,661","±1,670","5,806","±1,268","15.8%","±3.4","8,199","±1,108","2,352","±929","28.7%","±10.4","8,010","±700","1,741","±700","21.7%","±8.0","13,563","±1,069","2,571","±686","19.0%","±5.1","49,761","±2,233","7,816","±1,883","15.7%","±3.9","37,706","±1,512","6,750","±1,371","17.9%","±3.7","9,795","±911","3,311","±1,152","33.8%","±10.7","32,487","±1,633","4,799","±1,383","14.8%","±4.2","39,837,331","±52,474","7,043,779","±47,067","17.7%","±0.1"
"    35 to 44 years","19,340","±1,336","2,810","±1,114","14.5%","±5.9","24,381","±870","3,149","±1,178","12.9%","±4.9","17,402","±1,793","1,036","±578","6.0%","±3.2","28,965","±1,116","3,093","±881","10.7%","±3.0","53,985","±1,611","3,406","±1,172","6.3%","±2.2","6,875","±779","848","±631","12.3%","±9.0","22,798","±1,626","2,418","±951","10.6%","±4.0","15,959","±359","2,530","±954","15.9%","±5.9","66,344","±1,113","5,787","±1,507","8.7%","±2.3","8,561","±1,293","1,639","±777","19.1%","±9.4","38,906","±1,441","5,984","±1,422","15.4%","±3.6","8,127","±998","1,269","±749","15.6%","±8.8","12,416","±1,541","925","±707","7.5%","±5.4","7,525","±1,189","2,024","±1,066","26.9%","±11.4","38,201","±1,286","5,465","±1,381","14.3%","±3.6","7,130","±494","1,472","±697","20.6%","±9.9","8,596","±425","1,988","±870","23.1%","±10.0","13,058","±732","1,836","±745","14.1%","±5.8","48,135","±1,852","6,321","±1,757","13.1%","±3.7","38,332","±1,280","4,453","±1,176","11.6%","±3.0","12,218","±982","3,291","±1,031","26.9%","±8.1","39,261","±961","2,568","±1,200","6.5%","±3.1","41,051,376","±34,501","6,551,625","±51,313","16.0%","±0.1"
"    45 to 54 years","20,167","±1,421","3,436","±1,048","17.0%","±5.2","25,506","±765","4,543","±1,338","17.8%","±5.3","20,007","±1,748","1,594","±781","8.0%","±3.8","28,067","±1,046","5,486","±1,365","19.5%","±4.7","46,617","±974","4,431","±1,373","9.5%","±3.0","8,147","±1,139","1,455","±767","17.9%","±9.7","20,415","±1,612","2,526","±1,035","12.4%","±5.0","16,609","±288","2,840","±847","17.1%","±5.1","66,679","±969","7,473","±1,477","11.2%","±2.2","7,843","±1,094","1,598","±655","20.4%","±7.8","42,328","±897","8,219","±1,456","19.4%","±3.5","8,489","±923","1,663","±778","19.6%","±9.1","12,269","±1,609","2,076","±903","16.9%","±7.9","8,742","±775","2,095","±678","24.0%","±7.3","39,811","±1,214","4,252","±1,257","10.7%","±3.1","9,326","±786","1,674","±760","17.9%","±8.2","10,053","±228","1,608","±697","16.0%","±7.0","14,567","±698","2,583","±802","17.7%","±5.3","46,842","±1,009","6,018","±1,403","12.8%","±3.0","40,613","±1,265","5,333","±1,481","13.1%","±3.7","11,389","±289","1,536","±638","13.5%","±5.6","38,938","±980","2,573","±902","6.6%","±2.3","40,357,454","±36,371","6,481,034","±50,339","16.1%","±0.1"
"    55 to 64 years","23,669","±423","5,207","±1,470","22.0%","±6.2","27,694","±626","6,875","±1,352","24.8%","±4.8","26,186","±521","4,467","±1,405","17.1%","±5.4","28,702","±735","6,574","±1,263","22.9%","±4.5","53,783","±687","10,198","±1,780","19.0%","±3.3","9,249","±235","1,776","±738","19.2%","±7.9","20,373","±539","5,059","±1,131","24.8%","±5.5","18,503","±276","5,745","±1,231","31.0%","±6.7","65,887","±754","9,185","±1,589","13.9%","±2.4","8,321","±529","2,196","±927","26.4%","±10.2","56,228","±815","11,794","±1,760","21.0%","±3.1","9,564","±2","2,487","±738","26.0%","±7.7","12,810","±1,086","2,992","±986","23.4%","±7.8","9,558","±352","3,702","±820","38.7%","±8.4","40,070","±702","8,266","±1,440","20.6%","±3.5","12,797","±641","3,682","±1,131","28.8%","±8.8","12,101","±318","4,417","±979","36.5%","±8.0","15,318","±685","3,137","±909","20.5%","±5.8","46,453","±758","11,464","±1,638","24.7%","±3.5","41,151","±818","10,711","±1,669","26.0%","±4.0","13,649","±555","3,316","±883","24.3%","±6.5","34,908","±517","4,716","±1,093","13.5%","±3.1","42,073,956","±22,830","9,195,349","±47,462","21.9%","±0.1"
"    65 to 74 years","19,828","±407","19,565","±488","98.7%","±1.3","21,983","±792","20,961","±1,005","95.4%","±3.5","31,471","±772","30,846","±860","98.0%","±1.2","20,019","±642","19,358","±748","96.7%","±2.0","42,852","±442","40,946","±1,125","95.6%","±2.3","7,630","±406","7,609","±406","99.7%","±0.5","15,204","±810","14,375","±1,175","94.5%","±4.9","14,490","±304","14,041","±416","96.9%","±2.2","49,711","±773","47,652","±877","95.9%","±1.4","8,004","±729","7,444","±754","93.0%","±9.0","57,648","±865","56,916","±890","98.7%","±0.8","7,950","±542","6,644","±1,120","83.6%","±12.6","11,965","±561","11,377","±741","95.1%","±4.5","6,849","±454","6,825","±459","99.6%","±0.6","29,167","±787","28,126","±653","96.4%","±2.0","11,432","±637","11,311","±678","98.9%","±1.2","10,225","±201","9,929","±341","97.1%","±2.4","12,149","±680","11,712","±837","96.4%","±3.6","33,870","±752","32,322","±964","95.4%","±1.7","30,977","±648","29,878","±875","96.5%","±2.0","10,718","±488","10,455","±532","97.5%","±2.4","26,215","±385","25,359","±528","96.7%","±1.6","31,216,223","±24,889","29,391,999","±36,432","94.2%","±0.1"
"    75 years and over","12,825","±602","12,762","±609","99.5%","±0.8","14,432","±741","14,359","±720","99.5%","±0.9","21,934","±527","21,864","±544","99.7%","±0.5","11,391","±381","11,384","±383","99.9%","±0.1","25,523","±396","25,321","±432","99.2%","±0.5","4,972","±409","4,972","±409","100.0%","±3.9","8,417","±1,020","8,312","±1,038","98.8%","±1.8","8,841","±242","8,823","±242","99.8%","±0.4","33,153","±679","32,900","±697","99.2%","±0.6","5,752","±729","5,667","±750","98.5%","±2.6","30,332","±866","30,194","±869","99.5%","±0.5","4,260","±591","4,260","±591","100.0%","±4.5","8,531","±544","8,531","±544","100.0%","±2.3","4,849","±511","4,704","±534","97.0%","±4.7","18,369","±832","18,324","±841","99.8%","±0.4","7,290","±336","7,196","±364","98.7%","±2.1","6,756","±173","6,668","±218","98.7%","±1.5","9,095","±527","9,007","±529","99.0%","±1.6","20,396","±904","20,396","±904","100.0%","±1.0","19,687","±501","19,473","±552","98.9%","±1.1","6,824","±294","6,817","±295","99.9%","±0.2","15,304","±365","15,178","±351","99.2%","±1.0","21,566,194","±17,007","21,227,779","±20,794","98.4%","±0.1"
"COVERAGE ALONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
