"Label","Ascension Parish, Louisiana!!Total!!Estimate","Ascension Parish, Louisiana!!Total!!Margin of Error","Ascension Parish, Louisiana!!Public Coverage!!Estimate","Ascension Parish, Louisiana!!Public Coverage!!Margin of Error","Ascension Parish, Louisiana!!Percent Public Coverage!!Estimate","Ascension Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Bossier Parish, Louisiana!!Total!!Estimate","Bossier Parish, Louisiana!!Total!!Margin of Error","Bossier Parish, Louisiana!!Public Coverage!!Estimate","Bossier Parish, Louisiana!!Public Coverage!!Margin of Error","Bossier Parish, Louisiana!!Percent Public Coverage!!Estimate","Bossier Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Caddo Parish, Louisiana!!Total!!Estimate","Caddo Parish, Louisiana!!Total!!Margin of Error","Caddo Parish, Louisiana!!Public Coverage!!Estimate","Caddo Parish, Louisiana!!Public Coverage!!Margin of Error","Caddo Parish, Louisiana!!Percent Public Coverage!!Estimate","Caddo Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Calcasieu Parish, Louisiana!!Total!!Estimate","Calcasieu Parish, Louisiana!!Total!!Margin of Error","Calcasieu Parish, Louisiana!!Public Coverage!!Estimate","Calcasieu Parish, Louisiana!!Public Coverage!!Margin of Error","Calcasieu Parish, Louisiana!!Percent Public Coverage!!Estimate","Calcasieu Parish, Louisiana!!Percent Public Coverage!!Margin of Error","East Baton Rouge Parish, Louisiana!!Total!!Estimate","East Baton Rouge Parish, Louisiana!!Total!!Margin of Error","East Baton Rouge Parish, Louisiana!!Public Coverage!!Estimate","East Baton Rouge Parish, Louisiana!!Public Coverage!!Margin of Error","East Baton Rouge Parish, Louisiana!!Percent Public Coverage!!Estimate","East Baton Rouge Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Iberia Parish, Louisiana!!Total!!Estimate","Iberia Parish, Louisiana!!Total!!Margin of Error","Iberia Parish, Louisiana!!Public Coverage!!Estimate","Iberia Parish, Louisiana!!Public Coverage!!Margin of Error","Iberia Parish, Louisiana!!Percent Public Coverage!!Estimate","Iberia Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Jefferson Parish, Louisiana!!Total!!Estimate","Jefferson Parish, Louisiana!!Total!!Margin of Error","Jefferson Parish, Louisiana!!Public Coverage!!Estimate","Jefferson Parish, Louisiana!!Public Coverage!!Margin of Error","Jefferson Parish, Louisiana!!Percent Public Coverage!!Estimate","Jefferson Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Lafayette Parish, Louisiana!!Total!!Estimate","Lafayette Parish, Louisiana!!Total!!Margin of Error","Lafayette Parish, Louisiana!!Public Coverage!!Estimate","Lafayette Parish, Louisiana!!Public Coverage!!Margin of Error","Lafayette Parish, Louisiana!!Percent Public Coverage!!Estimate","Lafayette Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Lafourche Parish, Louisiana!!Total!!Estimate","Lafourche Parish, Louisiana!!Total!!Margin of Error","Lafourche Parish, Louisiana!!Public Coverage!!Estimate","Lafourche Parish, Louisiana!!Public Coverage!!Margin of Error","Lafourche Parish, Louisiana!!Percent Public Coverage!!Estimate","Lafourche Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Livingston Parish, Louisiana!!Total!!Estimate","Livingston Parish, Louisiana!!Total!!Margin of Error","Livingston Parish, Louisiana!!Public Coverage!!Estimate","Livingston Parish, Louisiana!!Public Coverage!!Margin of Error","Livingston Parish, Louisiana!!Percent Public Coverage!!Estimate","Livingston Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Orleans Parish, Louisiana!!Total!!Estimate","Orleans Parish, Louisiana!!Total!!Margin of Error","Orleans Parish, Louisiana!!Public Coverage!!Estimate","Orleans Parish, Louisiana!!Public Coverage!!Margin of Error","Orleans Parish, Louisiana!!Percent Public Coverage!!Estimate","Orleans Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Ouachita Parish, Louisiana!!Total!!Estimate","Ouachita Parish, Louisiana!!Total!!Margin of Error","Ouachita Parish, Louisiana!!Public Coverage!!Estimate","Ouachita Parish, Louisiana!!Public Coverage!!Margin of Error","Ouachita Parish, Louisiana!!Percent Public Coverage!!Estimate","Ouachita Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Rapides Parish, Louisiana!!Total!!Estimate","Rapides Parish, Louisiana!!Total!!Margin of Error","Rapides Parish, Louisiana!!Public Coverage!!Estimate","Rapides Parish, Louisiana!!Public Coverage!!Margin of Error","Rapides Parish, Louisiana!!Percent Public Coverage!!Estimate","Rapides Parish, Louisiana!!Percent Public Coverage!!Margin of Error","St. Landry Parish, Louisiana!!Total!!Estimate","St. Landry Parish, Louisiana!!Total!!Margin of Error","St. Landry Parish, Louisiana!!Public Coverage!!Estimate","St. Landry Parish, Louisiana!!Public Coverage!!Margin of Error","St. Landry Parish, Louisiana!!Percent Public Coverage!!Estimate","St. Landry Parish, Louisiana!!Percent Public Coverage!!Margin of Error","St. Tammany Parish, Louisiana!!Total!!Estimate","St. Tammany Parish, Louisiana!!Total!!Margin of Error","St. Tammany Parish, Louisiana!!Public Coverage!!Estimate","St. Tammany Parish, Louisiana!!Public Coverage!!Margin of Error","St. Tammany Parish, Louisiana!!Percent Public Coverage!!Estimate","St. Tammany Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Tangipahoa Parish, Louisiana!!Total!!Estimate","Tangipahoa Parish, Louisiana!!Total!!Margin of Error","Tangipahoa Parish, Louisiana!!Public Coverage!!Estimate","Tangipahoa Parish, Louisiana!!Public Coverage!!Margin of Error","Tangipahoa Parish, Louisiana!!Percent Public Coverage!!Estimate","Tangipahoa Parish, Louisiana!!Percent Public Coverage!!Margin of Error","Terrebonne Parish, Louisiana!!Total!!Estimate","Terrebonne Parish, Louisiana!!Total!!Margin of Error","Terrebonne Parish, Louisiana!!Public Coverage!!Estimate","Terrebonne Parish, Louisiana!!Public Coverage!!Margin of Error","Terrebonne Parish, Louisiana!!Percent Public Coverage!!Estimate","Terrebonne Parish, Louisiana!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"    VA health care coverage alone or in combination","(X)","(X)","1,488","±766","1.2%","±0.6","(X)","(X)","5,318","±1,116","4.4%","±0.9","(X)","(X)","6,525","±1,172","2.8%","±0.5","(X)","(X)","4,382","±1,082","2.2%","±0.5","(X)","(X)","7,966","±2,476","1.8%","±0.6","(X)","(X)","645","±407","0.9%","±0.6","(X)","(X)","9,227","±1,678","2.2%","±0.4","(X)","(X)","4,988","±1,238","2.1%","±0.5","(X)","(X)","1,162","±550","1.2%","±0.6","(X)","(X)","2,783","±1,502","2.0%","±1.1","(X)","(X)","6,421","±1,026","1.7%","±0.3","(X)","(X)","3,434","±829","2.3%","±0.6","(X)","(X)","6,282","±1,507","5.0%","±1.2","(X)","(X)","1,404","±444","1.7%","±0.6","(X)","(X)","5,698","±1,263","2.2%","±0.5","(X)","(X)","1,311","±557","1.0%","±0.4","(X)","(X)","2,087","±750","1.9%","±0.7","(X)","(X)","7,246,603","±56,543","2.2%","±0.1"
"        Under 19","34,995","±987","0","±224","0.0%","±0.6","33,658","±1,023","0","±224","0.0%","±0.6","58,473","±854","53","±107","0.1%","±0.2","54,763","±1,315","91","±154","0.2%","±0.3","109,267","±1,205","971","±1,175","0.9%","±1.1","18,714","±733","0","±224","0.0%","±1.1","98,650","±1,303","173","±222","0.2%","±0.2","60,210","±785","0","±224","0.0%","±0.3","23,799","±603","0","±224","0.0%","±0.9","38,219","±833","0","±224","0.0%","±0.5","81,553","±1,043","0","±224","0.0%","±0.3","39,946","±980","0","±224","0.0%","±0.5","34,308","±678","0","±224","0.0%","±0.6","22,411","±665","0","±224","0.0%","±0.9","65,631","±752","0","±224","0.0%","±0.3","35,831","±1,348","0","±224","0.0%","±0.6","28,553","±986","0","±224","0.0%","±0.7","77,350,432","±52,527","127,505","±8,949","0.2%","±0.1"
"        19 to 64 years","74,570","±1,335","853","±643","1.1%","±0.9","68,964","±2,099","2,850","±900","4.1%","±1.3","135,041","±1,524","2,655","±817","2.0%","±0.6","115,802","±1,543","1,866","±775","1.6%","±0.7","265,463","±1,402","3,294","±1,374","1.2%","±0.5","39,550","±1,158","202","±238","0.5%","±0.6","254,674","±1,560","4,713","±1,296","1.9%","±0.5","149,414","±1,370","1,710","±814","1.1%","±0.5","57,122","±915","508","±379","0.9%","±0.7","82,944","±1,475","1,429","±1,339","1.7%","±1.6","246,084","±1,100","3,429","±798","1.4%","±0.3","84,673","±3,038","1,852","±645","2.2%","±0.8","71,619","±1,635","3,249","±1,025","4.5%","±1.4","45,080","±914","366","±287","0.8%","±0.6","146,877","±1,606","2,414","±914","1.6%","±0.6","78,094","±1,363","695","±502","0.9%","±0.6","64,226","±1,265","690","±453","1.1%","±0.7","192,987,829","±49,706","3,239,267","±39,806","1.7%","±0.1"
"        65 years and over","16,135","±1,109","635","±349","3.9%","±2.2","17,747","±603","2,468","±608","13.9%","±3.4","41,295","±768","3,817","±933","9.2%","±2.2","30,690","±358","2,425","±694","7.9%","±2.3","62,633","±845","3,701","±946","5.9%","±1.5","10,780","±674","443","±316","4.1%","±2.9","75,690","±627","4,341","±1,244","5.7%","±1.6","32,405","±729","3,278","±877","10.1%","±2.7","15,699","±629","654","±395","4.2%","±2.5","18,755","±633","1,354","±636","7.2%","±3.4","59,203","±433","2,992","±633","5.1%","±1.1","23,116","±484","1,582","±532","6.8%","±2.3","20,738","±681","3,033","±856","14.6%","±4.2","13,273","±484","1,038","±460","7.8%","±3.5","44,769","±634","3,284","±841","7.3%","±1.9","19,474","±511","616","±282","3.2%","±1.5","16,301","±718","1,397","±579","8.6%","±3.6","52,782,417","±26,301","3,879,831","±34,202","7.4%","±0.1"
"PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Below 138 percent of the poverty threshold","16,093","±4,663","11,079","±3,598","68.8%","±13.5","31,654","±5,163","20,481","±4,035","64.7%","±9.6","78,985","±7,242","60,559","±5,835","76.7%","±4.3","57,027","±7,934","44,345","±6,471","77.8%","±4.2","106,236","±8,902","69,065","±7,038","65.0%","±3.9","19,879","±3,269","15,216","±2,685","76.5%","±7.1","87,104","±9,629","64,352","±7,967","73.9%","±3.8","56,908","±8,120","37,870","±7,073","66.5%","±7.4","26,279","±4,458","21,076","±4,174","80.2%","±6.7","25,897","±6,220","20,425","±5,233","78.9%","±6.9","116,453","±7,736","85,455","±6,440","73.4%","±3.2","49,393","±4,738","39,069","±4,604","79.1%","±5.0","29,987","±3,641","24,247","±3,604","80.9%","±7.0","27,580","±4,883","16,438","±3,477","59.6%","±9.0","46,840","±6,758","30,205","±5,035","64.5%","±7.1","40,639","±6,513","30,093","±5,541","74.0%","±5.1","28,382","±5,377","21,036","±4,892","74.1%","±7.4","58,863,556","±320,047","37,755,246","±214,053","64.1%","±0.1"
"    At or above 138 percent of the poverty threshold","109,260","±4,761","26,137","±4,414","23.9%","±4.0","87,372","±5,701","24,148","±2,385","27.6%","±2.6","154,927","±7,301","55,884","±4,986","36.1%","±2.8","143,111","±8,044","47,717","±4,650","33.3%","±2.6","324,605","±9,087","97,011","±6,919","29.9%","±1.8","49,137","±3,371","15,879","±2,896","32.3%","±5.3","340,738","±9,478","123,130","±6,642","36.1%","±1.9","181,751","±8,160","47,501","±5,077","26.1%","±2.6","68,185","±4,228","23,699","±2,942","34.8%","±3.9","113,544","±6,390","29,898","±4,517","26.3%","±3.8","262,504","±7,978","89,322","±6,745","34.0%","±1.9","96,476","±4,429","35,432","±3,783","36.7%","±3.4","95,922","±3,788","39,985","±4,099","41.7%","±3.9","52,266","±4,870","18,808","±3,156","36.0%","±4.5","209,587","±6,446","63,604","±4,409","30.3%","±1.9","90,170","±6,370","28,459","±4,517","31.6%","±4.2","79,873","±5,210","28,872","±3,047","36.1%","±3.2","260,361,035","±323,117","75,602,901","±165,164","29.0%","±0.1"
"    Worked full-time, year-round (19-64 years)","49,072","±3,006","2,678","±1,478","5.5%","±3.0","40,766","±2,601","3,968","±1,000","9.7%","±2.4","67,592","±3,996","8,022","±1,651","11.9%","±2.5","56,096","±4,244","7,030","±1,525","12.5%","±2.7","141,372","±5,407","12,280","±2,777","8.7%","±1.9","22,919","±2,008","2,492","±764","10.9%","±3.5","151,891","±5,203","18,527","±3,080","12.2%","±2.0","84,082","±4,651","8,397","±2,400","10.0%","±2.8","28,137","±2,128","4,356","±1,365","15.5%","±4.7","46,522","±4,671","3,043","±1,368","6.5%","±3.0","123,745","±4,443","15,412","±2,450","12.5%","±1.9","45,431","±2,966","7,058","±1,597","15.5%","±3.5","40,042","±2,989","6,895","±1,536","17.2%","±3.7","21,212","±2,550","3,096","±1,077","14.6%","±4.5","78,855","±4,343","5,986","±1,551","7.6%","±1.9","36,126","±2,772","3,466","±1,181","9.6%","±3.2","33,378","±3,016","3,205","±1,387","9.6%","±4.1","109,214,198","±121,195","8,067,480","±59,599","7.4%","±0.1"
"    Under 6","8,744","±1,270","1,841","±1,006","21.1%","±10.4","10,327","±1,048","4,996","±1,300","48.4%","±10.3","18,988","±1,355","11,379","±1,956","59.9%","±9.3","18,798","±1,222","11,894","±1,748","63.3%","±7.8","33,782","±1,533","15,979","±2,450","47.3%","±7.0","5,631","±778","3,753","±826","66.6%","±13.9","32,128","±1,702","18,326","±2,981","57.0%","±8.3","20,256","±1,726","7,721","±1,995","38.1%","±10.3","8,513","±1,889","5,542","±2,184","65.1%","±13.6","11,000","±1,265","3,384","±1,518","30.8%","±12.8","25,733","±1,076","12,843","±1,754","49.9%","±6.5","12,602","±1,148","7,317","±1,417","58.1%","±11.5","10,982","±973","6,536","±1,430","59.5%","±12.6","7,003","±764","3,805","±1,091","54.3%","±14.3","18,011","±1,002","7,027","±1,434","39.0%","±7.7","11,451","±1,035","7,155","±1,955","62.5%","±16.1","8,986","±1,309","6,767","±1,487","75.3%","±11.1","23,282,008","±42,108","9,826,492","±73,182","42.2%","±0.3"
"    6 to 18 years","26,251","±1,612","9,534","±2,748","36.3%","±10.5","23,331","±1,183","6,252","±2,009","26.8%","±8.7","39,485","±1,652","22,128","±2,804","56.0%","±6.4","35,965","±1,695","19,143","±2,892","53.2%","±6.5","75,485","±1,925","36,145","±3,316","47.9%","±4.2","13,083","±970","7,565","±1,036","57.8%","±9.5","66,522","±2,252","36,268","±3,826","54.5%","±5.3","39,954","±1,997","14,762","±2,851","36.9%","±6.6","15,286","±2,035","7,186","±1,974","47.0%","±8.8","27,219","±1,562","9,630","±2,871","35.4%","±10.1","55,820","±1,429","34,652","±2,572","62.1%","±4.5","27,344","±1,508","14,746","±1,770","53.9%","±5.9","23,326","±1,290","13,219","±1,906","56.7%","±7.7","15,408","±1,042","6,500","±1,674","42.2%","±10.2","47,620","±1,156","12,436","±2,363","26.1%","±4.8","24,380","±1,605","12,926","±2,432","53.0%","±8.8","19,567","±1,205","11,908","±1,941","60.9%","±8.5","54,068,424","±63,346","19,618,243","±120,744","36.3%","±0.2"
"    19 to 25 years","10,430","±1,866","1,448","±900","13.9%","±9.6","7,817","±1,462","2,216","±796","28.3%","±9.3","22,436","±2,016","7,800","±1,748","34.8%","±8.3","16,340","±1,570","3,789","±1,254","23.2%","±7.3","56,700","±2,292","11,573","±1,802","20.4%","±3.2","5,714","±1,242","2,435","±986","42.6%","±16.2","32,999","±1,868","9,941","±1,900","30.1%","±5.4","23,276","±1,984","7,487","±2,390","32.2%","±9.4","8,662","±1,266","4,361","±1,171","50.3%","±9.2","10,974","±1,181","1,006","±848","9.2%","±7.7","35,512","±1,772","11,960","±1,915","33.7%","±5.1","14,860","±1,247","4,228","±1,149","28.5%","±7.4","10,354","±1,269","4,530","±1,235","43.8%","±11.3","6,013","±1,202","1,926","±767","32.0%","±14.1","18,994","±1,581","5,456","±1,439","28.7%","±7.5","14,127","±2,039","3,556","±899","25.2%","±6.8","8,383","±1,101","2,501","±1,294","29.8%","±13.7","29,667,712","±59,633","4,978,662","±43,422","16.8%","±0.1"
"    26 to 34 years","16,602","±2,161","1,555","±707","9.4%","±4.3","14,527","±1,555","2,793","±799","19.2%","±5.5","26,299","±1,962","8,225","±1,806","31.3%","±6.2","25,771","±1,563","9,028","±1,781","35.0%","±6.9","56,707","±2,180","12,382","±2,133","21.8%","±3.7","7,654","±1,590","1,654","±731","21.6%","±8.5","56,380","±1,691","13,253","±2,138","23.5%","±3.9","35,245","±1,599","5,895","±1,647","16.7%","±4.6","12,636","±1,372","4,094","±1,220","32.4%","±9.9","19,242","±1,409","4,919","±1,574","25.6%","±8.6","59,317","±1,492","15,614","±2,164","26.3%","±3.6","17,293","±1,421","6,955","±1,807","40.2%","±9.3","13,963","±1,292","5,485","±1,523","39.3%","±10.0","9,534","±1,726","3,096","±1,266","32.5%","±11.9","24,288","±1,714","6,365","±1,900","26.2%","±7.3","14,551","±1,931","3,079","±1,150","21.2%","±7.2","15,370","±1,678","4,197","±1,239","27.3%","±8.3","39,837,331","±52,474","7,043,779","±47,067","17.7%","±0.1"
"    35 to 44 years","18,115","±1,631","2,926","±1,475","16.2%","±8.0","16,664","±1,527","2,640","±978","15.8%","±5.6","28,362","±738","7,588","±1,568","26.8%","±5.6","25,670","±1,472","6,088","±1,588","23.7%","±6.0","54,079","±1,199","11,048","±2,046","20.4%","±3.8","8,279","±1,524","1,889","±1,012","22.8%","±12.8","53,723","±1,484","10,828","±2,134","20.2%","±3.9","32,817","±1,460","8,160","±2,553","24.9%","±7.9","11,508","±785","3,153","±944","27.4%","±8.3","19,188","±1,344","4,360","±1,904","22.7%","±10.0","55,310","±632","11,444","±1,880","20.7%","±3.4","17,470","±1,139","5,878","±1,333","33.6%","±7.1","15,951","±826","4,780","±1,262","30.0%","±7.3","9,396","±1,182","2,200","±1,028","23.4%","±10.7","33,763","±1,348","5,386","±1,420","16.0%","±4.1","17,264","±1,879","3,670","±1,228","21.3%","±7.3","13,542","±1,560","3,226","±1,185","23.8%","±7.9","41,051,376","±34,501","6,551,625","±51,313","16.0%","±0.1"
"    45 to 54 years","14,560","±1,065","2,977","±1,562","20.4%","±10.2","14,972","±1,074","4,980","±1,569","33.3%","±9.6","26,881","±531","9,148","±1,745","34.0%","±6.4","23,467","±1,396","6,359","±1,447","27.1%","±6.0","46,014","±1,091","6,272","±1,607","13.6%","±3.5","8,124","±1,345","2,276","±882","28.0%","±10.1","51,812","±1,342","10,793","±1,830","20.8%","±3.5","28,765","±1,040","4,882","±1,509","17.0%","±5.2","11,390","±866","2,946","±1,199","25.9%","±10.0","17,040","±661","2,794","±1,299","16.4%","±7.5","44,963","±648","13,155","±1,831","29.3%","±4.0","17,187","±620","6,707","±1,559","39.0%","±8.8","15,338","±357","3,860","±966","25.2%","±6.5","8,952","±518","1,873","±632","20.9%","±6.9","33,208","±1,140","5,347","±1,481","16.1%","±4.4","15,438","±1,803","4,694","±1,559","30.4%","±9.2","12,811","±1,140","2,396","±806","18.7%","±6.3","40,357,454","±36,371","6,481,034","±50,339","16.1%","±0.1"
"    55 to 64 years","14,863","±1,053","2,126","±794","14.3%","±5.6","14,984","±422","3,537","±910","23.6%","±6.1","31,063","±509","10,905","±1,968","35.1%","±6.4","24,554","±446","6,927","±1,396","28.2%","±5.6","51,963","±738","15,095","±2,042","29.0%","±3.9","9,779","±568","2,679","±758","27.4%","±7.8","59,760","±307","16,049","±2,116","26.9%","±3.5","29,311","±477","6,001","±1,840","20.5%","±6.3","12,926","±622","3,679","±1,172","28.5%","±8.9","16,500","±529","6,502","±1,627","39.4%","±9.6","50,982","±367","20,249","±1,805","39.7%","±3.6","17,863","±448","6,180","±998","34.6%","±5.4","16,013","±625","5,810","±1,169","36.3%","±7.0","11,185","±454","3,831","±1,057","34.3%","±9.3","36,624","±612","8,550","±1,603","23.3%","±4.3","16,714","±392","6,342","±1,597","37.9%","±9.6","14,120","±1,333","3,603","±862","25.5%","±6.4","42,073,956","±22,830","9,195,349","±47,462","21.9%","±0.1"
"    65 to 74 years","10,710","±1,239","9,782","±1,027","91.3%","±6.7","11,236","±536","10,804","±753","96.2%","±4.3","24,447","±750","22,948","±868","93.9%","±3.8","18,411","±482","17,451","±472","94.8%","±3.2","38,179","±470","35,845","±753","93.9%","±1.8","6,198","±795","4,912","±963","79.3%","±15.4","45,493","±676","42,850","±1,184","94.2%","±2.3","20,004","±749","18,991","±999","94.9%","±2.7","9,222","±553","8,608","±566","93.3%","±4.2","11,612","±548","11,242","±763","96.8%","±4.8","37,529","±444","34,988","±743","93.2%","±1.7","13,585","±424","13,224","±580","97.3%","±2.7","12,720","±700","12,149","±824","95.5%","±3.5","7,858","±166","7,681","±279","97.7%","±2.8","27,529","±448","26,533","±603","96.4%","±2.2","12,221","±434","11,532","±667","94.4%","±4.1","9,043","±775","8,951","±788","99.0%","±1.4","31,216,223","±24,889","29,391,999","±36,432","94.2%","±0.1"
"    75 years and over","5,425","±587","5,374","±607","99.1%","±1.9","6,511","±414","6,411","±406","98.5%","±1.8","16,848","±714","16,711","±706","99.2%","±1.1","12,279","±229","11,885","±362","96.8%","±2.3","24,454","±667","23,561","±799","96.3%","±2.2","4,582","±580","3,960","±745","86.4%","±9.9","30,197","±634","29,714","±640","98.4%","±1.1","12,401","±716","12,309","±734","99.3%","±1.2","6,477","±421","6,397","±434","98.8%","±1.9","7,143","±516","6,698","±828","93.8%","±8.9","21,674","±559","21,073","±676","97.2%","±1.8","9,531","±254","9,343","±362","98.0%","±2.3","8,018","±379","7,964","±392","99.3%","±1.1","5,415","±451","5,112","±495","94.4%","±5.0","17,240","±631","17,145","±621","99.4%","±0.7","7,253","±509","7,124","±533","98.2%","±2.4","7,258","±817","7,184","±843","99.0%","±1.9","21,566,194","±17,007","21,227,779","±20,794","98.4%","±0.1"
"COVERAGE ALONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Public health insurance alone","(X)","(X)","23,097","±4,926","18.4%","±3.9","(X)","(X)","25,152","±4,024","20.9%","±3.4","(X)","(X)","76,292","±5,765","32.5%","±2.4","(X)","(X)","64,244","±5,856","31.9%","±2.9","(X)","(X)","111,742","±7,216","25.5%","±1.7","(X)","(X)","23,438","±2,883","33.9%","±4.1","(X)","(X)","127,537","±8,708","29.7%","±2.0","(X)","(X)","58,391","±7,638","24.1%","±3.1","(X)","(X)","32,303","±4,072","33.4%","±4.2","(X)","(X)","33,725","±5,585","24.1%","±4.0","(X)","(X)","123,408","±6,477","31.9%","±1.7","(X)","(X)","49,179","±4,696","33.3%","±3.2","(X)","(X)","38,982","±4,150","30.8%","±3.3","(X)","(X)","25,738","±3,327","31.9%","±4.2","(X)","(X)","56,558","±5,573","22.0%","±2.2","(X)","(X)","41,928","±4,601","31.4%","±3.4","(X)","(X)","35,282","±4,335","32.3%","±3.9","(X)","(X)","66,648,290","±271,268","20.6%","±0.1"
"        Medicare coverage alone","(X)","(X)","6,754","±1,377","5.4%","±1.1","(X)","(X)","5,039","±1,403","4.2%","±1.2","(X)","(X)","12,735","±2,049","5.4%","±0.9","(X)","(X)","12,237","±1,706","6.1%","±0.8","(X)","(X)","26,343","±2,540","6.0%","±0.6","(X)","(X)","4,197","±998","6.1%","±1.4","(X)","(X)","35,038","±3,170","8.2%","±0.7","(X)","(X)","11,713","±1,795","4.8%","±0.7","(X)","(X)","8,086","±1,599","8.4%","±1.6","(X)","(X)","9,749","±2,133","7.0%","±1.5","(X)","(X)","25,996","±1,691","6.7%","±0.4","(X)","(X)","8,432","±1,620","5.7%","±1.1","(X)","(X)","5,913","±1,246","4.7%","±1.0","(X)","(X)","8,943","±1,559","11.1%","±1.9","(X)","(X)","20,736","±2,383","8.1%","±0.9","(X)","(X)","8,365","±1,772","6.3%","±1.3","(X)","(X)","7,571","±1,549","6.9%","±1.4","(X)","(X)","18,577,302","±74,794","5.7%","±0.1"
"        Medicaid/means tested coverage alone","(X)","(X)","16,236","±4,542","12.9%","±3.6","(X)","(X)","19,861","±3,498","16.5%","±2.9","(X)","(X)","62,690","±5,932","26.7%","±2.5","(X)","(X)","51,797","±5,744","25.7%","±2.9","(X)","(X)","84,745","±6,570","19.4%","±1.5","(X)","(X)","19,159","±2,701","27.7%","±3.9","(X)","(X)","91,296","±7,968","21.3%","±1.9","(X)","(X)","45,880","±7,509","19.0%","±3.1","(X)","(X)","24,173","±3,305","25.0%","±3.4","(X)","(X)","23,134","±4,819","16.5%","±3.5","(X)","(X)","96,437","±6,168","24.9%","±1.6","(X)","(X)","40,266","±4,233","27.3%","±2.8","(X)","(X)","32,739","±3,836","25.8%","±3.0","(X)","(X)","16,701","±2,991","20.7%","±3.7","(X)","(X)","34,783","±4,473","13.5%","±1.7","(X)","(X)","33,063","±4,429","24.8%","±3.3","(X)","(X)","27,651","±4,042","25.3%","±3.7","(X)","(X)","47,213,006","±239,196","14.6%","±0.1"
"        VA health care coverage alone","(X)","(X)","107","±182","0.1%","±0.1","(X)","(X)","252","±275","0.2%","±0.2","(X)","(X)","867","±547","0.4%","±0.2","(X)","(X)","210","±251","0.1%","±0.1","(X)","(X)","654","±599","0.1%","±0.1","(X)","(X)","82","±100","0.1%","±0.1","(X)","(X)","1,203","±826","0.3%","±0.2","(X)","(X)","798","±613","0.3%","±0.3","(X)","(X)","44","±77","0.0%","±0.1","(X)","(X)","842","±1,015","0.6%","±0.7","(X)","(X)","975","±527","0.3%","±0.1","(X)","(X)","481","±368","0.3%","±0.2","(X)","(X)","330","±264","0.3%","±0.2","(X)","(X)","94","±158","0.1%","±0.2","(X)","(X)","1,039","±728","0.4%","±0.3","(X)","(X)","500","±479","0.4%","±0.4","(X)","(X)","60","±101","0.1%","±0.1","(X)","(X)","857,982","±22,044","0.3%","±0.1"
