"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!Public Coverage!!Estimate","Canadian County, Oklahoma!!Public Coverage!!Margin of Error","Canadian County, Oklahoma!!Percent Public Coverage!!Estimate","Canadian County, Oklahoma!!Percent Public Coverage!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!Public Coverage!!Estimate","Cleveland County, Oklahoma!!Public Coverage!!Margin of Error","Cleveland County, Oklahoma!!Percent Public Coverage!!Estimate","Cleveland County, Oklahoma!!Percent Public Coverage!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!Public Coverage!!Estimate","Comanche County, Oklahoma!!Public Coverage!!Margin of Error","Comanche County, Oklahoma!!Percent Public Coverage!!Estimate","Comanche County, Oklahoma!!Percent Public Coverage!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!Public Coverage!!Estimate","Creek County, Oklahoma!!Public Coverage!!Margin of Error","Creek County, Oklahoma!!Percent Public Coverage!!Estimate","Creek County, Oklahoma!!Percent Public Coverage!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!Public Coverage!!Estimate","Muskogee County, Oklahoma!!Public Coverage!!Margin of Error","Muskogee County, Oklahoma!!Percent Public Coverage!!Estimate","Muskogee County, Oklahoma!!Percent Public Coverage!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!Public Coverage!!Estimate","Oklahoma County, Oklahoma!!Public Coverage!!Margin of Error","Oklahoma County, Oklahoma!!Percent Public Coverage!!Estimate","Oklahoma County, Oklahoma!!Percent Public Coverage!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!Public Coverage!!Estimate","Payne County, Oklahoma!!Public Coverage!!Margin of Error","Payne County, Oklahoma!!Percent Public Coverage!!Estimate","Payne County, Oklahoma!!Percent Public Coverage!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!Public Coverage!!Estimate","Pottawatomie County, Oklahoma!!Public Coverage!!Margin of Error","Pottawatomie County, Oklahoma!!Percent Public Coverage!!Estimate","Pottawatomie County, Oklahoma!!Percent Public Coverage!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!Public Coverage!!Estimate","Rogers County, Oklahoma!!Public Coverage!!Margin of Error","Rogers County, Oklahoma!!Percent Public Coverage!!Estimate","Rogers County, Oklahoma!!Percent Public Coverage!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!Public Coverage!!Estimate","Tulsa County, Oklahoma!!Public Coverage!!Margin of Error","Tulsa County, Oklahoma!!Percent Public Coverage!!Estimate","Tulsa County, Oklahoma!!Percent Public Coverage!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!Public Coverage!!Estimate","Wagoner County, Oklahoma!!Public Coverage!!Margin of Error","Wagoner County, Oklahoma!!Percent Public Coverage!!Estimate","Wagoner County, Oklahoma!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"    VA health care coverage alone or in combination","(X)","(X)","4,938","±1,013","3.4%","±0.7","(X)","(X)","10,585","±1,748","3.8%","±0.6","(X)","(X)","8,429","±1,457","7.9%","±1.3","(X)","(X)","2,172","±482","3.1%","±0.7","(X)","(X)","3,308","±712","5.1%","±1.1","(X)","(X)","22,367","±2,340","2.8%","±0.3","(X)","(X)","995","±446","1.2%","±0.6","(X)","(X)","2,472","±599","3.5%","±0.8","(X)","(X)","3,778","±667","4.1%","±0.7","(X)","(X)","16,047","±1,697","2.5%","±0.3","(X)","(X)","2,906","±708","3.6%","±0.9","(X)","(X)","7,246,603","±56,543","2.2%","±0.1"
"        Under 19","40,547","±754","0","±165","0.0%","±0.3","65,488","±1,234","15","±27","0.0%","±0.1","29,040","±965","464","±504","1.6%","±1.7","17,489","±260","18","±31","0.1%","±0.2","17,869","±386","131","±195","0.7%","±1.1","211,867","±1,194","586","±463","0.3%","±0.2","18,162","±708","0","±165","0.0%","±0.6","18,402","±678","0","±165","0.0%","±0.6","21,978","±216","0","±165","0.0%","±0.5","171,302","±743","493","±268","0.3%","±0.2","20,733","±288","0","±165","0.0%","±0.5","77,350,432","±52,527","127,505","±8,949","0.2%","±0.1"
"        19 to 64 years","86,038","±1,264","2,326","±857","2.7%","±1.0","173,766","±2,011","5,250","±1,258","3.0%","±0.7","64,054","±2,000","5,328","±1,070","8.3%","±1.6","40,558","±464","847","±391","2.1%","±1.0","36,272","±733","1,452","±573","4.0%","±1.6","463,592","±1,803","11,652","±1,581","2.5%","±0.3","50,883","±1,227","600","±388","1.2%","±0.8","40,676","±1,100","982","±405","2.4%","±1.0","54,699","±631","1,799","±513","3.3%","±0.9","380,769","±1,394","7,065","±1,219","1.9%","±0.3","46,752","±392","1,372","±543","2.9%","±1.2","192,987,829","±49,706","3,239,267","±39,806","1.7%","±0.1"
"        65 years and over","19,427","±519","2,612","±569","13.4%","±2.9","38,865","±759","5,320","±1,156","13.7%","±2.9","13,767","±759","2,637","±675","19.2%","±4.5","12,713","±364","1,307","±285","10.3%","±2.3","10,910","±232","1,725","±390","15.8%","±3.6","109,582","±581","10,129","±1,344","9.2%","±1.2","11,120","±748","395","±222","3.6%","±2.1","11,580","±272","1,490","±375","12.9%","±3.2","14,647","±556","1,979","±506","13.5%","±3.4","93,981","±400","8,489","±1,002","9.0%","±1.1","13,482","±255","1,534","±415","11.4%","±3.1","52,782,417","±26,301","3,879,831","±34,202","7.4%","±0.1"
"PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Below 138 percent of the poverty threshold","20,399","±4,015","9,904","±2,150","48.6%","±7.6","44,828","±4,665","16,545","±2,700","36.9%","±4.3","30,238","±4,168","17,698","±3,237","58.5%","±5.9","14,018","±1,895","8,766","±1,443","62.5%","±5.6","21,532","±2,335","14,667","±1,777","68.1%","±4.5","176,483","±9,428","96,405","±6,982","54.6%","±2.5","23,351","±3,341","6,827","±1,560","29.2%","±5.3","13,976","±1,983","8,407","±1,427","60.2%","±5.3","14,391","±2,369","7,104","±1,327","49.4%","±9.9","138,956","±6,266","74,820","±4,204","53.8%","±2.0","10,592","±1,646","5,954","±1,243","56.2%","±6.2","58,863,556","±320,047","37,755,246","±214,053","64.1%","±0.1"
"    At or above 138 percent of the poverty threshold","124,726","±3,778","31,955","±3,307","25.6%","±2.5","226,962","±4,380","56,281","±3,746","24.8%","±1.7","76,073","±4,066","23,630","±2,376","31.1%","±2.9","56,446","±1,915","17,286","±1,311","30.6%","±2.3","42,575","±2,472","17,569","±1,646","41.3%","±2.9","601,990","±9,508","162,437","±7,191","27.0%","±1.0","49,425","±3,385","13,624","±1,373","27.6%","±3.2","55,406","±2,034","16,014","±1,550","28.9%","±2.7","76,469","±2,553","19,038","±1,228","24.9%","±1.6","501,562","±6,493","126,343","±3,469","25.2%","±0.7","69,950","±1,705","18,520","±1,549","26.5%","±2.0","260,361,035","±323,117","75,602,901","±165,164","29.0%","±0.1"
"    Worked full-time, year-round (19-64 years)","56,052","±2,847","2,273","±920","4.1%","±1.6","100,691","±3,282","5,157","±1,338","5.1%","±1.4","33,244","±3,361","4,083","±1,036","12.3%","±2.9","23,141","±1,170","962","±341","4.2%","±1.5","18,497","±1,358","2,380","±695","12.9%","±3.6","270,852","±6,769","12,881","±1,712","4.8%","±0.6","21,739","±1,815","851","±374","3.9%","±1.7","21,210","±1,265","1,549","±487","7.3%","±2.2","33,118","±1,386","1,565","±436","4.7%","±1.3","224,445","±3,810","9,490","±1,244","4.2%","±0.5","27,944","±1,102","1,012","±357","3.6%","±1.3","109,214,198","±121,195","8,067,480","±59,599","7.4%","±0.1"
"    Under 6","11,236","±843","4,673","±1,236","41.6%","±10.5","17,469","±790","5,540","±1,229","31.7%","±7.1","9,565","±579","3,784","±1,017","39.6%","±9.4","5,032","±363","2,676","±496","53.2%","±9.8","5,317","±579","4,021","±546","75.6%","±8.1","70,595","±1,815","33,191","±2,839","47.0%","±3.8","4,995","±774","1,366","±529","27.3%","±9.1","5,156","±331","1,990","±560","38.6%","±10.5","6,428","±303","2,620","±569","40.8%","±8.5","54,990","±1,256","26,298","±1,968","47.8%","±3.3","5,969","±498","2,439","±557","40.9%","±8.8","23,282,008","±42,108","9,826,492","±73,182","42.2%","±0.3"
"    6 to 18 years","29,311","±1,154","10,373","±2,243","35.4%","±7.4","48,019","±1,423","12,948","±2,462","27.0%","±5.4","19,475","±1,105","9,858","±1,737","50.6%","±8.6","12,457","±446","5,387","±835","43.2%","±6.3","12,552","±691","8,706","±899","69.4%","±6.1","141,272","±2,075","63,894","±4,907","45.2%","±3.4","13,167","±1,087","4,036","±1,213","30.7%","±8.7","13,246","±737","4,692","±863","35.4%","±6.1","15,550","±373","4,023","±791","25.9%","±5.0","116,312","±1,470","45,558","±2,334","39.2%","±2.0","14,764","±542","4,622","±939","31.3%","±6.3","54,068,424","±63,346","19,618,243","±120,744","36.3%","±0.2"
"    19 to 25 years","12,167","±1,424","1,144","±656","9.4%","±5.4","39,611","±1,930","2,054","±1,074","5.2%","±2.7","10,220","±1,400","1,980","±1,158","19.4%","±10.5","5,707","±669","569","±269","10.0%","±4.7","5,037","±515","1,337","±656","26.5%","±12.2","73,102","±2,003","5,169","±1,335","7.1%","±1.8","19,170","±1,236","437","±272","2.3%","±1.4","6,372","±632","788","±341","12.4%","±5.2","8,395","±446","661","±285","7.9%","±3.4","57,082","±1,433","5,302","±800","9.3%","±1.4","6,370","±618","350","±225","5.5%","±3.5","29,667,712","±59,633","4,978,662","±43,422","16.8%","±0.1"
"    26 to 34 years","18,275","±1,843","1,367","±861","7.5%","±4.6","35,831","±1,786","3,896","±1,274","10.9%","±3.6","14,838","±1,602","2,421","±995","16.3%","±6.8","7,442","±582","859","±326","11.5%","±4.3","7,253","±669","1,279","±493","17.6%","±6.6","107,020","±2,004","11,105","±1,832","10.4%","±1.7","10,307","±1,323","1,076","±686","10.4%","±6.1","7,391","±638","980","±378","13.3%","±5.1","10,493","±422","1,490","±466","14.2%","±4.5","86,539","±1,360","8,357","±997","9.7%","±1.2","9,137","±659","860","±448","9.4%","±4.8","39,837,331","±52,474","7,043,779","±47,067","17.7%","±0.1"
"    35 to 44 years","21,945","±1,490","2,177","±1,282","9.9%","±5.9","35,262","±1,963","2,987","±958","8.5%","±2.8","13,342","±1,353","3,006","±715","22.5%","±6.1","8,323","±348","1,405","±456","16.9%","±5.6","8,023","±638","2,364","±605","29.5%","±7.2","102,181","±695","12,971","±1,972","12.7%","±1.9","7,805","±724","703","±386","9.0%","±4.7","9,112","±624","1,403","±489","15.4%","±5.4","11,026","±289","1,145","±425","10.4%","±3.9","83,856","±459","8,287","±994","9.9%","±1.2","10,610","±567","1,053","±436","9.9%","±4.0","41,051,376","±34,501","6,551,625","±51,313","16.0%","±0.1"
"    45 to 54 years","16,930","±875","1,448","±613","8.6%","±3.6","31,632","±1,395","3,114","±701","9.8%","±2.2","10,919","±845","2,753","±811","25.2%","±7.6","9,258","±390","1,319","±395","14.2%","±4.4","7,241","±575","1,831","±597","25.3%","±7.6","87,983","±331","11,888","±1,607","13.5%","±1.8","6,361","±349","627","±420","9.9%","±6.6","8,439","±452","1,546","±483","18.3%","±5.6","11,921","±350","1,053","±348","8.8%","±2.8","75,666","±217","7,822","±1,086","10.3%","±1.4","10,175","±555","858","±368","8.4%","±3.7","40,357,454","±36,371","6,481,034","±50,339","16.1%","±0.1"
"    55 to 64 years","16,721","±528","2,588","±972","15.5%","±6.0","31,430","±748","5,556","±1,091","17.7%","±3.5","14,735","±775","4,348","±1,026","29.5%","±6.9","9,828","±152","1,869","±395","19.0%","±4.0","8,718","±141","2,323","±493","26.6%","±5.5","93,306","±562","18,209","±1,639","19.5%","±1.7","7,240","±299","1,586","±528","21.9%","±7.2","9,362","±284","1,869","±368","20.0%","±3.9","12,864","±255","1,498","±428","11.6%","±3.3","77,626","±253","12,382","±1,208","16.0%","±1.6","10,460","±247","1,562","±483","14.9%","±4.6","42,073,956","±22,830","9,195,349","±47,462","21.9%","±0.1"
"    65 to 74 years","12,201","±494","11,512","±744","94.4%","±4.4","23,130","±820","21,964","±902","95.0%","±2.0","8,341","±738","8,173","±769","98.0%","±3.2","7,594","±336","7,176","±376","94.5%","±2.7","6,726","±288","6,385","±346","94.9%","±3.9","66,671","±711","62,114","±1,258","93.2%","±1.8","5,874","±280","5,657","±357","96.3%","±4.0","6,659","±359","6,334","±380","95.1%","±3.2","8,587","±382","7,906","±441","92.1%","±3.4","56,712","±237","52,929","±707","93.3%","±1.2","8,035","±323","7,532","±423","93.7%","±3.0","31,216,223","±24,889","29,391,999","±36,432","94.2%","±0.1"
"    75 years and over","7,226","±415","6,917","±599","95.7%","±6.1","15,735","±522","15,671","±498","99.6%","±0.6","5,426","±331","5,416","±333","99.8%","±0.3","5,119","±311","5,088","±318","99.4%","±1.0","4,184","±294","4,173","±295","99.7%","±0.3","42,911","±803","41,879","±834","97.6%","±1.1","5,246","±713","5,069","±679","96.6%","±4.9","4,921","±328","4,921","±328","100.0%","±2.3","6,060","±345","6,029","±343","99.5%","±0.7","37,269","±482","36,189","±674","97.1%","±1.1","5,447","±225","5,405","±231","99.2%","±1.3","21,566,194","±17,007","21,227,779","±20,794","98.4%","±0.1"
"COVERAGE ALONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Public health insurance alone","(X)","(X)","24,636","±3,185","16.9%","±2.2","(X)","(X)","30,727","±4,221","11.0%","±1.5","(X)","(X)","19,076","±2,834","17.9%","±2.6","(X)","(X)","12,880","±1,475","18.2%","±2.1","(X)","(X)","21,086","±1,531","32.4%","±2.4","(X)","(X)","154,834","±6,949","19.7%","±0.9","(X)","(X)","9,811","±1,974","12.2%","±2.5","(X)","(X)","12,638","±1,521","17.9%","±2.2","(X)","(X)","12,617","±1,461","13.8%","±1.6","(X)","(X)","120,431","±3,982","18.6%","±0.6","(X)","(X)","13,820","±1,648","17.1%","±2.0","(X)","(X)","66,648,290","±271,268","20.6%","±0.1"
"        Medicare coverage alone","(X)","(X)","13,802","±2,997","9.5%","±2.1","(X)","(X)","10,566","±1,616","3.8%","±0.6","(X)","(X)","9,294","±2,646","8.7%","±2.4","(X)","(X)","5,919","±943","8.4%","±1.3","(X)","(X)","4,863","±864","7.5%","±1.3","(X)","(X)","38,678","±3,454","4.9%","±0.4","(X)","(X)","3,188","±1,044","4.0%","±1.3","(X)","(X)","3,957","±733","5.6%","±1.0","(X)","(X)","4,180","±556","4.6%","±0.6","(X)","(X)","33,740","±2,006","5.2%","±0.3","(X)","(X)","5,002","±780","6.2%","±1.0","(X)","(X)","18,577,302","±74,794","5.7%","±0.1"
"        Medicaid/means tested coverage alone","(X)","(X)","10,034","±2,279","6.9%","±1.6","(X)","(X)","19,604","±3,533","7.0%","±1.3","(X)","(X)","9,098","±1,880","8.5%","±1.7","(X)","(X)","6,810","±1,103","9.6%","±1.6","(X)","(X)","15,986","±1,371","24.6%","±2.1","(X)","(X)","112,743","±6,592","14.4%","±0.8","(X)","(X)","6,510","±1,578","8.1%","±2.0","(X)","(X)","8,157","±1,416","11.5%","±2.0","(X)","(X)","7,884","±1,379","8.6%","±1.5","(X)","(X)","84,796","±4,139","13.1%","±0.6","(X)","(X)","7,719","±1,281","9.5%","±1.6","(X)","(X)","47,213,006","±239,196","14.6%","±0.1"
"        VA health care coverage alone","(X)","(X)","800","±482","0.5%","±0.3","(X)","(X)","557","±408","0.2%","±0.1","(X)","(X)","684","±399","0.6%","±0.4","(X)","(X)","151","±124","0.2%","±0.2","(X)","(X)","237","±169","0.4%","±0.3","(X)","(X)","3,413","±1,010","0.4%","±0.1","(X)","(X)","113","±111","0.1%","±0.1","(X)","(X)","524","±298","0.7%","±0.4","(X)","(X)","553","±296","0.6%","±0.3","(X)","(X)","1,895","±597","0.3%","±0.1","(X)","(X)","1,099","±537","1.4%","±0.7","(X)","(X)","857,982","±22,044","0.3%","±0.1"
