"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Total!!Margin of Error","Baldwin County, Alabama!!Public Coverage!!Estimate","Baldwin County, Alabama!!Public Coverage!!Margin of Error","Baldwin County, Alabama!!Percent Public Coverage!!Estimate","Baldwin County, Alabama!!Percent Public Coverage!!Margin of Error","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Total!!Margin of Error","Calhoun County, Alabama!!Public Coverage!!Estimate","Calhoun County, Alabama!!Public Coverage!!Margin of Error","Calhoun County, Alabama!!Percent Public Coverage!!Estimate","Calhoun County, Alabama!!Percent Public Coverage!!Margin of Error","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Total!!Margin of Error","Cullman County, Alabama!!Public Coverage!!Estimate","Cullman County, Alabama!!Public Coverage!!Margin of Error","Cullman County, Alabama!!Percent Public Coverage!!Estimate","Cullman County, Alabama!!Percent Public Coverage!!Margin of Error","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Total!!Margin of Error","DeKalb County, Alabama!!Public Coverage!!Estimate","DeKalb County, Alabama!!Public Coverage!!Margin of Error","DeKalb County, Alabama!!Percent Public Coverage!!Estimate","DeKalb County, Alabama!!Percent Public Coverage!!Margin of Error","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Total!!Margin of Error","Elmore County, Alabama!!Public Coverage!!Estimate","Elmore County, Alabama!!Public Coverage!!Margin of Error","Elmore County, Alabama!!Percent Public Coverage!!Estimate","Elmore County, Alabama!!Percent Public Coverage!!Margin of Error","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Total!!Margin of Error","Etowah County, Alabama!!Public Coverage!!Estimate","Etowah County, Alabama!!Public Coverage!!Margin of Error","Etowah County, Alabama!!Percent Public Coverage!!Estimate","Etowah County, Alabama!!Percent Public Coverage!!Margin of Error","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Total!!Margin of Error","Houston County, Alabama!!Public Coverage!!Estimate","Houston County, Alabama!!Public Coverage!!Margin of Error","Houston County, Alabama!!Percent Public Coverage!!Estimate","Houston County, Alabama!!Percent Public Coverage!!Margin of Error","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Total!!Margin of Error","Jefferson County, Alabama!!Public Coverage!!Estimate","Jefferson County, Alabama!!Public Coverage!!Margin of Error","Jefferson County, Alabama!!Percent Public Coverage!!Estimate","Jefferson County, Alabama!!Percent Public Coverage!!Margin of Error","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Total!!Margin of Error","Lauderdale County, Alabama!!Public Coverage!!Estimate","Lauderdale County, Alabama!!Public Coverage!!Margin of Error","Lauderdale County, Alabama!!Percent Public Coverage!!Estimate","Lauderdale County, Alabama!!Percent Public Coverage!!Margin of Error","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Total!!Margin of Error","Lee County, Alabama!!Public Coverage!!Estimate","Lee County, Alabama!!Public Coverage!!Margin of Error","Lee County, Alabama!!Percent Public Coverage!!Estimate","Lee County, Alabama!!Percent Public Coverage!!Margin of Error","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Total!!Margin of Error","Limestone County, Alabama!!Public Coverage!!Estimate","Limestone County, Alabama!!Public Coverage!!Margin of Error","Limestone County, Alabama!!Percent Public Coverage!!Estimate","Limestone County, Alabama!!Percent Public Coverage!!Margin of Error","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Total!!Margin of Error","Madison County, Alabama!!Public Coverage!!Estimate","Madison County, Alabama!!Public Coverage!!Margin of Error","Madison County, Alabama!!Percent Public Coverage!!Estimate","Madison County, Alabama!!Percent Public Coverage!!Margin of Error","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Total!!Margin of Error","Marshall County, Alabama!!Public Coverage!!Estimate","Marshall County, Alabama!!Public Coverage!!Margin of Error","Marshall County, Alabama!!Percent Public Coverage!!Estimate","Marshall County, Alabama!!Percent Public Coverage!!Margin of Error","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Total!!Margin of Error","Mobile County, Alabama!!Public Coverage!!Estimate","Mobile County, Alabama!!Public Coverage!!Margin of Error","Mobile County, Alabama!!Percent Public Coverage!!Estimate","Mobile County, Alabama!!Percent Public Coverage!!Margin of Error","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Total!!Margin of Error","Montgomery County, Alabama!!Public Coverage!!Estimate","Montgomery County, Alabama!!Public Coverage!!Margin of Error","Montgomery County, Alabama!!Percent Public Coverage!!Estimate","Montgomery County, Alabama!!Percent Public Coverage!!Margin of Error","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Total!!Margin of Error","Morgan County, Alabama!!Public Coverage!!Estimate","Morgan County, Alabama!!Public Coverage!!Margin of Error","Morgan County, Alabama!!Percent Public Coverage!!Estimate","Morgan County, Alabama!!Percent Public Coverage!!Margin of Error","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Total!!Margin of Error","St. Clair County, Alabama!!Public Coverage!!Estimate","St. Clair County, Alabama!!Public Coverage!!Margin of Error","St. Clair County, Alabama!!Percent Public Coverage!!Estimate","St. Clair County, Alabama!!Percent Public Coverage!!Margin of Error","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Total!!Margin of Error","Shelby County, Alabama!!Public Coverage!!Estimate","Shelby County, Alabama!!Public Coverage!!Margin of Error","Shelby County, Alabama!!Percent Public Coverage!!Estimate","Shelby County, Alabama!!Percent Public Coverage!!Margin of Error","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Total!!Margin of Error","Talladega County, Alabama!!Public Coverage!!Estimate","Talladega County, Alabama!!Public Coverage!!Margin of Error","Talladega County, Alabama!!Percent Public Coverage!!Estimate","Talladega County, Alabama!!Percent Public Coverage!!Margin of Error","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Total!!Margin of Error","Tuscaloosa County, Alabama!!Public Coverage!!Estimate","Tuscaloosa County, Alabama!!Public Coverage!!Margin of Error","Tuscaloosa County, Alabama!!Percent Public Coverage!!Estimate","Tuscaloosa County, Alabama!!Percent Public Coverage!!Margin of Error","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Total!!Margin of Error","Walker County, Alabama!!Public Coverage!!Estimate","Walker County, Alabama!!Public Coverage!!Margin of Error","Walker County, Alabama!!Percent Public Coverage!!Estimate","Walker County, Alabama!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"    VA health care coverage alone or in combination","(X)","(X)","7,912","±1,975","3.6%","±0.9","(X)","(X)","3,199","±1,039","2.9%","±0.9","(X)","(X)","2,946","±967","3.6%","±1.2","(X)","(X)","855","±493","1.2%","±0.7","(X)","(X)","3,014","±937","4.0%","±1.2","(X)","(X)","2,684","±756","2.6%","±0.7","(X)","(X)","2,939","±656","2.8%","±0.6","(X)","(X)","18,417","±2,118","2.8%","±0.3","(X)","(X)","1,855","±647","2.0%","±0.7","(X)","(X)","5,392","±1,343","3.3%","±0.8","(X)","(X)","1,802","±736","1.9%","±0.8","(X)","(X)","13,169","±1,915","3.6%","±0.5","(X)","(X)","1,194","±406","1.2%","±0.4","(X)","(X)","9,629","±1,256","2.4%","±0.3","(X)","(X)","6,153","±1,374","2.8%","±0.6","(X)","(X)","2,305","±763","2.0%","±0.6","(X)","(X)","1,698","±687","1.9%","±0.8","(X)","(X)","4,468","±1,187","2.1%","±0.6","(X)","(X)","2,679","±870","3.5%","±1.1","(X)","(X)","3,823","±976","1.8%","±0.5","(X)","(X)","2,392","±801","3.8%","±1.3","(X)","(X)","7,246,603","±56,543","2.2%","±0.1"
"        Under 19","49,101","±748","89","±153","0.2%","±0.3","25,187","±510","151","±361","0.6%","±1.4","19,587","±408","6","±11","0.0%","±0.1","18,767","±829","0","±206","0.0%","±0.9","18,968","±550","0","±206","0.0%","±0.9","22,810","±535","0","±206","0.0%","±0.8","25,754","±338","107","±117","0.4%","±0.5","158,033","±1,416","282","±450","0.2%","±0.3","20,000","±1,519","69","±108","0.3%","±0.5","38,861","±1,163","0","±206","0.0%","±0.4","23,979","±1,238","120","±196","0.5%","±0.8","85,310","±1,285","213","±246","0.2%","±0.3","25,365","±332","0","±206","0.0%","±0.7","102,180","±972","119","±137","0.1%","±0.1","56,862","±704","53","±92","0.1%","±0.2","28,175","±434","0","±206","0.0%","±0.6","21,474","±737","0","±206","0.0%","±0.8","53,276","±754","124","±197","0.2%","±0.4","18,202","±682","0","±206","0.0%","±1.0","48,736","±1,080","171","±214","0.4%","±0.4","14,701","±461","0","±206","0.0%","±1.2","77,350,432","±52,527","127,505","±8,949","0.2%","±0.1"
"        19 to 64 years","124,972","±2,166","3,979","±1,715","3.2%","±1.4","65,743","±1,186","1,032","±578","1.6%","±0.9","48,208","±856","1,843","±708","3.8%","±1.5","40,114","±1,012","214","±187","0.5%","±0.5","44,079","±1,517","1,614","±895","3.7%","±2.0","59,085","±723","889","±503","1.5%","±0.9","60,228","±649","1,482","±557","2.5%","±0.9","389,292","±2,392","7,222","±1,381","1.9%","±0.4","52,817","±1,349","380","±263","0.7%","±0.5","104,510","±1,451","3,153","±1,220","3.0%","±1.2","55,812","±1,627","484","±435","0.9%","±0.8","224,914","±2,019","8,117","±1,623","3.6%","±0.7","54,406","±611","412","±229","0.8%","±0.4","240,303","±1,519","3,740","±863","1.6%","±0.4","128,554","±2,336","3,342","±1,042","2.6%","±0.8","68,434","±1,640","872","±476","1.3%","±0.7","51,680","±1,145","657","±453","1.3%","±0.9","127,676","±1,435","2,041","±858","1.6%","±0.7","44,357","±1,820","1,047","±596","2.4%","±1.4","131,034","±1,664","1,399","±614","1.1%","±0.5","36,369","±782","918","±517","2.5%","±1.4","192,987,829","±49,706","3,239,267","±39,806","1.7%","±0.1"
"        65 years and over","46,838","±1,373","3,844","±1,114","8.2%","±2.4","20,145","±315","2,016","±650","10.0%","±3.2","15,046","±418","1,097","±494","7.3%","±3.3","11,511","±297","641","±445","5.6%","±3.8","12,362","±463","1,400","±415","11.3%","±3.3","19,575","±497","1,795","±572","9.2%","±3.0","18,622","±533","1,350","±297","7.2%","±1.6","105,640","±1,173","10,913","±1,581","10.3%","±1.5","19,028","±820","1,406","±608","7.4%","±3.2","20,581","±667","2,239","±772","10.9%","±3.8","15,742","±1,347","1,198","±512","7.6%","±3.3","56,664","±798","4,839","±1,058","8.5%","±1.9","16,182","±476","782","±377","4.8%","±2.4","66,629","±710","5,770","±1,042","8.7%","±1.6","34,819","±543","2,758","±773","7.9%","±2.2","21,183","±888","1,433","±586","6.8%","±2.7","14,207","±602","1,041","±509","7.3%","±3.5","34,966","±738","2,303","±751","6.6%","±2.2","14,163","±322","1,632","±638","11.5%","±4.5","28,102","±548","2,253","±688","8.0%","±2.4","11,826","±403","1,474","±501","12.5%","±4.3","52,782,417","±26,301","3,879,831","±34,202","7.4%","±0.1"
"PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Below 138 percent of the poverty threshold","37,334","±6,935","24,646","±4,952","66.0%","±7.1","28,397","±4,050","16,013","±2,985","56.4%","±6.7","15,261","±3,045","10,197","±2,278","66.8%","±5.1","18,433","±3,491","11,338","±2,058","61.5%","±5.6","14,649","±3,405","9,233","±3,131","63.0%","±13.4","26,497","±3,485","15,373","±2,342","58.0%","±7.0","29,348","±2,908","18,015","±1,666","61.4%","±3.8","153,754","±11,475","94,911","±8,472","61.7%","±3.0","24,649","±3,934","12,993","±2,623","52.7%","±8.1","36,442","±4,457","12,323","±3,084","33.8%","±6.0","16,354","±3,434","9,500","±2,692","58.1%","±12.6","62,744","±6,352","36,442","±5,586","58.1%","±5.4","22,098","±3,942","13,595","±2,803","61.5%","±5.5","101,195","±7,685","63,439","±5,541","62.7%","±3.7","46,167","±5,330","29,885","±3,746","64.7%","±5.3","26,083","±4,264","16,480","±3,182","63.2%","±5.3","14,874","±4,566","10,006","±3,282","67.3%","±12.0","20,203","±3,921","11,068","±2,612","54.8%","±7.0","18,840","±3,674","11,739","±2,715","62.3%","±8.6","46,994","±6,635","22,177","±4,089","47.2%","±7.3","17,657","±2,616","7,868","±1,507","44.6%","±8.6","58,863,556","±320,047","37,755,246","±214,053","64.1%","±0.1"
"    At or above 138 percent of the poverty threshold","182,071","±6,712","61,213","±5,893","33.6%","±3.2","80,883","±4,265","26,814","±2,950","33.2%","±3.0","67,314","±3,071","23,531","±2,183","35.0%","±2.8","51,907","±3,404","16,038","±1,921","30.9%","±3.5","60,635","±3,552","17,463","±1,826","28.8%","±2.9","74,143","±3,482","24,488","±2,597","33.0%","±3.0","74,745","±3,016","24,704","±1,710","33.1%","±1.8","490,918","±11,620","140,495","±7,013","28.6%","±1.2","66,358","±3,962","20,273","±2,184","30.6%","±3.2","122,080","±4,604","32,800","±4,763","26.9%","±3.6","78,759","±3,672","21,133","±2,536","26.8%","±3.4","299,342","±6,442","74,673","±4,048","24.9%","±1.3","73,479","±3,942","24,296","±2,341","33.1%","±2.9","305,022","±8,111","91,997","±5,142","30.2%","±1.6","169,070","±6,015","49,329","±3,303","29.2%","±1.7","90,914","±4,798","27,354","±2,503","30.1%","±2.9","72,335","±4,613","20,749","±2,643","28.7%","±3.2","194,346","±4,062","46,482","±3,094","23.9%","±1.4","57,079","±3,950","22,302","±2,807","39.1%","±3.7","152,243","±6,810","37,285","±2,959","24.5%","±2.1","44,302","±2,673","14,662","±1,737","33.1%","±3.6","260,361,035","±323,117","75,602,901","±165,164","29.0%","±0.1"
"    Worked full-time, year-round (19-64 years)","64,864","±3,935","3,521","±1,217","5.4%","±1.9","31,388","±3,045","1,356","±660","4.3%","±2.1","25,823","±2,034","997","±553","3.9%","±2.1","21,614","±1,890","744","±470","3.4%","±2.2","27,513","±2,321","1,948","±1,072","7.1%","±3.8","30,000","±2,488","1,268","±646","4.2%","±2.0","30,865","±1,594","1,705","±438","5.5%","±1.3","217,388","±6,633","12,171","±2,168","5.6%","±1.0","25,562","±2,487","498","±372","1.9%","±1.4","54,674","±2,830","2,111","±1,120","3.9%","±2.0","29,564","±2,661","1,077","±594","3.6%","±2.0","133,147","±4,471","7,753","±1,429","5.8%","±1.1","28,335","±1,954","638","±356","2.3%","±1.2","130,617","±4,666","5,275","±1,128","4.0%","±0.9","74,985","±3,986","4,620","±1,317","6.2%","±1.8","39,286","±2,583","2,008","±838","5.1%","±2.2","31,716","±2,854","1,090","±548","3.4%","±1.7","76,546","±3,196","2,289","±777","3.0%","±1.0","21,892","±2,399","671","±408","3.1%","±1.9","67,360","±5,074","2,478","±976","3.7%","±1.5","18,349","±1,466","1,442","±619","7.9%","±3.3","109,214,198","±121,195","8,067,480","±59,599","7.4%","±0.1"
"    Under 6","13,169","±1,476","5,734","±1,651","43.5%","±11.2","8,110","±863","4,507","±1,056","55.6%","±10.8","6,165","±616","3,646","±815","59.1%","±13.0","5,335","±704","3,812","±1,069","71.5%","±14.1","6,129","±893","2,302","±968","37.6%","±13.9","6,850","±683","3,411","±906","49.8%","±11.4","7,846","±314","4,843","±441","61.7%","±5.6","51,016","±1,675","26,730","±2,603","52.4%","±4.3","4,302","±449","1,451","±687","33.7%","±15.7","11,534","±2,803","3,735","±1,367","32.4%","±10.6","6,999","±913","1,546","±806","22.1%","±11.2","25,766","±1,328","11,167","±1,676","43.3%","±5.6","8,475","±862","5,376","±894","63.4%","±9.8","32,174","±1,547","18,257","±2,236","56.7%","±6.6","17,844","±1,356","10,048","±1,407","56.3%","±7.7","8,513","±778","4,811","±1,328","56.5%","±14.2","5,960","±790","3,087","±987","51.8%","±13.6","14,229","±1,145","4,456","±1,235","31.3%","±8.0","5,451","±925","3,914","±1,247","71.8%","±14.1","14,188","±959","4,503","±1,445","31.7%","±9.8","4,336","±717","1,895","±929","43.7%","±19.5","23,282,008","±42,108","9,826,492","±73,182","42.2%","±0.3"
"    6 to 18 years","35,932","±1,660","13,170","±3,302","36.7%","±9.2","17,077","±1,014","7,425","±1,636","43.5%","±9.2","13,422","±704","6,710","±1,339","50.0%","±9.6","13,432","±1,045","7,478","±1,138","55.7%","±8.0","12,839","±829","4,623","±1,762","36.0%","±14.1","15,960","±765","6,832","±1,583","42.8%","±9.3","17,908","±456","8,225","±992","45.9%","±5.5","107,017","±2,121","46,342","±4,453","43.3%","±4.0","15,698","±1,707","5,761","±1,760","36.7%","±8.7","27,327","±2,800","9,835","±3,943","36.0%","±12.2","16,980","±1,433","4,931","±1,591","29.0%","±9.6","59,544","±1,623","18,198","±2,822","30.6%","±4.7","16,890","±963","9,181","±1,829","54.4%","±10.4","70,006","±1,802","33,643","±3,164","48.1%","±4.3","39,018","±1,495","17,213","±2,279","44.1%","±5.6","19,662","±969","9,058","±1,833","46.1%","±8.5","15,514","±1,054","5,361","±1,367","34.6%","±9.0","39,047","±1,383","8,266","±1,967","21.2%","±4.9","12,751","±1,063","7,446","±1,570","58.4%","±11.4","34,548","±1,290","11,210","±2,366","32.4%","±6.8","10,365","±828","3,090","±999","29.8%","±8.8","54,068,424","±63,346","19,618,243","±120,744","36.3%","±0.2"
"    19 to 25 years","16,549","±1,873","2,925","±1,511","17.7%","±8.8","10,554","±1,285","689","±498","6.5%","±4.5","6,152","±687","906","±473","14.7%","±7.6","6,066","±971","409","±335","6.7%","±5.7","5,114","±711","621","±465","12.1%","±8.5","8,914","±832","1,243","±627","13.9%","±7.2","8,471","±617","826","±329","9.8%","±3.7","57,242","±2,555","6,130","±1,462","10.7%","±2.5","9,367","±1,327","1,243","±705","13.3%","±7.1","26,947","±1,626","1,836","±1,006","6.8%","±3.7","6,674","±1,169","1,133","±818","17.0%","±10.9","35,152","±2,087","3,207","±999","9.1%","±3.0","6,764","±384","766","±436","11.3%","±6.4","35,568","±1,908","3,383","±894","9.5%","±2.5","21,372","±1,497","2,470","±732","11.6%","±3.3","9,926","±763","1,081","±573","10.9%","±5.8","5,648","±1,234","166","±250","2.9%","±4.4","17,770","±1,165","716","±567","4.0%","±3.2","6,589","±1,009","1,304","±638","19.8%","±10.2","33,141","±1,798","1,445","±865","4.4%","±2.7","5,041","±731","493","±283","9.8%","±5.9","29,667,712","±59,633","4,978,662","±43,422","16.8%","±0.1"
"    26 to 34 years","21,835","±1,964","3,599","±1,429","16.5%","±6.0","12,820","±1,239","1,907","±772","14.9%","±5.7","9,554","±587","537","±299","5.6%","±3.1","7,627","±825","700","±500","9.2%","±6.6","10,503","±1,263","2,409","±1,020","22.9%","±9.1","10,993","±1,074","2,046","±710","18.6%","±6.5","11,548","±600","2,217","±499","19.2%","±4.3","86,125","±1,945","11,312","±1,864","13.1%","±2.2","9,617","±1,052","816","±655","8.5%","±6.8","19,829","±1,909","2,138","±951","10.8%","±4.8","11,313","±1,505","1,711","±945","15.1%","±8.4","45,388","±1,902","4,713","±1,545","10.4%","±3.3","11,799","±926","695","±408","5.9%","±3.6","52,082","±2,028","7,020","±1,442","13.5%","±2.8","26,775","±1,598","2,997","±956","11.2%","±3.4","10,840","±738","1,035","±419","9.5%","±3.8","10,856","±1,279","1,342","±680","12.4%","±6.6","23,772","±2,026","1,911","±854","8.0%","±3.6","7,663","±1,161","1,297","±623","16.9%","±8.0","25,729","±1,735","2,316","±1,155","9.0%","±4.5","6,107","±706","320","±254","5.2%","±4.4","39,837,331","±52,474","7,043,779","±47,067","17.7%","±0.1"
"    35 to 44 years","27,872","±2,178","4,591","±1,910","16.5%","±6.7","13,495","±995","1,957","±968","14.5%","±7.2","10,186","±705","1,331","±705","13.1%","±6.7","8,927","±667","1,388","±956","15.5%","±10.9","8,404","±650","1,045","±686","12.4%","±8.2","11,934","±767","2,036","±811","17.1%","±7.0","13,018","±269","2,121","±553","16.3%","±4.2","83,453","±1,745","12,488","±2,130","15.0%","±2.6","10,533","±630","1,312","±705","12.5%","±6.8","22,284","±2,032","1,292","±839","5.8%","±3.8","12,177","±1,240","1,760","±1,335","14.5%","±10.8","45,209","±1,061","7,237","±1,925","16.0%","±4.3","11,389","±797","1,360","±489","11.9%","±4.4","48,975","±1,125","7,427","±1,753","15.2%","±3.6","27,142","±918","3,717","±1,038","13.7%","±3.8","14,642","±1,348","1,472","±808","10.1%","±5.5","10,963","±880","1,145","±556","10.4%","±5.0","29,651","±1,464","2,113","±907","7.1%","±3.0","8,874","±1,030","1,482","±660","16.7%","±7.6","24,940","±952","2,939","±1,115","11.8%","±4.5","6,938","±643","513","±364","7.4%","±5.0","41,051,376","±34,501","6,551,625","±51,313","16.0%","±0.1"
"    45 to 54 years","27,174","±1,360","3,849","±1,490","14.2%","±5.3","13,075","±454","2,540","±1,122","19.4%","±8.5","11,307","±715","2,116","±781","18.7%","±6.6","8,665","±476","633","±275","7.3%","±3.2","9,590","±583","939","±397","9.8%","±4.1","13,583","±468","1,914","±674","14.1%","±4.9","12,931","±229","2,831","±492","21.9%","±3.8","77,839","±1,306","10,580","±1,682","13.6%","±2.2","10,981","±719","1,537","±627","14.0%","±5.6","17,728","±1,125","1,859","±1,103","10.5%","±6.2","13,538","±1,309","1,629","±798","12.0%","±5.9","46,982","±903","6,136","±1,389","13.1%","±2.9","12,008","±559","1,648","±719","13.7%","±6.0","48,629","±1,112","7,577","±1,428","15.6%","±2.9","25,794","±690","4,669","±1,315","18.1%","±5.1","16,796","±1,266","2,171","±845","12.9%","±5.0","11,401","±717","2,276","±1,596","20.0%","±14.1","28,971","±972","2,390","±974","8.2%","±3.3","10,131","±405","936","±471","9.2%","±4.8","23,603","±716","4,464","±1,330","18.9%","±5.7","8,722","±599","1,402","±418","16.1%","±5.0","40,357,454","±36,371","6,481,034","±50,339","16.1%","±0.1"
"    55 to 64 years","31,542","±1,170","7,460","±1,716","23.7%","±5.4","15,799","±275","4,496","±923","28.5%","±5.8","11,009","±253","3,787","±691","34.4%","±6.2","8,829","±499","1,817","±726","20.6%","±7.8","10,468","±615","2,541","±706","24.3%","±6.3","13,661","±376","3,776","±747","27.6%","±5.3","14,260","±81","3,945","±600","27.7%","±4.2","84,633","±953","21,129","±2,212","25.0%","±2.6","12,319","±409","2,872","±773","23.3%","±6.2","17,722","±490","4,599","±1,258","26.0%","±7.0","12,110","±779","3,069","±1,168","25.3%","±9.4","52,183","±810","7,091","±1,585","13.6%","±3.1","12,446","±444","3,338","±868","26.8%","±6.9","55,049","±709","14,043","±1,934","25.5%","±3.4","27,471","±789","6,542","±1,312","23.8%","±4.8","16,230","±819","3,883","±975","23.9%","±5.9","12,812","±579","3,433","±1,444","26.8%","±11.3","27,512","±477","3,110","±794","11.3%","±2.9","11,100","±312","4,222","±814","38.0%","±7.3","23,621","±405","5,438","±1,152","23.0%","±4.9","9,561","±477","3,828","±666","40.0%","±7.2","42,073,956","±22,830","9,195,349","±47,462","21.9%","±0.1"
"    65 to 74 years","28,682","±1,293","27,149","±1,382","94.7%","±2.9","12,017","±406","11,704","±463","97.4%","±2.3","8,973","±283","8,778","±344","97.8%","±2.7","6,970","±176","6,639","±565","95.3%","±7.9","7,587","±445","7,503","±453","98.9%","±1.4","11,278","±465","10,595","±662","93.9%","±4.4","11,017","±186","10,738","±281","97.5%","±1.6","64,247","±1,043","60,649","±1,581","94.4%","±1.7","11,248","±857","10,932","±873","97.2%","±2.0","12,800","±892","12,501","±951","97.7%","±2.0","9,314","±1,221","8,679","±1,200","93.2%","±5.1","33,694","±1,017","31,934","±1,269","94.8%","±2.0","9,627","±465","9,242","±296","96.0%","±2.6","39,979","±666","38,074","±836","95.2%","±1.5","20,937","±377","19,964","±550","95.4%","±2.3","11,789","±454","11,644","±461","98.8%","±1.1","8,803","±564","8,693","±582","98.8%","±1.5","21,859","±793","21,578","±819","98.7%","±1.1","8,536","±620","8,246","±658","96.6%","±3.0","17,575","±397","17,005","±518","96.8%","±2.0","6,946","±288","6,812","±322","98.1%","±2.1","31,216,223","±24,889","29,391,999","±36,432","94.2%","±0.1"
"    75 years and over","18,156","±805","18,087","±814","99.6%","±0.6","8,128","±387","8,079","±396","99.4%","±1.3","6,073","±177","6,030","±169","99.3%","±1.1","4,541","±293","4,541","±293","100.0%","±3.8","4,775","±385","4,713","±394","98.7%","±2.4","8,297","±535","8,238","±538","99.3%","±1.2","7,605","±363","7,429","±389","97.7%","±1.8","41,393","±734","40,596","±796","98.1%","±1.1","7,780","±397","7,684","±417","98.8%","±1.8","7,781","±808","7,691","±814","98.8%","±2.0","6,428","±871","6,353","±876","98.8%","±1.7","22,970","±840","22,579","±891","98.3%","±1.2","6,555","±295","6,549","±296","99.9%","±0.2","26,650","±570","26,431","±610","99.2%","±0.6","13,882","±433","13,752","±449","99.1%","±0.9","9,394","±867","9,312","±877","99.1%","±1.5","5,404","±162","5,404","±162","100.0%","±3.2","13,107","±586","13,107","±586","100.0%","±1.3","5,627","±650","5,627","±650","100.0%","±3.1","10,527","±343","10,439","±374","99.2%","±1.5","4,880","±251","4,827","±271","98.9%","±2.0","21,566,194","±17,007","21,227,779","±20,794","98.4%","±0.1"
"COVERAGE ALONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Public health insurance alone","(X)","(X)","47,344","±6,131","21.4%","±2.8","(X)","(X)","21,699","±2,635","19.5%","±2.4","(X)","(X)","16,761","±2,199","20.2%","±2.7","(X)","(X)","17,784","±2,126","25.3%","±3.1","(X)","(X)","13,270","±2,816","17.6%","±3.7","(X)","(X)","19,988","±2,218","19.7%","±2.2","(X)","(X)","25,125","±1,651","24.0%","±1.6","(X)","(X)","134,474","±7,171","20.6%","±1.1","(X)","(X)","15,457","±2,915","16.8%","±3.2","(X)","(X)","24,784","±4,271","15.1%","±2.6","(X)","(X)","10,436","±2,773","10.9%","±2.9","(X)","(X)","51,231","±5,595","14.0%","±1.5","(X)","(X)","22,557","±2,606","23.5%","±2.7","(X)","(X)","94,781","±6,282","23.2%","±1.5","(X)","(X)","44,577","±3,508","20.2%","±1.6","(X)","(X)","24,831","±3,671","21.1%","±3.2","(X)","(X)","14,899","±3,225","17.1%","±3.7","(X)","(X)","27,229","±2,970","12.6%","±1.4","(X)","(X)","20,606","±2,379","26.9%","±3.1","(X)","(X)","33,753","±4,819","16.2%","±2.3","(X)","(X)","10,515","±1,793","16.7%","±2.9","(X)","(X)","66,648,290","±271,268","20.6%","±0.1"
