"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Public Coverage!!Estimate","Boone County, Kentucky!!Public Coverage!!Margin of Error","Boone County, Kentucky!!Percent Public Coverage!!Estimate","Boone County, Kentucky!!Percent Public Coverage!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Public Coverage!!Estimate","Bullitt County, Kentucky!!Public Coverage!!Margin of Error","Bullitt County, Kentucky!!Percent Public Coverage!!Estimate","Bullitt County, Kentucky!!Percent Public Coverage!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Public Coverage!!Estimate","Campbell County, Kentucky!!Public Coverage!!Margin of Error","Campbell County, Kentucky!!Percent Public Coverage!!Estimate","Campbell County, Kentucky!!Percent Public Coverage!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Public Coverage!!Estimate","Christian County, Kentucky!!Public Coverage!!Margin of Error","Christian County, Kentucky!!Percent Public Coverage!!Estimate","Christian County, Kentucky!!Percent Public Coverage!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Public Coverage!!Estimate","Daviess County, Kentucky!!Public Coverage!!Margin of Error","Daviess County, Kentucky!!Percent Public Coverage!!Estimate","Daviess County, Kentucky!!Percent Public Coverage!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Public Coverage!!Estimate","Fayette County, Kentucky!!Public Coverage!!Margin of Error","Fayette County, Kentucky!!Percent Public Coverage!!Estimate","Fayette County, Kentucky!!Percent Public Coverage!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Public Coverage!!Estimate","Hardin County, Kentucky!!Public Coverage!!Margin of Error","Hardin County, Kentucky!!Percent Public Coverage!!Estimate","Hardin County, Kentucky!!Percent Public Coverage!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Public Coverage!!Estimate","Jefferson County, Kentucky!!Public Coverage!!Margin of Error","Jefferson County, Kentucky!!Percent Public Coverage!!Estimate","Jefferson County, Kentucky!!Percent Public Coverage!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Public Coverage!!Estimate","Kenton County, Kentucky!!Public Coverage!!Margin of Error","Kenton County, Kentucky!!Percent Public Coverage!!Estimate","Kenton County, Kentucky!!Percent Public Coverage!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Public Coverage!!Estimate","McCracken County, Kentucky!!Public Coverage!!Margin of Error","McCracken County, Kentucky!!Percent Public Coverage!!Estimate","McCracken County, Kentucky!!Percent Public Coverage!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Public Coverage!!Estimate","Madison County, Kentucky!!Public Coverage!!Margin of Error","Madison County, Kentucky!!Percent Public Coverage!!Estimate","Madison County, Kentucky!!Percent Public Coverage!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Public Coverage!!Estimate","Oldham County, Kentucky!!Public Coverage!!Margin of Error","Oldham County, Kentucky!!Percent Public Coverage!!Estimate","Oldham County, Kentucky!!Percent Public Coverage!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Public Coverage!!Estimate","Warren County, Kentucky!!Public Coverage!!Margin of Error","Warren County, Kentucky!!Percent Public Coverage!!Estimate","Warren County, Kentucky!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"    VA health care coverage alone or in combination","(X)","(X)","3,941","±1,207","3.0%","±0.9","(X)","(X)","1,699","±555","2.1%","±0.7","(X)","(X)","2,282","±649","2.5%","±0.7","(X)","(X)","2,655","±701","4.4%","±1.2","(X)","(X)","2,640","±688","2.6%","±0.7","(X)","(X)","7,378","±1,496","2.3%","±0.5","(X)","(X)","4,934","±1,100","4.6%","±1.0","(X)","(X)","18,370","±2,134","2.4%","±0.3","(X)","(X)","3,602","±892","2.2%","±0.5","(X)","(X)","1,982","±758","3.1%","±1.2","(X)","(X)","2,741","±993","3.0%","±1.1","(X)","(X)","1,676","±793","2.7%","±1.3","(X)","(X)","2,243","±713","1.7%","±0.5","(X)","(X)","7,246,603","±56,543","2.2%","±0.1"
"        Under 19","36,105","±612","0","±201","0.0%","±0.5","18,457","±451","0","±201","0.0%","±0.9","20,631","±554","0","±201","0.0%","±0.8","19,747","±587","0","±201","0.0%","±0.8","25,304","±392","0","±201","0.0%","±0.7","73,279","±1,208","359","±357","0.5%","±0.5","27,962","±568","0","±201","0.0%","±0.6","176,286","±1,492","83","±140","0.0%","±0.1","41,218","±446","0","±201","0.0%","±0.4","15,062","±544","0","±201","0.0%","±1.1","22,128","±776","267","±397","1.2%","±1.8","17,438","±585","0","±201","0.0%","±1.0","33,893","±948","0","±201","0.0%","±0.5","77,350,432","±52,527","127,505","±8,949","0.2%","±0.1"
"        19 to 64 years","78,637","±868","2,411","±1,040","3.1%","±1.3","49,328","±742","1,071","±458","2.2%","±0.9","56,729","±1,000","1,126","±519","2.0%","±0.9","32,059","±1,466","1,490","±569","4.6%","±1.8","57,359","±1,088","1,294","±558","2.3%","±1.0","202,655","±1,667","3,412","±1,105","1.7%","±0.5","62,391","±1,659","3,656","±959","5.9%","±1.5","457,791","±1,678","7,958","±1,405","1.7%","±0.3","100,579","±727","1,145","±497","1.1%","±0.5","36,790","±884","1,147","±654","3.1%","±1.8","57,189","±1,084","1,218","±657","2.1%","±1.1","36,256","±986","433","±319","1.2%","±0.9","81,452","±1,241","972","±477","1.2%","±0.6","192,987,829","±49,706","3,239,267","±39,806","1.7%","±0.1"
"        65 years and over","18,193","±489","1,530","±635","8.4%","±3.4","13,452","±809","628","±334","4.7%","±2.5","14,974","±494","1,156","±437","7.7%","±2.9","8,698","±531","1,165","±443","13.4%","±4.9","16,989","±505","1,346","±594","7.9%","±3.5","42,812","±630","3,607","±805","8.4%","±1.9","15,933","±879","1,278","±497","8.0%","±3.1","124,667","±408","10,329","±1,387","8.3%","±1.1","24,049","±634","2,457","±661","10.2%","±2.7","12,278","±563","835","±388","6.8%","±3.2","12,749","±319","1,256","±519","9.9%","±4.0","9,530","±595","1,243","±668","13.0%","±7.0","16,318","±823","1,271","±544","7.8%","±3.3","52,782,417","±26,301","3,879,831","±34,202","7.4%","±0.1"
"PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Below 138 percent of the poverty threshold","14,452","±3,243","8,530","±2,620","59.0%","±11.9","7,936","±2,403","6,242","±2,173","78.7%","±8.5","14,259","±2,536","9,955","±2,380","69.8%","±8.2","19,927","±3,643","12,272","±2,797","61.6%","±8.9","25,320","±3,958","18,247","±3,084","72.1%","±7.9","71,061","±6,762","38,161","±5,331","53.7%","±4.3","17,171","±3,178","12,786","±2,681","74.5%","±7.8","152,745","±9,891","115,885","±8,570","75.9%","±3.3","26,066","±3,449","17,976","±2,600","69.0%","±6.9","15,042","±3,326","12,627","±3,157","83.9%","±5.8","23,008","±2,910","16,017","±2,617","69.6%","±6.3","3,671","±1,320","2,778","±1,138","75.7%","±15.5","27,046","±4,486","15,345","±3,537","56.7%","±8.7","58,863,556","±320,047","37,755,246","±214,053","64.1%","±0.1"
"    At or above 138 percent of the poverty threshold","116,681","±3,412","27,889","±3,110","23.9%","±2.7","73,144","±2,415","24,496","±2,731","33.5%","±3.6","76,074","±2,830","18,133","±1,864","23.8%","±2.2","40,542","±3,966","12,844","±2,185","31.7%","±4.6","73,250","±4,160","23,111","±2,210","31.6%","±2.8","239,372","±6,977","62,857","±3,982","26.3%","±1.4","87,499","±3,221","29,647","±3,349","33.9%","±3.5","597,416","±9,973","186,307","±7,252","31.2%","±1.2","139,196","±3,481","34,898","±3,454","25.1%","±2.4","49,024","±3,416","17,314","±2,272","35.3%","±4.1","62,983","±3,148","20,197","±2,244","32.1%","±3.6","59,449","±1,652","13,476","±1,847","22.7%","±3.0","98,281","±4,710","29,067","±2,625","29.6%","±2.5","260,361,035","±323,117","75,602,901","±165,164","29.0%","±0.1"
"    Worked full-time, year-round (19-64 years)","51,142","±2,897","2,874","±1,155","5.6%","±2.3","31,480","±1,934","3,192","±1,001","10.1%","±3.1","34,250","±1,866","1,577","±596","4.6%","±1.7","14,850","±1,998","1,562","±694","10.5%","±4.5","31,592","±2,044","3,684","±1,108","11.7%","±3.4","114,840","±3,907","7,082","±1,561","6.2%","±1.3","35,070","±2,469","4,330","±1,124","12.3%","±3.1","258,298","±6,010","25,461","±3,183","9.9%","±1.2","61,356","±2,139","3,439","±968","5.6%","±1.6","20,713","±1,787","1,919","±796","9.3%","±3.8","26,698","±2,029","2,345","±877","8.8%","±3.2","22,201","±1,336","1,713","±659","7.7%","±3.0","41,954","±2,818","3,355","±922","8.0%","±2.2","109,214,198","±121,195","8,067,480","±59,599","7.4%","±0.1"
"    Under 6","10,920","±1,303","2,745","±1,105","25.1%","±9.5","4,870","±630","1,993","±1,031","40.9%","±17.9","6,431","±612","1,609","±624","25.0%","±8.5","7,485","±718","2,226","±837","29.7%","±11.1","8,655","±759","3,549","±1,020","41.0%","±10.5","23,998","±1,214","10,311","±1,754","43.0%","±6.6","8,480","±657","4,934","±1,155","58.2%","±11.4","56,764","±1,681","26,687","±2,589","47.0%","±4.5","13,415","±1,135","4,601","±1,308","34.3%","±8.6","5,515","±570","2,170","±650","39.3%","±10.9","6,500","±616","2,917","±893","44.9%","±13.0","4,309","±592","526","±346","12.2%","±7.6","9,784","±631","4,941","±1,068","50.5%","±11.3","23,282,008","±42,108","9,826,492","±73,182","42.2%","±0.3"
"    6 to 18 years","25,185","±1,401","6,479","±1,942","25.7%","±7.3","13,587","±793","5,966","±1,723","43.9%","±12.2","14,200","±763","3,086","±943","21.7%","±6.5","12,262","±905","6,075","±1,499","49.5%","±11.5","16,649","±775","6,856","±1,342","41.2%","±8.1","49,281","±1,584","15,864","±2,540","32.2%","±5.0","19,482","±821","6,471","±1,533","33.2%","±8.0","119,522","±2,425","48,470","±3,953","40.6%","±3.2","27,803","±1,254","8,353","±1,987","30.0%","±6.9","9,547","±672","5,307","±1,211","55.6%","±12.2","15,628","±950","6,630","±1,244","42.4%","±7.6","13,129","±620","1,636","±670","12.5%","±5.1","24,109","±1,216","9,447","±1,597","39.2%","±6.7","54,068,424","±63,346","19,618,243","±120,744","36.3%","±0.2"
"    19 to 25 years","10,901","±1,302","860","±611","7.9%","±6.1","6,498","±793","1,032","±564","15.9%","±8.4","8,875","±740","845","±420","9.5%","±4.5","6,145","±1,170","924","±582","15.0%","±9.8","8,578","±828","1,970","±810","23.0%","±8.4","43,449","±1,673","6,071","±1,666","14.0%","±3.8","9,245","±923","3,789","±1,001","41.0%","±8.7","70,534","±3,088","18,254","±2,793","25.9%","±3.8","15,470","±1,248","2,129","±840","13.8%","±5.3","5,217","±917","1,625","±782","31.1%","±13.1","15,453","±1,142","4,104","±1,234","26.6%","±7.6","4,807","±612","801","±505","16.7%","±10.2","19,289","±1,377","2,878","±813","14.9%","±4.2","29,667,712","±59,633","4,978,662","±43,422","16.8%","±0.1"
"    26 to 34 years","14,492","±1,126","1,836","±776","12.7%","±5.3","9,177","±667","2,573","±801","28.0%","±8.5","12,162","±638","1,130","±511","9.3%","±4.3","7,769","±1,173","1,448","±750","18.6%","±8.9","11,148","±826","2,570","±928","23.1%","±8.2","43,446","±1,370","7,733","±1,605","17.8%","±3.6","11,512","±1,326","2,147","±853","18.7%","±7.2","97,847","±3,032","20,458","±2,792","20.9%","±2.9","21,377","±1,034","3,678","±1,087","17.2%","±5.0","6,691","±644","1,983","±754","29.6%","±11.3","9,775","±1,018","2,420","±876","24.8%","±9.0","5,641","±530","1,173","±475","20.8%","±8.0","16,038","±1,552","2,371","±847","14.8%","±4.8","39,837,331","±52,474","7,043,779","±47,067","17.7%","±0.1"
"    35 to 44 years","18,497","±1,177","2,076","±964","11.2%","±5.3","11,154","±954","1,740","±736","15.6%","±6.4","11,245","±450","2,621","±1,073","23.3%","±9.6","5,840","±809","1,455","±723","24.9%","±12.2","12,588","±846","2,229","±910","17.7%","±7.1","42,624","±1,252","5,999","±1,450","14.1%","±3.4","13,486","±1,151","3,527","±1,134","26.2%","±7.9","95,565","±455","19,501","±2,527","20.4%","±2.7","21,585","±617","3,210","±1,087","14.9%","±5.0","7,673","±607","2,044","±1,002","26.6%","±12.2","10,852","±851","2,362","±604","21.8%","±6.1","7,820","±643","973","±683","12.4%","±8.7","16,807","±1,296","3,353","±979","20.0%","±6.0","41,051,376","±34,501","6,551,625","±51,313","16.0%","±0.1"
"    45 to 54 years","18,260","±1,269","2,636","±1,224","14.4%","±6.5","11,198","±241","2,044","±624","18.3%","±5.5","11,161","±430","1,210","±636","10.8%","±5.8","6,351","±884","2,197","±800","34.6%","±11.7","11,580","±563","3,316","±1,081","28.6%","±9.3","35,723","±1,044","5,665","±1,224","15.9%","±3.4","14,213","±994","3,813","±1,085","26.8%","±7.7","91,636","±548","21,730","±2,179","23.7%","±2.4","20,296","±668","2,719","±884","13.4%","±4.3","8,006","±694","1,414","±674","17.7%","±8.0","10,806","±544","2,505","±849","23.2%","±7.4","9,730","±666","1,231","±656","12.7%","±6.7","14,832","±852","2,759","±960","18.6%","±6.2","40,357,454","±36,371","6,481,034","±50,339","16.1%","±0.1"
"    55 to 64 years","16,487","±596","3,230","±890","19.6%","±5.3","11,301","±193","2,286","±676","20.2%","±5.9","13,286","±298","2,851","±712","21.5%","±5.3","5,954","±314","2,500","±645","42.0%","±10.4","13,465","±444","4,415","±870","32.8%","±6.2","37,413","±622","8,981","±1,457","24.0%","±3.8","13,935","±808","3,654","±999","26.2%","±6.5","102,209","±446","27,274","±2,712","26.7%","±2.7","21,851","±409","5,128","±994","23.5%","±4.5","9,203","±329","3,595","±740","39.1%","±7.6","10,303","±278","4,043","±984","39.2%","±9.5","8,258","±547","860","±429","10.4%","±5.0","14,486","±772","3,955","±1,030","27.3%","±6.8","42,073,956","±22,830","9,195,349","±47,462","21.9%","±0.1"
"    65 to 74 years","11,431","±423","11,031","±524","96.5%","±2.6","8,373","±716","8,090","±772","96.6%","±2.5","9,322","±411","9,198","±413","98.7%","±1.1","5,515","±533","5,143","±626","93.3%","±6.8","9,882","±389","9,400","±469","95.1%","±3.1","25,658","±568","24,382","±776","95.0%","±2.2","10,060","±711","9,589","±683","95.3%","±3.6","75,331","±595","72,143","±1,086","95.8%","±1.1","15,122","±456","14,352","±560","94.9%","±2.7","6,911","±413","6,624","±372","95.8%","±3.7","7,943","±324","7,654","±364","96.4%","±3.3","6,202","±524","5,942","±536","95.8%","±2.1","10,192","±817","9,637","±591","94.6%","±4.7","31,216,223","±24,889","29,391,999","±36,432","94.2%","±0.1"
"    75 years and over","6,762","±204","6,762","±204","100.0%","±2.4","5,079","±294","5,053","±287","99.5%","±0.9","5,652","±373","5,652","±373","100.0%","±2.9","3,183","±349","3,183","±349","100.0%","±5.1","7,107","±310","7,086","±312","99.7%","±0.5","17,154","±591","16,970","±621","98.9%","±1.1","5,873","±467","5,859","±469","99.8%","±0.4","49,336","±615","49,161","±634","99.6%","±0.3","8,927","±400","8,844","±420","99.1%","±1.2","5,367","±336","5,224","±362","97.3%","±3.4","4,806","±186","4,806","±186","100.0%","±3.4","3,328","±353","3,175","±305","95.4%","±5.1","6,126","±353","6,117","±353","99.9%","±0.3","21,566,194","±17,007","21,227,779","±20,794","98.4%","±0.1"
