"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Public Coverage!!Estimate","DeSoto County, Mississippi!!Public Coverage!!Margin of Error","DeSoto County, Mississippi!!Percent Public Coverage!!Estimate","DeSoto County, Mississippi!!Percent Public Coverage!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Public Coverage!!Estimate","Forrest County, Mississippi!!Public Coverage!!Margin of Error","Forrest County, Mississippi!!Percent Public Coverage!!Estimate","Forrest County, Mississippi!!Percent Public Coverage!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Public Coverage!!Estimate","Harrison County, Mississippi!!Public Coverage!!Margin of Error","Harrison County, Mississippi!!Percent Public Coverage!!Estimate","Harrison County, Mississippi!!Percent Public Coverage!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Public Coverage!!Estimate","Hinds County, Mississippi!!Public Coverage!!Margin of Error","Hinds County, Mississippi!!Percent Public Coverage!!Estimate","Hinds County, Mississippi!!Percent Public Coverage!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Public Coverage!!Estimate","Jackson County, Mississippi!!Public Coverage!!Margin of Error","Jackson County, Mississippi!!Percent Public Coverage!!Estimate","Jackson County, Mississippi!!Percent Public Coverage!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Public Coverage!!Estimate","Jones County, Mississippi!!Public Coverage!!Margin of Error","Jones County, Mississippi!!Percent Public Coverage!!Estimate","Jones County, Mississippi!!Percent Public Coverage!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Public Coverage!!Estimate","Lauderdale County, Mississippi!!Public Coverage!!Margin of Error","Lauderdale County, Mississippi!!Percent Public Coverage!!Estimate","Lauderdale County, Mississippi!!Percent Public Coverage!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Public Coverage!!Estimate","Lee County, Mississippi!!Public Coverage!!Margin of Error","Lee County, Mississippi!!Percent Public Coverage!!Estimate","Lee County, Mississippi!!Percent Public Coverage!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Public Coverage!!Estimate","Madison County, Mississippi!!Public Coverage!!Margin of Error","Madison County, Mississippi!!Percent Public Coverage!!Estimate","Madison County, Mississippi!!Percent Public Coverage!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Public Coverage!!Estimate","Rankin County, Mississippi!!Public Coverage!!Margin of Error","Rankin County, Mississippi!!Percent Public Coverage!!Estimate","Rankin County, Mississippi!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"    VA health care coverage alone or in combination","(X)","(X)","4,164","±1,081","2.3%","±0.6","(X)","(X)","2,197","±780","3.0%","±1.1","(X)","(X)","8,850","±1,835","4.4%","±0.9","(X)","(X)","5,508","±1,166","2.4%","±0.5","(X)","(X)","5,064","±1,308","3.6%","±0.9","(X)","(X)","1,005","±484","1.5%","±0.7","(X)","(X)","1,752","±695","2.5%","±1.0","(X)","(X)","1,341","±458","1.6%","±0.5","(X)","(X)","1,314","±606","1.2%","±0.6","(X)","(X)","3,875","±1,086","2.6%","±0.7","(X)","(X)","7,246,603","±56,543","2.2%","±0.1"
"        Under 19","49,207","±653","195","±243","0.4%","±0.5","17,881","±642","0","±226","0.0%","±1.2","52,782","±1,509","41","±70","0.1%","±0.1","58,782","±1,049","0","±226","0.0%","±0.4","35,470","±1,280","0","±226","0.0%","±0.6","18,430","±872","0","±226","0.0%","±1.1","17,771","±442","0","±226","0.0%","±1.2","22,088","±560","0","±226","0.0%","±1.0","26,805","±462","0","±226","0.0%","±0.8","36,697","±809","0","±226","0.0%","±0.6","77,350,432","±52,527","127,505","±8,949","0.2%","±0.1"
"        19 to 64 years","110,222","±1,031","1,963","±735","1.8%","±0.7","46,104","±775","1,265","±619","2.7%","±1.3","114,958","±2,300","4,374","±1,394","3.8%","±1.2","137,500","±1,116","2,284","±778","1.7%","±0.6","82,484","±1,710","2,273","±927","2.8%","±1.1","36,972","±1,201","175","±289","0.5%","±0.8","39,205","±1,342","892","±494","2.3%","±1.3","49,871","±710","415","±265","0.8%","±0.5","64,314","±671","323","±333","0.5%","±0.5","89,848","±1,990","1,211","±522","1.3%","±0.6","192,987,829","±49,706","3,239,267","±39,806","1.7%","±0.1"
"        65 years and over","24,188","±379","2,006","±581","8.3%","±2.4","10,282","±447","932","±409","9.1%","±4.0","31,289","±710","4,435","±1,042","14.2%","±3.3","33,533","±262","3,224","±805","9.6%","±2.4","23,844","±814","2,791","±899","11.7%","±3.8","11,858","±611","830","±465","7.0%","±3.9","12,537","±156","860","±420","6.9%","±3.3","12,430","±356","926","±380","7.4%","±3.1","14,228","±252","991","±493","7.0%","±3.5","23,838","±466","2,664","±982","11.2%","±4.1","52,782,417","±26,301","3,879,831","±34,202","7.4%","±0.1"
"PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Below 138 percent of the poverty threshold","25,854","±3,633","13,107","±2,757","50.7%","±7.6","23,120","±4,494","12,760","±3,273","55.2%","±8.0","55,652","±7,742","32,540","±5,773","58.5%","±6.2","67,006","±5,681","41,036","±4,219","61.2%","±4.0","30,895","±5,630","17,778","±3,915","57.5%","±7.5","24,189","±4,131","15,602","±2,413","64.5%","±6.5","21,132","±3,271","13,301","±2,482","62.9%","±8.0","16,307","±2,889","10,713","±2,240","65.7%","±7.9","19,842","±4,681","9,975","±3,053","50.3%","±9.1","22,824","±5,075","11,712","±3,314","51.3%","±7.3","58,863,556","±320,047","37,755,246","±214,053","64.1%","±0.1"
"    At or above 138 percent of the poverty threshold","156,782","±3,845","35,861","±2,902","22.9%","±1.9","48,722","±4,569","14,901","±2,780","30.6%","±5.1","142,726","±7,050","44,702","±3,718","31.3%","±2.6","156,396","±6,162","50,177","±4,917","32.1%","±2.6","109,549","±5,636","33,325","±3,045","30.4%","±2.8","42,207","±4,134","13,209","±2,011","31.3%","±4.7","47,738","±3,417","15,344","±2,525","32.1%","±3.9","67,774","±3,041","18,721","±2,006","27.6%","±2.7","84,955","±4,697","17,455","±2,292","20.5%","±2.6","127,445","±5,180","32,520","±3,950","25.5%","±2.9","260,361,035","±323,117","75,602,901","±165,164","29.0%","±0.1"
"    Worked full-time, year-round (19-64 years)","71,615","±2,801","2,100","±794","2.9%","±1.1","22,679","±2,447","1,416","±865","6.2%","±3.6","57,131","±3,876","3,990","±1,323","7.0%","±2.2","69,395","±3,353","2,865","±1,013","4.1%","±1.4","44,177","±3,043","2,736","±1,138","6.2%","±2.5","20,827","±1,917","2,001","±1,141","9.6%","±5.3","22,140","±2,562","1,218","±566","5.5%","±2.5","28,944","±2,055","1,002","±495","3.5%","±1.7","39,894","±2,559","931","±595","2.3%","±1.5","53,685","±3,498","2,001","±880","3.7%","±1.6","109,214,198","±121,195","8,067,480","±59,599","7.4%","±0.1"
"    Under 6","14,084","±1,043","4,197","±1,134","29.8%","±8.2","5,540","±616","2,401","±1,470","43.3%","±30.5","15,448","±1,290","7,930","±1,790","51.3%","±10.1","18,940","±1,418","13,281","±2,003","70.1%","±7.8","9,345","±1,002","4,731","±1,396","50.6%","±13.8","5,873","±791","3,252","±835","55.4%","±12.9","5,353","±561","3,226","±695","60.3%","±13.8","6,485","±663","3,617","±754","55.8%","±9.0","8,001","±920","1,860","±1,007","23.2%","±12.0","10,807","±844","4,077","±1,146","37.7%","±11.3","23,282,008","±42,108","9,826,492","±73,182","42.2%","±0.3"
"    6 to 18 years","35,123","±1,260","10,059","±2,140","28.6%","±6.0","12,341","±855","6,818","±1,533","55.2%","±10.6","37,334","±1,888","17,761","±3,772","47.6%","±9.4","39,842","±1,826","24,054","±2,014","60.4%","±5.0","26,125","±1,732","10,689","±2,298","40.9%","±8.2","12,557","±1,129","6,408","±1,142","51.0%","±9.0","12,418","±688","6,728","±1,102","54.2%","±8.0","15,603","±801","6,044","±1,408","38.7%","±8.6","18,804","±1,078","5,750","±1,442","30.6%","±7.5","25,890","±1,161","6,047","±1,810","23.4%","±6.7","54,068,424","±63,346","19,618,243","±120,744","36.3%","±0.2"
"    19 to 25 years","15,884","±1,116","2,175","±839","13.7%","±5.4","11,124","±2,046","1,535","±951","13.8%","±7.6","18,375","±1,945","2,425","±1,145","13.2%","±6.4","25,034","±1,654","2,373","±994","9.5%","±4.0","10,443","±1,470","2,126","±1,018","20.4%","±9.3","5,815","±1,294","686","±687","11.8%","±11.7","5,332","±1,182","934","±578","17.5%","±10.1","7,959","±988","1,538","±523","19.3%","±6.8","9,813","±834","894","±857","9.1%","±8.9","13,220","±1,806","1,560","±1,302","11.8%","±9.2","29,667,712","±59,633","4,978,662","±43,422","16.8%","±0.1"
"    26 to 34 years","21,683","±1,236","1,341","±593","6.2%","±2.8","9,017","±2,372","1,493","±801","16.6%","±10.2","20,033","±2,020","2,252","±799","11.2%","±4.0","29,325","±1,388","3,577","±1,359","12.2%","±4.6","15,690","±1,315","1,543","±734","9.8%","±4.4","7,805","±1,597","2,006","±956","25.7%","±11.2","7,089","±1,439","1,138","±691","16.1%","±8.6","8,887","±833","1,473","±726","16.6%","±7.9","11,732","±1,006","697","±476","5.9%","±4.0","18,426","±2,446","3,083","±1,846","16.7%","±9.9","39,837,331","±52,474","7,043,779","±47,067","17.7%","±0.1"
"    35 to 44 years","25,894","±1,086","2,001","±988","7.7%","±3.9","9,111","±1,039","1,346","±720","14.8%","±7.6","25,142","±1,488","5,053","±1,888","20.1%","±7.4","27,688","±350","5,051","±1,248","18.2%","±4.5","18,323","±1,373","3,695","±1,167","20.2%","±6.6","8,253","±1,898","1,501","±606","18.2%","±6.1","8,311","±1,142","1,559","±845","18.8%","±9.3","11,880","±973","759","±811","6.4%","±6.7","15,619","±1,276","1,391","±1,062","8.9%","±6.9","21,302","±1,579","972","±539","4.6%","±2.5","41,051,376","±34,501","6,551,625","±51,313","16.0%","±0.1"
"    45 to 54 years","24,907","±473","2,065","±658","8.3%","±2.7","8,664","±1,037","1,724","±781","19.9%","±7.8","24,004","±1,078","4,639","±1,431","19.3%","±5.8","26,282","±419","3,033","±891","11.5%","±3.4","19,014","±1,365","2,384","±843","12.5%","±4.7","6,804","±1,464","1,502","±825","22.1%","±12.6","9,109","±1,037","1,207","±633","13.3%","±7.0","10,341","±832","1,135","±567","11.0%","±5.6","12,971","±873","849","±636","6.5%","±4.8","18,494","±1,606","1,676","±867","9.1%","±4.6","40,357,454","±36,371","6,481,034","±50,339","16.1%","±0.1"
"    55 to 64 years","21,854","±312","3,659","±793","16.7%","±3.6","8,188","±127","2,554","±728","31.2%","±8.8","27,404","±711","6,701","±1,324","24.5%","±4.8","29,171","±272","8,243","±1,308","28.3%","±4.5","19,014","±356","3,771","±901","19.8%","±4.7","8,295","±599","2,368","±865","28.5%","±9.1","9,364","±379","2,049","±618","21.9%","±6.6","10,804","±260","2,667","±731","24.7%","±6.7","14,179","±208","2,162","±916","15.2%","±6.5","18,406","±471","3,742","±1,212","20.3%","±6.6","42,073,956","±22,830","9,195,349","±47,462","21.9%","±0.1"
"    65 to 74 years","14,573","±419","14,174","±511","97.3%","±2.4","6,014","±691","5,931","±688","98.6%","±1.7","18,847","±759","18,460","±789","97.9%","±1.3","20,549","±37","19,360","±608","94.2%","±2.9","13,969","±516","13,516","±577","96.8%","±2.9","7,262","±763","6,662","±931","91.7%","±7.4","6,898","±732","6,270","±906","90.9%","±7.0","6,718","±460","6,669","±464","99.3%","±1.0","9,421","±440","9,065","±453","96.2%","±2.5","14,399","±679","13,737","±802","95.4%","±4.1","31,216,223","±24,889","29,391,999","±36,432","94.2%","±0.1"
"    75 years and over","9,615","±408","9,588","±394","99.7%","±0.5","4,268","±642","4,175","±605","97.8%","±2.7","12,442","±723","12,338","±740","99.2%","±1.4","12,984","±257","12,773","±351","98.4%","±1.4","9,875","±948","9,875","±948","100.0%","±2.1","4,596","±653","4,596","±653","100.0%","±4.5","5,639","±726","5,639","±726","100.0%","±3.7","5,712","±532","5,651","±537","98.9%","±1.4","4,807","±503","4,762","±500","99.1%","±1.7","9,439","±711","9,338","±699","98.9%","±1.9","21,566,194","±17,007","21,227,779","±20,794","98.4%","±0.1"
"COVERAGE ALONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Public health insurance alone","(X)","(X)","27,018","±3,963","14.7%","±2.2","(X)","(X)","17,037","±3,129","22.9%","±4.2","(X)","(X)","45,148","±5,776","22.7%","±2.8","(X)","(X)","59,966","±4,006","26.1%","±1.7","(X)","(X)","27,518","±4,275","19.4%","±3.0","(X)","(X)","19,574","±2,576","29.1%","±3.8","(X)","(X)","17,581","±2,081","25.3%","±3.0","(X)","(X)","18,332","±2,951","21.7%","±3.5","(X)","(X)","15,421","±3,039","14.6%","±2.9","(X)","(X)","23,450","±3,672","15.6%","±2.4","(X)","(X)","66,648,290","±271,268","20.6%","±0.1"
"        Medicare coverage alone","(X)","(X)","8,330","±1,352","4.5%","±0.7","(X)","(X)","3,503","±1,017","4.7%","±1.4","(X)","(X)","10,151","±2,021","5.1%","±1.0","(X)","(X)","11,038","±1,589","4.8%","±0.7","(X)","(X)","7,640","±1,570","5.4%","±1.1","(X)","(X)","4,602","±1,351","6.8%","±2.0","(X)","(X)","4,887","±1,220","7.0%","±1.7","(X)","(X)","6,223","±1,129","7.4%","±1.3","(X)","(X)","5,884","±1,623","5.6%","±1.5","(X)","(X)","8,745","±1,658","5.8%","±1.1","(X)","(X)","18,577,302","±74,794","5.7%","±0.1"
"        Medicaid/means tested coverage alone","(X)","(X)","18,045","±3,355","9.8%","±1.8","(X)","(X)","12,782","±3,253","17.2%","±4.4","(X)","(X)","33,943","±5,285","17.1%","±2.6","(X)","(X)","47,984","±3,994","20.9%","±1.7","(X)","(X)","19,329","±3,650","13.6%","±2.6","(X)","(X)","14,797","±2,263","22.0%","±3.4","(X)","(X)","12,197","±1,762","17.5%","±2.5","(X)","(X)","12,061","±2,660","14.3%","±3.1","(X)","(X)","9,537","±2,722","9.1%","±2.6","(X)","(X)","13,617","±3,330","9.1%","±2.2","(X)","(X)","47,213,006","±239,196","14.6%","±0.1"
"        VA health care coverage alone","(X)","(X)","643","±517","0.4%","±0.3","(X)","(X)","752","±520","1.0%","±0.7","(X)","(X)","1,054","±564","0.5%","±0.3","(X)","(X)","944","±588","0.4%","±0.3","(X)","(X)","549","±501","0.4%","±0.4","(X)","(X)","175","±289","0.3%","±0.4","(X)","(X)","497","±436","0.7%","±0.6","(X)","(X)","48","±90","0.1%","±0.1","(X)","(X)","0","±226","0.0%","±0.2","(X)","(X)","1,088","±795","0.7%","±0.5","(X)","(X)","857,982","±22,044","0.3%","±0.1"
