"Label","Anderson County, Tennessee!!Total!!Estimate","Anderson County, Tennessee!!Total!!Margin of Error","Anderson County, Tennessee!!Public Coverage!!Estimate","Anderson County, Tennessee!!Public Coverage!!Margin of Error","Anderson County, Tennessee!!Percent Public Coverage!!Estimate","Anderson County, Tennessee!!Percent Public Coverage!!Margin of Error","Blount County, Tennessee!!Total!!Estimate","Blount County, Tennessee!!Total!!Margin of Error","Blount County, Tennessee!!Public Coverage!!Estimate","Blount County, Tennessee!!Public Coverage!!Margin of Error","Blount County, Tennessee!!Percent Public Coverage!!Estimate","Blount County, Tennessee!!Percent Public Coverage!!Margin of Error","Bradley County, Tennessee!!Total!!Estimate","Bradley County, Tennessee!!Total!!Margin of Error","Bradley County, Tennessee!!Public Coverage!!Estimate","Bradley County, Tennessee!!Public Coverage!!Margin of Error","Bradley County, Tennessee!!Percent Public Coverage!!Estimate","Bradley County, Tennessee!!Percent Public Coverage!!Margin of Error","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Total!!Margin of Error","Davidson County, Tennessee!!Public Coverage!!Estimate","Davidson County, Tennessee!!Public Coverage!!Margin of Error","Davidson County, Tennessee!!Percent Public Coverage!!Estimate","Davidson County, Tennessee!!Percent Public Coverage!!Margin of Error","Greene County, Tennessee!!Total!!Estimate","Greene County, Tennessee!!Total!!Margin of Error","Greene County, Tennessee!!Public Coverage!!Estimate","Greene County, Tennessee!!Public Coverage!!Margin of Error","Greene County, Tennessee!!Percent Public Coverage!!Estimate","Greene County, Tennessee!!Percent Public Coverage!!Margin of Error","Hamilton County, Tennessee!!Total!!Estimate","Hamilton County, Tennessee!!Total!!Margin of Error","Hamilton County, Tennessee!!Public Coverage!!Estimate","Hamilton County, Tennessee!!Public Coverage!!Margin of Error","Hamilton County, Tennessee!!Percent Public Coverage!!Estimate","Hamilton County, Tennessee!!Percent Public Coverage!!Margin of Error","Knox County, Tennessee!!Total!!Estimate","Knox County, Tennessee!!Total!!Margin of Error","Knox County, Tennessee!!Public Coverage!!Estimate","Knox County, Tennessee!!Public Coverage!!Margin of Error","Knox County, Tennessee!!Percent Public Coverage!!Estimate","Knox County, Tennessee!!Percent Public Coverage!!Margin of Error","Madison County, Tennessee!!Total!!Estimate","Madison County, Tennessee!!Total!!Margin of Error","Madison County, Tennessee!!Public Coverage!!Estimate","Madison County, Tennessee!!Public Coverage!!Margin of Error","Madison County, Tennessee!!Percent Public Coverage!!Estimate","Madison County, Tennessee!!Percent Public Coverage!!Margin of Error","Maury County, Tennessee!!Total!!Estimate","Maury County, Tennessee!!Total!!Margin of Error","Maury County, Tennessee!!Public Coverage!!Estimate","Maury County, Tennessee!!Public Coverage!!Margin of Error","Maury County, Tennessee!!Percent Public Coverage!!Estimate","Maury County, Tennessee!!Percent Public Coverage!!Margin of Error","Montgomery County, Tennessee!!Total!!Estimate","Montgomery County, Tennessee!!Total!!Margin of Error","Montgomery County, Tennessee!!Public Coverage!!Estimate","Montgomery County, Tennessee!!Public Coverage!!Margin of Error","Montgomery County, Tennessee!!Percent Public Coverage!!Estimate","Montgomery County, Tennessee!!Percent Public Coverage!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Public Coverage!!Estimate","Putnam County, Tennessee!!Public Coverage!!Margin of Error","Putnam County, Tennessee!!Percent Public Coverage!!Estimate","Putnam County, Tennessee!!Percent Public Coverage!!Margin of Error","Robertson County, Tennessee!!Total!!Estimate","Robertson County, Tennessee!!Total!!Margin of Error","Robertson County, Tennessee!!Public Coverage!!Estimate","Robertson County, Tennessee!!Public Coverage!!Margin of Error","Robertson County, Tennessee!!Percent Public Coverage!!Estimate","Robertson County, Tennessee!!Percent Public Coverage!!Margin of Error","Rutherford County, Tennessee!!Total!!Estimate","Rutherford County, Tennessee!!Total!!Margin of Error","Rutherford County, Tennessee!!Public Coverage!!Estimate","Rutherford County, Tennessee!!Public Coverage!!Margin of Error","Rutherford County, Tennessee!!Percent Public Coverage!!Estimate","Rutherford County, Tennessee!!Percent Public Coverage!!Margin of Error","Sevier County, Tennessee!!Total!!Estimate","Sevier County, Tennessee!!Total!!Margin of Error","Sevier County, Tennessee!!Public Coverage!!Estimate","Sevier County, Tennessee!!Public Coverage!!Margin of Error","Sevier County, Tennessee!!Percent Public Coverage!!Estimate","Sevier County, Tennessee!!Percent Public Coverage!!Margin of Error","Shelby County, Tennessee!!Total!!Estimate","Shelby County, Tennessee!!Total!!Margin of Error","Shelby County, Tennessee!!Public Coverage!!Estimate","Shelby County, Tennessee!!Public Coverage!!Margin of Error","Shelby County, Tennessee!!Percent Public Coverage!!Estimate","Shelby County, Tennessee!!Percent Public Coverage!!Margin of Error","Sullivan County, Tennessee!!Total!!Estimate","Sullivan County, Tennessee!!Total!!Margin of Error","Sullivan County, Tennessee!!Public Coverage!!Estimate","Sullivan County, Tennessee!!Public Coverage!!Margin of Error","Sullivan County, Tennessee!!Percent Public Coverage!!Estimate","Sullivan County, Tennessee!!Percent Public Coverage!!Margin of Error","Sumner County, Tennessee!!Total!!Estimate","Sumner County, Tennessee!!Total!!Margin of Error","Sumner County, Tennessee!!Public Coverage!!Estimate","Sumner County, Tennessee!!Public Coverage!!Margin of Error","Sumner County, Tennessee!!Percent Public Coverage!!Estimate","Sumner County, Tennessee!!Percent Public Coverage!!Margin of Error","Washington County, Tennessee!!Total!!Estimate","Washington County, Tennessee!!Total!!Margin of Error","Washington County, Tennessee!!Public Coverage!!Estimate","Washington County, Tennessee!!Public Coverage!!Margin of Error","Washington County, Tennessee!!Percent Public Coverage!!Estimate","Washington County, Tennessee!!Percent Public Coverage!!Margin of Error","Williamson County, Tennessee!!Total!!Estimate","Williamson County, Tennessee!!Total!!Margin of Error","Williamson County, Tennessee!!Public Coverage!!Estimate","Williamson County, Tennessee!!Public Coverage!!Margin of Error","Williamson County, Tennessee!!Percent Public Coverage!!Estimate","Williamson County, Tennessee!!Percent Public Coverage!!Margin of Error","Wilson County, Tennessee!!Total!!Estimate","Wilson County, Tennessee!!Total!!Margin of Error","Wilson County, Tennessee!!Public Coverage!!Estimate","Wilson County, Tennessee!!Public Coverage!!Margin of Error","Wilson County, Tennessee!!Percent Public Coverage!!Estimate","Wilson County, Tennessee!!Percent Public Coverage!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Public Coverage!!Estimate","United States!!Public Coverage!!Margin of Error","United States!!Percent Public Coverage!!Estimate","United States!!Percent Public Coverage!!Margin of Error"
"    VA health care coverage alone or in combination","(X)","(X)","1,956","±617","2.6%","±0.8","(X)","(X)","3,303","±786","2.5%","±0.6","(X)","(X)","3,058","±1,004","2.9%","±0.9","(X)","(X)","10,426","±2,111","1.5%","±0.3","(X)","(X)","2,294","±738","3.4%","±1.1","(X)","(X)","7,105","±1,674","2.0%","±0.5","(X)","(X)","10,903","±1,597","2.3%","±0.3","(X)","(X)","1,726","±599","1.8%","±0.6","(X)","(X)","1,756","±654","1.8%","±0.7","(X)","(X)","15,888","±2,421","8.2%","±1.2","(X)","(X)","1,964","±761","2.5%","±1.0","(X)","(X)","1,986","±779","2.8%","±1.1","(X)","(X)","8,556","±1,624","2.6%","±0.5","(X)","(X)","2,989","±908","3.1%","±0.9","(X)","(X)","24,241","±2,870","2.6%","±0.3","(X)","(X)","5,898","±977","3.8%","±0.6","(X)","(X)","4,300","±1,234","2.3%","±0.7","(X)","(X)","6,148","±1,456","4.8%","±1.1","(X)","(X)","2,921","±901","1.2%","±0.4","(X)","(X)","3,878","±1,111","2.7%","±0.8","(X)","(X)","7,246,603","±56,543","2.2%","±0.1"
"        Under 19","16,157","±729","0","±216","0.0%","±1.2","28,654","±715","0","±216","0.0%","±0.7","25,225","±616","0","±216","0.0%","±0.8","151,986","±1,404","21","±45","0.0%","±0.1","13,560","±354","0","±216","0.0%","±1.4","81,205","±954","153","±248","0.2%","±0.3","103,817","±1,335","0","±216","0.0%","±0.2","23,239","±599","0","±216","0.0%","±0.8","23,177","±519","0","±216","0.0%","±0.8","59,998","±1,188","0","±216","0.0%","±0.3","17,394","±584","0","±216","0.0%","±1.1","18,264","±675","37","±64","0.2%","±0.3","86,451","±1,531","215","±342","0.2%","±0.4","20,536","±984","0","±216","0.0%","±0.9","243,826","±2,080","0","±216","0.0%","±0.1","31,145","±489","0","±216","0.0%","±0.6","47,505","±946","0","±216","0.0%","±0.4","26,787","±1,257","72","±136","0.3%","±0.5","68,556","±863","0","±216","0.0%","±0.3","35,352","±410","0","±216","0.0%","±0.5","77,350,432","±52,527","127,505","±8,949","0.2%","±0.1"
"        19 to 64 years","44,032","±1,102","775","±393","1.8%","±0.9","75,279","±1,328","1,228","±608","1.6%","±0.8","63,510","±1,117","656","±566","1.0%","±0.9","449,754","±1,827","4,816","±1,416","1.1%","±0.3","39,564","±635","752","±465","1.9%","±1.2","218,960","±1,523","3,040","±1,044","1.4%","±0.5","287,390","±1,621","5,794","±1,307","2.0%","±0.5","56,711","±909","601","±344","1.1%","±0.6","56,811","±1,206","278","±354","0.5%","±0.6","114,804","±2,633","11,872","±2,159","10.3%","±1.9","48,849","±923","633","±343","1.3%","±0.7","41,521","±1,309","1,044","±648","2.5%","±1.6","208,124","±2,198","4,737","±1,266","2.3%","±0.6","56,935","±1,178","1,031","±530","1.8%","±0.9","552,932","±2,659","12,688","±2,076","2.3%","±0.4","90,827","±1,362","2,413","±578","2.7%","±0.6","111,869","±1,592","1,994","±709","1.8%","±0.6","77,853","±1,446","2,993","±975","3.8%","±1.3","137,535","±1,096","1,020","±730","0.7%","±0.5","85,433","±1,187","2,284","±1,000","2.7%","±1.2","192,987,829","±49,706","3,239,267","±39,806","1.7%","±0.1"
"        65 years and over","15,774","±536","1,181","±504","7.5%","±3.2","27,629","±569","2,075","±631","7.5%","±2.2","18,153","±578","2,402","±862","13.2%","±4.7","85,524","±802","5,589","±1,491","6.5%","±1.7","14,567","±471","1,542","±544","10.6%","±3.7","63,490","±788","3,912","±1,164","6.2%","±1.8","74,337","±897","5,109","±928","6.9%","±1.2","16,654","±431","1,125","±494","6.8%","±3.0","15,376","±636","1,478","±591","9.6%","±3.8","19,727","±700","4,016","±939","20.4%","±4.6","13,080","±633","1,331","±694","10.2%","±5.1","11,013","±443","905","±424","8.2%","±3.8","35,410","±1,228","3,604","±942","10.2%","±2.6","19,723","±469","1,958","±716","9.9%","±3.6","128,717","±840","11,553","±1,898","9.0%","±1.5","34,552","±652","3,485","±721","10.1%","±2.1","30,166","±736","2,306","±1,075","7.6%","±3.6","22,690","±463","3,083","±895","13.6%","±3.9","31,902","±759","1,901","±570","6.0%","±1.8","22,655","±879","1,594","±652","7.0%","±2.9","52,782,417","±26,301","3,879,831","±34,202","7.4%","±0.1"
"PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Below 138 percent of the poverty threshold","18,233","±3,210","12,210","±2,524","67.0%","±8.9","22,092","±4,016","13,117","±3,052","59.4%","±8.2","22,239","±4,322","14,303","±3,135","64.3%","±6.3","122,870","±11,733","67,881","±8,913","55.2%","±3.9","19,155","±3,286","11,371","±2,486","59.4%","±11.4","69,714","±7,069","40,479","±4,630","58.1%","±4.1","90,938","±7,597","53,369","±6,058","58.7%","±4.4","24,568","±4,472","16,997","±3,664","69.2%","±7.5","11,700","±2,166","7,310","±1,386","62.5%","±8.5","42,337","±5,380","25,234","±4,109","59.6%","±6.5","18,641","±3,486","10,268","±2,201","55.1%","±7.2","10,485","±2,478","7,476","±2,084","71.3%","±9.0","50,363","±8,625","22,652","±5,267","45.0%","±7.5","20,045","±4,008","12,761","±3,168","63.7%","±8.3","222,154","±17,050","135,858","±12,437","61.2%","±2.7","31,678","±4,977","19,536","±3,265","61.7%","±7.9","27,024","±5,328","15,203","±3,798","56.3%","±7.0","29,467","±3,559","18,477","±3,541","62.7%","±7.5","19,233","±4,135","7,965","±2,060","41.4%","±7.7","16,784","±3,821","10,670","±2,701","63.6%","±7.8","58,863,556","±320,047","37,755,246","±214,053","64.1%","±0.1"
"    At or above 138 percent of the poverty threshold","56,918","±3,433","18,692","±1,876","32.8%","±3.4","108,281","±3,866","33,858","±2,347","31.3%","±2.1","81,750","±4,098","25,057","±3,074","30.7%","±3.5","548,611","±11,833","124,915","±7,450","22.8%","±1.3","47,707","±3,297","16,848","±1,865","35.3%","±4.2","287,823","±7,394","78,440","±5,032","27.3%","±1.6","366,832","±8,283","92,599","±4,851","25.2%","±1.1","69,150","±4,721","21,431","±2,813","31.0%","±2.9","83,647","±2,178","22,033","±2,921","26.3%","±3.5","149,573","±5,411","41,823","±4,080","28.0%","±2.4","57,845","±3,501","16,618","±2,371","28.7%","±4.1","60,246","±2,620","16,836","±2,068","27.9%","±3.4","275,758","±8,459","64,556","±5,435","23.4%","±2.1","76,410","±4,200","29,168","±3,185","38.2%","±3.7","696,127","±17,575","188,497","±11,823","27.1%","±1.5","124,169","±4,935","48,277","±3,535","38.9%","±2.3","161,792","±5,581","42,701","±2,707","26.4%","±1.6","94,866","±3,763","27,339","±2,727","28.8%","±2.6","216,847","±4,282","36,270","±2,465","16.7%","±1.1","126,093","±3,849","36,336","±3,397","28.8%","±2.7","260,361,035","±323,117","75,602,901","±165,164","29.0%","±0.1"
"    Worked full-time, year-round (19-64 years)","21,770","±2,400","1,401","±514","6.4%","±2.2","43,216","±2,676","1,555","±635","3.6%","±1.5","33,897","±2,351","1,435","±657","4.2%","±1.9","278,556","±6,337","13,143","±2,240","4.7%","±0.8","20,005","±2,173","1,278","±549","6.4%","±2.8","126,539","±5,020","5,981","±1,461","4.7%","±1.1","168,134","±4,226","9,395","±1,763","5.6%","±1.0","31,589","±2,450","2,947","±1,080","9.3%","±3.3","36,692","±2,108","2,538","±984","6.9%","±2.8","56,850","±3,417","8,656","±1,990","15.2%","±3.3","24,830","±2,165","1,430","±652","5.8%","±2.6","25,228","±2,229","1,694","±593","6.7%","±2.3","125,706","±4,457","8,029","±2,266","6.4%","±1.8","29,544","±2,433","3,066","±1,099","10.4%","±3.7","313,706","±8,731","24,957","±3,573","8.0%","±1.2","50,484","±2,276","4,799","±1,323","9.5%","±2.6","70,047","±2,610","3,282","±805","4.7%","±1.1","44,259","±2,831","3,361","±1,115","7.6%","±2.4","83,822","±2,806","1,689","±881","2.0%","±1.1","50,699","±3,233","3,863","±1,252","7.6%","±2.4","109,214,198","±121,195","8,067,480","±59,599","7.4%","±0.1"
"    Under 6","4,864","±520","2,136","±673","43.9%","±13.8","7,918","±905","3,140","±1,153","39.7%","±13.4","7,289","±1,021","4,653","±1,343","63.8%","±13.1","53,903","±1,738","24,714","±2,548","45.8%","±4.3","4,145","±582","1,877","±793","45.3%","±19.2","24,181","±1,029","10,798","±1,703","44.7%","±6.7","32,409","±1,335","12,377","±1,825","38.2%","±5.5","6,834","±569","4,409","±869","64.5%","±11.6","7,919","±1,365","2,676","±986","33.8%","±13.1","20,428","±1,060","6,406","±1,331","31.4%","±7.1","4,827","±590","2,595","±741","53.8%","±13.5","5,451","±617","2,607","±805","47.8%","±14.4","24,543","±1,402","10,690","±2,002","43.6%","±7.5","5,797","±712","3,946","±1,011","68.1%","±14.0","77,864","±1,982","35,921","±4,402","46.1%","±5.7","8,818","±477","3,879","±1,046","44.0%","±11.5","14,136","±976","4,662","±1,295","33.0%","±9.1","8,155","±1,098","3,889","±1,359","47.7%","±13.2","16,450","±1,116","1,880","±874","11.4%","±5.3","9,871","±976","4,180","±1,077","42.3%","±9.8","23,282,008","±42,108","9,826,492","±73,182","42.2%","±0.3"
"    6 to 18 years","11,293","±735","4,266","±1,107","37.8%","±9.6","20,736","±1,213","6,309","±1,557","30.4%","±6.8","17,936","±1,151","6,964","±1,536","38.8%","±9.4","98,083","±2,292","38,077","±4,957","38.8%","±4.9","9,415","±667","4,227","±1,072","44.9%","±10.6","57,024","±1,359","16,929","±3,155","29.7%","±5.5","71,408","±1,917","21,312","±2,407","29.8%","±3.4","16,405","±817","7,813","±1,752","47.6%","±10.2","15,258","±1,518","4,141","±1,587","27.1%","±8.6","39,570","±1,718","14,453","±3,023","36.5%","±7.1","12,567","±753","4,960","±1,303","39.5%","±10.5","12,813","±929","4,733","±1,157","36.9%","±8.2","61,908","±1,847","16,329","±4,065","26.4%","±6.7","14,739","±981","7,165","±1,727","48.6%","±11.3","165,962","±3,093","69,252","±6,769","41.7%","±3.9","22,327","±686","10,058","±1,846","45.0%","±8.0","33,369","±1,144","10,185","±2,022","30.5%","±6.0","18,632","±1,853","7,376","±1,815","39.6%","±9.2","52,106","±1,369","6,649","±1,872","12.8%","±3.6","25,481","±1,001","9,017","±2,379","35.4%","±8.8","54,068,424","±63,346","19,618,243","±120,744","36.3%","±0.2"
"    19 to 25 years","5,781","±926","1,363","±796","23.6%","±12.3","9,484","±823","1,179","±536","12.4%","±5.6","8,722","±970","1,064","±667","12.2%","±7.6","73,265","±2,520","6,209","±1,469","8.5%","±2.0","5,636","±643","1,165","±467","20.7%","±8.1","32,484","±1,555","3,861","±986","11.9%","±3.0","55,146","±1,683","5,216","±1,678","9.5%","±2.9","10,189","±1,132","1,885","±721","18.5%","±6.8","8,281","±1,318","1,438","±661","17.4%","±8.4","19,843","±1,940","2,456","±845","12.4%","±4.1","11,288","±1,129","1,257","±608","11.1%","±5.2","4,474","±749","391","±345","8.7%","±7.5","41,350","±2,555","2,716","±988","6.6%","±2.4","8,031","±838","1,374","±940","17.1%","±11.5","87,689","±3,444","15,491","±2,873","17.7%","±3.2","11,170","±828","2,424","±997","21.7%","±8.5","14,630","±1,068","1,556","±738","10.6%","±5.0","15,245","±1,263","2,115","±1,097","13.9%","±7.3","16,115","±1,449","1,776","±968","11.0%","±5.7","10,475","±1,321","1,632","±700","15.6%","±6.5","29,667,712","±59,633","4,978,662","±43,422","16.8%","±0.1"
"    26 to 34 years","8,548","±601","2,473","±882","28.9%","±10.3","14,330","±1,118","2,426","±1,197","16.9%","±8.1","13,161","±960","2,020","±740","15.3%","±5.6","125,496","±2,691","10,763","±2,241","8.6%","±1.8","6,609","±640","860","±483","13.0%","±7.6","47,299","±1,791","5,435","±1,381","11.5%","±2.9","57,737","±1,662","7,413","±1,369","12.8%","±2.3","10,029","±1,097","2,544","±1,070","25.4%","±9.6","11,667","±1,485","1,090","±729","9.3%","±6.0","27,445","±2,481","7,316","±1,791","26.7%","±6.4","8,850","±859","1,557","±631","17.6%","±7.0","8,660","±619","1,533","±730","17.7%","±8.1","41,290","±1,879","5,242","±1,951","12.7%","±4.7","10,517","±1,108","3,163","±1,048","30.1%","±10.4","121,266","±2,951","22,336","±3,044","18.4%","±2.5","17,846","±765","3,197","±1,021","17.9%","±5.8","20,039","±1,143","2,695","±951","13.4%","±4.7","15,290","±1,243","2,400","±1,177","15.7%","±7.5","18,225","±1,269","957","±545","5.3%","±3.0","16,323","±1,659","2,971","±1,237","18.2%","±7.0","39,837,331","±52,474","7,043,779","±47,067","17.7%","±0.1"
"    35 to 44 years","8,328","±521","1,543","±853","18.5%","±10.1","14,374","±418","2,198","±901","15.3%","±6.2","13,749","±1,268","3,106","±1,031","22.6%","±7.6","94,148","±1,049","11,554","±2,477","12.3%","±2.6","7,968","±597","1,181","±667","14.8%","±8.8","45,866","±1,151","5,135","±1,500","11.2%","±3.3","58,721","±1,289","8,281","±1,615","14.1%","±2.7","11,180","±871","1,759","±794","15.7%","±7.2","11,230","±657","1,652","±869","14.7%","±7.3","26,310","±1,863","5,853","±1,432","22.2%","±5.2","9,037","±885","1,449","±565","16.0%","±6.4","9,061","±854","1,111","±605","12.3%","±6.5","46,418","±1,753","7,676","±1,966","16.5%","±4.0","11,096","±577","1,945","±1,076","17.5%","±9.8","114,926","±1,144","17,792","±3,518","15.5%","±3.0","16,994","±616","3,377","±949","19.9%","±5.8","25,585","±1,132","3,272","±1,236","12.8%","±4.8","13,463","±684","1,763","±883","13.1%","±6.7","37,607","±1,434","1,272","±612","3.4%","±1.6","20,476","±1,619","1,948","±687","9.5%","±3.6","41,051,376","±34,501","6,551,625","±51,313","16.0%","±0.1"
"    45 to 54 years","10,675","±692","1,786","±823","16.7%","±7.9","18,373","±669","2,351","±950","12.8%","±5.2","13,996","±692","1,894","±848","13.5%","±6.0","78,723","±907","9,295","±1,580","11.8%","±2.0","9,605","±610","2,136","±773","22.2%","±7.9","44,839","±1,057","5,655","±1,217","12.6%","±2.6","57,057","±1,154","8,283","±1,628","14.5%","±2.9","11,436","±229","1,516","±819","13.3%","±7.1","12,289","±774","1,147","±578","9.3%","±4.8","21,616","±1,040","6,837","±1,334","31.6%","±6.1","9,961","±850","841","±418","8.4%","±4.3","9,556","±583","1,841","±646","19.3%","±6.6","43,028","±1,204","5,782","±1,374","13.4%","±3.2","12,835","±624","2,389","±912","18.6%","±7.4","113,346","±1,166","17,623","±2,518","15.5%","±2.2","22,461","±809","4,483","±1,156","20.0%","±5.1","26,640","±1,590","1,714","±647","6.4%","±2.4","15,953","±769","2,113","±846","13.2%","±5.3","35,016","±1,249","1,106","±579","3.2%","±1.6","19,361","±811","2,556","±963","13.2%","±5.0","40,357,454","±36,371","6,481,034","±50,339","16.1%","±0.1"
"    55 to 64 years","10,700","±401","2,562","±625","23.9%","±5.9","18,718","±559","3,252","±859","17.4%","±4.6","13,882","±486","2,627","±749","18.9%","±5.4","78,122","±671","13,970","±1,985","17.9%","±2.6","9,746","±208","2,602","±750","26.7%","±7.7","48,472","±629","10,459","±1,652","21.6%","±3.4","58,729","±880","11,969","±1,677","20.4%","±2.8","13,877","±392","2,949","±789","21.3%","±5.7","13,344","±868","2,011","±697","15.1%","±5.1","19,590","±697","5,086","±1,083","26.0%","±5.3","9,713","±574","2,015","±935","20.7%","±9.3","9,770","±437","1,505","±533","15.4%","±5.3","36,038","±1,199","5,800","±1,490","16.1%","±4.1","14,456","±394","3,152","±1,020","21.8%","±7.1","115,705","±525","26,191","±2,768","22.6%","±2.4","22,356","±384","6,180","±1,189","27.6%","±5.3","24,975","±679","4,856","±1,038","19.4%","±4.1","17,902","±844","4,630","±1,066","25.9%","±5.4","30,572","±627","1,482","±639","4.8%","±2.1","18,798","±742","3,146","±1,072","16.7%","±5.8","42,073,956","±22,830","9,195,349","±47,462","21.9%","±0.1"
"    65 to 74 years","9,083","±470","8,747","±444","96.3%","±2.4","16,803","±542","15,971","±777","95.0%","±3.6","10,659","±402","10,394","±441","97.5%","±2.1","53,170","±869","49,696","±1,297","93.5%","±2.1","8,728","±361","8,456","±441","96.9%","±2.3","37,242","±546","35,067","±1,028","94.2%","±2.6","44,309","±744","42,255","±853","95.4%","±1.4","10,260","±372","9,693","±511","94.5%","±3.7","9,720","±561","9,532","±505","98.1%","±2.3","12,871","±762","12,597","±830","97.9%","±1.7","7,516","±359","7,417","±374","98.7%","±1.5","6,739","±357","6,412","±314","95.1%","±3.0","22,333","±1,222","20,765","±1,294","93.0%","±2.9","12,468","±393","12,103","±406","97.1%","±2.4","80,175","±936","74,670","±1,467","93.1%","±1.7","19,166","±508","19,047","±518","99.4%","±0.6","17,628","±450","17,154","±514","97.3%","±1.4","13,573","±344","13,326","±381","98.2%","±1.5","20,289","±682","19,161","±849","94.4%","±2.4","14,638","±682","13,803","±853","94.3%","±3.8","31,216,223","±24,889","29,391,999","±36,432","94.2%","±0.1"
"    75 years and over","6,691","±357","6,326","±513","94.5%","±6.2","10,826","±312","10,673","±352","98.6%","±1.4","7,494","±360","7,461","±363","99.6%","±0.7","32,354","±880","31,707","±1,051","98.0%","±1.9","5,839","±288","5,794","±294","99.2%","±1.2","26,248","±862","26,206","±878","99.8%","±0.2","30,028","±676","29,547","±714","98.4%","±0.9","6,394","±537","6,306","±510","98.6%","±2.0","5,656","±529","5,656","±529","100.0%","±3.3","6,856","±509","6,856","±509","100.0%","±2.8","5,564","±505","5,475","±470","98.4%","±2.6","4,274","±305","4,246","±306","99.3%","±1.4","13,077","±675","13,077","±675","100.0%","±1.5","7,255","±282","7,242","±283","99.8%","±0.3","48,542","±655","47,707","±765","98.3%","±0.9","15,386","±393","15,334","±388","99.7%","±0.6","12,538","±676","12,436","±666","99.2%","±1.1","9,117","±367","9,036","±343","99.1%","±1.0","11,613","±301","11,513","±327","99.1%","±1.0","8,017","±700","7,945","±706","99.1%","±1.6","21,566,194","±17,007","21,227,779","±20,794","98.4%","±0.1"
"COVERAGE ALONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Public health insurance alone","(X)","(X)","16,245","±2,629","21.4%","±3.5","(X)","(X)","23,194","±3,249","17.6%","±2.5","(X)","(X)","22,533","±3,130","21.1%","±2.9","(X)","(X)","124,535","±9,153","18.1%","±1.3","(X)","(X)","15,134","±2,474","22.4%","±3.6","(X)","(X)","63,820","±4,829","17.5%","±1.3","(X)","(X)","83,274","±5,945","17.9%","±1.3","(X)","(X)","27,679","±3,408","28.7%","±3.6","(X)","(X)","15,892","±2,971","16.7%","±3.1","(X)","(X)","34,591","±4,409","17.8%","±2.2","(X)","(X)","14,451","±2,599","18.2%","±3.3","(X)","(X)","15,264","±2,425","21.6%","±3.4","(X)","(X)","52,149","±7,934","15.8%","±2.4","(X)","(X)","27,317","±3,961","28.1%","±4.0","(X)","(X)","200,716","±13,951","21.7%","±1.5","(X)","(X)","34,860","±3,902","22.3%","±2.5","(X)","(X)","33,528","±4,345","17.7%","±2.3","(X)","(X)","24,160","±3,648","19.0%","±2.9","(X)","(X)","23,840","±3,196","10.0%","±1.3","(X)","(X)","27,287","±3,710","19.0%","±2.6","(X)","(X)","66,648,290","±271,268","20.6%","±0.1"
"        Medicare coverage alone","(X)","(X)","4,613","±987","6.1%","±1.3","(X)","(X)","8,551","±1,460","6.5%","±1.1","(X)","(X)","5,117","±1,161","4.8%","±1.1","(X)","(X)","33,362","±2,906","4.9%","±0.4","(X)","(X)","6,140","±1,079","9.1%","±1.6","(X)","(X)","23,355","±2,817","6.4%","±0.8","(X)","(X)","26,342","±2,364","5.7%","±0.5","(X)","(X)","7,828","±1,357","8.1%","±1.4","(X)","(X)","5,362","±1,194","5.6%","±1.3","(X)","(X)","6,540","±1,298","3.4%","±0.7","(X)","(X)","4,366","±973","5.5%","±1.2","(X)","(X)","5,525","±1,072","7.8%","±1.5","(X)","(X)","13,267","±1,801","4.0%","±0.5","(X)","(X)","9,739","±1,731","10.0%","±1.8","(X)","(X)","46,096","±3,831","5.0%","±0.4","(X)","(X)","12,298","±1,624","7.9%","±1.0","(X)","(X)","12,956","±1,769","6.8%","±0.9","(X)","(X)","7,960","±1,397","6.3%","±1.1","(X)","(X)","12,061","±2,043","5.1%","±0.9","(X)","(X)","8,049","±1,431","5.6%","±1.0","(X)","(X)","18,577,302","±74,794","5.7%","±0.1"
