"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Male!!Estimate","DeSoto County, Mississippi!!Male!!Margin of Error","DeSoto County, Mississippi!!Percent Male!!Estimate","DeSoto County, Mississippi!!Percent Male!!Margin of Error","DeSoto County, Mississippi!!Female!!Estimate","DeSoto County, Mississippi!!Female!!Margin of Error","DeSoto County, Mississippi!!Percent Female!!Estimate","DeSoto County, Mississippi!!Percent Female!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Male!!Estimate","Forrest County, Mississippi!!Male!!Margin of Error","Forrest County, Mississippi!!Percent Male!!Estimate","Forrest County, Mississippi!!Percent Male!!Margin of Error","Forrest County, Mississippi!!Female!!Estimate","Forrest County, Mississippi!!Female!!Margin of Error","Forrest County, Mississippi!!Percent Female!!Estimate","Forrest County, Mississippi!!Percent Female!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Male!!Estimate","Harrison County, Mississippi!!Male!!Margin of Error","Harrison County, Mississippi!!Percent Male!!Estimate","Harrison County, Mississippi!!Percent Male!!Margin of Error","Harrison County, Mississippi!!Female!!Estimate","Harrison County, Mississippi!!Female!!Margin of Error","Harrison County, Mississippi!!Percent Female!!Estimate","Harrison County, Mississippi!!Percent Female!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Male!!Estimate","Hinds County, Mississippi!!Male!!Margin of Error","Hinds County, Mississippi!!Percent Male!!Estimate","Hinds County, Mississippi!!Percent Male!!Margin of Error","Hinds County, Mississippi!!Female!!Estimate","Hinds County, Mississippi!!Female!!Margin of Error","Hinds County, Mississippi!!Percent Female!!Estimate","Hinds County, Mississippi!!Percent Female!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Male!!Estimate","Jackson County, Mississippi!!Male!!Margin of Error","Jackson County, Mississippi!!Percent Male!!Estimate","Jackson County, Mississippi!!Percent Male!!Margin of Error","Jackson County, Mississippi!!Female!!Estimate","Jackson County, Mississippi!!Female!!Margin of Error","Jackson County, Mississippi!!Percent Female!!Estimate","Jackson County, Mississippi!!Percent Female!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Male!!Estimate","Jones County, Mississippi!!Male!!Margin of Error","Jones County, Mississippi!!Percent Male!!Estimate","Jones County, Mississippi!!Percent Male!!Margin of Error","Jones County, Mississippi!!Female!!Estimate","Jones County, Mississippi!!Female!!Margin of Error","Jones County, Mississippi!!Percent Female!!Estimate","Jones County, Mississippi!!Percent Female!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Male!!Estimate","Lauderdale County, Mississippi!!Male!!Margin of Error","Lauderdale County, Mississippi!!Percent Male!!Estimate","Lauderdale County, Mississippi!!Percent Male!!Margin of Error","Lauderdale County, Mississippi!!Female!!Estimate","Lauderdale County, Mississippi!!Female!!Margin of Error","Lauderdale County, Mississippi!!Percent Female!!Estimate","Lauderdale County, Mississippi!!Percent Female!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Male!!Estimate","Lee County, Mississippi!!Male!!Margin of Error","Lee County, Mississippi!!Percent Male!!Estimate","Lee County, Mississippi!!Percent Male!!Margin of Error","Lee County, Mississippi!!Female!!Estimate","Lee County, Mississippi!!Female!!Margin of Error","Lee County, Mississippi!!Percent Female!!Estimate","Lee County, Mississippi!!Percent Female!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Male!!Estimate","Madison County, Mississippi!!Male!!Margin of Error","Madison County, Mississippi!!Percent Male!!Estimate","Madison County, Mississippi!!Percent Male!!Margin of Error","Madison County, Mississippi!!Female!!Estimate","Madison County, Mississippi!!Female!!Margin of Error","Madison County, Mississippi!!Percent Female!!Estimate","Madison County, Mississippi!!Percent Female!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Male!!Estimate","Rankin County, Mississippi!!Male!!Margin of Error","Rankin County, Mississippi!!Percent Male!!Estimate","Rankin County, Mississippi!!Percent Male!!Margin of Error","Rankin County, Mississippi!!Female!!Estimate","Rankin County, Mississippi!!Female!!Margin of Error","Rankin County, Mississippi!!Percent Female!!Estimate","Rankin County, Mississippi!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"            Community and social service occupations","2,068","±1,059","655","±512","31.7%","±19.8","1,413","±828","68.3%","±19.8","423","±291","0","±226","0.0%","±36.8","423","±291","100.0%","±36.8","1,421","±674","578","±372","40.7%","±25.5","843","±598","59.3%","±25.5","2,227","±757","809","±431","36.3%","±20.5","1,418","±775","63.7%","±20.5","944","±451","390","±310","41.3%","±28.4","554","±389","58.7%","±28.4","N","N","N","N","N","N","N","N","N","N","625","±390","366","±319","58.6%","±32.6","259","±244","41.4%","±32.6","613","±379","96","±105","15.7%","±19.1","517","±379","84.3%","±19.1","1,737","±843","125","±164","7.2%","±9.8","1,612","±818","92.8%","±9.8","1,192","±550","507","±318","42.5%","±24.9","685","±483","57.5%","±24.9","2,865,705","±30,703","957,889","±17,243","33.4%","±0.5","1,907,816","±25,661","66.6%","±0.5"
"            Legal occupations","698","±585","253","±413","36.2%","±44.3","445","±425","63.8%","±44.3","151","±165","151","±165","100.0%","±61.7","0","±226","0.0%","±61.7","532","±398","139","±166","26.1%","±26.1","393","±325","73.9%","±26.1","1,107","±655","566","±355","51.1%","±31.0","541","±539","48.9%","±31.0","767","±785","187","±206","24.4%","±36.2","580","±745","75.6%","±36.2","N","N","N","N","N","N","N","N","N","N","0","±226","0","±226","-","**","0","±226","-","**","122","±196","0","±226","0.0%","±68.7","122","±196","100.0%","±68.7","1,129","±547","609","±362","53.9%","±27.9","520","±457","46.1%","±27.9","1,002","±463","706","±396","70.5%","±21.1","296","±246","29.5%","±21.1","1,804,178","±26,139","848,904","±14,737","47.1%","±0.5","955,274","±17,736","52.9%","±0.5"
"            Educational instruction, and library occupations","6,777","±1,628","1,326","±660","19.6%","±8.6","5,451","±1,460","80.4%","±8.6","2,162","±904","444","±270","20.5%","±11.9","1,718","±816","79.5%","±11.9","6,563","±1,726","765","±395","11.7%","±6.5","5,798","±1,746","88.3%","±6.5","6,243","±1,312","1,367","±524","21.9%","±7.3","4,876","±1,146","78.1%","±7.3","3,607","±1,280","784","±536","21.7%","±12.2","2,823","±1,027","78.3%","±12.2","N","N","N","N","N","N","N","N","N","N","2,306","±969","248","±276","10.8%","±10.9","2,058","±874","89.2%","±10.9","1,660","±629","868","±562","52.3%","±20.7","792","±355","47.7%","±20.7","3,834","±1,125","665","±398","17.3%","±10.5","3,169","±1,100","82.7%","±10.5","4,408","±1,453","1,236","±938","28.0%","±15.8","3,172","±1,018","72.0%","±15.8","9,822,473","±64,716","2,609,122","±32,779","26.6%","±0.3","7,213,351","±49,329","73.4%","±0.3"
"            Arts, design, entertainment, sports, and media occupations","471","±285","130","±128","27.6%","±30.2","341","±282","72.4%","±30.2","469","±433","142","±195","30.3%","±36.3","327","±377","69.7%","±36.3","928","±533","157","±144","16.9%","±19.2","771","±530","83.1%","±19.2","1,262","±635","796","±546","63.1%","±20.0","466","±270","36.9%","±20.0","865","±603","394","±410","45.5%","±35.9","471","±429","54.5%","±35.9","N","N","N","N","N","N","N","N","N","N","675","±567","264","±270","39.1%","±39.7","411","±482","60.9%","±39.7","391","±279","179","±190","45.8%","±36.5","212","±205","54.2%","±36.5","1,033","±599","289","±242","28.0%","±25.0","744","±561","72.0%","±25.0","1,307","±808","706","±689","54.0%","±32.7","601","±421","46.0%","±32.7","3,248,972","±35,077","1,656,817","±24,273","51.0%","±0.5","1,592,155","±24,183","49.0%","±0.5"
"        Healthcare practitioners and technical occupations:","6,355","±1,526","1,094","±487","17.2%","±7.3","5,261","±1,432","82.8%","±7.3","3,600","±1,221","590","±367","16.4%","±11.0","3,010","±1,225","83.6%","±11.0","7,115","±1,357","1,753","±600","24.6%","±7.9","5,362","±1,283","75.4%","±7.9","6,769","±1,617","1,599","±730","23.6%","±9.3","5,170","±1,402","76.4%","±9.3","5,223","±1,496","619","±481","11.9%","±8.3","4,604","±1,378","88.1%","±8.3","N","N","N","N","N","N","N","N","N","N","4,045","±1,209","828","±474","20.5%","±11.1","3,217","±1,124","79.5%","±11.1","4,129","±1,066","916","±429","22.2%","±9.7","3,213","±966","77.8%","±9.7","4,352","±1,255","993","±486","22.8%","±8.5","3,359","±1,015","77.2%","±8.5","7,202","±1,641","1,160","±516","16.1%","±7.2","6,042","±1,574","83.9%","±7.2","9,757,087","±63,433","2,443,664","±27,795","25.0%","±0.2","7,313,423","±49,031","75.0%","±0.2"
"            Health diagnosing and treating practitioners and other technical occupations","5,082","±1,375","729","±462","14.3%","±8.5","4,353","±1,279","85.7%","±8.5","1,694","±759","382","±276","22.6%","±16.8","1,312","±725","77.4%","±16.8","4,173","±1,157","986","±427","23.6%","±10.0","3,187","±1,078","76.4%","±10.0","5,377","±1,327","1,307","±577","24.3%","±10.3","4,070","±1,239","75.7%","±10.3","2,953","±1,252","418","±451","14.2%","±13.0","2,535","±1,077","85.8%","±13.0","N","N","N","N","N","N","N","N","N","N","2,380","±905","301","±264","12.6%","±12.2","2,079","±923","87.4%","±12.2","3,392","±1,098","818","±400","24.1%","±11.6","2,574","±1,008","75.9%","±11.6","3,671","±1,100","853","±428","23.2%","±8.9","2,818","±882","76.8%","±8.9","5,320","±1,422","948","±494","17.8%","±9.4","4,372","±1,380","82.2%","±9.4","6,648,380","±52,715","1,705,244","±20,935","25.6%","±0.2","4,943,136","±41,173","74.4%","±0.2"
"            Health technologists and technicians","1,273","±567","365","±295","28.7%","±19.9","908","±471","71.3%","±19.9","1,906","±1,028","208","±192","10.9%","±10.0","1,698","±975","89.1%","±10.0","2,942","±879","767","±456","26.1%","±13.3","2,175","±771","73.9%","±13.3","1,392","±636","292","±352","21.0%","±22.7","1,100","±558","79.0%","±22.7","2,270","±846","201","±245","8.9%","±10.6","2,069","±830","91.1%","±10.6","N","N","N","N","N","N","N","N","N","N","1,665","±744","527","±393","31.7%","±21.0","1,138","±650","68.3%","±21.0","737","±517","98","±178","13.3%","±19.9","639","±429","86.7%","±19.9","681","±494","140","±233","20.6%","±32.2","541","±445","79.4%","±32.2","1,882","±1,170","212","±216","11.3%","±12.5","1,670","±1,143","88.7%","±12.5","3,108,707","±35,256","738,420","±17,398","23.8%","±0.5","2,370,287","±28,609","76.2%","±0.5"
"    Service occupations:","11,056","±2,364","5,149","±1,556","46.6%","±7.7","5,907","±1,323","53.4%","±7.7","6,988","±1,699","4,071","±1,332","58.3%","±12.3","2,917","±1,077","41.7%","±12.3","18,010","±3,163","7,986","±2,203","44.3%","±8.9","10,024","±2,341","55.7%","±8.9","25,801","±2,890","9,959","±1,894","38.6%","±5.7","15,842","±2,233","61.4%","±5.7","12,117","±1,904","6,801","±1,384","56.1%","±7.5","5,316","±1,248","43.9%","±7.5","N","N","N","N","N","N","N","N","N","N","7,301","±1,632","2,496","±964","34.2%","±10.2","4,805","±1,236","65.8%","±10.2","5,594","±1,473","1,622","±702","29.0%","±11.9","3,972","±1,354","71.0%","±11.9","7,529","±1,629","2,883","±1,057","38.3%","±11.3","4,646","±1,325","61.7%","±11.3","10,375","±2,383","4,388","±1,547","42.3%","±11.3","5,987","±1,796","57.7%","±11.3","28,093,795","±121,507","12,056,105","±71,663","42.9%","±0.2","16,037,690","±85,499","57.1%","±0.2"
"        Healthcare support occupations","1,319","±630","0","±226","0.0%","±14.8","1,319","±630","100.0%","±14.8","652","±605","194","±230","29.8%","±36.7","458","±534","70.2%","±36.7","2,513","±977","35","±60","1.4%","±2.6","2,478","±982","98.6%","±2.6","5,435","±1,642","860","±764","15.8%","±12.7","4,575","±1,406","84.2%","±12.7","1,339","±763","169","±206","12.6%","±16.0","1,170","±733","87.4%","±16.0","N","N","N","N","N","N","N","N","N","N","1,598","±894","204","±305","12.8%","±18.3","1,394","±823","87.2%","±18.3","636","±664","0","±226","0.0%","±27.7","636","±664","100.0%","±27.7","1,906","±990","45","±80","2.4%","±4.0","1,861","±966","97.6%","±4.0","631","±450","0","±226","0.0%","±27.9","631","±450","100.0%","±27.9","5,348,914","±47,116","772,508","±17,331","14.4%","±0.3","4,576,406","±41,253","85.6%","±0.3"
"        Protective service occupations:","2,311","±1,096","1,724","±811","74.6%","±18.9","587","±572","25.4%","±18.9","535","±427","535","±427","100.0%","±31.6","0","±226","0.0%","±31.6","2,966","±1,142","2,434","±1,029","82.1%","±14.4","532","±449","17.9%","±14.4","3,027","±1,438","1,868","±1,213","61.7%","±22.9","1,159","±784","38.3%","±22.9","1,862","±817","1,660","±767","89.2%","±12.5","202","±248","10.8%","±12.5","N","N","N","N","N","N","N","N","N","N","1,386","±1,088","954","±750","68.8%","±28.1","432","±562","31.2%","±28.1","586","±485","586","±485","100.0%","±29.5","0","±226","0.0%","±29.5","1,468","±692","942","±549","64.2%","±25.5","526","±475","35.8%","±25.5","1,537","±887","1,531","±889","99.6%","±0.8","6","±11","0.4%","±0.8","3,447,960","±31,694","2,625,965","±27,195","76.2%","±0.4","821,995","±16,694","23.8%","±0.4"
"            Firefighting and prevention, and other protective service workers including supervisors","1,282","±664","1,034","±592","80.7%","±17.9","248","±256","19.3%","±17.9","252","±316","252","±316","100.0%","±47.8","0","±226","0.0%","±47.8","2,382","±1,107","1,890","±994","79.3%","±18.3","492","±439","20.7%","±18.3","1,010","±700","304","±212","30.1%","±27.8","706","±662","69.9%","±27.8","983","±595","781","±564","79.5%","±24.5","202","±248","20.5%","±24.5","N","N","N","N","N","N","N","N","N","N","687","±814","321","±320","46.7%","±27.0","366","±541","53.3%","±27.0","339","±344","339","±344","100.0%","±41.2","0","±226","0.0%","±41.2","702","±505","304","±320","43.3%","±36.6","398","±395","56.7%","±36.6","816","±590","816","±590","100.0%","±22.7","0","±226","0.0%","±22.7","1,935,137","±26,072","1,420,143","±22,072","73.4%","±0.6","514,994","±12,757","26.6%","±0.6"
"            Law enforcement workers including supervisors","1,029","±796","690","±521","67.1%","±37.3","339","±510","32.9%","±37.3","283","±312","283","±312","100.0%","±45.1","0","±226","0.0%","±45.1","584","±368","544","±348","93.2%","±11.8","40","±70","6.8%","±11.8","2,017","±1,281","1,564","±1,206","77.5%","±22.4","453","±425","22.5%","±22.4","879","±517","879","±517","100.0%","±21.3","0","±226","0.0%","±21.3","N","N","N","N","N","N","N","N","N","N","699","±684","633","±672","90.6%","±20.7","66","±114","9.4%","±20.7","247","±304","247","±304","100.0%","±48.2","0","±226","0.0%","±48.2","766","±492","638","±451","83.3%","±27.1","128","±229","16.7%","±27.1","721","±631","715","±631","99.2%","±1.9","6","±11","0.8%","±1.9","1,512,823","±20,308","1,205,822","±17,057","79.7%","±0.6","307,001","±10,504","20.3%","±0.6"
"        Food preparation and serving related occupations","3,441","±1,009","1,169","±524","34.0%","±12.4","2,272","±816","66.0%","±12.4","3,857","±1,398","2,562","±1,090","66.4%","±14.0","1,295","±680","33.6%","±14.0","7,736","±2,092","3,370","±1,400","43.6%","±13.1","4,366","±1,518","56.4%","±13.1","8,791","±1,800","3,778","±998","43.0%","±7.8","5,013","±1,276","57.0%","±7.8","4,626","±1,446","2,597","±981","56.1%","±14.5","2,029","±978","43.9%","±14.5","N","N","N","N","N","N","N","N","N","N","1,552","±763","535","±507","34.5%","±20.8","1,017","±454","65.5%","±20.8","1,758","±1,052","391","±289","22.2%","±19.9","1,367","±1,014","77.8%","±19.9","2,250","±922","1,243","±818","55.2%","±22.3","1,007","±545","44.8%","±22.3","4,278","±1,780","1,753","±1,019","41.0%","±21.3","2,525","±1,479","59.0%","±21.3","9,029,677","±72,157","4,130,552","±42,296","45.7%","±0.3","4,899,125","±47,999","54.3%","±0.3"
"        Building and grounds cleaning and maintenance occupations","2,129","±1,081","1,738","±1,034","81.6%","±17.2","391","±347","18.4%","±17.2","717","±437","340","±336","47.4%","±33.0","377","±306","52.6%","±33.0","1,762","±732","652","±523","37.0%","±24.4","1,110","±599","63.0%","±24.4","6,364","±1,674","3,125","±1,237","49.1%","±13.2","3,239","±1,086","50.9%","±13.2","2,196","±1,057","1,240","±797","56.5%","±20.7","956","±563","43.5%","±20.7","N","N","N","N","N","N","N","N","N","N","2,106","±1,002","658","±465","31.2%","±19.9","1,448","±857","68.8%","±19.9","1,868","±863","548","±377","29.3%","±20.8","1,320","±799","70.7%","±20.8","1,156","±752","545","±492","47.1%","±29.3","611","±515","52.9%","±29.3","1,742","±1,126","991","±913","56.9%","±28.7","751","±556","43.1%","±28.7","5,878,084","±52,679","3,438,608","±39,924","58.5%","±0.5","2,439,476","±34,931","41.5%","±0.5"
"        Personal care and service occupations","1,856","±893","518","±367","27.9%","±14.9","1,338","±701","72.1%","±14.9","1,227","±641","440","±389","35.9%","±29.6","787","±563","64.1%","±29.6","3,033","±1,251","1,495","±883","49.3%","±18.5","1,538","±772","50.7%","±18.5","2,184","±897","328","±312","15.0%","±13.4","1,856","±838","85.0%","±13.4","2,094","±862","1,135","±633","54.2%","±20.6","959","±561","45.8%","±20.6","N","N","N","N","N","N","N","N","N","N","659","±519","145","±234","22.0%","±36.7","514","±499","78.0%","±36.7","746","±478","97","±155","13.0%","±18.2","649","±403","87.0%","±18.2","749","±451","108","±120","14.4%","±17.6","641","±440","85.6%","±17.6","2,187","±999","113","±143","5.2%","±6.4","2,074","±961","94.8%","±6.4","4,389,160","±39,784","1,088,472","±21,550","24.8%","±0.4","3,300,688","±33,305","75.2%","±0.4"
"    Sales and office occupations:","21,487","±2,548","7,442","±1,644","34.6%","±6.2","14,045","±2,066","65.4%","±6.2","7,795","±1,652","2,740","±964","35.2%","±11.4","5,055","±1,528","64.8%","±11.4","19,583","±2,600","5,971","±1,531","30.5%","±6.4","13,612","±2,128","69.5%","±6.4","18,713","±2,161","4,819","±1,136","25.8%","±5.6","13,894","±1,971","74.2%","±5.6","12,304","±2,387","3,850","±1,225","31.3%","±7.9","8,454","±1,890","68.7%","±7.9","N","N","N","N","N","N","N","N","N","N","4,972","±1,303","1,404","±806","28.2%","±12.9","3,568","±1,009","71.8%","±12.9","9,057","±1,483","3,774","±870","41.7%","±7.9","5,283","±1,202","58.3%","±7.9","8,910","±1,719","4,481","±1,330","50.3%","±9.4","4,429","±1,055","49.7%","±9.4","17,262","±2,859","6,857","±1,970","39.7%","±8.3","10,405","±2,001","60.3%","±8.3","32,354,582","±110,360","11,951,048","±64,927","36.9%","±0.1","20,403,534","±82,217","63.1%","±0.1"
"        Sales and related occupations","9,249","±1,485","4,192","±1,158","45.3%","±10.9","5,057","±1,351","54.7%","±10.9","3,010","±1,156","1,236","±604","41.1%","±21.7","1,774","±1,157","58.9%","±21.7","9,837","±2,157","3,774","±1,297","38.4%","±9.7","6,063","±1,588","61.6%","±9.7","8,115","±1,429","2,621","±782","32.3%","±9.2","5,494","±1,340","67.7%","±9.2","5,503","±1,636","3,088","±1,165","56.1%","±11.3","2,415","±883","43.9%","±11.3","N","N","N","N","N","N","N","N","N","N","2,098","±948","1,070","±730","51.0%","±19.0","1,028","±461","49.0%","±19.0","5,498","±1,414","2,693","±768","49.0%","±11.5","2,805","±1,090","51.0%","±11.5","5,945","±1,436","3,944","±1,190","66.3%","±10.3","2,001","±734","33.7%","±10.3","6,757","±1,828","3,951","±1,538","58.5%","±14.6","2,806","±1,155","41.5%","±14.6","15,514,456","±80,116","7,652,450","±54,915","49.3%","±0.2","7,862,006","±54,383","50.7%","±0.2"
"        Office and administrative support occupations","12,238","±2,112","3,250","±998","26.6%","±6.8","8,988","±1,792","73.4%","±6.8","4,785","±1,386","1,504","±806","31.4%","±13.7","3,281","±1,121","68.6%","±13.7","9,746","±2,008","2,197","±953","22.5%","±8.4","7,549","±1,714","77.5%","±8.4","10,598","±1,678","2,198","±791","20.7%","±7.1","8,400","±1,578","79.3%","±7.1","6,801","±1,911","762","±509","11.2%","±6.3","6,039","±1,695","88.8%","±6.3","N","N","N","N","N","N","N","N","N","N","2,874","±936","334","±296","11.6%","±9.5","2,540","±901","88.4%","±9.5","3,559","±974","1,081","±435","30.4%","±9.7","2,478","±790","69.6%","±9.7","2,965","±1,048","537","±453","18.1%","±12.9","2,428","±865","81.9%","±12.9","10,505","±2,163","2,906","±1,098","27.7%","±8.7","7,599","±1,789","72.3%","±8.7","16,840,126","±82,853","4,298,598","±44,607","25.5%","±0.2","12,541,528","±65,457","74.5%","±0.2"
"    Natural resources, construction, and maintenance occupations:","6,579","±1,400","6,579","±1,400","100.0%","±3.2","0","±226","0.0%","±3.2","2,861","±832","2,724","±839","95.2%","±6.5","137","±180","4.8%","±6.5","8,364","±2,073","8,045","±2,028","96.2%","±4.7","319","±401","3.8%","±4.7","7,115","±1,590","6,600","±1,582","92.8%","±5.9","515","±417","7.2%","±5.9","8,109","±1,603","7,606","±1,546","93.8%","±5.7","503","±478","6.2%","±5.7","N","N","N","N","N","N","N","N","N","N","2,612","±812","2,388","±768","91.4%","±11.8","224","±325","8.6%","±11.8","2,864","±905","2,810","±901","98.1%","±3.2","54","±89","1.9%","±3.2","2,459","±1,054","1,986","±789","80.8%","±17.2","473","±505","19.2%","±17.2","9,622","±1,759","8,709","±1,609","90.5%","±7.8","913","±798","9.5%","±7.8","14,041,340","±80,258","13,322,201","±74,148","94.9%","±0.1","719,139","±17,747","5.1%","±0.1"
"        Farming, fishing, and forestry occupations","226","±226","226","±226","100.0%","±50.4","0","±226","0.0%","±50.4","0","±226","0","±226","-","**","0","±226","-","**","552","±421","552","±421","100.0%","±30.9","0","±226","0.0%","±30.9","100","±114","64","±96","64.0%","±55.3","36","±60","36.0%","±55.3","0","±226","0","±226","-","**","0","±226","-","**","N","N","N","N","N","N","N","N","N","N","0","±226","0","±226","-","**","0","±226","-","**","0","±226","0","±226","-","**","0","±226","-","**","0","±226","0","±226","-","**","0","±226","-","**","599","±645","200","±239","33.4%","±54.5","399","±612","66.6%","±54.5","997,360","±22,540","755,724","±17,858","75.8%","±0.8","241,636","±10,093","24.2%","±0.8"
"        Construction and extraction occupations","2,605","±716","2,605","±716","100.0%","±7.8","0","±226","0.0%","±7.8","1,098","±592","1,042","±611","94.9%","±11.0","56","±106","5.1%","±11.0","4,485","±1,613","4,383","±1,614","97.7%","±4.3","102","±190","2.3%","±4.3","4,263","±1,154","4,060","±1,137","95.2%","±5.1","203","±216","4.8%","±5.1","4,616","±1,301","4,113","±1,233","89.1%","±9.8","503","±478","10.9%","±9.8","N","N","N","N","N","N","N","N","N","N","1,849","±834","1,625","±757","87.9%","±16.4","224","±325","12.1%","±16.4","1,329","±588","1,275","±561","95.9%","±6.3","54","±89","4.1%","±6.3","1,531","±892","1,058","±556","69.1%","±23.9","473","±505","30.9%","±23.9","4,085","±1,035","3,911","±1,083","95.7%","±7.5","174","±299","4.3%","±7.5","8,181,101","±69,175","7,903,132","±66,930","96.6%","±0.1","277,969","±12,527","3.4%","±0.1"
"        Installation, maintenance, and repair occupations","3,748","±1,171","3,748","±1,171","100.0%","±5.5","0","±226","0.0%","±5.5","1,763","±709","1,682","±714","95.4%","±9.0","81","±146","4.6%","±9.0","3,327","±1,191","3,110","±1,164","93.5%","±11.1","217","±372","6.5%","±11.1","2,752","±1,162","2,476","±1,111","90.0%","±11.7","276","±326","10.0%","±11.7","3,493","±913","3,493","±913","100.0%","±5.9","0","±226","0.0%","±5.9","N","N","N","N","N","N","N","N","N","N","763","±405","763","±405","100.0%","±24.0","0","±226","0.0%","±24.0","1,535","±692","1,535","±692","100.0%","±12.9","0","±226","0.0%","±12.9","928","±590","928","±590","100.0%","±20.3","0","±226","0.0%","±20.3","4,938","±1,475","4,598","±1,430","93.1%","±9.3","340","±460","6.9%","±9.3","4,862,879","±37,870","4,663,345","±36,044","95.9%","±0.2","199,534","±9,833","4.1%","±0.2"
"    Production, transportation, and material moving occupations:","18,435","±2,124","14,655","±1,860","79.5%","±5.6","3,780","±1,184","20.5%","±5.6","4,630","±1,459","3,543","±1,327","76.5%","±17.9","1,087","±906","23.5%","±17.9","10,516","±2,014","9,021","±2,008","85.8%","±7.3","1,495","±771","14.2%","±7.3","17,710","±2,461","13,849","±2,015","78.2%","±6.6","3,861","±1,405","21.8%","±6.6","8,244","±1,737","6,998","±1,654","84.9%","±6.3","1,246","±531","15.1%","±6.3","N","N","N","N","N","N","N","N","N","N","4,438","±1,429","3,537","±1,182","79.7%","±12.6","901","±674","20.3%","±12.6","8,890","±1,626","6,489","±1,226","73.0%","±8.1","2,401","±942","27.0%","±8.1","7,590","±1,858","5,775","±1,677","76.1%","±9.4","1,815","±790","23.9%","±9.4","7,439","±1,976","5,878","±1,691","79.0%","±11.0","1,561","±943","21.0%","±11.0","21,001,720","±75,670","15,889,851","±63,222","75.7%","±0.2","5,111,869","±45,419","24.3%","±0.2"
"        Production occupations","6,925","±1,507","4,959","±1,312","71.6%","±11.7","1,966","±944","28.4%","±11.7","2,246","±1,142","1,335","±730","59.4%","±28.5","911","±885","40.6%","±28.5","5,358","±1,567","4,390","±1,446","81.9%","±10.9","968","±627","18.1%","±10.9","7,649","±1,994","4,998","±1,481","65.3%","±12.5","2,651","±1,263","34.7%","±12.5","4,087","±1,163","3,323","±1,064","81.3%","±10.1","764","±437","18.7%","±10.1","N","N","N","N","N","N","N","N","N","N","2,553","±1,170","1,905","±977","74.6%","±22.1","648","±674","25.4%","±22.1","5,299","±1,417","3,442","±1,155","65.0%","±11.6","1,857","±740","35.0%","±11.6","2,575","±1,091","1,498","±851","58.2%","±17.5","1,077","±570","41.8%","±17.5","2,792","±1,125","2,240","±1,003","80.2%","±17.8","552","±539","19.8%","±17.8","8,871,933","±54,084","6,259,878","±44,482","70.6%","±0.3","2,612,055","±29,335","29.4%","±0.3"
"        Transportation occupations","5,463","±1,473","4,865","±1,352","89.1%","±7.4","598","±437","10.9%","±7.4","1,282","±825","1,233","±840","96.2%","±7.9","49","±94","3.8%","±7.9","2,567","±1,304","2,290","±1,227","89.2%","±13.2","277","±346","10.8%","±13.2","4,425","±1,297","4,233","±1,269","95.7%","±4.2","192","±191","4.3%","±4.2","2,782","±1,197","2,584","±1,157","92.9%","±8.1","198","±217","7.1%","±8.1","N","N","N","N","N","N","N","N","N","N","1,242","±647","1,204","±638","96.9%","±5.9","38","±69","3.1%","±5.9","2,675","±987","2,306","±786","86.2%","±12.7","369","±410","13.8%","±12.7","2,466","±1,380","2,183","±1,396","88.5%","±15.1","283","±309","11.5%","±15.1","3,166","±1,171","2,719","±1,022","85.9%","±17.0","447","±593","14.1%","±17.0","6,260,219","±47,639","5,317,943","±40,724","84.9%","±0.3","942,276","±21,129","15.1%","±0.3"
