"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!With a disability!!Estimate","DeSoto County, Mississippi!!With a disability!!Margin of Error","DeSoto County, Mississippi!!Percent with a disability!!Estimate","DeSoto County, Mississippi!!Percent with a disability!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!With a disability!!Estimate","Forrest County, Mississippi!!With a disability!!Margin of Error","Forrest County, Mississippi!!Percent with a disability!!Estimate","Forrest County, Mississippi!!Percent with a disability!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!With a disability!!Estimate","Harrison County, Mississippi!!With a disability!!Margin of Error","Harrison County, Mississippi!!Percent with a disability!!Estimate","Harrison County, Mississippi!!Percent with a disability!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!With a disability!!Estimate","Hinds County, Mississippi!!With a disability!!Margin of Error","Hinds County, Mississippi!!Percent with a disability!!Estimate","Hinds County, Mississippi!!Percent with a disability!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!With a disability!!Estimate","Jackson County, Mississippi!!With a disability!!Margin of Error","Jackson County, Mississippi!!Percent with a disability!!Estimate","Jackson County, Mississippi!!Percent with a disability!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!With a disability!!Estimate","Jones County, Mississippi!!With a disability!!Margin of Error","Jones County, Mississippi!!Percent with a disability!!Estimate","Jones County, Mississippi!!Percent with a disability!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!With a disability!!Estimate","Lauderdale County, Mississippi!!With a disability!!Margin of Error","Lauderdale County, Mississippi!!Percent with a disability!!Estimate","Lauderdale County, Mississippi!!Percent with a disability!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!With a disability!!Estimate","Lee County, Mississippi!!With a disability!!Margin of Error","Lee County, Mississippi!!Percent with a disability!!Estimate","Lee County, Mississippi!!Percent with a disability!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!With a disability!!Estimate","Madison County, Mississippi!!With a disability!!Margin of Error","Madison County, Mississippi!!Percent with a disability!!Estimate","Madison County, Mississippi!!Percent with a disability!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!With a disability!!Estimate","Rankin County, Mississippi!!With a disability!!Margin of Error","Rankin County, Mississippi!!Percent with a disability!!Estimate","Rankin County, Mississippi!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,143,634","±121,900","1,357,581","±26,319","8.4%","±0.2"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","9,395","±2,577","1,398","±688","14.9%","±6.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,138,138","±119,104","1,226,192","±23,616","11.0%","±0.2"
"        White alone, not Hispanic or Latino","113,785","±501","15,519","±2,098","13.6%","±1.8","42,289","±311","9,457","±1,544","22.4%","±3.7","126,385","±981","25,305","±3,010","20.0%","±2.4","54,215","±479","9,014","±1,405","16.6%","±2.6","95,622","±678","18,790","±2,184","19.7%","±2.3","43,215","±437","7,438","±1,571","17.2%","±3.6","36,249","±896","7,803","±1,679","21.5%","±4.4","54,437","±418","10,986","±1,796","20.2%","±3.3","58,089","±375","6,520","±1,639","11.2%","±2.8","110,865","±1,098","16,216","±2,530","14.6%","±2.3","194,023,129","±29,680","27,321,676","±104,964","14.1%","±0.1"
"        Hispanic or Latino (of any race)","9,415","±2","885","±515","9.4%","±5.5","N","N","N","N","N","N","10,892","±376","873","±466","8.0%","±4.2","N","N","N","N","N","N","9,757","±105","1,036","±597","10.6%","±6.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","59,686,770","±16,460","5,405,562","±47,616","9.1%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","11,539","±200","0","±226","0.0%","±1.8","4,733","±3","265","±399","5.6%","±8.4","13,546","±1,054","139","±177","1.0%","±1.3","14,830","±622","321","±344","2.2%","±2.3","7,745","±547","520","±564","6.7%","±7.3","4,415","±438","0","±226","0.0%","±4.7","4,616","±190","150","±260","3.2%","±5.7","5,718","±356","0","±226","0.0%","±3.6","6,279","±237","0","±226","0.0%","±3.3","9,222","±434","220","±358","2.4%","±3.9","19,401,454","±22,231","138,659","±7,336","0.7%","±0.1"
"        5 to 17 years","35,300","±232","1,960","±911","5.6%","±2.6","12,097","±412","1,360","±711","11.2%","±5.9","35,762","±1,058","4,517","±1,315","12.6%","±3.7","40,006","±728","2,721","±898","6.8%","±2.3","25,427","±547","2,203","±968","8.7%","±3.8","12,590","±440","1,465","±669","11.6%","±5.3","12,645","±198","943","±615","7.5%","±4.8","15,542","±359","727","±504","4.7%","±3.3","19,962","±249","604","±502","3.0%","±2.5","26,119","±445","1,437","±783","5.5%","±3.0","53,433,593","±32,613","3,006,292","±34,953","5.6%","±0.1"
"        18 to 34 years","39,935","±1,006","2,675","±818","6.7%","±2.1","21,192","±949","2,107","±944","9.9%","±4.4","41,882","±1,921","3,824","±1,481","9.1%","±3.4","58,305","±608","4,382","±1,307","7.5%","±2.2","28,431","±1,395","3,477","±1,454","12.2%","±5.0","15,045","±1,370","977","±687","6.5%","±4.4","12,931","±1,415","2,268","±1,030","17.5%","±7.4","17,674","±513","1,623","±713","9.2%","±4.1","22,109","±983","755","±435","3.4%","±1.9","33,002","±1,906","2,197","±1,061","6.7%","±3.3","74,020,428","±40,229","4,970,992","±46,138","6.7%","±0.1"
"        35 to 64 years","72,655","±1,020","6,874","±1,408","9.5%","±1.9","25,963","±763","7,416","±1,312","28.6%","±4.9","76,550","±1,670","14,920","±2,304","19.5%","±3.1","83,141","±345","13,024","±1,728","15.7%","±2.1","56,351","±1,715","11,986","±1,956","21.3%","±3.3","23,352","±1,377","3,117","±992","13.3%","±4.3","26,784","±1,186","6,686","±1,529","25.0%","±5.5","33,025","±595","5,994","±1,606","18.1%","±4.9","42,769","±1,056","4,114","±1,564","9.6%","±3.6","58,202","±1,731","8,609","±2,234","14.8%","±3.8","123,482,786","±47,507","15,303,033","±71,361","12.4%","±0.1"
"        65 to 74 years","14,573","±419","4,433","±954","30.4%","±6.6","6,014","±691","2,645","±869","44.0%","±11.6","18,847","±759","6,969","±1,529","37.0%","±7.9","20,549","±37","5,412","±957","26.3%","±4.7","13,969","±516","4,398","±1,219","31.5%","±8.3","7,262","±763","1,553","±682","21.4%","±9.1","6,898","±732","2,100","±859","30.4%","±10.6","6,718","±460","2,516","±617","37.5%","±8.5","9,421","±440","2,058","±616","21.8%","±6.4","14,399","±679","3,640","±1,068","25.3%","±7.4","31,216,223","±24,889","7,522,485","±44,879","24.1%","±0.1"
"        75 years and over","9,615","±408","4,349","±821","45.2%","±8.3","4,268","±642","2,773","±778","65.0%","±13.3","12,442","±723","7,613","±1,076","61.2%","±7.4","12,984","±257","6,632","±1,093","51.1%","±8.4","9,875","±948","5,607","±800","56.8%","±7.7","4,596","±653","3,214","±777","69.9%","±11.2","5,639","±726","3,215","±877","57.0%","±11.2","5,712","±532","3,524","±700","61.7%","±11.0","4,807","±503","3,236","±741","67.3%","±11.9","9,439","±711","4,149","±1,076","44.0%","±10.7","21,566,194","±17,007","10,148,497","±50,504","47.1%","±0.2"
"    DISABILITY TYPE BY DETAILED AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With a hearing difficulty","(X)","(X)","5,209","±1,443","2.8%","±0.8","(X)","(X)","5,213","±1,435","7.0%","±1.9","(X)","(X)","9,926","±2,104","5.0%","±1.1","(X)","(X)","5,661","±1,381","2.5%","±0.6","(X)","(X)","7,863","±1,686","5.5%","±1.2","(X)","(X)","2,102","±935","3.1%","±1.4","(X)","(X)","3,157","±912","4.5%","±1.3","(X)","(X)","4,468","±1,339","5.3%","±1.6","(X)","(X)","1,923","±645","1.8%","±0.6","(X)","(X)","3,457","±1,094","2.3%","±0.7","(X)","(X)","11,495,247","±58,968","3.6%","±0.1"
"            Population under 18 years","46,839","±110","0","±226","0.0%","±0.5","16,830","±412","511","±558","3.0%","±3.3","49,308","±278","226","±280","0.5%","±0.6","54,836","±431","493","±378","0.9%","±0.7","33,172","±4","904","±673","2.7%","±2.0","17,005","±54","145","±207","0.9%","±1.2","17,261","±262","150","±260","0.9%","±1.5","21,260","±62","0","±226","0.0%","±1.0","26,241","±87","0","±226","0.0%","±0.8","35,341","±294","220","±358","0.6%","±1.0","72,835,047","±33,175","401,932","±13,537","0.6%","±0.1"
"                Population under 5 years","11,539","±200","0","±226","0.0%","±1.8","4,733","±3","265","±399","5.6%","±8.4","13,546","±1,054","0","±226","0.0%","±1.6","14,830","±622","321","±344","2.2%","±2.3","7,745","±547","520","±564","6.7%","±7.3","4,415","±438","0","±226","0.0%","±4.7","4,616","±190","150","±260","3.2%","±5.7","5,718","±356","0","±226","0.0%","±3.6","6,279","±237","0","±226","0.0%","±3.3","9,222","±434","220","±358","2.4%","±3.9","19,401,454","±22,231","95,422","±6,236","0.5%","±0.1"
"                Population 5 to 17 years","35,300","±232","0","±226","0.0%","±0.6","12,097","±412","246","±367","2.0%","±3.0","35,762","±1,058","226","±280","0.6%","±0.8","40,006","±728","172","±164","0.4%","±0.4","25,427","±547","384","±378","1.5%","±1.5","12,590","±440","145","±207","1.2%","±1.6","12,645","±198","0","±226","0.0%","±1.7","15,542","±359","0","±226","0.0%","±1.4","19,962","±249","0","±226","0.0%","±1.1","26,119","±445","0","±226","0.0%","±0.8","53,433,593","±32,613","306,510","±10,945","0.6%","±0.1"
"            Population 18 to 64 years","112,590","±906","1,940","±920","1.7%","±0.8","47,155","±477","2,071","±977","4.4%","±2.1","118,432","±2,202","2,835","±1,264","2.4%","±1.1","141,446","±682","1,863","±837","1.3%","±0.6","84,782","±1,380","3,275","±1,177","3.9%","±1.4","38,397","±752","597","±547","1.6%","±1.4","39,715","±1,306","1,069","±523","2.7%","±1.3","50,699","±485","1,731","±911","3.4%","±1.8","64,878","±548","635","±378","1.0%","±0.6","91,204","±1,867","1,785","±880","2.0%","±1.0","197,503,214","±33,702","3,866,792","±42,373","2.0%","±0.1"
"                Population 18 to 34 years","39,935","±1,006","241","±287","0.6%","±0.7","21,192","±949","215","±267","1.0%","±1.3","41,882","±1,921","290","±300","0.7%","±0.7","58,305","±608","560","±581","1.0%","±1.0","28,431","±1,395","441","±602","1.6%","±2.1","15,045","±1,370","213","±264","1.4%","±1.8","12,931","±1,415","217","±365","1.7%","±2.8","17,674","±513","529","±443","3.0%","±2.5","22,109","±983","185","±202","0.8%","±0.9","33,002","±1,906","289","±437","0.9%","±1.3","74,020,428","±40,229","629,160","±17,786","0.8%","±0.1"
"                Population 35 to 64 years","72,655","±1,020","1,699","±854","2.3%","±1.2","25,963","±763","1,856","±951","7.1%","±3.6","76,550","±1,670","2,545","±1,179","3.3%","±1.6","83,141","±345","1,303","±641","1.6%","±0.8","56,351","±1,715","2,834","±968","5.0%","±1.7","23,352","±1,377","384","±398","1.6%","±1.7","26,784","±1,186","852","±556","3.2%","±2.1","33,025","±595","1,202","±826","3.6%","±2.5","42,769","±1,056","450","±356","1.1%","±0.8","58,202","±1,731","1,496","±749","2.6%","±1.3","123,482,786","±47,507","3,237,632","±35,535","2.6%","±0.1"
"            Population 65 years and over","24,188","±379","3,269","±883","13.5%","±3.7","10,282","±447","2,631","±847","25.6%","±7.8","31,289","±710","6,865","±1,862","21.9%","±6.1","33,533","±262","3,305","±776","9.9%","±2.3","23,844","±814","3,684","±1,006","15.5%","±4.2","11,858","±611","1,360","±735","11.5%","±6.2","12,537","±156","1,938","±710","15.5%","±5.7","12,430","±356","2,737","±781","22.0%","±6.1","14,228","±252","1,288","±508","9.1%","±3.5","23,838","±466","1,452","±541","6.1%","±2.3","52,782,417","±26,301","7,226,523","±35,464","13.7%","±0.1"
"                Population 65 to 74 years","14,573","±419","1,481","±733","10.2%","±5.0","6,014","±691","1,103","±570","18.3%","±8.9","18,847","±759","2,654","±1,535","14.1%","±8.1","20,549","±37","1,536","±591","7.5%","±2.9","13,969","±516","1,163","±549","8.3%","±3.8","7,262","±763","222","±176","3.1%","±2.4","6,898","±732","687","±434","10.0%","±6.2","6,718","±460","901","±581","13.4%","±8.5","9,421","±440","485","±344","5.1%","±3.7","14,399","±679","630","±313","4.4%","±2.1","31,216,223","±24,889","2,681,672","±22,286","8.6%","±0.1"
"                Population 75 years and over","9,615","±408","1,788","±507","18.6%","±5.1","4,268","±642","1,528","±704","35.8%","±16.5","12,442","±723","4,211","±1,254","33.8%","±9.6","12,984","±257","1,769","±555","13.6%","±4.3","9,875","±948","2,521","±866","25.5%","±8.8","4,596","±653","1,138","±684","24.8%","±12.4","5,639","±726","1,251","±560","22.2%","±9.0","5,712","±532","1,836","±476","32.1%","±7.3","4,807","±503","803","±450","16.7%","±9.1","9,439","±711","822","±474","8.7%","±5.1","21,566,194","±17,007","4,544,851","±35,135","21.1%","±0.2"
"        With a vision difficulty","(X)","(X)","3,822","±1,016","2.1%","±0.6","(X)","(X)","3,561","±1,099","4.8%","±1.5","(X)","(X)","8,044","±2,400","4.0%","±1.2","(X)","(X)","5,450","±1,047","2.4%","±0.5","(X)","(X)","4,907","±1,592","3.5%","±1.1","(X)","(X)","2,577","±857","3.8%","±1.3","(X)","(X)","4,255","±1,848","6.1%","±2.6","(X)","(X)","3,764","±1,012","4.5%","±1.2","(X)","(X)","2,447","±1,223","2.3%","±1.2","(X)","(X)","2,156","±962","1.4%","±0.6","(X)","(X)","7,467,040","±58,337","2.3%","±0.1"
"            Population under 18 years","46,839","±110","334","±289","0.7%","±0.6","16,830","±412","0","±226","0.0%","±1.3","49,308","±278","1,151","±766","2.3%","±1.6","54,836","±431","536","±420","1.0%","±0.8","33,172","±4","162","±215","0.5%","±0.6","17,005","±54","434","±379","2.6%","±2.2","17,261","±262","88","±146","0.5%","±0.8","21,260","±62","33","±54","0.2%","±0.3","26,241","±87","51","±66","0.2%","±0.3","35,341","±294","68","±117","0.2%","±0.3","72,835,047","±33,175","547,083","±17,074","0.8%","±0.1"
"                Population under 5 years","11,539","±200","0","±226","0.0%","±1.8","4,733","±3","0","±226","0.0%","±4.4","13,546","±1,054","139","±177","1.0%","±1.3","14,830","±622","321","±344","2.2%","±2.3","7,745","±547","0","±226","0.0%","±2.7","4,415","±438","0","±226","0.0%","±4.7","4,616","±190","0","±226","0.0%","±4.5","5,718","±356","0","±226","0.0%","±3.6","6,279","±237","0","±226","0.0%","±3.3","9,222","±434","0","±226","0.0%","±2.3","19,401,454","±22,231","75,769","±5,791","0.4%","±0.1"
"                Population 5 to 17 years","35,300","±232","334","±289","0.9%","±0.8","12,097","±412","0","±226","0.0%","±1.7","35,762","±1,058","1,012","±711","2.8%","±2.0","40,006","±728","215","±213","0.5%","±0.5","25,427","±547","162","±215","0.6%","±0.8","12,590","±440","434","±379","3.4%","±3.0","12,645","±198","88","±146","0.7%","±1.2","15,542","±359","33","±54","0.2%","±0.3","19,962","±249","51","±66","0.3%","±0.3","26,119","±445","68","±117","0.3%","±0.4","53,433,593","±32,613","471,314","±15,522","0.9%","±0.1"
"            Population 18 to 64 years","112,590","±906","1,812","±639","1.6%","±0.6","47,155","±477","2,805","±980","5.9%","±2.1","118,432","±2,202","3,449","±1,367","2.9%","±1.1","141,446","±682","2,813","±764","2.0%","±0.5","84,782","±1,380","3,546","±1,479","4.2%","±1.7","38,397","±752","1,018","±638","2.7%","±1.7","39,715","±1,306","2,883","±1,659","7.3%","±4.1","50,699","±485","2,033","±901","4.0%","±1.8","64,878","±548","1,474","±974","2.3%","±1.5","91,204","±1,867","1,289","±792","1.4%","±0.9","197,503,214","±33,702","3,755,672","±36,041","1.9%","±0.1"
"                Population 18 to 34 years","39,935","±1,006","646","±439","1.6%","±1.1","21,192","±949","450","±281","2.1%","±1.3","41,882","±1,921","903","±693","2.2%","±1.6","58,305","±608","480","±348","0.8%","±0.6","28,431","±1,395","824","±656","2.9%","±2.3","15,045","±1,370","192","±266","1.3%","±1.8","12,931","±1,415","1,533","±1,135","11.9%","±8.4","17,674","±513","528","±408","3.0%","±2.3","22,109","±983","125","±125","0.6%","±0.6","33,002","±1,906","438","±537","1.3%","±1.6","74,020,428","±40,229","905,570","±17,977","1.2%","±0.1"
"                Population 35 to 64 years","72,655","±1,020","1,166","±546","1.6%","±0.8","25,963","±763","2,355","±968","9.1%","±3.7","76,550","±1,670","2,546","±1,173","3.3%","±1.5","83,141","±345","2,333","±719","2.8%","±0.9","56,351","±1,715","2,722","±1,177","4.8%","±2.1","23,352","±1,377","826","±563","3.5%","±2.4","26,784","±1,186","1,350","±714","5.0%","±2.7","33,025","±595","1,505","±733","4.6%","±2.2","42,769","±1,056","1,349","±958","3.2%","±2.2","58,202","±1,731","851","±585","1.5%","±1.0","123,482,786","±47,507","2,850,102","±31,917","2.3%","±0.1"
"            Population 65 years and over","24,188","±379","1,676","±578","6.9%","±2.4","10,282","±447","756","±528","7.4%","±5.1","31,289","±710","3,444","±1,617","11.0%","±5.2","33,533","±262","2,101","±587","6.3%","±1.7","23,844","±814","1,199","±504","5.0%","±2.1","11,858","±611","1,125","±521","9.5%","±4.4","12,537","±156","1,284","±633","10.2%","±5.0","12,430","±356","1,698","±621","13.7%","±5.0","14,228","±252","922","±635","6.5%","±4.4","23,838","±466","799","±506","3.4%","±2.1","52,782,417","±26,301","3,164,285","±37,162","6.0%","±0.1"
"                Population 65 to 74 years","14,573","±419","1,022","±482","7.0%","±3.4","6,014","±691","206","±277","3.4%","±4.6","18,847","±759","2,293","±1,511","12.2%","±8.0","20,549","±37","808","±393","3.9%","±1.9","13,969","±516","440","±313","3.1%","±2.2","7,262","±763","398","±276","5.5%","±3.8","6,898","±732","516","±480","7.5%","±6.6","6,718","±460","500","±331","7.4%","±4.9","9,421","±440","363","±309","3.9%","±3.3","14,399","±679","353","±325","2.5%","±2.3","31,216,223","±24,889","1,271,608","±20,269","4.1%","±0.1"
"                Population 75 years and over","9,615","±408","654","±321","6.8%","±3.3","4,268","±642","550","±438","12.9%","±9.9","12,442","±723","1,151","±496","9.3%","±4.1","12,984","±257","1,293","±556","10.0%","±4.3","9,875","±948","759","±360","7.7%","±3.7","4,596","±653","727","±440","15.8%","±9.5","5,639","±726","768","±408","13.6%","±7.4","5,712","±532","1,198","±556","21.0%","±9.4","4,807","±503","559","±411","11.6%","±8.5","9,439","±711","446","±389","4.7%","±4.0","21,566,194","±17,007","1,892,677","±27,432","8.8%","±0.1"
