"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Insured!!Estimate","DeSoto County, Mississippi!!Percent Insured!!Estimate","DeSoto County, Mississippi!!Uninsured!!Estimate","DeSoto County, Mississippi!!Percent Uninsured!!Estimate","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Insured!!Estimate","Forrest County, Mississippi!!Percent Insured!!Estimate","Forrest County, Mississippi!!Uninsured!!Estimate","Forrest County, Mississippi!!Percent Uninsured!!Estimate","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Insured!!Estimate","Harrison County, Mississippi!!Percent Insured!!Estimate","Harrison County, Mississippi!!Uninsured!!Estimate","Harrison County, Mississippi!!Percent Uninsured!!Estimate","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Insured!!Estimate","Hinds County, Mississippi!!Percent Insured!!Estimate","Hinds County, Mississippi!!Uninsured!!Estimate","Hinds County, Mississippi!!Percent Uninsured!!Estimate","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Insured!!Estimate","Jackson County, Mississippi!!Percent Insured!!Estimate","Jackson County, Mississippi!!Uninsured!!Estimate","Jackson County, Mississippi!!Percent Uninsured!!Estimate","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Insured!!Estimate","Jones County, Mississippi!!Percent Insured!!Estimate","Jones County, Mississippi!!Uninsured!!Estimate","Jones County, Mississippi!!Percent Uninsured!!Estimate","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Insured!!Estimate","Lauderdale County, Mississippi!!Percent Insured!!Estimate","Lauderdale County, Mississippi!!Uninsured!!Estimate","Lauderdale County, Mississippi!!Percent Uninsured!!Estimate","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Insured!!Estimate","Lee County, Mississippi!!Percent Insured!!Estimate","Lee County, Mississippi!!Uninsured!!Estimate","Lee County, Mississippi!!Percent Uninsured!!Estimate","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Insured!!Estimate","Madison County, Mississippi!!Percent Insured!!Estimate","Madison County, Mississippi!!Uninsured!!Estimate","Madison County, Mississippi!!Percent Uninsured!!Estimate","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Insured!!Estimate","Rankin County, Mississippi!!Percent Insured!!Estimate","Rankin County, Mississippi!!Uninsured!!Estimate","Rankin County, Mississippi!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"        Hispanic or Latino (of any race)","9,415","7,922","84.1%","1,493","15.9%","N","N","N","N","N","10,892","7,756","71.2%","3,136","28.8%","3,613","1,321","36.6%","2,292","63.4%","9,757","6,698","68.6%","3,059","31.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","59,686,770","48,551,702","81.3%","11,135,068","18.7%"
"        White alone, not Hispanic or Latino","113,785","104,337","91.7%","9,448","8.3%","42,289","37,366","88.4%","4,923","11.6%","126,385","111,916","88.6%","14,469","11.4%","54,215","46,701","86.1%","7,514","13.9%","95,622","87,619","91.6%","8,003","8.4%","43,215","37,257","86.2%","5,958","13.8%","36,249","33,564","92.6%","2,685","7.4%","54,437","47,748","87.7%","6,689","12.3%","58,089","56,657","97.5%","1,432","2.5%","110,865","100,714","90.8%","10,151","9.2%","194,023,129","181,892,205","93.7%","12,130,924","6.3%"
"    LIVING ARRANGEMENTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In family households","159,266","145,429","91.3%","13,837","8.7%","56,961","48,792","85.7%","8,169","14.3%","169,944","146,158","86.0%","23,786","14.0%","180,975","154,837","85.6%","26,138","14.4%","119,131","104,752","87.9%","14,379","12.1%","57,647","49,788","86.4%","7,859","13.6%","59,132","52,636","89.0%","6,496","11.0%","73,389","64,072","87.3%","9,317","12.7%","91,152","84,506","92.7%","6,646","7.3%","129,244","114,530","88.6%","14,714","11.4%","263,940,213","240,098,070","91.0%","23,842,143","9.0%"
"            In married couple families","108,299","101,281","93.5%","7,018","6.5%","33,646","30,202","89.8%","3,444","10.2%","109,516","100,136","91.4%","9,380","8.6%","104,966","92,190","87.8%","12,776","12.2%","78,568","72,316","92.0%","6,252","8.0%","35,718","31,011","86.8%","4,707","13.2%","36,534","33,414","91.5%","3,120","8.5%","48,614","43,768","90.0%","4,846","10.0%","62,940","61,500","97.7%","1,440","2.3%","95,605","87,105","91.1%","8,500","8.9%","190,121,888","176,180,183","92.7%","13,941,705","7.3%"
"            In other families","50,967","44,148","86.6%","6,819","13.4%","23,315","18,590","79.7%","4,725","20.3%","60,428","46,022","76.2%","14,406","23.8%","76,009","62,647","82.4%","13,362","17.6%","40,563","32,436","80.0%","8,127","20.0%","21,929","18,777","85.6%","3,152","14.4%","22,598","19,222","85.1%","3,376","14.9%","24,775","20,304","82.0%","4,471","18.0%","28,212","23,006","81.5%","5,206","18.5%","33,639","27,425","81.5%","6,214","18.5%","73,818,325","63,917,887","86.6%","9,900,438","13.4%"
"                Male reference person, no spouse present","14,410","12,665","87.9%","1,745","12.1%","5,064","4,170","82.3%","894","17.7%","10,060","7,489","74.4%","2,571","25.6%","9,476","6,386","67.4%","3,090","32.6%","9,464","7,598","80.3%","1,866","19.7%","3,573","2,542","71.1%","1,031","28.9%","4,864","3,883","79.8%","981","20.2%","7,073","5,552","78.5%","1,521","21.5%","3,916","3,039","77.6%","877","22.4%","7,208","5,610","77.8%","1,598","22.2%","21,227,309","17,829,442","84.0%","3,397,867","16.0%"
"                Female reference person, no spouse present","36,557","31,483","86.1%","5,074","13.9%","18,251","14,420","79.0%","3,831","21.0%","50,368","38,533","76.5%","11,835","23.5%","66,533","56,261","84.6%","10,272","15.4%","31,099","24,838","79.9%","6,261","20.1%","18,356","16,235","88.4%","2,121","11.6%","17,734","15,339","86.5%","2,395","13.5%","17,702","14,752","83.3%","2,950","16.7%","24,296","19,967","82.2%","4,329","17.8%","26,431","21,815","82.5%","4,616","17.5%","52,591,016","46,088,445","87.6%","6,502,571","12.4%"
"        In non-family households and other living arrangements","24,351","22,905","94.1%","1,446","5.9%","17,306","15,248","88.1%","2,058","11.9%","29,085","24,835","85.4%","4,250","14.6%","48,840","41,963","85.9%","6,877","14.1%","22,667","20,303","89.6%","2,364","10.4%","9,613","9,251","96.2%","362","3.8%","10,381","8,926","86.0%","1,455","14.0%","11,000","9,195","83.6%","1,805","16.4%","14,195","12,659","89.2%","1,536","10.8%","21,139","17,496","82.8%","3,643","17.2%","59,180,465","53,383,936","90.2%","5,796,529","9.8%"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native born","177,645","163,931","92.3%","13,714","7.7%","73,224","63,415","86.6%","9,809","13.4%","192,644","165,608","86.0%","27,036","14.0%","226,196","195,317","86.3%","30,879","13.7%","135,285","120,685","89.2%","14,600","10.8%","65,750","58,118","88.4%","7,632","11.6%","N","N","N","N","N","82,865","72,653","87.7%","10,212","12.3%","99,612","92,839","93.2%","6,773","6.8%","145,850","129,478","88.8%","16,372","11.2%","278,548,300","257,788,435","92.5%","20,759,865","7.5%"
"        Foreign born","5,972","4,403","73.7%","1,569","26.3%","1,043","625","59.9%","418","40.1%","6,385","5,385","84.3%","1,000","15.7%","3,619","1,483","41.0%","2,136","59.0%","6,513","4,370","67.1%","2,143","32.9%","1,510","921","61.0%","589","39.0%","N","N","N","N","N","1,524","614","40.3%","910","59.7%","5,735","4,326","75.4%","1,409","24.6%","4,533","2,548","56.2%","1,985","43.8%","44,572,378","35,693,571","80.1%","8,878,807","19.9%"
"            Naturalized","3,277","2,856","87.2%","421","12.8%","106","36","34.0%","70","66.0%","3,125","3,125","100.0%","0","0.0%","942","769","81.6%","173","18.4%","3,346","3,079","92.0%","267","8.0%","218","218","100.0%","0","0.0%","N","N","N","N","N","490","360","73.5%","130","26.5%","3,420","3,075","89.9%","345","10.1%","2,385","1,271","53.3%","1,114","46.7%","23,002,416","21,041,210","91.5%","1,961,206","8.5%"
"            Not a citizen","2,695","1,547","57.4%","1,148","42.6%","937","589","62.9%","348","37.1%","3,260","2,260","69.3%","1,000","30.7%","2,677","714","26.7%","1,963","73.3%","3,167","1,291","40.8%","1,876","59.2%","1,292","703","54.4%","589","45.6%","N","N","N","N","N","1,034","254","24.6%","780","75.4%","2,315","1,251","54.0%","1,064","46.0%","2,148","1,277","59.5%","871","40.5%","21,569,962","14,652,361","67.9%","6,917,601","32.1%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With a disability","20,291","19,178","94.5%","1,113","5.5%","16,566","14,245","86.0%","2,321","14.0%","37,982","34,335","90.4%","3,647","9.6%","32,492","29,369","90.4%","3,123","9.6%","28,191","25,116","89.1%","3,075","10.9%","10,326","9,955","96.4%","371","3.6%","15,362","12,759","83.1%","2,603","16.9%","14,384","12,902","89.7%","1,482","10.3%","10,767","10,175","94.5%","592","5.5%","20,252","18,638","92.0%","1,614","8.0%","41,089,958","38,758,402","94.3%","2,331,556","5.7%"
"        No disability","163,326","149,156","91.3%","14,170","8.7%","57,701","49,795","86.3%","7,906","13.7%","161,047","136,658","84.9%","24,389","15.1%","197,323","167,431","84.9%","29,892","15.1%","113,607","99,939","88.0%","13,668","12.0%","56,934","49,084","86.2%","7,850","13.8%","54,151","48,803","90.1%","5,348","9.9%","70,005","60,365","86.2%","9,640","13.8%","94,580","86,990","92.0%","7,590","8.0%","130,131","113,388","87.1%","16,743","12.9%","282,030,720","254,723,604","90.3%","27,307,116","9.7%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","118,526","108,691","91.7%","9,835","8.3%","45,262","37,599","83.1%","7,663","16.9%","127,872","108,006","84.5%","19,866","15.5%","145,999","125,081","85.7%","20,918","14.3%","95,885","83,692","87.3%","12,193","12.7%","43,015","37,172","86.4%","5,843","13.6%","46,410","40,082","86.4%","6,328","13.6%","54,342","47,268","87.0%","7,074","13.0%","68,729","62,924","91.6%","5,805","8.4%","100,466","87,644","87.2%","12,822","12.8%","216,102,534","195,268,604","90.4%","20,833,930","9.6%"
"            Less than high school graduate","11,469","8,798","76.7%","2,671","23.3%","5,104","4,164","81.6%","940","18.4%","14,048","10,475","74.6%","3,573","25.4%","17,460","13,208","75.6%","4,252","24.4%","9,182","6,979","76.0%","2,203","24.0%","5,951","4,693","78.9%","1,258","21.1%","8,681","5,804","66.9%","2,877","33.1%","8,686","6,755","77.8%","1,931","22.2%","5,767","4,761","82.6%","1,006","17.4%","9,300","6,683","71.9%","2,617","28.1%","24,366,390","18,999,096","78.0%","5,367,294","22.0%"
"            High school graduate (includes equivalency)","32,867","29,327","89.2%","3,540","10.8%","13,767","11,235","81.6%","2,532","18.4%","39,534","30,131","76.2%","9,403","23.8%","36,404","29,223","80.3%","7,181","19.7%","28,632","23,987","83.8%","4,645","16.2%","14,874","12,590","84.6%","2,284","15.4%","11,768","9,661","82.1%","2,107","17.9%","14,620","12,673","86.7%","1,947","13.3%","14,118","11,565","81.9%","2,553","18.1%","25,233","20,774","82.3%","4,459","17.7%","57,696,941","50,447,775","87.4%","7,249,166","12.6%"
"            Some college or associate's degree","40,898","38,472","94.1%","2,426","5.9%","15,394","12,359","80.3%","3,035","19.7%","44,853","39,464","88.0%","5,389","12.0%","49,664","42,335","85.2%","7,329","14.8%","34,927","30,773","88.1%","4,154","11.9%","13,959","12,035","86.2%","1,924","13.8%","17,886","16,586","92.7%","1,300","7.3%","17,298","14,747","85.3%","2,551","14.7%","15,096","13,790","91.3%","1,306","8.7%","34,681","30,381","87.6%","4,300","12.4%","61,702,996","56,353,545","91.3%","5,349,451","8.7%"
"            Bachelor's degree or higher","33,292","32,094","96.4%","1,198","3.6%","10,997","9,841","89.5%","1,156","10.5%","29,437","27,936","94.9%","1,501","5.1%","42,471","40,315","94.9%","2,156","5.1%","23,144","21,953","94.9%","1,191","5.1%","8,231","7,854","95.4%","377","4.6%","8,075","8,031","99.5%","44","0.5%","13,738","13,093","95.3%","645","4.7%","33,748","32,808","97.2%","940","2.8%","31,252","29,806","95.4%","1,446","4.6%","72,336,207","69,468,188","96.0%","2,868,019","4.0%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 19 to 64 years","110,222","97,946","88.9%","12,276","11.1%","46,104","36,454","79.1%","9,650","20.9%","114,958","91,368","79.5%","23,590","20.5%","137,500","108,431","78.9%","29,069","21.1%","82,484","67,832","82.2%","14,652","17.8%","36,972","29,963","81.0%","7,009","19.0%","39,205","31,609","80.6%","7,596","19.4%","49,871","40,776","81.8%","9,095","18.2%","64,314","56,527","87.9%","7,787","12.1%","89,848","73,215","81.5%","16,633","18.5%","192,987,829","168,135,929","87.1%","24,851,900","12.9%"
"            In labor force","90,965","81,738","89.9%","9,227","10.1%","33,870","27,393","80.9%","6,477","19.1%","85,292","69,387","81.4%","15,905","18.6%","103,862","83,388","80.3%","20,474","19.7%","62,610","51,672","82.5%","10,938","17.5%","25,271","21,186","83.8%","4,085","16.2%","28,983","23,905","82.5%","5,078","17.5%","37,739","31,694","84.0%","6,045","16.0%","50,965","45,106","88.5%","5,859","11.5%","71,785","58,001","80.8%","13,784","19.2%","151,909,747","133,276,510","87.7%","18,633,237","12.3%"
"                Employed","87,140","79,116","90.8%","8,024","9.2%","31,811","26,324","82.8%","5,487","17.2%","79,523","66,567","83.7%","12,956","16.3%","95,795","79,141","82.6%","16,654","17.4%","57,581","49,426","85.8%","8,155","14.2%","24,936","21,111","84.7%","3,825","15.3%","27,930","23,370","83.7%","4,560","16.3%","36,182","30,831","85.2%","5,351","14.8%","49,143","43,649","88.8%","5,494","11.2%","67,938","56,104","82.6%","11,834","17.4%","145,378,445","128,593,858","88.5%","16,784,587","11.5%"
