"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Below poverty level!!Estimate","DeSoto County, Mississippi!!Below poverty level!!Margin of Error","DeSoto County, Mississippi!!Percent below poverty level!!Estimate","DeSoto County, Mississippi!!Percent below poverty level!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Below poverty level!!Estimate","Forrest County, Mississippi!!Below poverty level!!Margin of Error","Forrest County, Mississippi!!Percent below poverty level!!Estimate","Forrest County, Mississippi!!Percent below poverty level!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Below poverty level!!Estimate","Harrison County, Mississippi!!Below poverty level!!Margin of Error","Harrison County, Mississippi!!Percent below poverty level!!Estimate","Harrison County, Mississippi!!Percent below poverty level!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Below poverty level!!Estimate","Hinds County, Mississippi!!Below poverty level!!Margin of Error","Hinds County, Mississippi!!Percent below poverty level!!Estimate","Hinds County, Mississippi!!Percent below poverty level!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Below poverty level!!Estimate","Jackson County, Mississippi!!Below poverty level!!Margin of Error","Jackson County, Mississippi!!Percent below poverty level!!Estimate","Jackson County, Mississippi!!Percent below poverty level!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Below poverty level!!Estimate","Jones County, Mississippi!!Below poverty level!!Margin of Error","Jones County, Mississippi!!Percent below poverty level!!Estimate","Jones County, Mississippi!!Percent below poverty level!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Below poverty level!!Estimate","Lauderdale County, Mississippi!!Below poverty level!!Margin of Error","Lauderdale County, Mississippi!!Percent below poverty level!!Estimate","Lauderdale County, Mississippi!!Percent below poverty level!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Below poverty level!!Estimate","Lee County, Mississippi!!Below poverty level!!Margin of Error","Lee County, Mississippi!!Percent below poverty level!!Estimate","Lee County, Mississippi!!Percent below poverty level!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Below poverty level!!Estimate","Madison County, Mississippi!!Below poverty level!!Margin of Error","Madison County, Mississippi!!Percent below poverty level!!Estimate","Madison County, Mississippi!!Percent below poverty level!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Below poverty level!!Estimate","Rankin County, Mississippi!!Below poverty level!!Margin of Error","Rankin County, Mississippi!!Percent below poverty level!!Estimate","Rankin County, Mississippi!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"        65 years and over","24,188","±379","2,026","±724","8.4%","±3.0","10,282","±447","1,604","±729","15.6%","±7.1","31,289","±710","2,200","±698","7.0%","±2.2","33,533","±262","4,628","±846","13.8%","±2.5","23,844","±814","1,781","±917","7.5%","±3.8","11,858","±611","1,540","±618","13.0%","±5.2","12,537","±156","1,579","±672","12.6%","±5.4","12,430","±356","1,060","±381","8.5%","±3.0","14,228","±252","1,123","±655","7.9%","±4.6","23,838","±466","1,190","±719","5.0%","±3.0","52,782,328","±26,315","4,985,269","±36,715","9.4%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","88,331","±1,161","7,170","±2,000","8.1%","±2.3","33,539","±1,297","7,492","±2,269","22.3%","±6.8","96,640","±1,762","15,279","±2,724","15.8%","±2.7","104,581","±1,262","18,374","±3,003","17.6%","±2.9","68,342","±1,601","8,714","±2,242","12.8%","±3.3","32,662","±836","9,127","±2,395","27.9%","±7.3","32,710","±1,461","5,841","±1,534","17.9%","±4.5","39,846","±797","3,819","±981","9.6%","±2.5","48,769","±989","2,937","±1,173","6.0%","±2.4","70,579","±1,752","7,297","±2,243","10.3%","±3.1","156,743,490","±42,059","17,473,451","±123,014","11.1%","±0.1"
"        Female","94,726","±1,125","10,480","±2,318","11.1%","±2.5","38,421","±1,394","10,309","±2,907","26.8%","±7.6","105,912","±1,319","18,985","±3,642","17.9%","±3.5","118,928","±1,575","23,908","±3,149","20.1%","±2.7","72,680","±972","12,398","±2,911","17.1%","±4.0","33,734","±887","9,257","±2,395","27.4%","±6.9","37,609","±1,064","8,866","±1,608","23.6%","±4.4","44,370","±607","8,145","±1,784","18.4%","±4.0","56,047","±898","6,140","±2,137","11.0%","±3.8","80,055","±1,523","10,218","±3,073","12.8%","±3.8","163,375,301","±45,562","22,016,645","±137,887","13.5%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","118,458","±1,586","8,837","±2,434","7.5%","±2.1","42,954","±754","8,592","±2,726","20.0%","±6.4","136,353","±1,956","12,353","±2,752","9.1%","±2.0","55,759","±839","7,268","±1,719","13.0%","±3.1","101,312","±2,020","8,499","±2,722","8.4%","±2.6","45,948","±518","7,358","±2,733","16.0%","±6.0","38,370","±736","3,738","±1,124","9.7%","±2.9","54,750","±653","4,556","±1,560","8.3%","±2.9","60,631","±787","4,042","±1,859","6.7%","±3.1","113,580","±1,641","12,051","±3,998","10.6%","±3.5","231,191,647","±101,215","23,828,085","±203,823","10.3%","±0.1"
"        Black or African American alone","55,422","±1,214","7,705","±2,544","13.9%","±4.6","27,514","±1,116","8,682","±3,154","31.6%","±11.3","50,927","±2,235","17,845","±3,459","35.0%","±6.7","163,281","±1,720","33,665","±4,620","20.6%","±2.9","29,069","±1,469","10,224","±3,986","35.2%","±13.0","19,724","±719","10,727","±2,742","54.4%","±13.1","30,646","±833","10,906","±2,339","35.6%","±7.5","26,193","±1,333","6,813","±1,796","26.0%","±6.7","39,350","±1,058","4,111","±2,106","10.4%","±5.4","31,630","±1,170","4,073","±2,945","12.9%","±9.3","40,291,288","±78,962","8,557,464","±86,813","21.2%","±0.2"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,749,899","±33,996","633,584","±19,354","23.0%","±0.7"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,274,780","±40,507","1,761,321","±35,380","9.6%","±0.2"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","608,300","±17,929","100,256","±10,523","16.5%","±1.7"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,016,665","±120,620","2,935,304","±60,267","18.3%","±0.3"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","9,386","±2,535","3,713","±2,053","39.6%","±16.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,986,212","±119,885","1,674,082","±38,384","15.2%","±0.3"
"        Hispanic or Latino origin (of any race)","9,289","±199","678","±491","7.3%","±5.3","N","N","N","N","N","N","11,173","±277","3,260","±1,827","29.2%","±16.4","N","N","N","N","N","N","9,757","±105","3,287","±1,823","33.7%","±18.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","59,226,212","±22,870","10,201,081","±106,111","17.2%","±0.2"
"        White alone, not Hispanic or Latino","113,226","±994","8,450","±2,508","7.5%","±2.2","41,091","±575","8,523","±2,712","20.7%","±6.6","128,350","±741","11,036","±2,472","8.6%","±1.9","52,874","±780","6,755","±1,602","12.8%","±3.0","94,859","±916","6,288","±2,138","6.6%","±2.3","42,868","±483","5,575","±2,472","13.0%","±5.8","37,035","±628","2,753","±966","7.4%","±2.6","54,267","±436","4,461","±1,570","8.2%","±2.9","58,066","±401","3,011","±1,491","5.2%","±2.6","110,839","±1,115","10,533","±3,441","9.5%","±3.1","192,289,025","±32,778","17,352,095","±147,912","9.0%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","121,010","±993","8,304","±1,626","6.9%","±1.3","46,452","±1,943","10,472","±2,999","22.5%","±6.0","134,637","±1,775","16,919","±3,087","12.6%","±2.3","149,588","±680","22,326","±2,570","14.9%","±1.7","97,883","±1,043","12,085","±3,201","12.3%","±3.2","43,962","±971","9,804","±3,322","22.3%","±7.4","48,549","±1,178","8,665","±1,801","17.8%","±3.6","54,747","±779","6,226","±1,212","11.4%","±2.2","69,793","±796","4,786","±1,437","6.9%","±2.1","103,136","±1,975","9,516","±2,517","9.2%","±2.4","221,309,178","±69,454","22,277,293","±100,474","10.1%","±0.1"
"            Less than high school graduate","11,600","±2,100","1,885","±834","16.3%","±7.2","5,218","±1,516","1,595","±857","30.6%","±15.5","14,290","±2,509","3,644","±1,429","25.5%","±8.6","17,742","±2,040","5,171","±1,285","29.1%","±6.0","9,377","±1,743","1,730","±898","18.4%","±8.6","5,951","±1,538","3,225","±1,603","54.2%","±19.9","8,789","±1,999","2,868","±1,242","32.6%","±11.8","8,686","±1,508","1,718","±734","19.8%","±8.0","5,767","±1,760","1,237","±707","21.4%","±11.3","9,706","±1,897","3,025","±1,132","31.2%","±11.6","24,684,741","±124,554","5,769,908","±52,665","23.4%","±0.2"
"            High school graduate (includes equivalency)","33,721","±3,445","2,216","±732","6.6%","±2.0","13,767","±2,269","4,793","±1,700","34.8%","±9.9","40,773","±4,206","6,536","±1,670","16.0%","±4.3","36,886","±2,989","7,309","±1,365","19.8%","±3.5","29,380","±3,097","5,947","±1,941","20.2%","±5.7","15,332","±2,285","4,641","±1,997","30.3%","±12.3","12,067","±1,667","2,620","±921","21.7%","±6.9","14,676","±1,949","1,775","±586","12.1%","±4.2","14,118","±2,758","1,545","±801","10.9%","±5.6","25,770","±3,273","4,202","±1,637","16.3%","±6.0","58,978,752","±181,385","7,703,553","±55,245","13.1%","±0.1"
"            Some college, associate's degree","41,464","±3,644","3,467","±1,020","8.4%","±2.3","15,729","±2,475","3,180","±1,483","20.2%","±9.4","47,976","±3,569","5,639","±1,526","11.8%","±3.0","51,635","±3,862","6,710","±1,570","13.0%","±2.7","35,593","±2,788","3,546","±1,350","10.0%","±3.7","14,340","±2,097","1,553","±743","10.8%","±5.3","18,142","±2,366","2,777","±1,050","15.3%","±5.6","17,406","±2,134","2,248","±759","12.9%","±4.1","15,512","±2,556","1,164","±599","7.5%","±3.8","35,401","±3,567","1,377","±694","3.9%","±2.0","63,469,132","±124,428","5,781,713","±44,040","9.1%","±0.1"
"            Bachelor's degree or higher","34,225","±3,153","736","±407","2.2%","±1.2","11,738","±1,870","904","±699","7.7%","±5.4","31,598","±3,128","1,100","±561","3.5%","±1.7","43,325","±3,566","3,136","±1,048","7.2%","±2.5","23,533","±2,895","862","±498","3.7%","±2.1","8,339","±1,871","385","±314","4.6%","±3.6","9,551","±1,942","400","±504","4.2%","±5.0","13,979","±1,708","485","±367","3.5%","±2.6","34,396","±3,049","840","±471","2.4%","±1.3","32,259","±2,829","912","±586","2.8%","±1.8","74,176,553","±238,708","3,022,119","±35,088","4.1%","±0.1"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","97,040","±2,702","5,657","±1,301","5.8%","±1.3","35,183","±2,799","5,026","±1,374","14.3%","±4.1","93,563","±4,342","7,890","±1,900","8.4%","±2.0","112,118","±3,284","11,435","±2,059","10.2%","±1.8","68,711","±2,662","5,827","±2,223","8.5%","±3.3","28,737","±2,068","4,195","±1,719","14.6%","±6.5","31,319","±2,362","4,243","±1,265","13.5%","±3.8","40,446","±1,835","3,232","±947","8.0%","±2.4","55,573","±2,411","2,180","±992","3.9%","±1.8","78,062","±3,472","6,754","±2,265","8.7%","±2.9","165,157,929","±158,642","11,009,125","±71,784","6.7%","±0.1"
"            Employed","92,703","±2,399","4,482","±1,082","4.8%","±1.2","32,920","±2,772","4,365","±1,200","13.3%","±3.8","85,741","±4,386","6,091","±1,634","7.1%","±1.9","102,594","±3,273","8,511","±1,849","8.3%","±1.8","62,016","±3,563","2,786","±919","4.5%","±1.5","28,210","±2,115","4,043","±1,742","14.3%","±6.6","30,266","±2,156","3,491","±1,119","11.5%","±3.6","38,627","±2,045","2,554","±908","6.6%","±2.4","53,443","±2,469","1,878","±888","3.5%","±1.7","74,215","±3,716","4,964","±1,941","6.7%","±2.6","157,766,768","±156,792","8,918,835","±62,296","5.7%","±0.1"
"                Male","47,834","±1,436","1,553","±667","3.2%","±1.4","16,555","±1,415","2,382","±1,020","14.4%","±6.2","41,015","±2,418","2,314","±914","5.6%","±2.2","48,404","±2,328","3,239","±990","6.7%","±2.0","32,950","±2,076","1,174","±604","3.6%","±1.8","15,787","±1,078","1,923","±1,599","12.2%","±10.0","14,096","±1,880","1,493","±739","10.6%","±5.0","19,556","±1,403","586","±468","3.0%","±2.4","26,765","±1,497","473","±402","1.8%","±1.5","38,650","±2,235","2,969","±1,338","7.7%","±3.4","82,669,669","±91,074","3,886,120","±43,570","4.7%","±0.1"
"                Female","44,869","±1,887","2,929","±839","6.5%","±1.9","16,365","±2,370","1,983","±801","12.1%","±4.5","44,726","±3,018","3,777","±1,193","8.4%","±2.8","54,190","±2,451","5,272","±1,293","9.7%","±2.4","29,066","±2,339","1,612","±745","5.5%","±2.5","12,423","±2,158","2,120","±1,145","17.1%","±8.2","16,170","±1,565","1,998","±796","12.4%","±4.9","19,071","±1,594","1,968","±760","10.3%","±3.9","26,678","±1,903","1,405","±767","5.3%","±2.9","35,565","±2,736","1,995","±1,017","5.6%","±2.8","75,097,099","±105,995","5,032,715","±43,140","6.7%","±0.1"
"            Unemployed","4,337","±1,439","1,175","±877","27.1%","±16.4","2,263","±939","661","±601","29.2%","±23.7","7,822","±2,408","1,799","±867","23.0%","±11.3","9,524","±1,501","2,924","±869","30.7%","±8.6","6,695","±2,333","3,041","±2,114","45.4%","±21.9","527","±380","152","±193","28.8%","±34.1","1,053","±656","752","±516","71.4%","±26.0","1,819","±915","678","±460","37.3%","±19.5","2,130","±757","302","±297","14.2%","±13.3","3,847","±1,344","1,790","±834","46.5%","±17.3","7,391,161","±47,457","2,090,290","±29,774","28.3%","±0.4"
"                Male","1,531","±827","266","±381","17.4%","±21.9","1,626","±745","366","±322","22.5%","±20.7","4,887","±1,995","782","±594","16.0%","±11.8","5,177","±1,390","1,359","±692","26.3%","±11.5","2,476","±963","432","±438","17.4%","±16.0","164","±155","37","±73","22.6%","±35.8","429","±437","224","±251","52.2%","±40.1","898","±702","177","±234","19.7%","±22.4","969","±603","30","±44","3.1%","±5.4","1,057","±513","756","±465","71.5%","±28.5","3,965,365","±36,702","1,018,900","±16,758","25.7%","±0.4"
"                Female","2,806","±1,003","909","±634","32.4%","±18.1","637","±586","295","±476","46.3%","±51.9","2,935","±1,310","1,017","±629","34.7%","±23.0","4,347","±1,095","1,565","±728","36.0%","±13.4","4,219","±2,030","2,609","±1,998","61.8%","±26.3","363","±356","115","±176","31.7%","±46.8","624","±524","528","±471","84.6%","±23.5","921","±557","501","±373","54.4%","±29.4","1,161","±551","272","±287","23.4%","±21.6","2,790","±1,212","1,034","±750","37.1%","±22.4","3,425,796","±32,910","1,071,390","±20,116","31.3%","±0.5"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","143,655","±1,291","11,752","±2,027","8.2%","±1.4","56,378","±1,055","13,644","±3,133","24.2%","±5.6","158,742","±1,537","22,366","±3,966","14.1%","±2.5","175,810","±1,632","28,484","±3,071","16.2%","±1.8","114,104","±1,263","14,974","±3,445","13.1%","±3.0","51,094","±928","11,145","±3,308","21.8%","±6.5","55,013","±1,209","9,749","±1,948","17.7%","±3.5","65,730","±640","6,950","±1,486","10.6%","±2.3","82,436","±708","5,169","±1,577","6.3%","±1.9","119,711","±1,876","12,167","±2,964","10.2%","±2.5","256,651,001","±52,263","28,665,305","±140,560","11.2%","±0.1"
"            Worked full-time, year-round in the past 12 months","73,921","±2,897","1,882","±807","2.5%","±1.1","23,670","±2,528","1,661","±776","7.0%","±3.2","63,372","±4,182","2,138","±944","3.4%","±1.5","72,793","±3,592","1,931","±697","2.7%","±1.0","46,572","±3,145","517","±387","1.1%","±0.8","22,642","±2,005","3,091","±1,525","13.7%","±7.0","24,334","±2,439","2,287","±993","9.4%","±3.8","30,087","±2,053","1,128","±588","3.7%","±1.9","42,483","±2,642","1,039","±718","2.4%","±1.7","56,933","±3,487","2,758","±1,470","4.8%","±2.6","115,316,851","±128,608","2,879,476","±32,746","2.5%","±0.1"
