"Label","Ascension Parish, Louisiana!!Total!!Estimate","Ascension Parish, Louisiana!!Total!!Margin of Error","Ascension Parish, Louisiana!!Below poverty level!!Estimate","Ascension Parish, Louisiana!!Below poverty level!!Margin of Error","Ascension Parish, Louisiana!!Percent below poverty level!!Estimate","Ascension Parish, Louisiana!!Percent below poverty level!!Margin of Error","Bossier Parish, Louisiana!!Total!!Estimate","Bossier Parish, Louisiana!!Total!!Margin of Error","Bossier Parish, Louisiana!!Below poverty level!!Estimate","Bossier Parish, Louisiana!!Below poverty level!!Margin of Error","Bossier Parish, Louisiana!!Percent below poverty level!!Estimate","Bossier Parish, Louisiana!!Percent below poverty level!!Margin of Error","Caddo Parish, Louisiana!!Total!!Estimate","Caddo Parish, Louisiana!!Total!!Margin of Error","Caddo Parish, Louisiana!!Below poverty level!!Estimate","Caddo Parish, Louisiana!!Below poverty level!!Margin of Error","Caddo Parish, Louisiana!!Percent below poverty level!!Estimate","Caddo Parish, Louisiana!!Percent below poverty level!!Margin of Error","Calcasieu Parish, Louisiana!!Total!!Estimate","Calcasieu Parish, Louisiana!!Total!!Margin of Error","Calcasieu Parish, Louisiana!!Below poverty level!!Estimate","Calcasieu Parish, Louisiana!!Below poverty level!!Margin of Error","Calcasieu Parish, Louisiana!!Percent below poverty level!!Estimate","Calcasieu Parish, Louisiana!!Percent below poverty level!!Margin of Error","East Baton Rouge Parish, Louisiana!!Total!!Estimate","East Baton Rouge Parish, Louisiana!!Total!!Margin of Error","East Baton Rouge Parish, Louisiana!!Below poverty level!!Estimate","East Baton Rouge Parish, Louisiana!!Below poverty level!!Margin of Error","East Baton Rouge Parish, Louisiana!!Percent below poverty level!!Estimate","East Baton Rouge Parish, Louisiana!!Percent below poverty level!!Margin of Error","Iberia Parish, Louisiana!!Total!!Estimate","Iberia Parish, Louisiana!!Total!!Margin of Error","Iberia Parish, Louisiana!!Below poverty level!!Estimate","Iberia Parish, Louisiana!!Below poverty level!!Margin of Error","Iberia Parish, Louisiana!!Percent below poverty level!!Estimate","Iberia Parish, Louisiana!!Percent below poverty level!!Margin of Error","Jefferson Parish, Louisiana!!Total!!Estimate","Jefferson Parish, Louisiana!!Total!!Margin of Error","Jefferson Parish, Louisiana!!Below poverty level!!Estimate","Jefferson Parish, Louisiana!!Below poverty level!!Margin of Error","Jefferson Parish, Louisiana!!Percent below poverty level!!Estimate","Jefferson Parish, Louisiana!!Percent below poverty level!!Margin of Error","Lafayette Parish, Louisiana!!Total!!Estimate","Lafayette Parish, Louisiana!!Total!!Margin of Error","Lafayette Parish, Louisiana!!Below poverty level!!Estimate","Lafayette Parish, Louisiana!!Below poverty level!!Margin of Error","Lafayette Parish, Louisiana!!Percent below poverty level!!Estimate","Lafayette Parish, Louisiana!!Percent below poverty level!!Margin of Error","Lafourche Parish, Louisiana!!Total!!Estimate","Lafourche Parish, Louisiana!!Total!!Margin of Error","Lafourche Parish, Louisiana!!Below poverty level!!Estimate","Lafourche Parish, Louisiana!!Below poverty level!!Margin of Error","Lafourche Parish, Louisiana!!Percent below poverty level!!Estimate","Lafourche Parish, Louisiana!!Percent below poverty level!!Margin of Error","Livingston Parish, Louisiana!!Total!!Estimate","Livingston Parish, Louisiana!!Total!!Margin of Error","Livingston Parish, Louisiana!!Below poverty level!!Estimate","Livingston Parish, Louisiana!!Below poverty level!!Margin of Error","Livingston Parish, Louisiana!!Percent below poverty level!!Estimate","Livingston Parish, Louisiana!!Percent below poverty level!!Margin of Error","Orleans Parish, Louisiana!!Total!!Estimate","Orleans Parish, Louisiana!!Total!!Margin of Error","Orleans Parish, Louisiana!!Below poverty level!!Estimate","Orleans Parish, Louisiana!!Below poverty level!!Margin of Error","Orleans Parish, Louisiana!!Percent below poverty level!!Estimate","Orleans Parish, Louisiana!!Percent below poverty level!!Margin of Error","Ouachita Parish, Louisiana!!Total!!Estimate","Ouachita Parish, Louisiana!!Total!!Margin of Error","Ouachita Parish, Louisiana!!Below poverty level!!Estimate","Ouachita Parish, Louisiana!!Below poverty level!!Margin of Error","Ouachita Parish, Louisiana!!Percent below poverty level!!Estimate","Ouachita Parish, Louisiana!!Percent below poverty level!!Margin of Error","Rapides Parish, Louisiana!!Total!!Estimate","Rapides Parish, Louisiana!!Total!!Margin of Error","Rapides Parish, Louisiana!!Below poverty level!!Estimate","Rapides Parish, Louisiana!!Below poverty level!!Margin of Error","Rapides Parish, Louisiana!!Percent below poverty level!!Estimate","Rapides Parish, Louisiana!!Percent below poverty level!!Margin of Error","St. Landry Parish, Louisiana!!Total!!Estimate","St. Landry Parish, Louisiana!!Total!!Margin of Error","St. Landry Parish, Louisiana!!Below poverty level!!Estimate","St. Landry Parish, Louisiana!!Below poverty level!!Margin of Error","St. Landry Parish, Louisiana!!Percent below poverty level!!Estimate","St. Landry Parish, Louisiana!!Percent below poverty level!!Margin of Error","St. Tammany Parish, Louisiana!!Total!!Estimate","St. Tammany Parish, Louisiana!!Total!!Margin of Error","St. Tammany Parish, Louisiana!!Below poverty level!!Estimate","St. Tammany Parish, Louisiana!!Below poverty level!!Margin of Error","St. Tammany Parish, Louisiana!!Percent below poverty level!!Estimate","St. Tammany Parish, Louisiana!!Percent below poverty level!!Margin of Error","Tangipahoa Parish, Louisiana!!Total!!Estimate","Tangipahoa Parish, Louisiana!!Total!!Margin of Error","Tangipahoa Parish, Louisiana!!Below poverty level!!Estimate","Tangipahoa Parish, Louisiana!!Below poverty level!!Margin of Error","Tangipahoa Parish, Louisiana!!Percent below poverty level!!Estimate","Tangipahoa Parish, Louisiana!!Percent below poverty level!!Margin of Error","Terrebonne Parish, Louisiana!!Total!!Estimate","Terrebonne Parish, Louisiana!!Total!!Margin of Error","Terrebonne Parish, Louisiana!!Below poverty level!!Estimate","Terrebonne Parish, Louisiana!!Below poverty level!!Margin of Error","Terrebonne Parish, Louisiana!!Percent below poverty level!!Estimate","Terrebonne Parish, Louisiana!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","88,114","±1,972","5,161","±2,301","5.9%","±2.6","88,302","±1,658","15,512","±3,980","17.6%","±4.4","108,684","±1,352","16,817","±3,426","15.5%","±3.1","140,084","±1,359","23,398","±5,247","16.7%","±3.7","197,841","±2,550","20,039","±3,701","10.1%","±1.9","41,196","±949","4,910","±1,917","11.9%","±4.7","270,453","±4,428","30,353","±5,969","11.2%","±2.2","166,179","±1,535","22,820","±6,255","13.7%","±3.8","76,255","±1,128","10,002","±2,951","13.1%","±3.9","124,781","±1,835","16,536","±5,155","13.3%","±4.1","129,008","±2,778","13,650","±2,107","10.6%","±1.6","84,848","±2,726","10,846","±2,667","12.8%","±3.2","79,935","±860","9,005","±2,269","11.3%","±2.8","45,383","±595","7,141","±2,267","15.7%","±5.0","212,738","±2,666","22,236","±4,073","10.5%","±2.0","88,057","±1,725","14,713","±4,358","16.7%","±4.9","76,072","±1,654","11,455","±3,954","15.1%","±5.2","231,191,647","±101,215","23,828,085","±203,823","10.3%","±0.1"
"        Black or African American alone","30,273","±1,980","2,628","±1,739","8.7%","±5.7","28,623","±1,091","6,811","±2,103","23.8%","±7.2","117,487","±1,247","39,875","±6,284","33.9%","±5.3","49,677","±1,768","16,262","±4,268","32.7%","±8.4","202,859","±1,817","49,487","±7,541","24.4%","±3.7","22,511","±1,050","7,494","±2,448","33.3%","±11.0","115,644","±2,339","23,998","±5,529","20.8%","±4.9","63,035","±1,784","18,312","±4,511","29.1%","±7.1","13,112","±611","6,534","±1,678","49.8%","±12.6","N","N","N","N","N","N","224,102","±1,984","68,278","±6,524","30.5%","±2.9","54,014","±1,652","23,073","±3,307","42.7%","±6.0","40,147","±1,712","12,233","±2,801","30.5%","±6.8","33,498","±763","10,149","±3,125","30.3%","±9.3","33,090","±2,008","6,123","±3,183","18.5%","±8.9","38,867","±2,874","13,863","±3,633","35.7%","±9.1","20,894","±969","6,416","±3,111","30.7%","±15.0","40,291,288","±78,962","8,557,464","±86,813","21.2%","±0.2"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,749,899","±33,996","633,584","±19,354","23.0%","±0.7"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","13,966","±1,969","2,092","±1,694","15.0%","±11.6","N","N","N","N","N","N","19,571","±554","1,850","±1,555","9.5%","±7.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,429","±600","1,328","±682","12.7%","±6.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,274,780","±40,507","1,761,321","±35,380","9.6%","±0.2"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","608,300","±17,929","100,256","±10,523","16.5%","±1.7"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,008","±3,564","2,100","±1,299","19.1%","±10.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,016,665","±120,620","2,935,304","±60,267","18.3%","±0.3"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","9,338","±2,370","942","±582","10.1%","±6.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,579","±1,535","2,187","±988","28.9%","±10.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,986,212","±119,885","1,674,082","±38,384","15.2%","±0.3"
"        Hispanic or Latino origin (of any race)","N","N","N","N","N","N","8,664","±213","4,700","±1,462","54.2%","±17.1","6,887","±4","605","±427","8.8%","±6.2","8,145","±156","2,685","±1,755","33.0%","±21.6","18,884","±267","4,664","±1,986","24.7%","±10.5","N","N","N","N","N","N","63,912","±680","13,032","±4,158","20.4%","±6.5","10,852","±407","4,084","±1,992","37.6%","±18.2","N","N","N","N","N","N","N","N","N","N","N","N","20,523","±686","5,009","±1,723","24.4%","±8.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,036","±311","3,572","±2,685","23.8%","±17.8","N","N","N","N","N","N","N","N","N","N","N","N","59,226,212","±22,870","10,201,081","±106,111","17.2%","±0.2"
"        White alone, not Hispanic or Latino","84,798","±437","5,150","±2,299","6.1%","±2.7","81,426","±1,318","10,869","±3,795","13.3%","±4.7","104,118","±727","16,338","±3,400","15.7%","±3.3","133,868","±719","21,099","±4,672","15.8%","±3.5","188,946","±1,500","18,802","±3,583","10.0%","±1.9","40,552","±200","4,910","±1,917","12.1%","±4.7","222,175","±955","19,585","±3,334","8.8%","±1.5","157,051","±909","18,824","±5,777","12.0%","±3.7","72,995","±700","8,739","±2,704","12.0%","±3.7","121,180","±995","16,125","±5,093","13.3%","±4.2","117,018","±889","11,225","±1,716","9.6%","±1.5","84,040","±2,632","10,765","±2,669","12.8%","±3.2","77,064","±688","7,092","±2,070","9.2%","±2.7","43,880","±478","6,860","±2,195","15.6%","±5.0","201,576","±555","21,839","±3,986","10.8%","±2.0","83,421","±743","12,069","±3,854","14.5%","±4.6","71,977","±1,037","9,314","±3,074","12.9%","±4.3","192,289,025","±32,778","17,352,095","±147,912","9.0%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","81,910","±1,718","6,001","±2,016","7.3%","±2.5","83,703","±975","12,534","±2,699","15.0%","±3.2","159,826","±1,083","30,897","±4,231","19.3%","±2.7","132,517","±1,434","22,570","±3,909","17.0%","±2.9","278,954","±1,083","34,720","±4,421","12.4%","±1.6","46,143","±1,437","8,108","±1,912","17.6%","±4.2","302,481","±928","33,335","±3,906","11.0%","±1.3","161,792","±1,186","22,857","±3,783","14.1%","±2.3","65,475","±1,205","8,702","±2,026","13.3%","±3.1","92,033","±1,990","11,845","±3,565","12.9%","±3.9","277,212","±785","54,324","±4,953","19.6%","±1.8","96,026","±2,905","19,071","±2,861","19.9%","±2.9","84,459","±1,082","12,014","±2,224","14.2%","±2.6","53,225","±1,203","9,956","±2,205","18.7%","±4.2","177,278","±1,257","17,468","±3,206","9.9%","±1.8","86,559","±854","14,318","±3,525","16.5%","±4.0","73,954","±1,525","11,619","±2,493","15.7%","±3.4","221,309,178","±69,454","22,277,293","±100,474","10.1%","±0.1"
"            Less than high school graduate","6,049","±1,706","1,989","±1,103","32.9%","±14.0","7,633","±1,870","3,817","±1,522","50.0%","±13.1","21,181","±3,389","9,538","±2,266","45.0%","±8.6","18,063","±3,383","7,293","±2,664","40.4%","±10.4","24,917","±3,013","6,083","±1,485","24.4%","±6.1","6,913","±1,704","2,256","±1,004","32.6%","±12.0","36,899","±3,279","9,328","±1,630","25.3%","±4.4","15,719","±2,286","5,325","±1,491","33.9%","±9.4","14,062","±2,137","3,007","±1,182","21.4%","±7.8","16,269","±3,416","3,186","±1,660","19.6%","±9.9","34,330","±3,823","15,345","±2,712","44.7%","±5.4","12,087","±2,307","5,557","±1,711","46.0%","±9.9","11,494","±1,965","3,689","±1,121","32.1%","±7.7","12,172","±1,900","3,829","±1,350","31.5%","±9.6","15,063","±2,542","4,221","±1,545","28.0%","±9.4","13,209","±2,547","5,560","±1,981","42.1%","±11.3","13,928","±1,847","3,132","±1,215","22.5%","±8.2","24,684,741","±124,554","5,769,908","±52,665","23.4%","±0.2"
"            High school graduate (includes equivalency)","28,123","±3,099","2,594","±1,217","9.2%","±4.2","27,559","±2,662","4,541","±1,498","16.5%","±5.1","53,905","±3,355","12,930","±2,307","24.0%","±4.2","46,711","±4,170","8,131","±1,652","17.4%","±3.4","78,384","±5,375","14,092","±2,867","18.0%","±3.5","22,047","±3,181","3,639","±1,178","16.5%","±5.1","91,703","±5,442","10,097","±2,037","11.0%","±2.1","47,275","±4,578","9,627","±2,438","20.4%","±4.7","26,154","±2,541","3,583","±1,113","13.7%","±4.2","32,825","±3,536","5,052","±2,039","15.4%","±6.1","63,278","±4,711","20,028","±2,847","31.7%","±3.9","31,338","±3,001","8,418","±1,961","26.9%","±5.4","30,438","±2,529","4,087","±1,224","13.4%","±3.8","22,619","±2,445","4,592","±1,425","20.3%","±5.9","47,401","±3,954","4,508","±1,434","9.5%","±2.9","30,798","±3,392","5,961","±1,837","19.4%","±5.9","28,820","±2,926","5,006","±1,969","17.4%","±6.1","58,978,752","±181,385","7,703,553","±55,245","13.1%","±0.1"
"            Some college, associate's degree","26,637","±3,076","1,418","±744","5.3%","±2.8","29,646","±3,192","3,345","±1,497","11.3%","±4.9","46,293","±3,472","5,832","±1,430","12.6%","±3.1","37,010","±3,306","4,719","±1,299","12.8%","±3.4","77,758","±5,308","8,947","±1,882","11.5%","±2.2","9,623","±1,864","2,051","±841","21.3%","±8.7","88,801","±5,010","9,665","±2,001","10.9%","±2.2","41,825","±3,505","4,631","±1,823","11.1%","±4.0","14,198","±2,153","1,989","±981","14.0%","±6.2","23,173","±3,021","2,802","±1,385","12.1%","±6.0","69,197","±3,749","12,569","±1,927","18.2%","±2.6","26,471","±2,772","3,756","±1,116","14.2%","±3.9","25,852","±2,258","3,740","±1,204","14.5%","±4.3","12,177","±2,239","1,435","±653","11.8%","±4.9","50,145","±3,945","6,068","±2,006","12.1%","±3.9","21,022","±3,309","2,099","±972","10.0%","±4.9","19,312","±2,604","2,916","±1,245","15.1%","±5.8","63,469,132","±124,428","5,781,713","±44,040","9.1%","±0.1"
"            Bachelor's degree or higher","21,101","±3,012","0","±224","0.0%","±1.0","18,865","±2,651","831","±761","4.4%","±4.0","38,447","±3,537","2,597","±1,119","6.8%","±2.9","30,733","±3,492","2,427","±1,093","7.9%","±3.5","97,895","±5,380","5,598","±1,510","5.7%","±1.5","7,560","±1,681","162","±196","2.1%","±2.6","85,078","±5,078","4,245","±1,141","5.0%","±1.3","56,973","±4,348","3,274","±1,441","5.7%","±2.5","11,061","±1,569","123","±164","1.1%","±1.5","19,766","±2,897","805","±527","4.1%","±2.8","110,407","±4,273","6,382","±1,374","5.8%","±1.2","26,130","±2,946","1,340","±580","5.1%","±2.1","16,675","±2,664","498","±425","3.0%","±2.4","6,257","±1,365","100","±107","1.6%","±1.7","64,669","±4,023","2,671","±1,161","4.1%","±1.8","21,530","±3,749","698","±508","3.2%","±2.4","11,894","±2,379","565","±428","4.8%","±3.8","74,176,553","±238,708","3,022,119","±35,088","4.1%","±0.1"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","63,951","±2,918","2,698","±1,365","4.2%","±2.1","56,076","±2,632","5,990","±1,883","10.7%","±3.4","102,278","±4,531","13,136","±2,749","12.8%","±2.7","87,936","±3,685","9,770","±2,594","11.1%","±2.9","227,068","±5,950","24,425","±3,681","10.8%","±1.6","30,161","±2,060","2,641","±985","8.8%","±3.3","225,283","±4,409","17,538","±3,293","7.8%","±1.5","125,687","±4,152","14,302","±3,203","11.4%","±2.6","43,679","±2,240","4,893","±1,576","11.2%","±3.6","66,291","±3,732","4,974","±2,307","7.5%","±3.5","200,082","±3,442","23,331","±3,239","11.7%","±1.6","66,386","±3,667","7,630","±1,476","11.5%","±2.1","58,283","±2,648","6,449","±1,677","11.1%","±2.9","33,433","±2,348","3,479","±1,170","10.4%","±3.6","121,814","±4,290","7,777","±2,026","6.4%","±1.7","61,373","±2,866","7,641","±2,251","12.5%","±3.7","51,896","±2,734","7,578","±2,569","14.6%","±5.1","165,157,929","±158,642","11,009,125","±71,784","6.7%","±0.1"
"            Employed","62,410","±3,043","2,029","±1,149","3.3%","±1.8","54,547","±2,543","5,924","±1,883","10.9%","±3.5","96,168","±4,540","10,186","±2,435","10.6%","±2.5","83,073","±4,120","7,322","±2,148","8.8%","±2.6","212,234","±6,040","20,332","±3,415","9.6%","±1.6","29,496","±2,009","2,606","±969","8.8%","±3.3","215,630","±4,621","14,814","±2,999","6.9%","±1.4","118,758","±4,712","10,750","±2,408","9.1%","±2.0","41,050","±2,208","3,455","±1,330","8.4%","±3.3","63,551","±4,126","3,681","±1,643","5.8%","±2.6","184,352","±4,143","17,617","±2,659","9.6%","±1.4","64,071","±3,539","6,887","±1,363","10.7%","±2.0","56,107","±2,818","5,318","±1,621","9.5%","±2.9","31,413","±2,402","2,796","±989","8.9%","±3.2","116,689","±4,145","6,843","±1,933","5.9%","±1.7","57,931","±3,141","7,007","±1,814","12.1%","±3.3","49,048","±3,077","6,290","±2,404","12.8%","±5.0","157,766,768","±156,792","8,918,835","±62,296","5.7%","±0.1"
"                Male","33,096","±2,031","377","±356","1.1%","±1.1","28,532","±2,072","2,811","±1,246","9.9%","±4.3","47,548","±3,257","4,286","±1,667","9.0%","±3.4","44,758","±2,842","2,705","±1,229","6.0%","±2.7","105,268","±3,173","6,610","±1,844","6.3%","±1.8","15,527","±1,474","952","±580","6.1%","±3.7","109,882","±2,822","6,947","±2,046","6.3%","±1.9","60,342","±3,386","3,900","±1,289","6.5%","±2.2","22,778","±1,583","1,359","±676","6.0%","±3.0","33,756","±2,625","2,070","±1,026","6.1%","±3.1","90,393","±3,678","7,395","±1,678","8.2%","±1.8","29,937","±2,797","2,550","±978","8.5%","±3.2","27,349","±1,782","848","±505","3.1%","±1.9","17,040","±1,613","666","±423","3.9%","±2.5","59,168","±2,550","2,265","±1,089","3.8%","±1.8","28,627","±2,387","2,269","±1,169","7.9%","±4.0","25,529","±2,571","1,832","±1,086","7.2%","±4.1","82,669,669","±91,074","3,886,120","±43,570","4.7%","±0.1"
"                Female","29,314","±2,315","1,652","±1,038","5.6%","±3.5","26,015","±1,906","3,113","±1,181","12.0%","±4.5","48,620","±3,243","5,900","±1,527","12.1%","±3.2","38,315","±2,510","4,617","±1,491","12.1%","±3.9","106,966","±4,648","13,722","±2,826","12.8%","±2.5","13,969","±1,503","1,654","±791","11.8%","±5.6","105,748","±3,506","7,867","±2,225","7.4%","±2.1","58,416","±2,753","6,850","±1,970","11.7%","±3.3","18,272","±1,586","2,096","±1,019","11.5%","±5.6","29,795","±2,668","1,611","±947","5.4%","±3.3","93,959","±2,928","10,222","±1,539","10.9%","±1.6","34,134","±2,648","4,337","±1,169","12.7%","±3.1","28,758","±2,241","4,470","±1,453","15.5%","±4.8","14,373","±1,626","2,130","±867","14.8%","±5.9","57,521","±3,346","4,578","±1,327","8.0%","±2.4","29,304","±2,205","4,738","±1,275","16.2%","±4.5","23,519","±2,359","4,458","±1,720","19.0%","±7.5","75,097,099","±105,995","5,032,715","±43,140","6.7%","±0.1"
"            Unemployed","1,541","±1,047","669","±777","43.4%","±33.3","1,529","±839","66","±90","4.3%","±6.3","6,110","±1,578","2,950","±1,177","48.3%","±12.6","4,863","±1,676","2,448","±1,406","50.3%","±17.2","14,834","±2,592","4,093","±1,374","27.6%","±7.6","665","±393","35","±67","5.3%","±9.5","9,653","±1,947","2,724","±986","28.2%","±9.4","6,929","±2,118","3,552","±1,668","51.3%","±14.7","2,629","±899","1,438","±726","54.7%","±16.1","2,740","±1,810","1,293","±1,343","47.2%","±34.3","15,730","±2,962","5,714","±1,760","36.3%","±8.8","2,315","±858","743","±508","32.1%","±16.2","2,176","±908","1,131","±655","52.0%","±17.3","2,020","±815","683","±535","33.8%","±19.9","5,125","±1,393","934","±493","18.2%","±9.6","3,442","±1,496","634","±758","18.4%","±18.9","2,848","±1,157","1,288","±941","45.2%","±21.7","7,391,161","±47,457","2,090,290","±29,774","28.3%","±0.4"
"                Male","700","±475","140","±175","20.0%","±23.1","1,270","±769","66","±90","5.2%","±7.7","2,780","±1,121","998","±707","35.9%","±19.0","2,573","±1,244","1,398","±1,087","54.3%","±24.8","9,969","±2,023","2,812","±1,267","28.2%","±10.3","385","±319","0","±224","0.0%","±38.2","4,548","±1,377","1,313","±651","28.9%","±13.4","4,469","±1,624","2,464","±1,361","55.1%","±17.0","1,002","±609","601","±479","60.0%","±25.7","2,060","±1,696","1,276","±1,344","61.9%","±41.0","9,306","±2,573","2,656","±1,421","28.5%","±12.6","1,243","±622","389","±393","31.3%","±22.8","1,065","±574","675","±461","63.4%","±26.5","888","±612","199","±319","22.4%","±29.7","2,815","±1,108","278","±289","9.9%","±10.5","2,797","±1,455","526","±748","18.8%","±22.6","1,227","±701","334","±388","27.2%","±24.5","3,965,365","±36,702","1,018,900","±16,758","25.7%","±0.4"
"                Female","841","±790","529","±733","62.9%","±48.6","259","±235","0","±224","0.0%","±46.6","3,330","±1,057","1,952","±862","58.6%","±16.0","2,290","±966","1,050","±699","45.9%","±20.1","4,865","±1,505","1,281","±605","26.3%","±11.6","280","±242","35","±67","12.5%","±24.1","5,105","±1,380","1,411","±644","27.6%","±11.0","2,460","±1,221","1,088","±741","44.2%","±22.7","1,627","±653","837","±557","51.4%","±20.5","680","±663","17","±35","2.5%","±6.4","6,424","±1,380","3,058","±1,053","47.6%","±11.4","1,072","±549","354","±263","33.0%","±20.7","1,111","±606","456","±373","41.0%","±23.6","1,132","±606","484","±419","42.8%","±25.2","2,310","±957","656","±472","28.4%","±18.5","645","±432","108","±135","16.7%","±20.2","1,621","±831","954","±764","58.9%","±27.5","3,425,796","±32,910","1,071,390","±20,116","31.3%","±0.5"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","94,883","±1,013","7,184","±2,564","7.6%","±2.7","97,902","±1,591","14,587","±2,917","14.9%","±3.0","186,196","±1,635","38,432","±4,617","20.6%","±2.5","154,369","±1,407","27,947","±4,669","18.1%","±3.0","344,258","±1,905","52,991","±6,125","15.4%","±1.8","53,474","±1,163","10,239","±2,214","19.1%","±4.1","344,675","±1,318","41,237","±5,400","12.0%","±1.6","187,605","±2,053","29,243","±4,780","15.6%","±2.5","74,606","±857","11,423","±2,419","15.3%","±3.3","109,103","±1,853","13,744","±3,982","12.6%","±3.6","311,620","±1,712","65,794","±5,654","21.1%","±1.8","112,684","±3,185","23,253","±3,453","20.6%","±3.0","98,561","±1,529","15,195","±2,723","15.4%","±2.7","62,792","±822","11,962","±2,442","19.1%","±3.9","203,113","±1,041","21,993","±3,968","10.8%","±2.0","101,662","±1,393","19,231","±3,838","18.9%","±3.8","85,496","±1,467","14,230","±3,374","16.6%","±3.9","256,651,001","±52,263","28,665,305","±140,560","11.2%","±0.1"
"            Worked full-time, year-round in the past 12 months","50,989","±2,936","1,051","±740","2.1%","±1.5","46,768","±2,415","3,361","±1,318","7.2%","±2.8","73,039","±4,177","3,899","±1,482","5.3%","±2.1","58,747","±4,336","2,584","±1,147","4.4%","±1.9","149,637","±5,591","5,721","±1,814","3.8%","±1.2","24,502","±2,184","1,811","±938","7.4%","±3.8","162,304","±5,253","5,977","±1,833","3.7%","±1.1","88,739","±4,613","5,228","±1,862","5.9%","±2.1","29,385","±2,175","1,265","±931","4.3%","±3.2","47,812","±4,689","1,180","±792","2.5%","±1.7","132,396","±4,633","3,663","±1,056","2.8%","±0.8","48,455","±3,202","2,849","±946","5.9%","±1.9","43,394","±2,620","2,583","±1,048","6.0%","±2.4","22,229","±2,669","1,126","±543","5.1%","±2.4","85,088","±4,359","2,448","±1,082","2.9%","±1.2","39,551","±3,092","2,372","±1,089","6.0%","±2.8","34,626","±3,021","2,896","±1,324","8.4%","±3.8","115,316,851","±128,608","2,879,476","±32,746","2.5%","±0.1"
