"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Below poverty level!!Estimate","Boone County, Kentucky!!Below poverty level!!Margin of Error","Boone County, Kentucky!!Percent below poverty level!!Estimate","Boone County, Kentucky!!Percent below poverty level!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Below poverty level!!Estimate","Bullitt County, Kentucky!!Below poverty level!!Margin of Error","Bullitt County, Kentucky!!Percent below poverty level!!Estimate","Bullitt County, Kentucky!!Percent below poverty level!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Below poverty level!!Estimate","Campbell County, Kentucky!!Below poverty level!!Margin of Error","Campbell County, Kentucky!!Percent below poverty level!!Estimate","Campbell County, Kentucky!!Percent below poverty level!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Below poverty level!!Estimate","Christian County, Kentucky!!Below poverty level!!Margin of Error","Christian County, Kentucky!!Percent below poverty level!!Estimate","Christian County, Kentucky!!Percent below poverty level!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Below poverty level!!Estimate","Daviess County, Kentucky!!Below poverty level!!Margin of Error","Daviess County, Kentucky!!Percent below poverty level!!Estimate","Daviess County, Kentucky!!Percent below poverty level!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Below poverty level!!Estimate","Fayette County, Kentucky!!Below poverty level!!Margin of Error","Fayette County, Kentucky!!Percent below poverty level!!Estimate","Fayette County, Kentucky!!Percent below poverty level!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Below poverty level!!Estimate","Hardin County, Kentucky!!Below poverty level!!Margin of Error","Hardin County, Kentucky!!Percent below poverty level!!Estimate","Hardin County, Kentucky!!Percent below poverty level!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Below poverty level!!Estimate","Jefferson County, Kentucky!!Below poverty level!!Margin of Error","Jefferson County, Kentucky!!Percent below poverty level!!Estimate","Jefferson County, Kentucky!!Percent below poverty level!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Below poverty level!!Estimate","Kenton County, Kentucky!!Below poverty level!!Margin of Error","Kenton County, Kentucky!!Percent below poverty level!!Estimate","Kenton County, Kentucky!!Percent below poverty level!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Below poverty level!!Estimate","McCracken County, Kentucky!!Below poverty level!!Margin of Error","McCracken County, Kentucky!!Percent below poverty level!!Estimate","McCracken County, Kentucky!!Percent below poverty level!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Below poverty level!!Estimate","Madison County, Kentucky!!Below poverty level!!Margin of Error","Madison County, Kentucky!!Percent below poverty level!!Estimate","Madison County, Kentucky!!Percent below poverty level!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Below poverty level!!Estimate","Oldham County, Kentucky!!Below poverty level!!Margin of Error","Oldham County, Kentucky!!Percent below poverty level!!Estimate","Oldham County, Kentucky!!Percent below poverty level!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Below poverty level!!Estimate","Warren County, Kentucky!!Below poverty level!!Margin of Error","Warren County, Kentucky!!Percent below poverty level!!Estimate","Warren County, Kentucky!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"        65 years and over","18,193","±489","721","±516","4.0%","±2.8","13,452","±809","979","±736","7.3%","±5.1","14,974","±494","1,722","±702","11.5%","±4.7","8,698","±531","1,054","±447","12.1%","±5.0","16,989","±505","2,361","±943","13.9%","±5.6","42,812","±630","4,037","±1,020","9.4%","±2.4","15,933","±879","1,697","±807","10.7%","±5.0","124,667","±408","12,216","±1,595","9.8%","±1.3","24,049","±634","3,235","±962","13.5%","±3.9","12,278","±563","1,300","±642","10.6%","±5.1","12,749","±319","1,402","±654","11.0%","±5.2","9,530","±595","989","±845","10.4%","±8.7","16,318","±823","403","±315","2.5%","±1.9","52,782,328","±26,315","4,985,269","±36,715","9.4%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","65,942","±1,105","4,808","±1,733","7.3%","±2.6","40,355","±729","1,973","±997","4.9%","±2.4","43,879","±1,136","4,138","±1,045","9.4%","±2.4","30,612","±1,832","4,181","±1,208","13.7%","±4.1","48,154","±891","8,088","±1,686","16.8%","±3.5","151,566","±1,723","23,536","±3,566","15.5%","±2.3","52,663","±1,280","4,159","±1,468","7.9%","±2.7","361,869","±1,711","44,244","±5,407","12.2%","±1.5","80,999","±806","8,598","±2,040","10.6%","±2.5","30,717","±617","4,395","±1,527","14.3%","±5.0","42,208","±1,105","7,467","±1,806","17.7%","±4.2","30,876","±958","1,671","±698","5.4%","±2.3","62,326","±1,496","10,070","±2,785","16.2%","±4.4","156,743,490","±42,059","17,473,451","±123,014","11.1%","±0.1"
"        Female","65,191","±1,198","5,356","±1,601","8.2%","±2.5","40,725","±498","2,887","±1,630","7.1%","±4.0","46,454","±798","5,995","±1,686","12.9%","±3.6","33,363","±1,427","8,547","±2,105","25.6%","±6.0","50,550","±616","8,445","±1,854","16.7%","±3.7","158,904","±1,403","24,762","±3,304","15.6%","±2.1","54,137","±1,184","6,259","±1,609","11.6%","±3.0","388,716","±1,832","60,515","±5,597","15.6%","±1.4","84,263","±821","9,852","±2,014","11.7%","±2.4","33,349","±972","5,652","±1,492","16.9%","±4.5","43,845","±1,060","8,291","±1,376","18.9%","±3.1","32,244","±663","1,518","±760","4.7%","±2.4","63,001","±1,547","9,888","±2,184","15.7%","±3.5","163,375,301","±45,562","22,016,645","±137,887","13.5%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","119,578","±1,383","9,501","±2,678","7.9%","±2.2","77,345","±718","4,379","±1,959","5.7%","±2.5","84,979","±1,282","8,545","±2,117","10.1%","±2.5","43,681","±1,392","7,922","±2,320","18.1%","±5.2","88,179","±1,545","12,878","±3,313","14.6%","±3.7","227,887","±3,120","29,153","±4,020","12.8%","±1.7","84,458","±1,695","8,738","±2,447","10.3%","±2.9","534,848","±2,845","58,964","±7,032","11.0%","±1.3","148,831","±1,691","11,622","±3,064","7.8%","±2.0","54,256","±1,016","7,100","±2,419","13.1%","±4.4","79,087","±1,264","13,462","±2,111","17.0%","±2.7","58,473","±743","2,860","±1,193","4.9%","±2.0","101,404","±1,874","14,496","±3,591","14.3%","±3.5","231,191,647","±101,215","23,828,085","±203,823","10.3%","±0.1"
"        Black or African American alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,016","±1,194","3,622","±1,564","24.1%","±10.6","N","N","N","N","N","N","45,864","±2,318","12,204","±3,121","26.6%","±6.4","13,116","±1,598","1,518","±883","11.6%","±7.2","168,945","±3,196","40,346","±6,102","23.9%","±3.5","6,579","±1,182","2,432","±1,014","37.0%","±12.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,003","±1,884","2,297","±1,003","20.9%","±8.8","40,291,288","±78,962","8,557,464","±86,813","21.2%","±0.2"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,749,899","±33,996","633,584","±19,354","23.0%","±0.7"
"        Asian alone","3,807","±230","499","±663","13.1%","±17.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,736","±1,496","1,888","±1,207","39.9%","±22.6","13,373","±778","2,027","±1,173","15.2%","±8.7","N","N","N","N","N","N","22,606","±1,176","1,579","±681","7.0%","±3.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,274,780","±40,507","1,761,321","±35,380","9.6%","±0.2"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","608,300","±17,929","100,256","±10,523","16.5%","±1.7"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,016,665","±120,620","2,935,304","±60,267","18.3%","±0.3"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","13,863","±3,383","3,542","±1,757","25.6%","±10.7","N","N","N","N","N","N","17,761","±3,170","2,862","±1,431","16.1%","±7.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,986,212","±119,885","1,674,082","±38,384","15.2%","±0.3"
"        Hispanic or Latino origin (of any race)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,310","±57","2,201","±640","66.5%","±18.9","23,565","±248","5,371","±2,087","22.8%","±8.9","6,136","±230","218","±164","3.6%","±2.7","44,521","±493","8,147","±3,128","18.3%","±7.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,036","±288","2,041","±1,335","29.0%","±18.8","59,226,212","±22,870","10,201,081","±106,111","17.2%","±0.2"
"        White alone, not Hispanic or Latino","113,831","±1,329","8,584","±2,378","7.5%","±2.1","76,184","±527","4,231","±1,923","5.6%","±2.5","83,812","±1,080","8,545","±2,117","10.2%","±2.5","41,571","±1,119","7,701","±2,286","18.5%","±5.5","86,295","±934","11,618","±2,945","13.5%","±3.4","218,674","±1,739","26,588","±3,733","12.2%","±1.7","81,059","±1,378","8,593","±2,428","10.6%","±3.0","498,709","±1,688","52,271","±5,959","10.5%","±1.2","145,739","±588","10,484","±2,589","7.2%","±1.8","53,266","±801","6,700","±2,325","12.6%","±4.4","77,663","±1,059","13,255","±2,107","17.1%","±2.7","55,985","±733","2,860","±1,193","5.1%","±2.1","97,080","±1,123","13,569","±3,467","14.0%","±3.6","192,289,025","±32,778","17,352,095","±147,912","9.0%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","86,824","±1,427","6,209","±1,561","7.2%","±1.8","57,582","±613","3,505","±1,257","6.1%","±2.2","63,740","±737","6,432","±1,648","10.1%","±2.6","38,158","±1,394","6,585","±1,419","17.3%","±3.8","67,405","±1,064","9,353","±1,841","13.9%","±2.7","207,494","±1,208","23,733","±3,243","11.4%","±1.6","72,606","±1,455","6,465","±1,640","8.9%","±2.3","526,023","±893","59,056","±5,049","11.2%","±1.0","112,054","±948","9,626","±1,732","8.6%","±1.5","44,312","±1,097","5,396","±1,448","12.2%","±3.2","56,032","±1,077","7,042","±1,348","12.6%","±2.4","41,371","±1,037","1,860","±988","4.5%","±2.4","80,007","±1,180","8,434","±1,793","10.5%","±2.2","221,309,178","±69,454","22,277,293","±100,474","10.1%","±0.1"
"            Less than high school graduate","6,564","±1,720","887","±653","13.5%","±9.9","6,660","±1,759","1,160","±813","17.4%","±10.9","5,260","±1,172","2,210","±935","42.0%","±13.1","5,599","±1,156","1,979","±663","35.3%","±10.7","8,420","±2,007","2,628","±1,033","31.2%","±10.0","15,270","±1,980","5,300","±1,288","34.7%","±7.4","5,746","±1,400","1,727","±842","30.1%","±12.8","43,640","±3,762","14,229","±2,460","32.6%","±4.6","9,840","±1,501","2,397","±785","24.4%","±7.4","4,745","±1,226","1,396","±649","29.4%","±14.2","4,929","±1,144","1,509","±561","30.6%","±10.5","1,673","±804","567","±694","33.9%","±31.4","8,121","±1,735","2,345","±929","28.9%","±10.9","24,684,741","±124,554","5,769,908","±52,665","23.4%","±0.2"
"            High school graduate (includes equivalency)","22,879","±2,657","2,375","±1,054","10.4%","±4.4","23,124","±2,379","1,086","±611","4.7%","±2.5","16,764","±1,628","2,040","±674","12.2%","±3.9","10,765","±1,346","2,253","±942","20.9%","±8.0","20,636","±2,143","4,570","±1,277","22.1%","±5.8","43,223","±3,441","7,776","±1,959","18.0%","±4.4","22,870","±2,400","3,044","±1,225","13.3%","±5.0","140,352","±5,537","21,364","±2,589","15.2%","±1.9","32,283","±2,350","4,083","±1,203","12.6%","±3.5","14,468","±1,845","2,343","±947","16.2%","±6.0","17,135","±1,830","2,610","±961","15.2%","±5.3","9,142","±1,313","663","±544","7.3%","±5.9","20,433","±2,266","2,867","±1,042","14.0%","±5.1","58,978,752","±181,385","7,703,553","±55,245","13.1%","±0.1"
"            Some college, associate's degree","29,502","±2,717","2,327","±935","7.9%","±3.3","18,784","±1,902","855","±529","4.6%","±2.8","15,766","±1,593","1,428","±649","9.1%","±4.2","13,763","±1,750","2,060","±924","15.0%","±6.4","21,344","±2,062","1,396","±580","6.5%","±2.7","54,576","±3,588","6,545","±1,697","12.0%","±2.9","26,265","±2,364","1,284","±480","4.9%","±1.9","155,961","±6,162","16,802","±2,366","10.8%","±1.4","32,849","±2,705","2,152","±868","6.6%","±2.5","13,888","±1,835","1,107","±451","8.0%","±3.5","15,670","±1,772","2,081","±720","13.3%","±4.5","12,001","±1,505","342","±293","2.8%","±2.3","22,763","±2,401","1,784","±787","7.8%","±3.4","63,469,132","±124,428","5,781,713","±44,040","9.1%","±0.1"
"            Bachelor's degree or higher","27,879","±2,940","620","±419","2.2%","±1.5","9,014","±1,575","404","±383","4.5%","±4.3","25,950","±2,033","754","±545","2.9%","±2.1","8,031","±1,246","293","±336","3.6%","±4.2","17,005","±2,031","759","±580","4.5%","±3.3","94,425","±4,163","4,112","±1,473","4.4%","±1.5","17,725","±2,221","410","±279","2.3%","±1.6","186,070","±5,467","6,661","±1,422","3.6%","±0.7","37,082","±2,550","994","±407","2.7%","±1.1","11,211","±1,909","550","±409","4.9%","±3.6","18,298","±2,332","842","±511","4.6%","±2.7","18,555","±1,479","288","±213","1.6%","±1.2","28,690","±2,742","1,438","±801","5.0%","±2.7","74,176,553","±238,708","3,022,119","±35,088","4.1%","±0.1"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
