"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Total!!Margin of Error","Baldwin County, Alabama!!Below poverty level!!Estimate","Baldwin County, Alabama!!Below poverty level!!Margin of Error","Baldwin County, Alabama!!Percent below poverty level!!Estimate","Baldwin County, Alabama!!Percent below poverty level!!Margin of Error","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Total!!Margin of Error","Calhoun County, Alabama!!Below poverty level!!Estimate","Calhoun County, Alabama!!Below poverty level!!Margin of Error","Calhoun County, Alabama!!Percent below poverty level!!Estimate","Calhoun County, Alabama!!Percent below poverty level!!Margin of Error","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Total!!Margin of Error","Cullman County, Alabama!!Below poverty level!!Estimate","Cullman County, Alabama!!Below poverty level!!Margin of Error","Cullman County, Alabama!!Percent below poverty level!!Estimate","Cullman County, Alabama!!Percent below poverty level!!Margin of Error","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Total!!Margin of Error","DeKalb County, Alabama!!Below poverty level!!Estimate","DeKalb County, Alabama!!Below poverty level!!Margin of Error","DeKalb County, Alabama!!Percent below poverty level!!Estimate","DeKalb County, Alabama!!Percent below poverty level!!Margin of Error","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Total!!Margin of Error","Elmore County, Alabama!!Below poverty level!!Estimate","Elmore County, Alabama!!Below poverty level!!Margin of Error","Elmore County, Alabama!!Percent below poverty level!!Estimate","Elmore County, Alabama!!Percent below poverty level!!Margin of Error","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Total!!Margin of Error","Etowah County, Alabama!!Below poverty level!!Estimate","Etowah County, Alabama!!Below poverty level!!Margin of Error","Etowah County, Alabama!!Percent below poverty level!!Estimate","Etowah County, Alabama!!Percent below poverty level!!Margin of Error","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Total!!Margin of Error","Houston County, Alabama!!Below poverty level!!Estimate","Houston County, Alabama!!Below poverty level!!Margin of Error","Houston County, Alabama!!Percent below poverty level!!Estimate","Houston County, Alabama!!Percent below poverty level!!Margin of Error","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Total!!Margin of Error","Jefferson County, Alabama!!Below poverty level!!Estimate","Jefferson County, Alabama!!Below poverty level!!Margin of Error","Jefferson County, Alabama!!Percent below poverty level!!Estimate","Jefferson County, Alabama!!Percent below poverty level!!Margin of Error","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Total!!Margin of Error","Lauderdale County, Alabama!!Below poverty level!!Estimate","Lauderdale County, Alabama!!Below poverty level!!Margin of Error","Lauderdale County, Alabama!!Percent below poverty level!!Estimate","Lauderdale County, Alabama!!Percent below poverty level!!Margin of Error","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Total!!Margin of Error","Lee County, Alabama!!Below poverty level!!Estimate","Lee County, Alabama!!Below poverty level!!Margin of Error","Lee County, Alabama!!Percent below poverty level!!Estimate","Lee County, Alabama!!Percent below poverty level!!Margin of Error","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Total!!Margin of Error","Limestone County, Alabama!!Below poverty level!!Estimate","Limestone County, Alabama!!Below poverty level!!Margin of Error","Limestone County, Alabama!!Percent below poverty level!!Estimate","Limestone County, Alabama!!Percent below poverty level!!Margin of Error","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Total!!Margin of Error","Madison County, Alabama!!Below poverty level!!Estimate","Madison County, Alabama!!Below poverty level!!Margin of Error","Madison County, Alabama!!Percent below poverty level!!Estimate","Madison County, Alabama!!Percent below poverty level!!Margin of Error","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Total!!Margin of Error","Marshall County, Alabama!!Below poverty level!!Estimate","Marshall County, Alabama!!Below poverty level!!Margin of Error","Marshall County, Alabama!!Percent below poverty level!!Estimate","Marshall County, Alabama!!Percent below poverty level!!Margin of Error","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Total!!Margin of Error","Mobile County, Alabama!!Below poverty level!!Estimate","Mobile County, Alabama!!Below poverty level!!Margin of Error","Mobile County, Alabama!!Percent below poverty level!!Estimate","Mobile County, Alabama!!Percent below poverty level!!Margin of Error","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Total!!Margin of Error","Montgomery County, Alabama!!Below poverty level!!Estimate","Montgomery County, Alabama!!Below poverty level!!Margin of Error","Montgomery County, Alabama!!Percent below poverty level!!Estimate","Montgomery County, Alabama!!Percent below poverty level!!Margin of Error","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Total!!Margin of Error","Morgan County, Alabama!!Below poverty level!!Estimate","Morgan County, Alabama!!Below poverty level!!Margin of Error","Morgan County, Alabama!!Percent below poverty level!!Estimate","Morgan County, Alabama!!Percent below poverty level!!Margin of Error","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Total!!Margin of Error","St. Clair County, Alabama!!Below poverty level!!Estimate","St. Clair County, Alabama!!Below poverty level!!Margin of Error","St. Clair County, Alabama!!Percent below poverty level!!Estimate","St. Clair County, Alabama!!Percent below poverty level!!Margin of Error","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Total!!Margin of Error","Shelby County, Alabama!!Below poverty level!!Estimate","Shelby County, Alabama!!Below poverty level!!Margin of Error","Shelby County, Alabama!!Percent below poverty level!!Estimate","Shelby County, Alabama!!Percent below poverty level!!Margin of Error","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Total!!Margin of Error","Talladega County, Alabama!!Below poverty level!!Estimate","Talladega County, Alabama!!Below poverty level!!Margin of Error","Talladega County, Alabama!!Percent below poverty level!!Estimate","Talladega County, Alabama!!Percent below poverty level!!Margin of Error","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Total!!Margin of Error","Tuscaloosa County, Alabama!!Below poverty level!!Estimate","Tuscaloosa County, Alabama!!Below poverty level!!Margin of Error","Tuscaloosa County, Alabama!!Percent below poverty level!!Estimate","Tuscaloosa County, Alabama!!Percent below poverty level!!Margin of Error","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Total!!Margin of Error","Walker County, Alabama!!Below poverty level!!Estimate","Walker County, Alabama!!Below poverty level!!Margin of Error","Walker County, Alabama!!Percent below poverty level!!Estimate","Walker County, Alabama!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"        65 years and over","46,838","±1,373","4,281","±1,471","9.1%","±3.1","20,145","±315","1,445","±545","7.2%","±2.7","15,046","±418","1,010","±430","6.7%","±2.8","11,511","±297","974","±421","8.5%","±3.6","12,362","±463","632","±386","5.1%","±3.1","19,575","±497","3,924","±1,143","20.0%","±5.8","18,622","±533","2,078","±447","11.2%","±2.4","105,640","±1,173","12,570","±1,940","11.9%","±1.8","19,028","±820","1,853","±755","9.7%","±4.1","20,581","±667","1,178","±567","5.7%","±2.8","15,742","±1,347","1,396","±609","8.9%","±3.7","56,664","±798","3,608","±977","6.4%","±1.7","16,182","±476","1,815","±481","11.2%","±2.9","66,629","±710","7,551","±1,391","11.3%","±2.1","34,819","±543","3,495","±913","10.0%","±2.6","21,183","±888","2,212","±796","10.4%","±3.7","14,207","±602","1,198","±811","8.4%","±5.7","34,966","±738","2,097","±813","6.0%","±2.3","14,163","±322","2,007","±571","14.2%","±4.0","28,102","±548","3,365","±1,072","12.0%","±3.8","11,826","±403","899","±506","7.6%","±4.3","52,782,328","±26,315","4,985,269","±36,715","9.4%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","106,808","±1,954","9,545","±2,724","8.9%","±2.6","52,385","±1,050","7,515","±1,920","14.3%","±3.6","39,819","±1,141","4,241","±1,346","10.7%","±3.4","35,171","±894","7,607","±1,918","21.6%","±5.5","36,754","±1,422","3,193","±1,387","8.7%","±3.8","48,657","±703","8,153","±1,917","16.8%","±3.9","49,864","±628","9,549","±1,636","19.2%","±3.3","305,474","±1,567","45,275","±4,905","14.8%","±1.6","44,323","±672","6,111","±1,638","13.8%","±3.7","80,874","±1,221","13,403","±2,224","16.6%","±2.7","45,826","±1,387","5,252","±1,637","11.5%","±3.6","175,409","±1,701","17,260","±2,876","9.8%","±1.6","45,994","±467","6,403","±1,702","13.9%","±3.7","193,027","±1,649","30,583","±4,068","15.8%","±2.1","101,584","±2,160","13,943","±2,464","13.7%","±2.5","57,089","±1,906","6,708","±1,970","11.8%","±3.6","41,237","±1,542","5,287","±2,637","12.8%","±6.3","103,958","±1,242","5,487","±1,666","5.3%","±1.6","36,798","±2,154","5,066","±1,711","13.8%","±4.6","96,781","±1,954","14,203","±3,636","14.7%","±3.8","30,672","±983","4,890","±1,014","15.9%","±3.3","156,743,490","±42,059","17,473,451","±123,014","11.1%","±0.1"
"        Female","112,597","±1,346","12,595","±3,123","11.2%","±2.7","58,214","±931","11,567","±2,536","19.9%","±4.3","42,756","±954","4,496","±1,409","10.5%","±3.3","35,511","±895","6,248","±1,776","17.6%","±4.9","39,851","±1,125","5,705","±1,677","14.3%","±4.2","51,983","±775","11,662","±2,176","22.4%","±4.2","54,557","±516","11,878","±1,434","21.8%","±2.7","339,563","±2,084","59,805","±6,232","17.6%","±1.8","46,745","±847","8,806","±2,346","18.8%","±4.9","77,801","±1,585","11,595","±2,241","14.9%","±2.9","49,493","±915","8,065","±2,226","16.3%","±4.4","187,885","±1,357","25,730","±3,859","13.7%","±2.0","49,583","±517","9,005","±2,303","18.2%","±4.7","213,815","±1,637","40,141","±5,050","18.8%","±2.3","116,070","±1,776","17,846","±3,171","15.4%","±2.7","59,908","±1,520","9,763","±2,677","16.3%","±4.3","45,972","±1,591","3,209","±1,466","7.0%","±3.3","111,051","±1,012","6,608","±1,555","6.0%","±1.4","39,121","±1,165","7,815","±1,771","20.0%","±4.6","102,456","±1,974","18,359","±3,831","17.9%","±3.8","31,305","±733","6,062","±1,840","19.4%","±5.7","163,375,301","±45,562","22,016,645","±137,887","13.5%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","188,183","±2,157","17,781","±4,516","9.4%","±2.4","79,951","±1,595","9,585","±2,279","12.0%","±2.8","78,626","±1,126","7,894","±2,498","10.0%","±3.2","58,663","±1,471","7,036","±2,239","12.0%","±3.8","59,599","±723","6,146","±2,542","10.3%","±4.3","79,401","±750","13,133","±2,916","16.5%","±3.7","70,661","±1,574","10,468","±2,209","14.8%","±3.1","333,697","±3,397","30,469","±4,855","9.1%","±1.5","77,957","±1,501","11,591","±3,111","14.9%","±4.0","113,773","±1,195","20,110","±3,009","17.7%","±2.6","75,251","±1,578","11,029","±3,039","14.7%","±4.0","246,326","±2,527","18,367","±3,696","7.5%","±1.5","89,138","±872","14,915","±3,714","16.7%","±4.2","236,998","±2,591","30,260","±4,557","12.8%","±1.9","75,881","±1,976","5,640","±1,948","7.4%","±2.6","95,536","±2,283","9,537","±2,545","10.0%","±2.6","76,341","±806","6,803","±3,749","8.9%","±4.9","171,722","±2,018","8,074","±2,287","4.7%","±1.3","48,365","±1,069","6,974","±1,970","14.4%","±4.0","126,534","±2,008","16,686","±4,671","13.2%","±3.7","55,689","±1,104","8,210","±2,012","14.7%","±3.6","231,191,647","±101,215","23,828,085","±203,823","10.3%","±0.1"
"        Black or African American alone","17,630","±1,904","3,686","±2,153","20.9%","±12.5","24,723","±1,328","6,658","±2,098","26.9%","±8.4","N","N","N","N","N","N","N","N","N","N","N","N","15,277","±821","2,635","±1,397","17.2%","±9.1","15,141","±704","3,250","±1,131","21.5%","±7.5","29,230","±632","9,928","±1,377","34.0%","±4.7","280,347","±1,820","68,119","±7,449","24.3%","±2.6","10,223","±821","2,953","±1,226","28.9%","±12.7","34,949","±1,567","3,671","±2,008","10.5%","±5.8","12,993","±1,112","1,186","±1,139","9.1%","±8.8","86,674","±2,347","19,370","±3,354","22.3%","±3.8","N","N","N","N","N","N","147,423","±2,378","34,701","±5,939","23.5%","±4.0","126,107","±2,291","23,871","±4,280","18.9%","±3.4","15,597","±1,377","5,905","±2,434","37.9%","±14.4","N","N","N","N","N","N","26,778","±1,592","2,721","±1,333","10.2%","±4.9","24,864","±1,410","5,321","±2,054","21.4%","±8.1","67,063","±1,049","14,650","±3,592","21.8%","±5.4","N","N","N","N","N","N","40,291,288","±78,962","8,557,464","±86,813","21.2%","±0.2"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,749,899","±33,996","633,584","±19,354","23.0%","±0.7"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","946","±193","110","±83","11.6%","±9.6","11,356","±877","1,138","±608","10.0%","±5.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,779","±1,347","1,347","±1,109","17.3%","±14.2","7,273","±587","886","±825","12.2%","±11.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,274,780","±40,507","1,761,321","±35,380","9.6%","±0.2"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","608,300","±17,929","100,256","±10,523","16.5%","±1.7"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,659","±2,407","3,058","±1,799","39.9%","±20.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,016,665","±120,620","2,935,304","±60,267","18.3%","±0.3"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,869","±477","752","±416","40.2%","±18.2","8,953","±2,094","2,573","±1,424","28.7%","±13.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","9,926","±1,805","1,959","±1,426","19.7%","±13.5","N","N","N","N","N","N","8,249","±2,505","1,769","±1,118","21.4%","±12.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,986,212","±119,885","1,674,082","±38,384","15.2%","±0.3"
"        Hispanic or Latino origin (of any race)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,775","±4","6,196","±2,589","57.5%","±24.0","N","N","N","N","N","N","4,088","±199","1,831","±761","44.8%","±19.1","3,611","±44","1,268","±459","35.1%","±12.7","26,368","±309","4,522","±2,527","17.1%","±9.5","N","N","N","N","N","N","N","N","N","N","N","N","6,115","±52","2,753","±1,264","45.0%","±20.7","18,949","±294","6,081","±2,332","32.1%","±12.3","14,236","±67","2,289","±1,460","16.1%","±10.3","12,316","±167","5,395","±2,437","43.8%","±19.7","8,037","±336","2,031","±1,293","25.3%","±16.2","10,072","±516","1,739","±1,306","17.3%","±12.8","N","N","N","N","N","N","12,485","±189","1,127","±837","9.0%","±6.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","59,226,212","±22,870","10,201,081","±106,111","17.2%","±0.2"
"        White alone, not Hispanic or Latino","182,946","±1,154","16,000","±4,367","8.7%","±2.4","78,615","±1,161","8,889","±2,175","11.3%","±2.8","75,614","±667","7,779","±2,481","10.3%","±3.3","56,461","±356","6,773","±2,047","12.0%","±3.6","57,236","±653","5,842","±2,358","10.2%","±4.1","78,459","±387","13,062","±2,891","16.6%","±3.7","67,566","±1,540","9,464","±2,138","14.0%","±3.2","317,287","±1,854","28,848","±5,012","9.1%","±1.6","77,218","±705","11,542","±3,132","14.9%","±4.0","108,506","±929","20,003","±2,995","18.4%","±2.7","72,495","±897","8,816","±2,683","12.2%","±3.7","235,880","±1,308","16,359","±3,401","6.9%","±1.4","75,935","±552","12,653","±3,250","16.7%","±4.3","229,625","±864","28,133","±4,575","12.3%","±2.0","71,429","±1,090","4,871","±1,768","6.8%","±2.5","88,003","±1,123","8,446","±2,316","9.6%","±2.6","75,722","±436","6,760","±3,750","8.9%","±4.9","165,843","±946","7,272","±2,079","4.4%","±1.3","47,562","±932","6,772","±1,949","14.2%","±4.1","120,379","±1,665","16,323","±4,700","13.6%","±3.9","55,268","±704","8,210","±2,012","14.9%","±3.6","192,289,025","±32,778","17,352,095","±147,912","9.0%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","157,527","±2,083","14,071","±3,193","8.9%","±2.0","78,081","±910","10,581","±2,521","13.6%","±3.2","57,959","±968","5,669","±1,468","9.8%","±2.5","46,324","±752","6,928","±1,738","15.0%","±3.8","53,159","±1,531","4,098","±1,304","7.7%","±2.5","71,039","±888","11,851","±1,988","16.7%","±2.8","72,624","±816","12,525","±1,637","17.2%","±2.3","446,968","±1,584","60,008","±5,397","13.4%","±1.2","63,475","±1,338","8,069","±1,822","12.7%","±2.9","100,956","±1,473","9,655","±2,463","9.6%","±2.4","65,550","±1,710","7,461","±2,073","11.4%","±3.1","253,232","±1,193","21,485","±3,164","8.5%","±1.3","64,037","±417","9,311","±2,191","14.5%","±3.4","277,144","±953","38,850","±4,595","14.0%","±1.7","148,218","±1,937","18,261","±2,573","12.3%","±1.8","80,610","±1,517","9,192","±2,003","11.4%","±2.5","60,797","±1,232","5,211","±2,230","8.6%","±3.6","147,950","±1,189","7,212","±1,665","4.9%","±1.1","52,929","±1,866","7,896","±1,667","14.9%","±3.1","130,185","±1,376","15,728","±3,371","12.1%","±2.6","43,990","±763","6,375","±1,310","14.5%","±3.0","221,309,178","±69,454","22,277,293","±100,474","10.1%","±0.1"
"            Less than high school graduate","14,741","±2,700","2,958","±1,379","20.1%","±8.4","12,059","±2,185","2,867","±1,192","23.8%","±9.9","10,588","±1,613","2,279","±888","21.5%","±7.5","9,741","±1,586","2,638","±1,090","27.1%","±11.5","4,322","±1,179","760","±424","17.6%","±8.8","11,227","±1,953","4,149","±1,106","37.0%","±8.2","10,660","±1,156","3,435","±692","32.2%","±6.5","38,525","±4,011","12,363","±2,304","32.1%","±4.4","9,390","±1,670","2,723","±977","29.0%","±9.7","7,929","±1,916","1,584","±837","20.0%","±9.1","7,435","±1,938","2,464","±1,091","33.1%","±12.0","16,935","±2,470","5,818","±1,651","34.4%","±7.5","11,590","±2,084","3,586","±1,614","30.9%","±11.0","33,999","±4,222","12,532","±3,567","36.9%","±7.9","15,059","±2,545","5,302","±1,535","35.2%","±8.5","10,732","±1,782","2,867","±1,050","26.7%","±8.8","7,879","±1,860","1,229","±655","15.6%","±8.2","9,252","±1,769","1,326","±608","14.3%","±6.1","10,080","±1,845","3,369","±1,107","33.4%","±9.0","14,073","±2,423","4,392","±1,748","31.2%","±10.5","7,573","±1,838","2,449","±993","32.3%","±11.7","24,684,741","±124,554","5,769,908","±52,665","23.4%","±0.2"
"            High school graduate (includes equivalency)","40,812","±4,241","5,071","±1,978","12.4%","±4.7","26,869","±2,844","3,927","±1,178","14.6%","±4.5","17,755","±1,832","1,732","±615","9.8%","±3.5","17,629","±1,775","2,297","±948","13.0%","±5.4","17,854","±2,337","1,069","±615","6.0%","±3.7","22,715","±2,464","4,214","±1,120","18.6%","±4.6","21,922","±1,269","4,893","±980","22.3%","±4.1","118,815","±6,189","21,506","±3,275","18.1%","±2.6","21,812","±1,935","2,272","±871","10.4%","±3.9","22,230","±3,149","3,058","±1,208","13.8%","±5.1","21,877","±2,813","3,287","±1,511","15.0%","±6.2","48,902","±3,800","5,727","±1,476","11.7%","±2.8","20,731","±2,553","3,038","±885","14.7%","±4.0","99,683","±5,377","15,789","±2,524","15.8%","±2.4","36,675","±3,464","5,442","±1,456","14.8%","±4.1","28,282","±2,229","3,398","±1,054","12.0%","±3.7","21,948","±2,711","2,634","±1,596","12.0%","±7.4","29,578","±3,096","2,202","±888","7.4%","±2.9","18,355","±2,145","2,774","±937","15.1%","±5.2","39,684","±3,314","5,917","±1,682","14.9%","±4.1","15,571","±1,885","2,091","±767","13.4%","±4.8","58,978,752","±181,385","7,703,553","±55,245","13.1%","±0.1"
"            Some college, associate's degree","50,647","±3,621","4,470","±1,582","8.8%","±3.0","24,038","±2,535","3,149","±1,119","13.1%","±4.5","20,419","±2,151","1,437","±573","7.0%","±2.8","13,024","±1,707","1,644","±777","12.6%","±5.5","16,855","±1,870","1,214","±678","7.2%","±3.9","24,855","±2,235","3,003","±1,159","12.1%","±4.5","23,365","±1,330","3,315","±692","14.2%","±2.8","133,344","±5,584","18,675","±2,431","14.0%","±1.7","18,186","±2,298","1,748","±772","9.6%","±4.0","28,864","±3,624","3,003","±1,677","10.4%","±5.3","18,762","±2,423","1,202","±625","6.4%","±3.2","74,417","±4,221","5,650","±1,578","7.6%","±2.0","18,723","±1,752","1,868","±909","10.0%","±4.6","79,516","±4,701","8,011","±1,703","10.1%","±2.0","43,336","±3,220","5,058","±1,316","11.7%","±2.9","22,305","±2,448","1,476","±767","6.6%","±3.3","22,496","±2,763","1,235","±704","5.5%","±3.1","42,893","±3,268","1,835","±719","4.3%","±1.6","15,983","±2,055","1,548","±702","9.7%","±4.2","35,099","±2,917","4,329","±1,522","12.3%","±4.3","15,471","±1,917","1,646","±623","10.6%","±3.7","63,469,132","±124,428","5,781,713","±44,040","9.1%","±0.1"
"            Bachelor's degree or higher","51,327","±4,856","1,572","±851","3.1%","±1.7","15,115","±1,861","638","±499","4.2%","±3.2","9,197","±1,549","221","±224","2.4%","±2.4","5,930","±1,146","349","±303","5.9%","±4.8","14,128","±2,014","1,055","±853","7.5%","±5.8","12,242","±2,093","485","±348","4.0%","±2.9","16,677","±1,408","882","±409","5.3%","±2.5","156,284","±6,699","7,464","±1,565","4.8%","±1.0","14,087","±1,769","1,326","±750","9.4%","±5.1","41,933","±3,852","2,010","±1,110","4.8%","±2.6","17,476","±2,125","508","±337","2.9%","±1.9","112,978","±5,844","4,290","±1,152","3.8%","±1.0","12,993","±1,780","819","±468","6.3%","±3.7","63,946","±3,900","2,518","±806","3.9%","±1.3","53,148","±3,526","2,459","±885","4.6%","±1.6","19,291","±2,215","1,451","±1,074","7.5%","±5.4","8,474","±1,697","113","±144","1.3%","±1.7","66,227","±3,750","1,849","±793","2.8%","±1.2","8,511","±1,855","205","±186","2.4%","±2.3","41,329","±4,010","1,090","±530","2.6%","±1.3","5,375","±1,364","189","±317","3.5%","±5.6","74,176,553","±238,708","3,022,119","±35,088","4.1%","±0.1"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","101,371","±4,814","6,297","±2,091","6.2%","±2.0","48,783","±2,754","5,015","±1,258","10.3%","±2.5","38,183","±1,792","1,639","±744","4.3%","±1.9","34,150","±2,048","4,048","±1,568","11.9%","±4.4","36,372","±2,688","2,751","±1,137","7.6%","±3.2","46,379","±2,175","5,078","±1,490","10.9%","±3.1","46,402","±1,494","4,904","±954","10.6%","±2.0","320,676","±6,785","28,435","±3,583","8.9%","±1.1","41,596","±2,436","5,078","±1,504","12.2%","±3.7","83,263","±3,731","10,098","±2,427","12.1%","±2.9","41,342","±3,214","2,730","±924","6.6%","±2.2","191,241","±5,004","13,508","±2,353","7.1%","±1.2","42,667","±1,846","3,456","±1,276","8.1%","±3.0","186,622","±5,031","16,225","±2,755","8.7%","±1.4","109,683","±4,042","8,702","±2,053","7.9%","±1.9","56,790","±2,768","4,893","±1,527","8.6%","±2.7","42,830","±2,612","1,604","±768","3.7%","±1.8","113,231","±3,077","3,955","±1,166","3.5%","±1.0","34,798","±2,403","2,555","±886","7.3%","±2.6","98,972","±3,891","8,396","±2,881","8.5%","±3.0","26,596","±1,559","2,587","±963","9.7%","±3.5","165,157,929","±158,642","11,009,125","±71,784","6.7%","±0.1"
"            Employed","95,860","±4,844","5,734","±2,037","6.0%","±2.1","45,168","±2,569","3,949","±1,023","8.7%","±2.3","36,400","±1,735","1,364","±693","3.7%","±1.9","32,544","±2,108","3,774","±1,534","11.6%","±4.5","35,358","±2,663","2,521","±1,107","7.1%","±3.2","43,451","±2,202","4,588","±1,402","10.6%","±3.1","43,516","±1,603","3,675","±832","8.4%","±1.9","305,133","±7,143","22,781","±3,257","7.5%","±1.1","39,924","±2,594","3,971","±1,212","9.9%","±3.1","80,578","±3,401","9,368","±2,427","11.6%","±3.0","39,446","±3,050","2,253","±924","5.7%","±2.3","184,776","±5,068","10,662","±2,034","5.8%","±1.1","41,717","±1,835","3,100","±1,218","7.4%","±3.0","176,617","±5,226","12,924","±2,477","7.3%","±1.4","103,545","±4,112","7,343","±1,963","7.1%","±1.9","53,551","±2,732","3,501","±1,377","6.5%","±2.6","40,707","±2,825","916","±528","2.3%","±1.3","109,421","±3,067","3,768","±1,135","3.4%","±1.0","31,518","±2,376","1,581","±646","5.0%","±2.1","94,695","±4,253","7,140","±2,093","7.5%","±2.3","25,033","±1,398","1,595","±524","6.4%","±2.1","157,766,768","±156,792","8,918,835","±62,296","5.7%","±0.1"
