"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!Below poverty level!!Estimate","Aiken County, South Carolina!!Below poverty level!!Margin of Error","Aiken County, South Carolina!!Percent below poverty level!!Estimate","Aiken County, South Carolina!!Percent below poverty level!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!Below poverty level!!Estimate","Anderson County, South Carolina!!Below poverty level!!Margin of Error","Anderson County, South Carolina!!Percent below poverty level!!Estimate","Anderson County, South Carolina!!Percent below poverty level!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!Below poverty level!!Estimate","Beaufort County, South Carolina!!Below poverty level!!Margin of Error","Beaufort County, South Carolina!!Percent below poverty level!!Estimate","Beaufort County, South Carolina!!Percent below poverty level!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!Below poverty level!!Estimate","Berkeley County, South Carolina!!Below poverty level!!Margin of Error","Berkeley County, South Carolina!!Percent below poverty level!!Estimate","Berkeley County, South Carolina!!Percent below poverty level!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!Below poverty level!!Estimate","Charleston County, South Carolina!!Below poverty level!!Margin of Error","Charleston County, South Carolina!!Percent below poverty level!!Estimate","Charleston County, South Carolina!!Percent below poverty level!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!Below poverty level!!Estimate","Darlington County, South Carolina!!Below poverty level!!Margin of Error","Darlington County, South Carolina!!Percent below poverty level!!Estimate","Darlington County, South Carolina!!Percent below poverty level!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!Below poverty level!!Estimate","Dorchester County, South Carolina!!Below poverty level!!Margin of Error","Dorchester County, South Carolina!!Percent below poverty level!!Estimate","Dorchester County, South Carolina!!Percent below poverty level!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!Below poverty level!!Estimate","Florence County, South Carolina!!Below poverty level!!Margin of Error","Florence County, South Carolina!!Percent below poverty level!!Estimate","Florence County, South Carolina!!Percent below poverty level!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!Below poverty level!!Estimate","Greenville County, South Carolina!!Below poverty level!!Margin of Error","Greenville County, South Carolina!!Percent below poverty level!!Estimate","Greenville County, South Carolina!!Percent below poverty level!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!Below poverty level!!Estimate","Greenwood County, South Carolina!!Below poverty level!!Margin of Error","Greenwood County, South Carolina!!Percent below poverty level!!Estimate","Greenwood County, South Carolina!!Percent below poverty level!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!Below poverty level!!Estimate","Horry County, South Carolina!!Below poverty level!!Margin of Error","Horry County, South Carolina!!Percent below poverty level!!Estimate","Horry County, South Carolina!!Percent below poverty level!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!Below poverty level!!Estimate","Kershaw County, South Carolina!!Below poverty level!!Margin of Error","Kershaw County, South Carolina!!Percent below poverty level!!Estimate","Kershaw County, South Carolina!!Percent below poverty level!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!Below poverty level!!Estimate","Lancaster County, South Carolina!!Below poverty level!!Margin of Error","Lancaster County, South Carolina!!Percent below poverty level!!Estimate","Lancaster County, South Carolina!!Percent below poverty level!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!Below poverty level!!Estimate","Laurens County, South Carolina!!Below poverty level!!Margin of Error","Laurens County, South Carolina!!Percent below poverty level!!Estimate","Laurens County, South Carolina!!Percent below poverty level!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!Below poverty level!!Estimate","Lexington County, South Carolina!!Below poverty level!!Margin of Error","Lexington County, South Carolina!!Percent below poverty level!!Estimate","Lexington County, South Carolina!!Percent below poverty level!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!Below poverty level!!Estimate","Oconee County, South Carolina!!Below poverty level!!Margin of Error","Oconee County, South Carolina!!Percent below poverty level!!Estimate","Oconee County, South Carolina!!Percent below poverty level!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!Below poverty level!!Estimate","Orangeburg County, South Carolina!!Below poverty level!!Margin of Error","Orangeburg County, South Carolina!!Percent below poverty level!!Estimate","Orangeburg County, South Carolina!!Percent below poverty level!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!Below poverty level!!Estimate","Pickens County, South Carolina!!Below poverty level!!Margin of Error","Pickens County, South Carolina!!Percent below poverty level!!Estimate","Pickens County, South Carolina!!Percent below poverty level!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!Below poverty level!!Estimate","Richland County, South Carolina!!Below poverty level!!Margin of Error","Richland County, South Carolina!!Percent below poverty level!!Estimate","Richland County, South Carolina!!Percent below poverty level!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!Below poverty level!!Estimate","Spartanburg County, South Carolina!!Below poverty level!!Margin of Error","Spartanburg County, South Carolina!!Percent below poverty level!!Estimate","Spartanburg County, South Carolina!!Percent below poverty level!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!Below poverty level!!Estimate","Sumter County, South Carolina!!Below poverty level!!Margin of Error","Sumter County, South Carolina!!Percent below poverty level!!Estimate","Sumter County, South Carolina!!Percent below poverty level!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!Below poverty level!!Estimate","York County, South Carolina!!Below poverty level!!Margin of Error","York County, South Carolina!!Percent below poverty level!!Estimate","York County, South Carolina!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"        65 years and over","32,653","±576","3,144","±925","9.6%","±2.8","36,415","±808","2,901","±1,048","8.0%","±2.9","53,405","±711","1,807","±849","3.4%","±1.6","31,410","±761","2,785","±789","8.9%","±2.5","68,375","±583","6,993","±1,407","10.2%","±2.0","12,602","±261","1,679","±902","13.3%","±7.2","23,621","±734","1,676","±691","7.1%","±2.9","23,331","±351","3,251","±924","13.9%","±3.9","82,864","±864","7,706","±1,801","9.3%","±2.2","13,756","±666","1,641","±599","11.9%","±4.3","87,980","±832","5,897","±1,477","6.7%","±1.7","12,210","±251","1,061","±506","8.7%","±4.1","20,496","±301","2,608","±837","12.7%","±4.1","11,698","±340","1,876","±755","16.0%","±6.3","47,536","±1,000","4,767","±1,420","10.0%","±3.0","18,722","±683","1,393","±555","7.4%","±3.0","16,981","±285","3,925","±892","23.1%","±5.3","21,244","±626","2,155","±863","10.1%","±4.1","54,266","±974","6,036","±1,213","11.1%","±2.2","50,664","±863","4,527","±1,048","8.9%","±2.0","17,542","±577","2,054","±635","11.7%","±3.7","41,519","±601","2,613","±858","6.3%","±2.1","52,782,328","±26,315","4,985,269","±36,715","9.4%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","79,478","±1,260","7,297","±1,938","9.2%","±2.4","95,592","±1,262","10,603","±2,143","11.1%","±2.2","90,262","±1,650","8,383","±2,537","9.3%","±2.8","110,620","±1,981","9,589","±2,012","8.7%","±1.8","190,293","±2,314","18,194","±3,276","9.6%","±1.7","31,235","±1,284","4,652","±2,019","14.9%","±6.2","76,392","±1,739","5,741","±1,783","7.5%","±2.3","63,514","±1,123","10,657","±2,747","16.8%","±4.3","248,168","±1,142","22,499","±3,491","9.1%","±1.4","32,376","±1,171","6,532","±2,138","20.2%","±6.1","167,228","±1,956","18,770","±3,443","11.2%","±2.0","31,444","±624","3,506","±1,044","11.1%","±3.3","43,584","±2,240","4,612","±1,459","10.6%","±3.3","32,325","±1,049","5,939","±1,633","18.4%","±5.0","141,769","±1,287","14,926","±2,544","10.5%","±1.8","38,364","±1,071","4,686","±1,364","12.2%","±3.6","38,711","±1,081","9,704","±2,167","25.1%","±5.5","59,952","±1,155","9,236","±1,831","15.4%","±3.1","181,563","±2,112","27,678","±4,062","15.2%","±2.2","149,464","±1,672","17,195","±3,743","11.5%","±2.5","51,174","±1,021","7,466","±2,279","14.6%","±4.4","132,921","±1,624","8,320","±1,973","6.3%","±1.5","156,743,490","±42,059","17,473,451","±123,014","11.1%","±0.1"
"        Female","88,573","±1,213","11,645","±2,792","13.1%","±3.1","103,734","±1,324","14,916","±2,920","14.4%","±2.8","97,356","±1,295","10,862","±3,382","11.2%","±3.4","113,054","±1,220","14,380","±2,489","12.7%","±2.2","208,818","±1,961","26,577","±4,214","12.7%","±2.0","34,194","±1,283","7,060","±2,071","20.6%","±5.9","83,317","±1,581","8,867","±2,116","10.6%","±2.5","71,576","±800","11,421","±2,556","16.0%","±3.6","262,915","±1,547","31,784","±4,640","12.1%","±1.8","35,288","±1,402","6,589","±1,757","18.7%","±4.9","180,790","±1,621","25,635","±3,704","14.2%","±2.0","34,875","±598","5,942","±1,608","17.0%","±4.6","50,597","±1,591","7,053","±2,382","13.9%","±4.7","32,967","±1,035","7,693","±2,030","23.3%","±6.2","153,127","±1,429","22,250","±4,523","14.5%","±2.9","40,329","±1,100","6,092","±1,748","15.1%","±4.3","44,581","±1,091","13,231","±2,372","29.7%","±5.2","60,540","±1,331","9,326","±1,882","15.4%","±3.0","202,450","±2,977","35,980","±4,995","17.8%","±2.5","161,729","±1,288","22,657","±3,575","14.0%","±2.2","53,411","±1,108","10,699","±2,412","20.0%","±4.5","142,949","±1,252","14,343","±3,156","10.0%","±2.2","163,375,301","±45,562","22,016,645","±137,887","13.5%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","117,915","±1,996","8,093","±2,235","6.9%","±1.9","158,900","±1,670","19,145","±3,846","12.0%","±2.4","137,547","±3,494","8,109","±2,814","5.9%","±2.1","144,352","±2,995","11,801","±2,535","8.2%","±1.7","267,785","±2,653","18,931","±3,421","7.1%","±1.3","36,757","±1,149","4,000","±1,707","10.9%","±4.7","107,671","±2,595","8,450","±2,282","7.8%","±2.1","71,338","±1,525","6,016","±1,840","8.4%","±2.6","371,088","±4,082","27,697","±4,422","7.5%","±1.2","44,359","±957","7,350","±2,105","16.6%","±4.7","284,089","±3,726","27,058","±4,440","9.5%","±1.6","45,708","±371","3,226","±1,209","7.1%","±2.6","71,741","±1,408","6,832","±2,501","9.5%","±3.5","45,446","±1,131","8,839","±2,840","19.4%","±6.4","232,124","±2,623","25,405","±5,162","10.9%","±2.2","68,692","±993","8,647","±2,551","12.6%","±3.7","30,439","±518","6,277","±1,654","20.6%","±5.3","105,221","±1,612","14,670","±2,726","13.9%","±2.6","161,757","±3,276","17,847","±3,039","11.0%","±1.8","228,332","±2,541","22,985","±3,743","10.1%","±1.6","48,173","±1,078","4,687","±1,940","9.7%","±4.1","205,658","±2,474","13,348","±3,443","6.5%","±1.7","231,191,647","±101,215","23,828,085","±203,823","10.3%","±0.1"
"        Black or African American alone","44,884","±2,192","10,420","±3,646","23.2%","±8.3","29,322","±1,514","4,765","±1,979","16.3%","±6.6","31,757","±1,599","9,190","±3,937","28.9%","±12.1","53,855","±1,844","10,466","±2,681","19.4%","±4.8","100,384","±3,249","18,637","±4,254","18.6%","±4.2","27,381","±1,333","7,323","±2,499","26.7%","±9.1","37,581","±3,945","5,067","±2,400","13.5%","±6.2","59,312","±991","14,665","±3,658","24.7%","±6.1","86,326","±3,198","17,398","±4,634","20.2%","±5.2","22,344","±689","5,396","±1,926","24.1%","±8.6","42,765","±1,859","10,559","±2,631","24.7%","±6.0","18,067","±1,682","5,916","±2,099","32.7%","±10.0","18,610","±2,092","4,714","±2,451","25.3%","±12.9","13,837","±1,410","4,198","±1,635","30.3%","±11.3","42,966","±1,470","9,153","±2,784","21.3%","±6.4","N","N","N","N","N","N","50,776","±1,586","16,614","±3,601","32.7%","±7.1","8,657","±567","1,848","±1,109","21.3%","±13.1","190,700","±2,876","38,226","±6,477","20.0%","±3.4","63,303","±1,630","12,595","±3,361","19.9%","±5.2","49,103","±1,744","13,166","±3,533","26.8%","±6.9","51,407","±1,462","8,095","±3,029","15.7%","±5.8","40,291,288","±78,962","8,557,464","±86,813","21.2%","±0.2"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,433","±460","192","±186","7.9%","±7.8","2,749,899","±33,996","633,584","±19,354","23.0%","±0.7"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,257","±857","1,237","±847","17.0%","±11.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","13,082","±1,014","1,689","±1,613","12.9%","±12.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,864","±1,032","1,606","±895","13.5%","±7.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,274,780","±40,507","1,761,321","±35,380","9.6%","±0.2"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","608,300","±17,929","100,256","±10,523","16.5%","±1.7"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","12,228","±2,403","2,843","±1,256","23.2%","±10.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","21,235","±3,827","5,685","±2,632","26.8%","±10.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,893","±2,178","4,006","±1,962","45.0%","±16.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,016,665","±120,620","2,935,304","±60,267","18.3%","±0.3"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,390","±3,369","1,814","±931","11.8%","±6.0","N","N","N","N","N","N","7,855","±2,226","1,059","±995","13.5%","±13.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","9,857","±2,325","1,867","±1,260","18.9%","±11.5","6,272","±1,739","1,115","±765","17.8%","±11.3","N","N","N","N","N","N","N","N","N","N","N","N","10,986,212","±119,885","1,674,082","±38,384","15.2%","±0.3"
"        Hispanic or Latino origin (of any race)","N","N","N","N","N","N","N","N","N","N","N","N","21,032","±235","2,301","±1,408","10.9%","±6.7","N","N","N","N","N","N","20,975","±453","5,821","±1,785","27.8%","±8.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","49,112","±379","7,894","±2,874","16.1%","±5.9","N","N","N","N","N","N","21,358","±244","6,872","±3,390","32.2%","±15.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,443","±244","5,061","±2,732","27.4%","±14.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,876","±1,071","5,166","±2,037","28.9%","±11.1","22,958","±251","7,581","±2,011","33.0%","±8.7","N","N","N","N","N","N","16,446","±180","644","±604","3.9%","±3.7","59,226,212","±22,870","10,201,081","±106,111","17.2%","±0.2"
"        White alone, not Hispanic or Latino","110,414","±767","7,583","±2,104","6.9%","±1.9","154,167","±709","16,375","±3,600","10.6%","±2.3","128,578","±1,098","7,535","±2,694","5.9%","±2.1","140,261","±2,242","11,085","±2,307","7.9%","±1.7","259,778","±1,909","16,574","±3,420","6.4%","±1.3","35,623","±360","3,920","±1,719","11.0%","±4.8","102,453","±1,202","7,566","±1,826","7.4%","±1.8","69,058","±598","5,948","±1,842","8.6%","±2.7","347,093","±1,403","25,993","±4,155","7.5%","±1.2","40,037","±918","4,846","±1,371","12.1%","±3.4","270,466","±1,397","24,652","±4,084","9.1%","±1.5","45,442","±242","3,226","±1,209","7.1%","±2.6","67,001","±953","5,229","±2,032","7.8%","±3.0","44,451","±505","8,696","±2,832","19.6%","±6.5","219,099","±1,030","22,266","±4,378","10.2%","±2.0","66,226","±486","7,871","±2,161","11.9%","±3.3","28,665","±75","4,584","±1,534","16.0%","±5.4","102,625","±1,282","14,261","±2,704","13.9%","±2.6","154,948","±2,212","17,598","±3,031","11.4%","±1.9","212,045","±919","17,993","±3,473","8.5%","±1.6","46,639","±431","4,687","±1,940","10.0%","±4.2","193,636","±879","13,129","±3,451","6.8%","±1.8","192,289,025","±32,778","17,352,095","±147,912","9.0%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","118,687","±2,215","12,292","±2,326","10.4%","±1.9","138,418","±1,198","13,461","±2,640","9.7%","±1.9","137,450","±1,932","8,724","±2,305","6.3%","±1.7","152,254","±782","12,090","±1,960","7.9%","±1.3","290,802","±1,276","25,268","±3,766","8.7%","±1.3","44,396","±909","6,823","±1,900","15.4%","±4.2","110,022","±1,175","8,711","±1,975","7.9%","±1.8","92,712","±1,052","13,126","±2,348","14.2%","±2.6","355,328","±938","30,617","±4,035","8.6%","±1.1","47,553","±1,388","6,412","±1,375","13.5%","±3.0","264,788","±1,209","28,548","±3,544","10.8%","±1.3","46,295","±1,119","4,794","±1,217","10.4%","±2.7","68,637","±1,362","8,178","±2,412","11.9%","±3.5","45,895","±999","8,730","±1,845","19.0%","±4.1","205,498","±1,132","19,752","±3,136","9.6%","±1.5","57,452","±975","6,772","±1,760","11.8%","±3.1","57,623","±768","11,870","±1,864","20.6%","±3.3","79,805","±840","8,543","±1,862","10.7%","±2.3","255,405","±1,741","30,094","±3,820","11.8%","±1.5","213,240","±1,401","22,447","±3,545","10.5%","±1.6","69,776","±571","9,960","±1,837","14.3%","±2.7","190,235","±1,229","12,376","±2,226","6.5%","±1.2","221,309,178","±69,454","22,277,293","±100,474","10.1%","±0.1"
"            Less than high school graduate","11,435","±2,259","2,755","±1,260","24.1%","±9.2","17,286","±2,686","4,503","±1,454","26.0%","±7.3","9,709","±1,936","1,471","±805","15.2%","±8.2","14,701","±2,546","2,451","±1,148","16.7%","±7.0","22,430","±3,376","5,681","±1,523","25.3%","±5.8","7,086","±1,666","2,478","±1,108","35.0%","±10.4","12,514","±2,303","2,864","±959","22.9%","±7.3","10,700","±1,798","3,507","±1,083","32.8%","±9.5","40,089","±3,833","9,686","±1,876","24.2%","±4.0","4,679","±1,246","1,156","±573","24.7%","±10.1","28,861","±3,400","8,607","±2,471","29.8%","±7.9","5,527","±1,696","664","±441","12.0%","±7.9","8,755","±1,996","2,636","±1,303","30.1%","±12.3","6,440","±1,346","2,246","±785","34.9%","±11.4","23,413","±2,901","6,716","±2,141","28.7%","±7.2","8,484","±1,648","2,324","±1,237","27.4%","±11.6","8,140","±1,319","3,187","±1,040","39.2%","±10.8","10,202","±1,805","2,179","±757","21.4%","±7.0","21,071","±3,188","5,734","±1,344","27.2%","±6.7","28,364","±3,549","7,835","±2,063","27.6%","±5.5","8,014","±1,334","2,178","±839","27.2%","±9.7","13,577","±2,453","2,593","±947","19.1%","±6.4","24,684,741","±124,554","5,769,908","±52,665","23.4%","±0.2"
"            High school graduate (includes equivalency)","36,422","±3,519","4,433","±1,391","12.2%","±3.7","43,812","±3,643","4,838","±1,319","11.0%","±2.7","29,065","±2,576","3,521","±1,440","12.1%","±4.9","45,471","±4,046","4,535","±1,200","10.0%","±2.6","58,652","±5,250","8,342","±2,087","14.2%","±3.2","16,345","±2,339","2,195","±1,297","13.4%","±7.3","27,491","±2,396","2,984","±1,246","10.9%","±4.2","32,125","±3,192","5,787","±1,610","18.0%","±4.6","80,678","±5,099","8,621","±2,093","10.7%","±2.6","15,028","±1,805","2,489","±900","16.6%","±5.7","85,977","±4,705","10,575","±1,933","12.3%","±2.3","14,874","±2,338","1,619","±699","10.9%","±4.6","18,527","±2,596","2,926","±1,369","15.8%","±7.7","15,794","±1,868","3,775","±1,309","23.9%","±7.1","53,973","±3,058","6,485","±1,556","12.0%","±2.8","17,747","±1,997","1,612","±804","9.1%","±4.3","18,155","±2,334","3,656","±1,025","20.1%","±5.7","23,573","±2,694","3,273","±1,405","13.9%","±5.2","54,211","±3,998","10,190","±2,212","18.8%","±3.5","60,300","±4,383","6,857","±1,902","11.4%","±3.0","21,119","±2,679","2,729","±1,140","12.9%","±5.1","45,031","±3,710","4,280","±1,561","9.5%","±3.2","58,978,752","±181,385","7,703,553","±55,245","13.1%","±0.1"
"            Some college, associate's degree","35,925","±3,738","4,084","±1,154","11.4%","±3.2","42,831","±3,750","2,860","±1,244","6.7%","±2.7","41,937","±3,706","2,392","±1,128","5.7%","±2.8","50,137","±3,616","4,217","±1,106","8.4%","±2.1","74,242","±5,503","6,547","±1,878","8.8%","±2.4","12,083","±1,819","1,845","±1,021","15.3%","±8.1","38,800","±3,148","1,395","±721","3.6%","±1.8","26,838","±2,953","3,084","±1,156","11.5%","±4.1","104,122","±5,320","8,762","±2,469","8.4%","±2.2","15,286","±1,791","2,040","±784","13.3%","±5.1","85,197","±4,959","6,163","±1,129","7.2%","±1.3","14,701","±1,759","1,748","±747","11.9%","±5.1","25,239","±3,007","2,022","±921","8.0%","±3.6","14,548","±1,749","2,418","±870","16.6%","±5.8","66,036","±4,262","5,062","±1,054","7.7%","±1.6","15,916","±1,928","1,818","±841","11.4%","±5.0","19,174","±2,091","4,082","±1,302","21.3%","±6.6","24,875","±2,367","2,037","±770","8.2%","±3.0","69,919","±4,347","8,236","±2,094","11.8%","±2.9","67,867","±3,941","4,979","±1,345","7.3%","±2.0","25,383","±2,829","3,950","±1,276","15.6%","±4.5","64,532","±4,539","3,821","±1,200","5.9%","±1.8","63,469,132","±124,428","5,781,713","±44,040","9.1%","±0.1"
"            Bachelor's degree or higher","34,905","±3,450","1,020","±564","2.9%","±1.7","34,489","±3,414","1,260","±582","3.7%","±1.7","56,739","±3,559","1,340","±618","2.4%","±1.1","41,945","±3,210","887","±493","2.1%","±1.2","135,478","±5,634","4,698","±1,541","3.5%","±1.1","8,882","±1,414","305","±364","3.4%","±4.0","31,217","±2,747","1,468","±753","4.7%","±2.4","23,049","±2,442","748","±454","3.2%","±1.9","130,439","±4,498","3,548","±963","2.7%","±0.7","12,560","±1,643","727","±435","5.8%","±3.6","64,753","±3,825","3,203","±977","4.9%","±1.5","11,193","±1,748","763","±573","6.8%","±5.2","16,116","±2,867","594","±437","3.7%","±2.8","9,113","±1,515","291","±251","3.2%","±2.8","62,076","±3,555","1,489","±763","2.4%","±1.2","15,305","±2,161","1,018","±715","6.7%","±4.4","12,154","±1,903","945","±501","7.8%","±4.3","21,155","±2,496","1,054","±640","5.0%","±2.9","110,204","±5,294","5,934","±1,938","5.4%","±1.8","56,709","±3,400","2,776","±1,281","4.9%","±2.2","15,260","±2,163","1,103","±599","7.2%","±4.2","67,095","±4,184","1,682","±733","2.5%","±1.1","74,176,553","±238,708","3,022,119","±35,088","4.1%","±0.1"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
