"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!Below poverty level!!Estimate","Canadian County, Oklahoma!!Below poverty level!!Margin of Error","Canadian County, Oklahoma!!Percent below poverty level!!Estimate","Canadian County, Oklahoma!!Percent below poverty level!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!Below poverty level!!Estimate","Cleveland County, Oklahoma!!Below poverty level!!Margin of Error","Cleveland County, Oklahoma!!Percent below poverty level!!Estimate","Cleveland County, Oklahoma!!Percent below poverty level!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!Below poverty level!!Estimate","Comanche County, Oklahoma!!Below poverty level!!Margin of Error","Comanche County, Oklahoma!!Percent below poverty level!!Estimate","Comanche County, Oklahoma!!Percent below poverty level!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!Below poverty level!!Estimate","Creek County, Oklahoma!!Below poverty level!!Margin of Error","Creek County, Oklahoma!!Percent below poverty level!!Estimate","Creek County, Oklahoma!!Percent below poverty level!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!Below poverty level!!Estimate","Muskogee County, Oklahoma!!Below poverty level!!Margin of Error","Muskogee County, Oklahoma!!Percent below poverty level!!Estimate","Muskogee County, Oklahoma!!Percent below poverty level!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!Below poverty level!!Estimate","Oklahoma County, Oklahoma!!Below poverty level!!Margin of Error","Oklahoma County, Oklahoma!!Percent below poverty level!!Estimate","Oklahoma County, Oklahoma!!Percent below poverty level!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!Below poverty level!!Estimate","Payne County, Oklahoma!!Below poverty level!!Margin of Error","Payne County, Oklahoma!!Percent below poverty level!!Estimate","Payne County, Oklahoma!!Percent below poverty level!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!Below poverty level!!Estimate","Pottawatomie County, Oklahoma!!Below poverty level!!Margin of Error","Pottawatomie County, Oklahoma!!Percent below poverty level!!Estimate","Pottawatomie County, Oklahoma!!Percent below poverty level!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!Below poverty level!!Estimate","Rogers County, Oklahoma!!Below poverty level!!Margin of Error","Rogers County, Oklahoma!!Percent below poverty level!!Estimate","Rogers County, Oklahoma!!Percent below poverty level!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!Below poverty level!!Estimate","Tulsa County, Oklahoma!!Below poverty level!!Margin of Error","Tulsa County, Oklahoma!!Percent below poverty level!!Estimate","Tulsa County, Oklahoma!!Percent below poverty level!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!Below poverty level!!Estimate","Wagoner County, Oklahoma!!Below poverty level!!Margin of Error","Wagoner County, Oklahoma!!Percent below poverty level!!Estimate","Wagoner County, Oklahoma!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"        65 years and over","19,427","±519","1,229","±477","6.3%","±2.4","38,865","±759","2,376","±945","6.1%","±2.4","13,767","±759","1,250","±535","9.1%","±3.9","12,713","±364","1,003","±328","7.9%","±2.6","10,910","±232","1,100","±359","10.1%","±3.3","109,582","±581","11,044","±1,662","10.1%","±1.5","11,119","±748","809","±304","7.3%","±2.8","11,580","±272","1,108","±357","9.6%","±3.1","14,647","±556","1,167","±425","8.0%","±2.9","93,981","±400","8,312","±1,190","8.8%","±1.3","13,482","±255","1,033","±367","7.7%","±2.7","52,782,328","±26,315","4,985,269","±36,715","9.4%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","71,285","±1,236","5,548","±1,722","7.8%","±2.4","135,660","±1,410","13,771","±2,745","10.2%","±2.0","56,443","±1,799","10,438","±2,757","18.5%","±4.7","34,753","±509","3,604","±863","10.4%","±2.5","31,171","±780","7,480","±1,293","24.0%","±4.1","381,746","±1,723","51,156","±4,644","13.4%","±1.2","36,554","±1,291","10,267","±1,734","28.1%","±4.7","34,126","±769","4,580","±850","13.4%","±2.5","44,735","±749","4,144","±1,112","9.3%","±2.5","313,596","±1,495","40,276","±3,041","12.8%","±1.0","40,214","±434","2,526","±717","6.3%","±1.8","156,743,490","±42,059","17,473,451","±123,014","11.1%","±0.1"
"        Female","74,189","±1,182","7,110","±2,018","9.6%","±2.7","138,015","±1,052","18,765","±2,514","13.6%","±1.8","55,044","±1,276","8,997","±1,968","16.3%","±3.6","35,711","±455","5,805","±1,020","16.3%","±2.9","32,936","±602","7,875","±1,360","23.9%","±4.2","400,596","±1,385","65,316","±4,639","16.3%","±1.2","36,333","±1,291","8,681","±2,185","23.9%","±5.8","35,382","±1,127","5,222","±1,047","14.8%","±2.9","46,151","±422","6,284","±1,375","13.6%","±3.0","327,849","±1,299","51,686","±3,298","15.8%","±1.0","40,420","±446","3,382","±745","8.4%","±1.8","163,375,301","±45,562","22,016,645","±137,887","13.5%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","119,259","±1,594","7,972","±3,006","6.7%","±2.5","213,285","±2,713","22,271","±3,394","10.4%","±1.6","70,139","±2,772","9,380","±2,146","13.4%","±3.0","55,500","±624","7,043","±1,437","12.7%","±2.6","36,693","±994","9,372","±1,751","25.5%","±4.8","540,710","±5,368","63,173","±6,778","11.7%","±1.3","58,665","±1,187","13,412","±2,528","22.9%","±4.2","52,957","±718","7,132","±1,307","13.5%","±2.4","67,895","±873","7,118","±2,216","10.5%","±3.2","450,541","±3,341","47,427","±4,699","10.5%","±1.0","59,823","±815","3,912","±1,007","6.5%","±1.7","231,191,647","±101,215","23,828,085","±203,823","10.3%","±0.1"
"        Black or African American alone","N","N","N","N","N","N","12,860","±2,030","2,626","±1,387","20.4%","±10.8","17,994","±3,183","4,480","±2,080","24.9%","±11.3","N","N","N","N","N","N","6,609","±494","2,012","±871","30.4%","±13.2","116,835","±4,054","31,893","±4,639","27.3%","±3.9","N","N","N","N","N","N","2,213","±315","549","±271","24.8%","±12.2","N","N","N","N","N","N","63,275","±2,287","17,866","±2,191","28.2%","±3.3","2,959","±351","397","±327","13.4%","±11.4","40,291,288","±78,962","8,557,464","±86,813","21.2%","±0.2"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","12,018","±1,574","2,296","±1,260","19.1%","±9.7","5,462","±1,411","1,474","±1,138","27.0%","±16.7","9,226","±744","1,321","±446","14.3%","±5.1","11,424","±1,444","1,952","±722","17.1%","±6.1","25,607","±2,415","4,224","±1,560","16.5%","±5.5","2,468","±713","1,346","±642","54.5%","±16.7","9,988","±1,005","1,936","±782","19.4%","±7.7","11,876","±1,046","2,069","±696","17.4%","±5.4","35,038","±2,365","5,032","±1,229","14.4%","±3.3","7,712","±1,103","952","±541","12.3%","±6.8","2,749,899","±33,996","633,584","±19,354","23.0%","±0.7"
"        Asian alone","N","N","N","N","N","N","13,193","±1,041","2,876","±932","21.8%","±7.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","28,212","±1,509","2,747","±1,345","9.7%","±4.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","23,125","±1,090","5,310","±1,597","23.0%","±6.7","N","N","N","N","N","N","18,274,780","±40,507","1,761,321","±35,380","9.6%","±0.2"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","608,300","±17,929","100,256","±10,523","16.5%","±1.7"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,045","±815","828","±679","40.5%","±29.3","24,221","±4,393","6,021","±2,317","24.9%","±8.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,499","±2,497","4,933","±1,668","28.2%","±7.6","N","N","N","N","N","N","16,016,665","±120,620","2,935,304","±60,267","18.3%","±0.3"
"        Two or more races","7,624","±1,950","1,276","±1,189","16.7%","±13.9","18,082","±2,735","2,031","±1,679","11.2%","±8.7","12,360","±2,488","3,719","±2,558","30.1%","±17.9","3,967","±782","878","±469","22.1%","±11.2","7,036","±1,551","1,191","±564","16.9%","±8.2","46,095","±4,689","8,414","±2,084","18.3%","±4.3","4,906","±1,039","1,743","±910","35.5%","±16.6","N","N","N","N","N","N","8,252","±1,078","622","±375","7.5%","±4.6","51,125","±3,708","10,843","±2,065","21.2%","±3.6","7,121","±1,298","413","±265","5.8%","±3.8","10,986,212","±119,885","1,674,082","±38,384","15.2%","±0.3"
"        Hispanic or Latino origin (of any race)","14,261","±154","3,916","±2,263","27.5%","±15.9","25,088","±510","1,722","±661","6.9%","±2.6","14,946","±456","1,278","±708","8.6%","±4.7","3,247","±88","1,059","±673","32.6%","±20.6","4,144","±175","873","±696","21.1%","±16.7","141,403","±493","32,978","±5,942","23.3%","±4.2","N","N","N","N","N","N","3,507","±255","437","±272","12.5%","±7.6","4,535","±112","864","±518","19.1%","±11.5","85,363","±634","17,401","±2,247","20.4%","±2.7","N","N","N","N","N","N","59,226,212","±22,870","10,201,081","±106,111","17.2%","±0.2"
"        White alone, not Hispanic or Latino","109,457","±668","5,424","±1,967","5.0%","±1.8","193,891","±1,246","21,049","±3,219","10.9%","±1.7","62,686","±1,513","8,990","±2,136","14.3%","±3.4","52,917","±363","6,260","±1,233","11.8%","±2.3","35,587","±513","9,336","±1,751","26.2%","±5.0","432,041","±1,724","39,742","±4,371","9.2%","±1.0","56,951","±838","12,643","±2,433","22.2%","±4.2","50,282","±564","6,876","±1,286","13.7%","±2.5","64,811","±656","6,699","±2,253","10.3%","±3.5","391,395","±1,069","36,592","±3,896","9.3%","±1.0","56,807","±468","3,912","±1,007","6.9%","±1.8","192,289,025","±32,778","17,352,095","±147,912","9.0%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","95,442","±1,532","6,506","±1,930","6.8%","±2.0","177,138","±1,462","11,665","±2,136","6.6%","±1.2","73,381","±1,255","10,476","±2,234","14.3%","±3.0","48,411","±528","5,427","±983","11.2%","±2.0","42,622","±843","7,800","±1,233","18.3%","±2.9","515,918","±899","64,238","±4,355","12.5%","±0.8","42,975","±1,256","5,985","±1,318","13.9%","±3.0","46,687","±855","6,012","±1,074","12.9%","±2.3","62,059","±790","5,391","±1,032","8.7%","±1.7","426,197","±1,015","48,991","±3,500","11.5%","±0.8","55,280","±357","3,683","±722","6.7%","±1.3","221,309,178","±69,454","22,277,293","±100,474","10.1%","±0.1"
"            Less than high school graduate","10,800","±2,386","2,941","±1,513","27.2%","±11.4","13,000","±1,968","2,186","±898","16.8%","±7.3","6,680","±1,631","2,382","±1,141","35.7%","±13.4","5,583","±826","925","±347","16.6%","±6.2","5,607","±863","2,107","±545","37.6%","±8.4","62,012","±4,499","17,582","±2,387","28.4%","±3.5","2,424","±642","1,011","±447","41.7%","±14.3","5,214","±891","1,730","±553","33.2%","±8.2","5,498","±1,020","1,357","±720","24.7%","±10.7","43,698","±2,338","10,969","±1,184","25.1%","±2.5","4,932","±784","1,048","±340","21.2%","±6.7","24,684,741","±124,554","5,769,908","±52,665","23.4%","±0.2"
"            High school graduate (includes equivalency)","30,170","±3,208","1,930","±848","6.4%","±2.7","41,697","±3,725","3,579","±1,046","8.6%","±2.5","24,698","±2,312","4,078","±1,172","16.5%","±4.8","19,615","±1,413","2,278","±666","11.6%","±3.2","13,075","±1,226","2,288","±587","17.5%","±4.6","132,467","±5,228","23,634","±2,582","17.8%","±1.8","11,842","±1,474","1,870","±627","15.8%","±4.8","17,103","±1,236","2,573","±621","15.0%","±3.6","18,847","±1,292","1,819","±502","9.7%","±2.6","106,442","±3,650","16,930","±1,753","15.9%","±1.5","18,342","±1,433","1,462","±487","8.0%","±2.6","58,978,752","±181,385","7,703,553","±55,245","13.1%","±0.1"
"            Some college, associate's degree","27,879","±3,021","951","±373","3.4%","±1.4","58,266","±3,865","3,556","±1,116","6.1%","±1.8","25,968","±2,291","3,359","±1,081","12.9%","±4.1","14,719","±1,231","1,637","±466","11.1%","±3.2","14,516","±1,404","2,647","±649","18.2%","±4.6","151,287","±5,592","16,266","±2,286","10.8%","±1.4","11,713","±1,421","2,210","±976","18.9%","±7.2","14,850","±1,387","1,236","±469","8.3%","±3.0","22,824","±1,524","1,528","±447","6.7%","±2.0","131,797","±3,801","14,382","±1,613","10.9%","±1.2","19,308","±1,319","920","±365","4.8%","±1.9","63,469,132","±124,428","5,781,713","±44,040","9.1%","±0.1"
"            Bachelor's degree or higher","26,593","±2,772","684","±582","2.6%","±2.1","64,175","±4,181","2,344","±939","3.7%","±1.5","16,035","±1,883","657","±412","4.1%","±2.5","8,494","±1,029","587","±296","6.9%","±3.5","9,424","±1,212","758","±375","8.0%","±4.0","170,152","±5,084","6,756","±1,812","4.0%","±1.1","16,996","±1,949","894","±478","5.3%","±2.6","9,520","±1,153","473","±230","5.0%","±2.4","14,890","±1,495","687","±315","4.6%","±2.1","144,260","±3,970","6,710","±1,268","4.7%","±0.9","12,698","±1,251","253","±143","2.0%","±1.1","74,176,553","±238,708","3,022,119","±35,088","4.1%","±0.1"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","76,282","±3,081","3,922","±1,578","5.1%","±2.1","147,633","±3,656","13,146","±2,229","8.9%","±1.5","50,253","±3,048","5,247","±1,631","10.4%","±3.3","32,179","±1,280","1,809","±465","5.6%","±1.5","27,467","±1,394","3,090","±861","11.2%","±3.2","392,980","±5,461","32,263","±3,144","8.2%","±0.8","36,852","±2,326","7,942","±1,613","21.6%","±4.1","32,350","±1,570","2,169","±548","6.7%","±1.7","47,330","±1,437","2,851","±662","6.0%","±1.5","335,219","±3,916","29,018","±2,462","8.7%","±0.7","40,776","±1,029","1,611","±492","4.0%","±1.2","165,157,929","±158,642","11,009,125","±71,784","6.7%","±0.1"
"            Employed","73,956","±3,024","3,564","±1,582","4.8%","±2.2","141,676","±3,837","11,371","±2,161","8.0%","±1.5","46,973","±3,274","3,529","±1,264","7.5%","±2.7","31,212","±1,258","1,466","±437","4.7%","±1.4","25,899","±1,444","2,628","±814","10.1%","±3.1","376,581","±5,868","26,926","±2,751","7.2%","±0.7","35,619","±2,397","7,437","±1,563","20.9%","±4.1","30,622","±1,606","1,619","±476","5.3%","±1.6","45,858","±1,437","2,386","±615","5.2%","±1.4","318,945","±3,668","22,747","±2,074","7.1%","±0.6","38,619","±1,044","1,189","±396","3.1%","±1.0","157,766,768","±156,792","8,918,835","±62,296","5.7%","±0.1"
"                Male","37,906","±1,937","1,250","±730","3.3%","±1.9","74,781","±2,518","3,998","±1,147","5.3%","±1.5","22,424","±2,443","1,610","±687","7.2%","±3.1","17,714","±946","743","±323","4.2%","±1.8","13,133","±1,043","971","±500","7.4%","±3.6","197,193","±3,671","11,472","±1,826","5.8%","±0.9","18,942","±1,684","4,438","±1,280","23.4%","±6.1","16,139","±984","899","±359","5.6%","±2.1","25,031","±890","1,097","±473","4.4%","±1.9","169,345","±2,559","10,399","±1,424","6.1%","±0.8","21,474","±829","662","±315","3.1%","±1.5","82,669,669","±91,074","3,886,120","±43,570","4.7%","±0.1"
"                Female","36,050","±2,305","2,314","±1,452","6.4%","±4.0","66,895","±2,737","7,373","±1,720","11.0%","±2.6","24,549","±2,146","1,919","±931","7.8%","±3.8","13,498","±890","723","±317","5.4%","±2.3","12,766","±989","1,657","±558","13.0%","±4.4","179,388","±3,819","15,454","±2,234","8.6%","±1.2","16,677","±1,591","2,999","±1,012","18.0%","±5.4","14,483","±1,200","720","±305","5.0%","±2.1","20,827","±1,001","1,289","±390","6.2%","±1.9","149,600","±2,405","12,348","±1,278","8.3%","±0.8","17,145","±767","527","±198","3.1%","±1.2","75,097,099","±105,995","5,032,715","±43,140","6.7%","±0.1"
