"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Below poverty level!!Estimate","Benton County, Arkansas!!Below poverty level!!Margin of Error","Benton County, Arkansas!!Percent below poverty level!!Estimate","Benton County, Arkansas!!Percent below poverty level!!Margin of Error","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Below poverty level!!Estimate","Craighead County, Arkansas!!Below poverty level!!Margin of Error","Craighead County, Arkansas!!Percent below poverty level!!Estimate","Craighead County, Arkansas!!Percent below poverty level!!Margin of Error","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Below poverty level!!Estimate","Faulkner County, Arkansas!!Below poverty level!!Margin of Error","Faulkner County, Arkansas!!Percent below poverty level!!Estimate","Faulkner County, Arkansas!!Percent below poverty level!!Margin of Error","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Below poverty level!!Estimate","Garland County, Arkansas!!Below poverty level!!Margin of Error","Garland County, Arkansas!!Percent below poverty level!!Estimate","Garland County, Arkansas!!Percent below poverty level!!Margin of Error","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Below poverty level!!Estimate","Jefferson County, Arkansas!!Below poverty level!!Margin of Error","Jefferson County, Arkansas!!Percent below poverty level!!Estimate","Jefferson County, Arkansas!!Percent below poverty level!!Margin of Error","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Below poverty level!!Estimate","Lonoke County, Arkansas!!Below poverty level!!Margin of Error","Lonoke County, Arkansas!!Percent below poverty level!!Estimate","Lonoke County, Arkansas!!Percent below poverty level!!Margin of Error","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Below poverty level!!Estimate","Pulaski County, Arkansas!!Below poverty level!!Margin of Error","Pulaski County, Arkansas!!Percent below poverty level!!Estimate","Pulaski County, Arkansas!!Percent below poverty level!!Margin of Error","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Below poverty level!!Estimate","Saline County, Arkansas!!Below poverty level!!Margin of Error","Saline County, Arkansas!!Percent below poverty level!!Estimate","Saline County, Arkansas!!Percent below poverty level!!Margin of Error","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Below poverty level!!Estimate","Sebastian County, Arkansas!!Below poverty level!!Margin of Error","Sebastian County, Arkansas!!Percent below poverty level!!Estimate","Sebastian County, Arkansas!!Percent below poverty level!!Margin of Error","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Below poverty level!!Estimate","Washington County, Arkansas!!Below poverty level!!Margin of Error","Washington County, Arkansas!!Percent below poverty level!!Estimate","Washington County, Arkansas!!Percent below poverty level!!Margin of Error","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Below poverty level!!Estimate","White County, Arkansas!!Below poverty level!!Margin of Error","White County, Arkansas!!Percent below poverty level!!Estimate","White County, Arkansas!!Percent below poverty level!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"        65 years and over","37,399","±643","3,790","±1,128","10.1%","±3.0","14,129","±530","1,074","±522","7.6%","±3.5","15,636","±657","2,390","±1,026","15.3%","±6.4","23,483","±555","2,075","±937","8.8%","±4.0","11,289","±263","2,236","±845","19.8%","±7.6","9,958","±297","936","±456","9.4%","±4.6","62,171","±725","5,205","±1,238","8.4%","±2.0","22,383","±664","1,307","±721","5.8%","±3.2","20,894","±947","2,329","±788","11.1%","±3.8","28,317","±810","2,185","±840","7.7%","±3.0","12,915","±382","1,728","±861","13.4%","±6.7","52,782,328","±26,315","4,985,269","±36,715","9.4%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","136,321","±1,268","11,170","±2,305","8.2%","±1.7","52,025","±1,171","8,984","±1,759","17.3%","±3.3","59,098","±1,180","8,893","±2,032","15.0%","±3.5","46,174","±1,177","7,990","±1,809","17.3%","±3.8","28,370","±1,410","6,226","±1,662","21.9%","±6.0","34,941","±807","3,398","±1,263","9.7%","±3.6","182,585","±1,865","25,068","±3,720","13.7%","±2.0","59,099","±1,118","6,332","±1,863","10.7%","±3.2","60,891","±1,121","7,842","±2,201","12.9%","±3.6","115,531","±1,667","18,892","±4,136","16.4%","±3.6","36,761","±1,132","4,816","±1,292","13.1%","±3.5","156,743,490","±42,059","17,473,451","±123,014","11.1%","±0.1"
"        Female","138,894","±1,298","13,903","±2,628","10.0%","±1.9","54,389","±1,263","9,862","±2,239","18.1%","±4.0","61,849","±1,162","10,808","±2,507","17.5%","±3.9","51,684","±976","9,030","±1,918","17.5%","±3.8","32,051","±1,618","8,686","±2,155","27.1%","±6.4","37,587","±777","4,658","±1,689","12.4%","±4.5","202,527","±1,301","30,175","±4,086","14.9%","±2.0","61,990","±1,012","6,817","±2,365","11.0%","±3.8","64,993","±1,202","12,411","±2,445","19.1%","±3.7","114,713","±1,879","19,426","±4,003","16.9%","±3.4","38,183","±920","6,682","±1,788","17.5%","±4.6","163,375,301","±45,562","22,016,645","±137,887","13.5%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","240,001","±2,191","22,791","±4,189","9.5%","±1.7","83,051","±1,650","10,300","±2,670","12.4%","±3.2","100,665","±1,382","15,188","±3,246","15.1%","±3.1","85,336","±705","10,967","±2,919","12.9%","±3.4","22,477","±823","3,559","±1,599","15.8%","±7.1","64,829","±938","6,927","±2,783","10.7%","±4.3","214,067","±3,005","19,424","±3,034","9.1%","±1.4","106,401","±1,102","10,971","±3,316","10.3%","±3.1","91,490","±2,272","14,123","±3,574","15.4%","±3.9","181,088","±5,035","25,496","±4,223","14.1%","±2.3","67,962","±1,166","9,900","±2,365","14.6%","±3.5","231,191,647","±101,215","23,828,085","±203,823","10.3%","±0.1"
"        Black or African American alone","N","N","N","N","N","N","17,465","±1,293","6,118","±2,244","35.0%","±12.7","13,821","±1,496","3,267","±1,766","23.6%","±12.2","7,804","±971","4,621","±1,554","59.2%","±15.2","34,417","±1,837","9,805","±2,848","28.5%","±7.9","4,183","±1,070","733","±507","17.5%","±11.2","143,841","±2,562","31,532","±5,380","21.9%","±3.7","9,031","±1,721","1,038","±1,168","11.5%","±12.7","8,701","±500","1,973","±1,278","22.7%","±14.9","N","N","N","N","N","N","N","N","N","N","N","N","40,291,288","±78,962","8,557,464","±86,813","21.2%","±0.2"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,749,899","±33,996","633,584","±19,354","23.0%","±0.7"
"        Asian alone","10,818","±1,395","185","±189","1.7%","±1.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,937","±892","1,894","±1,480","31.9%","±24.1","N","N","N","N","N","N","18,274,780","±40,507","1,761,321","±35,380","9.6%","±0.2"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","608,300","±17,929","100,256","±10,523","16.5%","±1.7"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,923","±2,498","3,407","±1,698","31.2%","±13.9","18,738","±4,908","6,429","±4,359","34.3%","±20.3","N","N","N","N","N","N","16,016,665","±120,620","2,935,304","±60,267","18.3%","±0.3"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,490","±3,033","2,740","±2,114","26.1%","±17.5","N","N","N","N","N","N","8,145","±1,989","699","±528","8.6%","±6.5","N","N","N","N","N","N","N","N","N","N","N","N","10,986,212","±119,885","1,674,082","±38,384","15.2%","±0.3"
"        Hispanic or Latino origin (of any race)","47,297","±263","9,162","±3,157","19.4%","±6.7","N","N","N","N","N","N","5,167","±147","1,376","±1,153","26.6%","±22.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","23,747","±738","2,724","±1,840","11.5%","±7.7","N","N","N","N","N","N","18,604","±280","4,570","±1,903","24.6%","±10.1","40,729","±227","10,152","±4,678","24.9%","±11.5","N","N","N","N","N","N","59,226,212","±22,870","10,201,081","±106,111","17.2%","±0.2"
"        White alone, not Hispanic or Latino","199,363","±1,247","14,042","±2,856","7.0%","±1.4","79,509","±894","9,434","±2,564","11.9%","±3.2","97,443","±1,030","13,846","±3,056","14.2%","±3.1","80,229","±438","10,388","±2,712","12.9%","±3.4","22,372","±812","3,499","±1,592","15.6%","±7.1","62,306","±302","6,826","±2,778","11.0%","±4.5","199,194","±842","18,791","±2,944","9.4%","±1.5","101,250","±487","10,880","±3,301","10.7%","±3.3","86,432","±818","13,099","±3,259","15.2%","±3.8","160,185","±1,639","21,793","±3,840","13.6%","±2.4","65,731","±747","9,639","±2,317","14.7%","±3.5","192,289,025","±32,778","17,352,095","±147,912","9.0%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","181,805","±1,068","13,220","±2,432","7.3%","±1.3","70,728","±1,562","8,726","±1,970","12.3%","±2.7","75,529","±1,352","9,390","±2,616","12.4%","±3.4","71,592","±990","11,017","±2,341","15.4%","±3.2","41,455","±1,227","8,884","±1,953","21.4%","±4.7","48,765","±483","4,921","±1,822","10.1%","±3.7","264,920","±1,657","31,660","±3,009","12.0%","±1.2","83,650","±1,380","6,107","±1,689","7.3%","±2.0","84,533","±1,397","12,207","±2,206","14.4%","±2.7","143,912","±1,537","17,507","±3,557","12.2%","±2.5","51,127","±642","5,954","±1,515","11.6%","±3.0","221,309,178","±69,454","22,277,293","±100,474","10.1%","±0.1"
"            Less than high school graduate","19,072","±2,553","3,241","±1,237","17.0%","±5.9","7,514","±2,357","2,705","±1,387","36.0%","±12.5","4,694","±1,269","1,616","±1,011","34.4%","±18.7","6,273","±1,450","1,580","±810","25.2%","±11.0","4,623","±1,005","1,927","±783","41.7%","±13.3","5,316","±1,125","1,142","±629","21.5%","±11.7","22,023","±3,224","4,608","±1,445","20.9%","±5.8","8,363","±1,738","1,520","±747","18.2%","±7.6","13,045","±1,962","4,454","±1,242","34.1%","±8.6","22,686","±2,630","5,476","±2,428","24.1%","±9.9","9,479","±2,083","1,743","±912","18.4%","±9.0","24,684,741","±124,554","5,769,908","±52,665","23.4%","±0.2"
"            High school graduate (includes equivalency)","52,423","±3,751","5,247","±1,324","10.0%","±2.5","22,983","±2,890","2,726","±1,020","11.9%","±4.4","24,039","±2,194","3,504","±1,281","14.6%","±5.2","20,186","±1,932","4,415","±1,650","21.9%","±7.3","16,457","±1,790","3,721","±1,281","22.6%","±7.8","19,873","±2,347","2,456","±1,360","12.4%","±6.6","68,419","±4,629","12,162","±2,167","17.8%","±3.1","29,165","±3,071","2,363","±1,140","8.1%","±4.0","24,101","±2,295","3,504","±1,069","14.5%","±4.4","38,929","±3,573","5,421","±1,680","13.9%","±4.1","21,838","±2,328","2,874","±1,056","13.2%","±4.6","58,978,752","±181,385","7,703,553","±55,245","13.1%","±0.1"
"            Some college, associate's degree","46,554","±3,423","3,209","±1,133","6.9%","±2.4","22,100","±2,220","2,800","±911","12.7%","±3.7","24,409","±2,210","3,358","±1,303","13.8%","±5.1","24,480","±2,483","3,300","±1,054","13.5%","±4.2","12,131","±1,717","2,644","±1,034","21.8%","±7.1","14,253","±1,828","882","±342","6.2%","±2.3","81,039","±5,143","9,633","±1,753","11.9%","±2.0","23,636","±2,670","1,851","±814","7.8%","±3.5","26,160","±2,434","3,186","±1,101","12.2%","±4.1","36,163","±3,249","4,471","±1,605","12.4%","±4.1","11,513","±1,684","1,173","±502","10.2%","±4.2","63,469,132","±124,428","5,781,713","±44,040","9.1%","±0.1"
"            Bachelor's degree or higher","63,756","±3,879","1,523","±760","2.4%","±1.2","18,131","±2,735","495","±457","2.7%","±2.5","22,387","±2,262","912","±428","4.1%","±2.0","20,653","±2,408","1,722","±1,049","8.3%","±5.0","8,244","±1,229","592","±421","7.2%","±5.2","9,323","±1,366","441","±312","4.7%","±3.3","93,439","±4,829","5,257","±1,957","5.6%","±2.1","22,486","±3,095","373","±330","1.7%","±1.5","21,227","±2,833","1,063","±584","5.0%","±2.6","46,134","±3,673","2,139","±827","4.6%","±1.8","8,297","±1,665","164","±252","2.0%","±3.0","74,176,553","±238,708","3,022,119","±35,088","4.1%","±0.1"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","138,100","±3,645","4,549","±1,026","3.3%","±0.7","52,007","±2,747","4,960","±1,332","9.5%","±2.5","61,628","±2,962","6,100","±1,577","9.9%","±2.5","44,806","±2,221","4,466","±1,403","10.0%","±3.0","28,183","±2,149","3,846","±1,383","13.6%","±4.5","35,598","±1,681","1,318","±633","3.7%","±1.8","189,378","±5,062","12,875","±2,534","6.8%","±1.3","61,167","±2,460","3,219","±1,448","5.3%","±2.4","60,770","±2,221","5,705","±1,677","9.4%","±2.7","121,096","±3,925","13,916","±3,600","11.5%","±2.9","32,732","±2,818","2,285","±894","7.0%","±2.8","165,157,929","±158,642","11,009,125","±71,784","6.7%","±0.1"
"            Employed","135,190","±3,678","4,147","±948","3.1%","±0.7","48,767","±2,583","4,239","±1,224","8.7%","±2.5","60,428","±2,916","5,540","±1,461","9.2%","±2.4","43,131","±2,169","4,060","±1,399","9.4%","±3.2","26,657","±2,277","3,360","±1,348","12.6%","±4.6","34,654","±1,954","905","±396","2.6%","±1.1","182,593","±5,175","11,130","±2,392","6.1%","±1.3","58,546","±2,557","2,734","±1,317","4.7%","±2.3","56,576","±2,810","4,821","±1,505","8.5%","±2.6","113,609","±4,357","10,303","±2,500","9.1%","±2.2","31,413","±2,900","1,451","±683","4.6%","±2.3","157,766,768","±156,792","8,918,835","±62,296","5.7%","±0.1"
"                Male","73,982","±2,147","2,083","±648","2.8%","±0.9","25,018","±1,833","1,870","±653","7.5%","±2.6","31,573","±1,877","2,511","±934","8.0%","±2.8","20,094","±1,393","1,956","±840","9.7%","±4.0","13,190","±1,561","1,437","±616","10.9%","±4.5","17,644","±1,181","370","±260","2.1%","±1.5","90,331","±3,709","5,133","±1,403","5.7%","±1.6","31,003","±1,798","970","±608","3.1%","±2.0","30,527","±1,770","1,764","±819","5.8%","±2.7","61,121","±3,188","5,084","±1,792","8.3%","±2.8","17,088","±1,411","579","±434","3.4%","±2.6","82,669,669","±91,074","3,886,120","±43,570","4.7%","±0.1"
"                Female","61,208","±2,506","2,064","±707","3.4%","±1.2","23,749","±2,218","2,369","±1,071","10.0%","±4.3","28,855","±1,989","3,029","±1,082","10.5%","±3.6","23,037","±1,648","2,104","±995","9.1%","±4.2","13,467","±1,469","1,923","±1,120","14.3%","±7.4","17,010","±1,511","535","±281","3.1%","±1.7","92,262","±3,744","5,997","±1,926","6.5%","±2.1","27,543","±1,775","1,764","±993","6.4%","±3.6","26,049","±2,167","3,057","±1,140","11.7%","±4.2","52,488","±2,657","5,219","±1,666","9.9%","±3.1","14,325","±2,027","872","±437","6.1%","±3.2","75,097,099","±105,995","5,032,715","±43,140","6.7%","±0.1"
"            Unemployed","2,910","±822","402","±288","13.8%","±9.4","3,240","±1,541","721","±567","22.3%","±12.6","1,200","±604","560","±428","46.7%","±22.7","1,675","±504","406","±280","24.2%","±16.0","1,526","±728","486","±410","31.8%","±24.3","944","±666","413","±473","43.8%","±39.0","6,785","±1,428","1,745","±758","25.7%","±10.5","2,621","±1,050","485","±419","18.5%","±14.0","4,194","±1,397","884","±555","21.1%","±13.6","7,487","±2,421","3,613","±2,017","48.3%","±18.2","1,319","±537","834","±378","63.2%","±17.4","7,391,161","±47,457","2,090,290","±29,774","28.3%","±0.4"
"                Male","1,316","±567","184","±197","14.0%","±13.4","1,397","±757","195","±183","14.0%","±14.3","659","±415","285","±250","43.2%","±28.9","1,384","±477","300","±262","21.7%","±18.2","1,091","±640","302","±297","27.7%","±28.0","400","±455","50","±86","12.5%","±27.5","3,917","±1,094","887","±570","22.6%","±13.7","1,443","±838","458","±427","31.7%","±26.5","2,118","±946","183","±226","8.6%","±10.9","4,834","±1,614","2,400","±1,389","49.6%","±19.5","720","±380","385","±250","53.5%","±27.5","3,965,365","±36,702","1,018,900","±16,758","25.7%","±0.4"
