"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","DeSoto County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","DeSoto County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","DeSoto County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","DeSoto County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","DeSoto County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","DeSoto County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","DeSoto County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Forrest County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Forrest County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Forrest County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Forrest County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Forrest County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Forrest County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Forrest County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Harrison County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Harrison County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Harrison County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Harrison County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Harrison County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Harrison County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Harrison County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Hinds County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Hinds County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Hinds County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Hinds County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Hinds County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Hinds County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Hinds County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Jackson County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Jackson County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Jackson County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Jackson County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Jackson County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Jackson County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Jackson County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Jones County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Jones County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Jones County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Jones County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Jones County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Jones County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Jones County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Lauderdale County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Lauderdale County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Lauderdale County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Lee County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Lee County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Lee County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Lee County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Lee County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Lee County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Lee County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Madison County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Madison County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Madison County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Madison County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Madison County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Madison County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Madison County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Women with births in the past 12 months!!Number!!Estimate","Rankin County, Mississippi!!Women with births in the past 12 months!!Number!!Margin of Error","Rankin County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Estimate","Rankin County, Mississippi!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","Rankin County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","Rankin County, Mississippi!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","Rankin County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Rankin County, Mississippi!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Women with births in the past 12 months!!Number!!Estimate","United States!!Women with births in the past 12 months!!Number!!Margin of Error","United States!!Women with births in the past 12 months!!Percent Distribution!!Estimate","United States!!Women with births in the past 12 months!!Percent Distribution!!Margin of Error","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Estimate","United States!!Women with births in the past 12 months!!Rate per 1,000 women!!Margin of Error","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","United States!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,700,398","±41,258","134,688","±7,753","3.5%","±0.2","50","±3","40.7%","±2.4"
"        Hispanic or Latino origin (of any race)","2,558","±193","317","±220","10.7%","±7.4","124","±88","34.1%","±37.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,869,681","±22,244","864,844","±18,065","22.3%","±0.4","54","±1","40.4%","±1.0"
"        White alone, not Hispanic or Latino","26,534","±514","1,962","±752","66.4%","±14.9","74","±29","35.6%","±20.3","10,989","±489","332","±350","N","N","30","±32","60.2%","±53.2","28,161","±603","775","±513","39.8%","±21.9","28","±18","0.0%","±23.7","11,424","±440","758","±429","24.4%","±12.7","66","±38","13.9%","±20.0","20,823","±387","774","±451","55.4%","±22.0","37","±22","12.1%","±20.5","8,991","±398","84","±153","N","N","9","±17","0.0%","±82.7","7,807","±434","566","±382","63.0%","±26.7","72","±50","8.5%","±19.5","11,986","±180","584","±423","65.5%","±27.7","49","±35","47.8%","±36.3","12,631","±257","769","±396","56.3%","±24.4","61","±31","0.0%","±23.8","26,443","±497","1,024","±670","80.5%","±22.5","39","±25","4.0%","±7.5","42,308,780","±20,070","2,066,688","±21,543","53.3%","±0.5","49","±1","23.6%","±0.6"
"    NATIVITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","45,068","±1,223","2,888","±827","97.7%","±2.9","64","±19","41.2%","±17.7","N","N","N","N","N","N","N","N","N","N","48,210","±1,527","1,877","±891","96.5%","±6.5","39","±18","40.8%","±23.1","58,707","±1,136","3,109","±992","100.0%","±6.6","53","±17","42.7%","±18.4","31,051","±1,135","1,398","±728","100.0%","±14.1","45","±23","51.4%","±21.5","N","N","N","N","N","N","N","N","N","N","16,917","±702","899","±493","100.0%","±20.9","53","±29","42.4%","±28.6","19,560","±574","845","±548","94.7%","±10.6","43","±28","63.9%","±27.7","24,292","±941","1,299","±606","95.1%","±6.7","53","±25","40.8%","±26.2","35,831","±858","1,240","±748","97.5%","±4.3","35","±21","20.7%","±22.6","64,041,016","±73,247","3,144,037","±31,873","81.1%","±0.4","49","±1","35.7%","±0.6"
"        Foreign born","1,799","±636","67","±84","2.3%","±2.9","37","±47","100.0%","±92.6","N","N","N","N","N","N","N","N","N","N","2,130","±1,014","68","±122","3.5%","±6.5","32","±57","0.0%","±92.0","1,365","±688","0","±226","0.0%","±6.6","0","±144","-","**","1,743","±817","0","±226","0.0%","±14.1","0","±115","-","**","N","N","N","N","N","N","N","N","N","N","156","±167","0","±226","0.0%","±20.9","0","±607","-","**","675","±421","47","±96","5.3%","±10.6","70","±184","0.0%","±100.0","2,072","±595","67","±94","4.9%","±6.7","32","±46","0.0%","±92.6","1,984","±650","32","±48","2.5%","±4.3","16","±27","0.0%","±100.0","12,838,555","±65,782","733,845","±15,201","18.9%","±0.4","57","±1","20.2%","±0.9"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","7,913","±1,610","381","±317","12.9%","±10.0","48","±39","23.1%","±31.9","N","N","N","N","N","N","N","N","N","N","5,753","±1,180","309","±336","15.9%","±15.8","54","±58","0.0%","±43.1","8,535","±1,163","155","±196","5.0%","±6.1","18","±23","100.0%","±60.9","4,240","±783","0","±226","0.0%","±14.1","0","±49","-","**","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,112","±1,115","0","±226","0.0%","±21.0","0","±50","-","**","4,660","±1,061","27","±49","2.0%","±3.7","6","±11","0.0%","±100.0","4,347","±922","51","±57","4.0%","±5.6","12","±14","0.0%","±100.0","12,354,406","±61,002","423,188","±13,965","10.9%","±0.3","34","±1","52.1%","±1.6"
"        High school graduate (includes equivalency)","9,165","±1,852","741","±411","25.1%","±13.5","81","±45","67.6%","±24.1","N","N","N","N","N","N","N","N","N","N","11,709","±2,003","765","±629","39.3%","±24.1","65","±51","72.0%","±31.6","11,863","±1,885","540","±384","17.4%","±12.8","46","±32","53.5%","±33.7","6,685","±1,217","174","±206","12.4%","±13.2","26","±30","0.0%","±57.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,871","±849","486","±402","54.5%","±27.1","169","±125","90.3%","±19.8","3,151","±1,293","0","±226","0.0%","±14.4","0","±65","-","**","6,464","±1,538","454","±535","35.7%","±31.5","70","±81","9.0%","±23.4","16,058,268","±79,183","899,106","±16,148","23.2%","±0.4","56","±1","50.1%","±1.2"
"        Some college or associate's degree","16,125","±2,312","1,186","±591","40.1%","±16.3","74","±35","56.3%","±27.1","N","N","N","N","N","N","N","N","N","N","23,753","±2,521","653","±529","33.6%","±23.9","27","±22","32.9%","±38.8","23,887","±2,258","1,674","±861","53.8%","±17.2","70","±34","52.9%","±29.5","14,345","±1,763","1,042","±601","74.5%","±19.6","73","±42","68.9%","±24.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,452","±1,561","334","±324","37.4%","±26.3","40","±39","8.7%","±19.8","6,509","±1,527","369","±407","27.0%","±23.3","57","±59","80.5%","±34.7","14,647","±2,231","334","±312","26.3%","±21.7","23","±21","0.0%","±41.5","23,726,891","±70,345","1,176,144","±20,007","30.3%","±0.5","50","±1","39.2%","±0.8"
"        Bachelor's degree","7,673","±1,448","526","±503","17.8%","±15.8","69","±63","0.0%","±32.0","N","N","N","N","N","N","N","N","N","N","6,886","±1,565","106","±107","5.4%","±6.4","15","±16","0.0%","±73.7","8,764","±1,796","577","±395","18.6%","±12.6","66","±48","0.0%","±29.9","5,240","±1,384","182","±231","13.0%","±16.0","35","±44","0.0%","±56.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,176","±1,037","72","±125","8.1%","±13.8","23","±39","100.0%","±89.4","7,769","±1,751","618","±361","45.2%","±23.7","80","±48","37.7%","±31.4","9,069","±1,887","218","±253","17.1%","±19.4","24","±28","23.9%","±42.0","16,023,912","±78,212","848,593","±16,439","21.9%","±0.4","53","±1","12.2%","±0.6"
"        Graduate or professional degree","5,991","±1,290","121","±208","4.1%","±6.9","20","±35","0.0%","±68.9","N","N","N","N","N","N","N","N","N","N","2,239","±798","112","±132","5.8%","±6.9","50","±60","0.0%","±71.7","7,023","±1,624","163","±190","5.2%","±6.1","23","±27","0.0%","±59.4","2,284","±841","0","±226","0.0%","±14.1","0","±89","-","**","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,624","±703","0","±226","0.0%","±21.0","0","±122","-","**","4,275","±1,203","352","±336","25.8%","±22.3","82","±74","0.0%","±40.4","3,288","±1,173","215","±297","16.9%","±22.5","65","±91","76.3%","±51.6","8,716,094","±57,883","530,851","±11,241","13.7%","±0.3","61","±1","6.8%","±0.5"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","46,717","±1,063","2,907","±856","(X)","(X)","62","±18","41.6%","±17.8","18,092","±1,260","578","±451","(X)","(X)","32","±25","53.6%","±42.9","49,849","±1,271","1,945","±903","(X)","(X)","39","±18","39.4%","±22.5","56,902","±1,681","3,109","±992","(X)","(X)","55","±18","42.7%","±18.4","32,727","±1,030","1,398","±728","(X)","(X)","43","±22","51.4%","±21.5","14,919","±736","797","±678","(X)","(X)","53","±45","89.5%","±17.1","16,756","±793","899","±493","(X)","(X)","54","±29","42.4%","±28.6","20,235","±581","892","±567","(X)","(X)","44","±28","60.5%","±26.1","25,926","±811","1,366","±616","(X)","(X)","53","±24","38.8%","±25.3","37,045","±1,531","1,272","±746","(X)","(X)","34","±20","20.2%","±22.0","75,108,636","±51,346","3,865,281","±31,905","(X)","(X)","51","±1","32.6%","±0.5"
"        Below 100 percent of poverty level","5,892","±1,345","712","±458","24.5%","±14.4","121","±79","64.7%","±31.2","4,334","±1,401","200","±322","34.6%","±43.3","46","±82","100.0%","±53.6","10,076","±2,504","910","±609","46.8%","±23.6","90","±59","68.6%","±29.3","11,560","±2,112","1,108","±594","35.6%","±17.5","96","±48","52.0%","±30.7","6,347","±1,826","132","±211","9.4%","±14.3","21","±34","100.0%","±66.0","5,002","±1,793","671","±614","84.2%","±20.2","134","±139","100.0%","±26.6","4,336","±1,123","157","±178","17.5%","±20.8","36","±41","100.0%","±60.5","3,868","±1,149","232","±298","26.0%","±26.5","60","±81","100.0%","±49.8","1,945","±914","27","±49","2.0%","±3.7","14","±25","0.0%","±100.0","4,854","±1,631","238","±245","18.7%","±19.3","49","±53","17.2%","±30.0","10,710,505","±73,562","792,565","±18,706","20.5%","±0.4","74","±2","67.5%","±1.2"
"        100 to 199 percent of poverty level","5,934","±1,562","461","±309","15.9%","±10.1","78","±56","28.6%","±35.9","3,815","±1,360","110","±196","19.0%","±33.1","29","±51","100.0%","±72.3","10,443","±2,665","460","±437","23.7%","±19.5","44","±40","30.9%","±42.4","16,268","±2,804","289","±255","9.3%","±7.8","18","±16","85.5%","±29.1","5,442","±1,624","618","±506","44.2%","±23.3","114","±83","61.8%","±37.4","3,175","±1,427","0","±226","0.0%","±23.1","0","±65","-","**","4,447","±1,253","128","±201","14.2%","±20.1","29","±48","100.0%","±67.0","3,410","±1,450","243","±282","27.2%","±26.6","71","±90","29.6%","±45.7","5,448","±1,792","297","±383","21.7%","±22.6","55","±69","100.0%","±44.0","5,507","±1,771","136","±189","10.7%","±14.3","25","±38","38.2%","±61.8","12,757,677","±81,695","777,748","±15,747","20.1%","±0.4","61","±1","41.3%","±1.1"
"        200 percent or more above poverty level","34,891","±2,114","1,734","±730","59.6%","±15.9","50","±20","35.5%","±20.3","9,943","±1,749","268","±280","46.4%","±42.9","27","±27","0.0%","±46.3","29,330","±3,372","575","±464","29.6%","±20.8","20","±16","0.0%","±30.0","29,074","±2,692","1,712","±826","55.1%","±17.9","59","±29","29.6%","±28.5","20,938","±2,143","648","±431","46.4%","±25.9","31","±21","31.5%","±31.6","6,742","±1,669","126","±175","15.8%","±20.2","19","±27","33.3%","±55.9","7,973","±1,304","614","±431","68.3%","±24.5","77","±54","15.6%","±26.3","12,957","±1,660","417","±357","46.7%","±33.4","32","±27","56.6%","±43.2","18,533","±1,800","1,042","±467","76.3%","±22.6","56","±27","22.4%","±21.4","26,684","±2,231","898","±663","70.6%","±24.5","34","±25","18.3%","±31.2","51,640,454","±111,133","2,294,968","±25,665","59.4%","±0.5","44","±1","17.6%","±0.5"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","45,922","±1,134","2,955","±835","(X)","(X)","64","±18","42.5%","±17.4","19,165","±799","578","±451","(X)","(X)","30","±23","53.6%","±42.9","48,792","±1,189","1,945","±903","(X)","(X)","40","±19","39.4%","±22.5","58,341","±1,128","3,109","±992","(X)","(X)","53","±17","42.7%","±18.4","32,397","±1,052","1,398","±728","(X)","(X)","43","±23","51.4%","±21.5","14,893","±470","797","±678","(X)","(X)","54","±45","89.5%","±17.1","16,294","±597","899","±493","(X)","(X)","55","±30","42.4%","±28.6","19,753","±627","892","±567","(X)","(X)","45","±29","60.5%","±26.1","26,081","±826","1,366","±616","(X)","(X)","52","±23","38.8%","±25.3","37,311","±1,074","1,272","±746","(X)","(X)","34","±20","20.2%","±22.0","74,826,006","±52,632","3,872,204","±31,895","(X)","(X)","52","±1","32.7%","±0.5"
"        In labor force","34,602","±1,817","1,463","±703","49.5%","±18.1","42","±20","60.7%","±21.1","13,907","±1,787","378","±323","65.4%","±43.3","27","±22","29.1%","±44.0","36,104","±2,550","1,345","±776","69.2%","±19.2","37","±21","52.0%","±30.1","41,934","±2,105","2,385","±905","76.7%","±13.6","57","±22","44.2%","±22.6","24,256","±1,450","1,123","±685","80.3%","±18.7","46","±28","55.6%","±24.2","8,801","±1,909","264","±298","33.1%","±34.2","30","±33","95.5%","±10.4","12,407","±1,130","674","±438","75.0%","±22.2","54","±35","23.1%","±28.4","14,661","±1,224","845","±548","94.7%","±10.6","58","±38","63.9%","±27.7","19,170","±1,338","1,276","±606","93.4%","±8.8","67","±33","41.5%","±26.8","27,231","±2,201","959","±684","75.4%","±21.1","35","±25","26.8%","±30.9","55,265,605","±90,158","2,548,687","±29,159","65.8%","±0.5","46","±1","33.2%","±0.6"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","N","N","N","N","(X)","(X)","N","N","N","N","N","N","N","N","(X)","(X)","N","N","N","N","50,340","±1,181","1,945","±903","(X)","(X)","39","±18","39.4%","±22.5","60,072","±835","3,109","±992","(X)","(X)","52","±17","42.7%","±18.4","32,794","±1,049","1,398","±728","(X)","(X)","43","±22","51.4%","±21.5","N","N","N","N","(X)","(X)","N","N","N","N","N","N","N","N","(X)","(X)","N","N","N","N","20,235","±581","892","±567","(X)","(X)","44","±28","60.5%","±26.1","N","N","N","N","(X)","(X)","N","N","N","N","N","N","N","N","(X)","(X)","N","N","N","N","76,879,571","±47,490","3,877,882","±31,847","(X)","(X)","50","±1","32.8%","±0.5"
"        Received public assistance income","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,008","±912","511","±533","26.3%","±23.1","254","±239","100.0%","±32.6","995","±570","204","±253","6.6%","±8.4","205","±230","0.0%","±53.1","439","±333","0","±226","0.0%","±14.1","0","±360","-","**","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","454","±298","0","±226","0.0%","±21.0","0","±352","-","**","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,339,850","±18,859","149,594","±8,884","3.9%","±0.2","112","±7","70.3%","±2.3"
"        Did not receive public assistance income","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","48,332","±1,466","1,434","±721","73.7%","±23.1","30","±15","17.8%","±18.6","59,077","±860","2,905","±995","93.4%","±8.4","49","±17","45.7%","±19.1","32,355","±1,139","1,398","±728","100.0%","±14.1","43","±23","51.4%","±21.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","19,781","±605","892","±567","100.0%","±21.0","45","±29","60.5%","±26.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","75,539,721","±52,688","3,728,288","±31,179","96.1%","±0.2","49","±1","31.3%","±0.5"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Marital status","6.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","7.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","10.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","5.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","9.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","5.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","9.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
