"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!Male!!Estimate","Canadian County, Oklahoma!!Male!!Margin of Error","Canadian County, Oklahoma!!Percent Male!!Estimate","Canadian County, Oklahoma!!Percent Male!!Margin of Error","Canadian County, Oklahoma!!Female!!Estimate","Canadian County, Oklahoma!!Female!!Margin of Error","Canadian County, Oklahoma!!Percent Female!!Estimate","Canadian County, Oklahoma!!Percent Female!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!Male!!Estimate","Cleveland County, Oklahoma!!Male!!Margin of Error","Cleveland County, Oklahoma!!Percent Male!!Estimate","Cleveland County, Oklahoma!!Percent Male!!Margin of Error","Cleveland County, Oklahoma!!Female!!Estimate","Cleveland County, Oklahoma!!Female!!Margin of Error","Cleveland County, Oklahoma!!Percent Female!!Estimate","Cleveland County, Oklahoma!!Percent Female!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!Male!!Estimate","Comanche County, Oklahoma!!Male!!Margin of Error","Comanche County, Oklahoma!!Percent Male!!Estimate","Comanche County, Oklahoma!!Percent Male!!Margin of Error","Comanche County, Oklahoma!!Female!!Estimate","Comanche County, Oklahoma!!Female!!Margin of Error","Comanche County, Oklahoma!!Percent Female!!Estimate","Comanche County, Oklahoma!!Percent Female!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!Male!!Estimate","Creek County, Oklahoma!!Male!!Margin of Error","Creek County, Oklahoma!!Percent Male!!Estimate","Creek County, Oklahoma!!Percent Male!!Margin of Error","Creek County, Oklahoma!!Female!!Estimate","Creek County, Oklahoma!!Female!!Margin of Error","Creek County, Oklahoma!!Percent Female!!Estimate","Creek County, Oklahoma!!Percent Female!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!Male!!Estimate","Muskogee County, Oklahoma!!Male!!Margin of Error","Muskogee County, Oklahoma!!Percent Male!!Estimate","Muskogee County, Oklahoma!!Percent Male!!Margin of Error","Muskogee County, Oklahoma!!Female!!Estimate","Muskogee County, Oklahoma!!Female!!Margin of Error","Muskogee County, Oklahoma!!Percent Female!!Estimate","Muskogee County, Oklahoma!!Percent Female!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!Male!!Estimate","Oklahoma County, Oklahoma!!Male!!Margin of Error","Oklahoma County, Oklahoma!!Percent Male!!Estimate","Oklahoma County, Oklahoma!!Percent Male!!Margin of Error","Oklahoma County, Oklahoma!!Female!!Estimate","Oklahoma County, Oklahoma!!Female!!Margin of Error","Oklahoma County, Oklahoma!!Percent Female!!Estimate","Oklahoma County, Oklahoma!!Percent Female!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!Male!!Estimate","Payne County, Oklahoma!!Male!!Margin of Error","Payne County, Oklahoma!!Percent Male!!Estimate","Payne County, Oklahoma!!Percent Male!!Margin of Error","Payne County, Oklahoma!!Female!!Estimate","Payne County, Oklahoma!!Female!!Margin of Error","Payne County, Oklahoma!!Percent Female!!Estimate","Payne County, Oklahoma!!Percent Female!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!Male!!Estimate","Pottawatomie County, Oklahoma!!Male!!Margin of Error","Pottawatomie County, Oklahoma!!Percent Male!!Estimate","Pottawatomie County, Oklahoma!!Percent Male!!Margin of Error","Pottawatomie County, Oklahoma!!Female!!Estimate","Pottawatomie County, Oklahoma!!Female!!Margin of Error","Pottawatomie County, Oklahoma!!Percent Female!!Estimate","Pottawatomie County, Oklahoma!!Percent Female!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!Male!!Estimate","Rogers County, Oklahoma!!Male!!Margin of Error","Rogers County, Oklahoma!!Percent Male!!Estimate","Rogers County, Oklahoma!!Percent Male!!Margin of Error","Rogers County, Oklahoma!!Female!!Estimate","Rogers County, Oklahoma!!Female!!Margin of Error","Rogers County, Oklahoma!!Percent Female!!Estimate","Rogers County, Oklahoma!!Percent Female!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!Male!!Estimate","Tulsa County, Oklahoma!!Male!!Margin of Error","Tulsa County, Oklahoma!!Percent Male!!Estimate","Tulsa County, Oklahoma!!Percent Male!!Margin of Error","Tulsa County, Oklahoma!!Female!!Estimate","Tulsa County, Oklahoma!!Female!!Margin of Error","Tulsa County, Oklahoma!!Percent Female!!Estimate","Tulsa County, Oklahoma!!Percent Female!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!Male!!Estimate","Wagoner County, Oklahoma!!Male!!Margin of Error","Wagoner County, Oklahoma!!Percent Male!!Estimate","Wagoner County, Oklahoma!!Percent Male!!Margin of Error","Wagoner County, Oklahoma!!Female!!Estimate","Wagoner County, Oklahoma!!Female!!Margin of Error","Wagoner County, Oklahoma!!Percent Female!!Estimate","Wagoner County, Oklahoma!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"            Community and social service occupations","937","±406","457","±278","48.8%","±23.4","480","±312","51.2%","±23.4","3,278","±765","769","±370","23.5%","±10.2","2,509","±701","76.5%","±10.2","1,088","±540","442","±380","40.6%","±23.6","646","±338","59.4%","±23.6","491","±256","127","±119","25.9%","±21.8","364","±221","74.1%","±21.8","628","±347","76","±132","12.1%","±21.5","552","±337","87.9%","±21.5","6,365","±1,328","1,326","±418","20.8%","±6.4","5,039","±1,240","79.2%","±6.4","619","±321","231","±175","37.3%","±26.0","388","±277","62.7%","±26.0","874","±316","473","±285","54.1%","±21.7","401","±197","45.9%","±21.7","400","±257","222","±153","55.5%","±18.1","178","±137","44.5%","±18.1","6,817","±1,008","2,272","±705","33.3%","±7.3","4,545","±638","66.7%","±7.3","491","±258","203","±150","41.3%","±26.4","288","±208","58.7%","±26.4","2,865,705","±30,703","957,889","±17,243","33.4%","±0.5","1,907,816","±25,661","66.6%","±0.5"
"            Legal occupations","949","±596","569","±551","60.0%","±29.4","380","±230","40.0%","±29.4","2,054","±733","1,296","±622","63.1%","±16.1","758","±376","36.9%","±16.1","27","±48","0","±165","0.0%","±100.0","27","±48","100.0%","±100.0","273","±180","147","±134","53.8%","±34.8","126","±124","46.2%","±34.8","134","±165","99","±155","73.9%","±51.1","35","±47","26.1%","±51.1","7,331","±1,420","3,546","±1,026","48.4%","±9.1","3,785","±912","51.6%","±9.1","228","±189","212","±181","93.0%","±11.7","16","±27","7.0%","±11.7","89","±114","64","±105","71.9%","±55.9","25","±41","28.1%","±55.9","323","±159","135","±124","41.8%","±36.2","188","±156","58.2%","±36.2","3,504","±595","1,393","±376","39.8%","±9.1","2,111","±506","60.2%","±9.1","300","±202","76","±99","25.3%","±30.6","224","±175","74.7%","±30.6","1,804,178","±26,139","848,904","±14,737","47.1%","±0.5","955,274","±17,736","52.9%","±0.5"
"            Educational instruction, and library occupations","4,166","±945","983","±601","23.6%","±13.6","3,183","±928","76.4%","±13.6","13,138","±2,303","3,957","±1,404","30.1%","±8.5","9,181","±1,773","69.9%","±8.5","3,647","±1,054","782","±428","21.4%","±10.7","2,865","±959","78.6%","±10.7","1,247","±407","204","±168","16.4%","±12.4","1,043","±364","83.6%","±12.4","1,528","±626","440","±306","28.8%","±13.3","1,088","±422","71.2%","±13.3","17,836","±2,072","4,822","±1,186","27.0%","±5.5","13,014","±1,705","73.0%","±5.5","4,855","±1,164","2,538","±826","52.3%","±12.0","2,317","±821","47.7%","±12.0","2,146","±567","556","±257","25.9%","±8.8","1,590","±435","74.1%","±8.8","2,670","±745","218","±140","8.2%","±5.3","2,452","±728","91.8%","±5.3","19,305","±1,885","5,029","±897","26.1%","±3.7","14,276","±1,492","73.9%","±3.7","2,365","±604","570","±338","24.1%","±11.3","1,795","±447","75.9%","±11.3","9,822,473","±64,716","2,609,122","±32,779","26.6%","±0.3","7,213,351","±49,329","73.4%","±0.3"
"            Arts, design, entertainment, sports, and media occupations","1,026","±422","554","±338","54.0%","±25.5","472","±330","46.0%","±25.5","2,333","±777","1,462","±530","62.7%","±20.2","871","±625","37.3%","±20.2","650","±402","320","±309","49.2%","±33.7","330","±272","50.8%","±33.7","422","±231","188","±172","44.5%","±32.3","234","±172","55.5%","±32.3","327","±277","173","±172","52.9%","±43.8","154","±208","47.1%","±43.8","6,510","±1,306","3,225","±1,043","49.5%","±10.9","3,285","±884","50.5%","±10.9","1,464","±789","656","±380","44.8%","±26.3","808","±673","55.2%","±26.3","107","±109","75","±96","70.1%","±48.0","32","±52","29.9%","±48.0","649","±350","222","±169","34.2%","±23.6","427","±286","65.8%","±23.6","6,147","±1,263","2,929","±666","47.6%","±6.7","3,218","±842","52.4%","±6.7","327","±196","237","±155","72.5%","±27.5","90","±109","27.5%","±27.5","3,248,972","±35,077","1,656,817","±24,273","51.0%","±0.5","1,592,155","±24,183","49.0%","±0.5"
"        Healthcare practitioners and technical occupations:","5,444","±1,895","1,165","±477","21.4%","±9.4","4,279","±1,763","78.6%","±9.4","10,486","±2,004","3,195","±1,214","30.5%","±9.1","7,291","±1,517","69.5%","±9.1","3,921","±1,757","793","±532","20.2%","±12.5","3,128","±1,543","79.8%","±12.5","1,165","±355","273","±220","23.4%","±16.4","892","±295","76.6%","±16.4","1,670","±597","488","±339","29.2%","±14.2","1,182","±410","70.8%","±14.2","28,863","±3,327","8,146","±1,426","28.2%","±3.6","20,717","±2,564","71.8%","±3.6","2,294","±715","1,005","±525","43.8%","±15.2","1,289","±451","56.2%","±15.2","1,598","±503","102","±123","6.4%","±8.2","1,496","±522","93.6%","±8.2","3,260","±780","694","±322","21.3%","±7.8","2,566","±631","78.7%","±7.8","21,695","±1,770","7,012","±1,145","32.3%","±4.1","14,683","±1,354","67.7%","±4.1","2,336","±575","843","±275","36.1%","±9.1","1,493","±444","63.9%","±9.1","9,757,087","±63,433","2,443,664","±27,795","25.0%","±0.2","7,313,423","±49,031","75.0%","±0.2"
"            Health diagnosing and treating practitioners and other technical occupations","3,058","±926","767","±390","25.1%","±10.9","2,291","±790","74.9%","±10.9","6,878","±1,728","2,463","±1,175","35.8%","±13.0","4,415","±1,281","64.2%","±13.0","2,381","±1,117","651","±480","27.3%","±15.4","1,730","±870","72.7%","±15.4","753","±351","202","±193","26.8%","±21.1","551","±271","73.2%","±21.1","1,073","±473","241","±219","22.5%","±15.9","832","±360","77.5%","±15.9","20,078","±2,486","6,043","±1,247","30.1%","±4.1","14,035","±1,721","69.9%","±4.1","1,455","±561","378","±287","26.0%","±14.0","1,077","±402","74.0%","±14.0","915","±353","94","±123","10.3%","±14.3","821","±371","89.7%","±14.3","1,961","±561","316","±209","16.1%","±10.2","1,645","±524","83.9%","±10.2","15,035","±1,617","5,425","±1,040","36.1%","±5.1","9,610","±1,184","63.9%","±5.1","1,752","±446","757","±266","43.2%","±12.1","995","±344","56.8%","±12.1","6,648,380","±52,715","1,705,244","±20,935","25.6%","±0.2","4,943,136","±41,173","74.4%","±0.2"
"            Health technologists and technicians","2,386","±1,661","398","±300","16.7%","±14.8","1,988","±1,565","83.3%","±14.8","3,608","±1,022","732","±430","20.3%","±9.1","2,876","±793","79.7%","±9.1","1,540","±1,250","142","±212","9.2%","±15.8","1,398","±1,232","90.8%","±15.8","412","±214","71","±116","17.2%","±26.0","341","±177","82.8%","±26.0","597","±338","247","±252","41.4%","±29.1","350","±218","58.6%","±29.1","8,785","±1,685","2,103","±904","23.9%","±8.8","6,682","±1,419","76.1%","±8.8","839","±456","627","±428","74.7%","±21.0","212","±178","25.3%","±21.0","683","±356","8","±13","1.2%","±2.2","675","±355","98.8%","±2.2","1,299","±503","378","±252","29.1%","±15.6","921","±396","70.9%","±15.6","6,660","±912","1,587","±572","23.8%","±7.5","5,073","±791","76.2%","±7.5","584","±322","86","±73","14.7%","±15.6","498","±326","85.3%","±15.6","3,108,707","±35,256","738,420","±17,398","23.8%","±0.5","2,370,287","±28,609","76.2%","±0.5"
"    Service occupations:","10,331","±1,906","3,299","±1,097","31.9%","±11.2","7,032","±1,973","68.1%","±11.2","23,727","±2,740","10,557","±1,816","44.5%","±5.4","13,170","±1,920","55.5%","±5.4","10,368","±1,761","4,963","±1,161","47.9%","±9.0","5,405","±1,373","52.1%","±9.0","4,680","±794","1,546","±431","33.0%","±8.5","3,134","±717","67.0%","±8.5","4,495","±962","1,527","±650","34.0%","±11.2","2,968","±711","66.0%","±11.2","67,572","±5,242","28,583","±3,415","42.3%","±3.3","38,989","±3,458","57.7%","±3.3","7,074","±1,425","2,439","±854","34.5%","±9.3","4,635","±1,094","65.5%","±9.3","5,912","±875","2,862","±634","48.4%","±6.7","3,050","±544","51.6%","±6.7","7,711","±1,066","3,275","±744","42.5%","±6.6","4,436","±722","57.5%","±6.6","53,448","±2,939","23,519","±1,755","44.0%","±2.3","29,929","±2,089","56.0%","±2.3","5,910","±833","2,462","±576","41.7%","±7.5","3,448","±633","58.3%","±7.5","28,093,795","±121,507","12,056,105","±71,663","42.9%","±0.2","16,037,690","±85,499","57.1%","±0.2"
"        Healthcare support occupations","1,331","±755","36","±60","2.7%","±4.8","1,295","±749","97.3%","±4.8","3,316","±970","439","±347","13.2%","±10.2","2,877","±928","86.8%","±10.2","1,465","±758","244","±324","16.7%","±20.5","1,221","±688","83.3%","±20.5","1,466","±543","22","±35","1.5%","±2.6","1,444","±541","98.5%","±2.6","1,305","±507","217","±175","16.6%","±13.8","1,088","±492","83.4%","±13.8","8,926","±1,703","1,824","±896","20.4%","±8.8","7,102","±1,506","79.6%","±8.8","452","±298","0","±165","0.0%","±21.8","452","±298","100.0%","±21.8","1,339","±431","386","±237","28.8%","±12.5","953","±294","71.2%","±12.5","1,579","±389","195","±142","12.3%","±8.2","1,384","±355","87.7%","±8.2","8,424","±1,083","937","±314","11.1%","±3.4","7,487","±998","88.9%","±3.4","1,267","±450","205","±195","16.2%","±14.3","1,062","±428","83.8%","±14.3","5,348,914","±47,116","772,508","±17,331","14.4%","±0.3","4,576,406","±41,253","85.6%","±0.3"
"        Protective service occupations:","1,059","±482","754","±319","71.2%","±19.3","305","±279","28.8%","±19.3","4,187","±1,118","3,139","±941","75.0%","±11.0","1,048","±554","25.0%","±11.0","1,678","±770","1,321","±773","78.7%","±21.0","357","±349","21.3%","±21.0","573","±263","469","±238","81.8%","±18.9","104","±123","18.2%","±18.9","462","±295","399","±289","86.4%","±13.9","63","±51","13.6%","±13.9","8,092","±1,732","5,373","±1,352","66.4%","±11.3","2,719","±1,176","33.6%","±11.3","465","±265","233","±165","50.1%","±26.7","232","±194","49.9%","±26.7","1,077","±459","959","±448","89.0%","±10.7","118","±113","11.0%","±10.7","1,161","±489","893","±459","76.9%","±16.0","268","±178","23.1%","±16.0","4,970","±1,024","4,047","±885","81.4%","±6.1","923","±358","18.6%","±6.1","1,269","±409","693","±310","54.6%","±19.2","576","±320","45.4%","±19.2","3,447,960","±31,694","2,625,965","±27,195","76.2%","±0.4","821,995","±16,694","23.8%","±0.4"
"            Firefighting and prevention, and other protective service workers including supervisors","362","±295","280","±199","77.3%","±31.7","82","±161","22.7%","±31.7","2,569","±950","1,646","±744","64.1%","±16.4","923","±534","35.9%","±16.4","927","±671","720","±722","77.7%","±32.9","207","±243","22.3%","±32.9","194","±148","188","±148","96.9%","±5.9","6","±9","3.1%","±5.9","316","±265","295","±265","93.4%","±13.0","21","±31","6.6%","±13.0","5,484","±1,358","3,805","±1,055","69.4%","±13.5","1,679","±931","30.6%","±13.5","268","±217","109","±122","40.7%","±39.5","159","±178","59.3%","±39.5","593","±330","523","±327","88.2%","±16.5","70","±94","11.8%","±16.5","924","±451","656","±416","71.0%","±20.2","268","±178","29.0%","±20.2","2,918","±638","2,466","±631","84.5%","±8.3","452","±239","15.5%","±8.3","585","±262","400","±244","68.4%","±22.8","185","±140","31.6%","±22.8","1,935,137","±26,072","1,420,143","±22,072","73.4%","±0.6","514,994","±12,757","26.6%","±0.6"
"            Law enforcement workers including supervisors","697","±318","474","±206","68.0%","±24.8","223","±227","32.0%","±24.8","1,618","±655","1,493","±602","92.3%","±8.5","125","±150","7.7%","±8.5","751","±472","601","±409","80.0%","±29.1","150","±233","20.0%","±29.1","379","±231","281","±197","74.1%","±27.0","98","±122","25.9%","±27.0","146","±130","104","±123","71.2%","±36.2","42","±40","28.8%","±36.2","2,608","±950","1,568","±741","60.1%","±20.0","1,040","±650","39.9%","±20.0","197","±165","124","±114","62.9%","±28.8","73","±81","37.1%","±28.8","484","±284","436","±263","90.1%","±11.1","48","±57","9.9%","±11.1","237","±149","237","±149","100.0%","±35.6","0","±165","0.0%","±35.6","2,052","±705","1,581","±577","77.0%","±9.8","471","±251","23.0%","±9.8","684","±354","293","±211","42.8%","±26.8","391","±285","57.2%","±26.8","1,512,823","±20,308","1,205,822","±17,057","79.7%","±0.6","307,001","±10,504","20.3%","±0.6"
"        Food preparation and serving related occupations","3,663","±1,317","795","±410","21.7%","±11.3","2,868","±1,204","78.3%","±11.3","8,214","±1,722","3,522","±1,153","42.9%","±10.5","4,692","±1,284","57.1%","±10.5","2,782","±1,013","1,194","±694","42.9%","±18.6","1,588","±719","57.1%","±18.6","1,113","±385","423","±243","38.0%","±16.8","690","±294","62.0%","±16.8","1,320","±441","366","±246","27.7%","±15.1","954","±361","72.3%","±15.1","24,256","±2,897","10,841","±2,073","44.7%","±6.1","13,415","±2,042","55.3%","±6.1","2,982","±900","951","±520","31.9%","±13.6","2,031","±700","68.1%","±13.6","1,406","±386","563","±271","40.0%","±13.7","843","±265","60.0%","±13.7","2,546","±642","1,114","±393","43.8%","±11.3","1,432","±464","56.2%","±11.3","20,098","±1,752","9,674","±1,106","48.1%","±3.7","10,424","±1,187","51.9%","±3.7","1,782","±437","995","±336","55.8%","±12.5","787","±287","44.2%","±12.5","9,029,677","±72,157","4,130,552","±42,296","45.7%","±0.3","4,899,125","±47,999","54.3%","±0.3"
"        Building and grounds cleaning and maintenance occupations","2,499","±1,222","1,254","±760","50.2%","±34.4","1,245","±1,183","49.8%","±34.4","4,093","±1,175","2,756","±1,004","67.3%","±12.8","1,337","±596","32.7%","±12.8","3,142","±1,171","1,869","±678","59.5%","±22.6","1,273","±977","40.5%","±22.6","944","±351","556","±266","58.9%","±16.6","388","±207","41.1%","±16.6","894","±363","353","±232","39.5%","±19.3","541","±267","60.5%","±19.3","16,296","±2,590","8,568","±1,952","52.6%","±7.6","7,728","±1,645","47.4%","±7.6","1,887","±817","973","±567","51.6%","±18.7","914","±507","48.4%","±18.7","976","±278","739","±275","75.7%","±15.4","237","±158","24.3%","±15.4","1,204","±388","752","±274","62.5%","±13.6","452","±232","37.5%","±13.6","11,341","±1,284","6,925","±1,063","61.1%","±5.5","4,416","±744","38.9%","±5.5","647","±289","449","±224","69.4%","±17.2","198","±140","30.6%","±17.2","5,878,084","±52,679","3,438,608","±39,924","58.5%","±0.5","2,439,476","±34,931","41.5%","±0.5"
"        Personal care and service occupations","1,779","±686","460","±359","25.9%","±19.5","1,319","±639","74.1%","±19.5","3,917","±1,276","701","±417","17.9%","±9.9","3,216","±1,157","82.1%","±9.9","1,301","±594","335","±267","25.7%","±18.3","966","±519","74.3%","±18.3","584","±231","76","±53","13.0%","±9.4","508","±223","87.0%","±9.4","514","±384","192","±219","37.4%","±26.6","322","±231","62.6%","±26.6","10,002","±2,072","1,977","±855","19.8%","±7.2","8,025","±1,721","80.2%","±7.2","1,288","±791","282","±324","21.9%","±24.4","1,006","±705","78.1%","±24.4","1,114","±365","215","±149","19.3%","±12.6","899","±338","80.7%","±12.6","1,221","±410","321","±196","26.3%","±13.1","900","±346","73.7%","±13.1","8,615","±1,243","1,936","±559","22.5%","±5.3","6,679","±1,028","77.5%","±5.3","945","±399","120","±145","12.7%","±13.2","825","±322","87.3%","±13.2","4,389,160","±39,784","1,088,472","±21,550","24.8%","±0.4","3,300,688","±33,305","75.2%","±0.4"
"    Sales and office occupations:","16,727","±2,779","6,180","±1,269","36.9%","±6.7","10,547","±2,320","63.1%","±6.7","30,202","±2,606","11,148","±1,876","36.9%","±5.3","19,054","±2,279","63.1%","±5.3","9,064","±1,708","2,015","±668","22.2%","±6.6","7,049","±1,514","77.8%","±6.6","7,644","±1,093","2,801","±683","36.6%","±6.1","4,843","±732","63.4%","±6.1","5,899","±823","2,028","±609","34.4%","±8.5","3,871","±679","65.6%","±8.5","80,494","±4,393","30,141","±2,868","37.4%","±2.7","50,353","±3,242","62.6%","±2.7","7,631","±1,264","2,906","±1,013","38.1%","±10.1","4,725","±952","61.9%","±10.1","6,617","±1,220","2,078","±539","31.4%","±5.9","4,539","±933","68.6%","±5.9","9,808","±947","3,034","±595","30.9%","±4.9","6,774","±753","69.1%","±4.9","68,047","±3,244","26,057","±2,260","38.3%","±2.3","41,990","±2,187","61.7%","±2.3","9,421","±1,106","3,465","±653","36.8%","±4.8","5,956","±766","63.2%","±4.8","32,354,582","±110,360","11,951,048","±64,927","36.9%","±0.1","20,403,534","±82,217","63.1%","±0.1"
"        Sales and related occupations","6,923","±1,487","4,392","±1,140","63.4%","±11.2","2,531","±1,000","36.6%","±11.2","12,244","±1,896","6,212","±1,275","50.7%","±7.5","6,032","±1,350","49.3%","±7.5","3,411","±930","1,154","±447","33.8%","±11.2","2,257","±773","66.2%","±11.2","2,964","±723","1,378","±518","46.5%","±11.2","1,586","±452","53.5%","±11.2","2,465","±534","1,115","±452","45.2%","±15.2","1,350","±467","54.8%","±15.2","37,885","±3,460","18,370","±2,366","48.5%","±4.1","19,515","±2,292","51.5%","±4.1","3,565","±1,022","1,543","±788","43.3%","±15.5","2,022","±660","56.7%","±15.5","3,355","±897","1,308","±406","39.0%","±8.7","2,047","±676","61.0%","±8.7","4,686","±751","2,246","±514","47.9%","±8.4","2,440","±569","52.1%","±8.4","32,759","±2,343","16,883","±1,770","51.5%","±3.6","15,876","±1,523","48.5%","±3.6","4,266","±763","2,268","±525","53.2%","±7.5","1,998","±462","46.8%","±7.5","15,514,456","±80,116","7,652,450","±54,915","49.3%","±0.2","7,862,006","±54,383","50.7%","±0.2"
"        Office and administrative support occupations","9,804","±2,277","1,788","±663","18.2%","±6.2","8,016","±2,067","81.8%","±6.2","17,958","±2,346","4,936","±1,485","27.5%","±7.0","13,022","±2,008","72.5%","±7.0","5,653","±1,394","861","±540","15.2%","±8.7","4,792","±1,271","84.8%","±8.7","4,680","±760","1,423","±535","30.4%","±8.9","3,257","±562","69.6%","±8.9","3,434","±658","913","±438","26.6%","±10.9","2,521","±547","73.4%","±10.9","42,609","±3,404","11,771","±1,851","27.6%","±3.8","30,838","±2,988","72.4%","±3.8","4,066","±966","1,363","±623","33.5%","±11.5","2,703","±705","66.5%","±11.5","3,262","±816","770","±347","23.6%","±8.5","2,492","±673","76.4%","±8.5","5,122","±734","788","±344","15.4%","±6.2","4,334","±675","84.6%","±6.2","35,288","±2,369","9,174","±1,298","26.0%","±3.2","26,114","±2,036","74.0%","±3.2","5,155","±811","1,197","±448","23.2%","±7.4","3,958","±681","76.8%","±7.4","16,840,126","±82,853","4,298,598","±44,607","25.5%","±0.2","12,541,528","±65,457","74.5%","±0.2"
"    Natural resources, construction, and maintenance occupations:","8,110","±1,612","7,660","±1,645","94.5%","±6.1","450","±485","5.5%","±6.1","12,179","±1,758","11,390","±1,723","93.5%","±5.4","789","±669","6.5%","±5.4","4,486","±1,024","4,312","±1,009","96.1%","±3.6","174","±162","3.9%","±3.6","3,840","±621","3,786","±602","98.6%","±2.0","54","±79","1.4%","±2.0","2,516","±566","2,391","±536","95.0%","±5.6","125","±147","5.0%","±5.6","35,493","±2,608","33,466","±2,504","94.3%","±2.6","2,027","±964","5.7%","±2.6","2,765","±760","2,754","±759","99.6%","±0.7","11","±19","0.4%","±0.7","3,984","±766","3,942","±764","98.9%","±1.3","42","±51","1.1%","±1.3","5,254","±818","5,105","±825","97.2%","±2.1","149","±109","2.8%","±2.1","26,947","±2,303","25,806","±2,187","95.8%","±1.4","1,141","±395","4.2%","±1.4","4,608","±895","4,360","±845","94.6%","±4.3","248","±210","5.4%","±4.3","14,041,340","±80,258","13,322,201","±74,148","94.9%","±0.1","719,139","±17,747","5.1%","±0.1"
"        Farming, fishing, and forestry occupations","394","±445","394","±445","100.0%","±24.5","0","±165","0.0%","±24.5","190","±332","0","±165","0.0%","±40.0","190","±332","100.0%","±40.0","282","±248","255","±242","90.4%","±16.7","27","±44","9.6%","±16.7","185","±165","178","±164","96.2%","±8.5","7","±12","3.8%","±8.5","32","±45","32","±45","100.0%","±97.5","0","±165","0.0%","±97.5","1,208","±695","869","±564","71.9%","±24.4","339","±357","28.1%","±24.4","232","±244","221","±244","95.3%","±11.6","11","±19","4.7%","±11.6","147","±125","130","±123","88.4%","±21.1","17","±29","11.6%","±21.1","99","±111","66","±66","66.7%","±32.7","33","±55","33.3%","±32.7","665","±394","565","±355","85.0%","±23.5","100","±162","15.0%","±23.5","139","±135","116","±134","83.5%","±33.3","23","±41","16.5%","±33.3","997,360","±22,540","755,724","±17,858","75.8%","±0.8","241,636","±10,093","24.2%","±0.8"
"        Construction and extraction occupations","4,819","±1,585","4,545","±1,589","94.3%","±8.1","274","±382","5.7%","±8.1","5,778","±1,372","5,667","±1,381","98.1%","±2.6","111","±145","1.9%","±2.6","1,829","±644","1,764","±618","96.4%","±5.9","65","±114","3.6%","±5.9","2,198","±531","2,151","±516","97.9%","±3.5","47","±79","2.1%","±3.5","1,195","±450","1,077","±389","90.1%","±10.6","118","±142","9.9%","±10.6","22,120","±2,293","21,242","±2,227","96.0%","±2.5","878","±567","4.0%","±2.5","1,234","±490","1,234","±490","100.0%","±8.7","0","±165","0.0%","±8.7","2,132","±589","2,132","±589","100.0%","±5.1","0","±165","0.0%","±5.1","2,576","±625","2,541","±632","98.6%","±2.4","35","±60","1.4%","±2.4","16,072","±1,890","15,445","±1,828","96.1%","±1.8","627","±295","3.9%","±1.8","1,847","±486","1,847","±486","100.0%","±5.9","0","±165","0.0%","±5.9","8,181,101","±69,175","7,903,132","±66,930","96.6%","±0.1","277,969","±12,527","3.4%","±0.1"
