"Label","Albemarle County, Virginia!!Estimate","Albemarle County, Virginia!!Margin of Error","Arlington County, Virginia!!Estimate","Arlington County, Virginia!!Margin of Error","Augusta County, Virginia!!Estimate","Augusta County, Virginia!!Margin of Error","Bedford County, Virginia!!Estimate","Bedford County, Virginia!!Margin of Error","Chesterfield County, Virginia!!Estimate","Chesterfield County, Virginia!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Fauquier County, Virginia!!Estimate","Fauquier County, Virginia!!Margin of Error","Frederick County, Virginia!!Estimate","Frederick County, Virginia!!Margin of Error","Hanover County, Virginia!!Estimate","Hanover County, Virginia!!Margin of Error","Henrico County, Virginia!!Estimate","Henrico County, Virginia!!Margin of Error","James City County, Virginia!!Estimate","James City County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error","Montgomery County, Virginia!!Estimate","Montgomery County, Virginia!!Margin of Error","Prince William County, Virginia!!Estimate","Prince William County, Virginia!!Margin of Error","Roanoke County, Virginia!!Estimate","Roanoke County, Virginia!!Margin of Error","Rockingham County, Virginia!!Estimate","Rockingham County, Virginia!!Margin of Error","Spotsylvania County, Virginia!!Estimate","Spotsylvania County, Virginia!!Margin of Error","Stafford County, Virginia!!Estimate","Stafford County, Virginia!!Margin of Error","York County, Virginia!!Estimate","York County, Virginia!!Margin of Error","Alexandria city, Virginia!!Estimate","Alexandria city, Virginia!!Margin of Error","Chesapeake city, Virginia!!Estimate","Chesapeake city, Virginia!!Margin of Error","Hampton city, Virginia!!Estimate","Hampton city, Virginia!!Margin of Error","Lynchburg city, Virginia!!Estimate","Lynchburg city, Virginia!!Margin of Error","Newport News city, Virginia!!Estimate","Newport News city, Virginia!!Margin of Error","Norfolk city, Virginia!!Estimate","Norfolk city, Virginia!!Margin of Error","Portsmouth city, Virginia!!Estimate","Portsmouth city, Virginia!!Margin of Error","Richmond city, Virginia!!Estimate","Richmond city, Virginia!!Margin of Error","Roanoke city, Virginia!!Estimate","Roanoke city, Virginia!!Margin of Error","Suffolk city, Virginia!!Estimate","Suffolk city, Virginia!!Margin of Error","Virginia Beach city, Virginia!!Estimate","Virginia Beach city, Virginia!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"    Female:","4,384","±785","11,979","±790","","","","","44,533","±1,661","58,970","±2,001","","","","","5,074","±536","56,783","±1,707","","","16,183","±948","","","50,829","±1,691","","","","","11,179","±1,008","15,039","±1,137","6,028","±526","17,048","±1,483","39,903","±1,304","35,944","±1,355","12,621","±646","39,651","±1,331","52,785","±1,042","28,796","±1,210","55,591","±2,406","15,350","±1,382","20,645","±891","45,125","±1,928","21,917,261","±49,738"
"        Under 5 years","148","±195","949","±312","","","","","2,345","±368","4,066","±668","","","","","137","±157","2,643","±554","","","1,433","±356","","","3,580","±401","","","","","705","±469","873","±718","404","±286","945","±278","2,499","±208","1,500","±413","1,014","±407","2,474","±570","3,179","±432","2,512","±789","3,307","±208","731","±545","1,313","±208","2,298","±694","1,313,006","±15,017"
"        5 to 9 years","335","±351","149","±155","","","","","1,326","±720","3,851","±1,032","","","","","367","±286","2,514","±1,133","","","1,101","±614","","","3,201","±1,052","","","","","480","±356","854","±471","454","±377","848","±614","2,741","±1,352","2,074","±799","686","±556","3,001","±722","2,409","±717","2,124","±721","3,400","±877","1,035","±571","650","±367","2,999","±848","1,364,936","±18,840"
"        10 to 14 years","77","±145","1,351","±445","","","","","3,448","±1,166","3,862","±1,045","","","","","468","±314","4,893","±1,181","","","1,306","±632","","","4,072","±887","","","","","1,060","±361","997","±394","923","±385","823","±523","2,295","±1,148","1,328","±809","1,232","±393","2,548","±738","3,270","±872","1,658","±713","2,781","±790","670","±449","2,130","±393","3,022","±983","1,483,366","±18,570"
"        15 to 17 years","87","±148","110","±133","","","","","2,039","±208","2,436","±175","","","","","4","±10","2,013","±268","","","459","±476","","","2,218","±317","","","","","623","±341","1,107","±352","48","±81","181","±168","1,566","±211","1,402","±45","88","±113","1,554","±53","1,686","±151","1,131","±522","1,042","±554","597","±342","1,008","±99","1,886","±250","848,846","±12,067"
"        18 and 19 years","512","±284","230","±361","","","","","1,349","±726","1,528","±299","","","","","493","±713","1,202","±779","","","307","±281","","","1,098","±311","","","","","308","±419","0","±208","0","±208","143","±243","1,308","±883","1,896","±795","763","±564","838","±398","2,269","±191","1,129","±577","1,442","±816","190","±324","498","±423","302","±337","640,129","±13,384"
"        20 to 24 years","525","±317","701","±446","","","","","4,870","±828","4,531","±715","","","","","89","±111","3,641","±842","","","797","±430","","","2,902","±650","","","","","718","±490","1,362","±688","193","±322","271","±329","2,362","±880","2,502","±783","747","±516","2,517","±652","5,766","±222","1,048","±556","4,538","±917","1,412","±707","1,323","±423","3,439","±863","1,545,140","±17,392"
"        25 to 29 years","200","±302","1,119","±510","","","","","3,077","±174","4,092","±432","","","","","58","±104","3,983","±556","","","1,045","±208","","","3,453","±286","","","","","461","±402","1,367","±688","706","±572","592","±598","2,769","±259","2,860","±208","1,493","±573","3,763","±159","5,277","±442","2,647","±357","4,568","±1,047","999","±728","1,180","±306","4,312","±694","1,728,866","±15,287"
"        30 to 34 years","415","±326","1,158","±337","","","","","2,988","±191","3,302","±692","","","","","266","±264","4,300","±187","","","1,059","±62","","","3,389","±272","","","","","365","±316","539","±360","147","±152","3,687","±1,195","3,096","±364","2,323","±404","797","±81","3,282","±200","3,995","±160","886","±485","4,525","±187","1,060","±49","1,425","±88","3,526","±269","1,574,530","±13,489"
"        35 to 44 years","448","±215","2,309","±352","","","","","6,834","±306","8,747","±653","","","","","570","±485","7,690","±194","","","2,780","±208","","","8,339","±395","","","","","1,573","±547","2,454","±514","493","±448","3,150","±322","5,358","±357","4,502","±105","1,311","±208","5,176","±334","6,238","±153","4,994","±474","5,723","±865","1,987","±650","2,708","±434","6,399","±262","2,894,745","±19,109"
"        45 to 54 years","707","±281","1,240","±401","","","","","5,689","±633","8,783","±486","","","","","703","±431","7,541","±418","","","2,412","±257","","","7,632","±554","","","","","1,744","±480","2,357","±86","957","±766","2,551","±178","4,914","±143","4,320","±90","1,359","±208","4,715","±245","5,538","±232","3,078","±188","6,185","±375","2,310","±858","2,789","±380","5,446","±780","2,766,537","±16,849"
"        55 to 64 years","413","±441","1,280","±208","","","","","5,775","±341","7,384","±459","","","","","890","±208","7,831","±214","","","1,874","±179","","","6,318","±196","","","","","1,587","±115","1,936","±198","1,269","±277","1,864","±313","5,207","±208","5,073","±269","1,292","±114","5,084","±44","6,432","±78","3,457","±372","8,781","±227","1,963","±208","2,770","±124","5,684","±221","2,726,482","±9,060"
"        65 to 74 years","517","±491","572","±360","","","","","3,331","±342","4,120","±351","","","","","490","±353","5,127","±208","","","935","±208","","","3,177","±192","","","","","1,098","±308","856","±259","248","±233","1,505","±352","3,450","±208","3,649","±208","1,109","±410","2,762","±188","3,923","±208","2,315","±85","5,639","±142","1,678","±345","1,662","±208","3,669","±201","1,820,590","±9,640"
"        75 to 84 years","0","±208","657","±369","","","","","871","±329","1,536","±417","","","","","96","±139","2,538","±677","","","521","±185","","","929","±301","","","","","398","±289","337","±259","114","±149","419","±318","1,938","±354","1,435","±444","377","±403","1,501","±311","2,394","±232","1,137","±307","2,765","±574","527","±349","799","±223","1,723","±381","861,805","±11,993"
"        85 years and over","0","±208","154","±221","","","","","591","±324","732","±417","","","","","443","±328","867","±573","","","154","±185","","","521","±301","","","","","59","±69","0","±208","72","±120","69","±84","400","±354","1,080","±450","353","±244","436","±311","409","±232","680","±315","895","±465","191","±189","390","±223","420","±380","348,283","±8,487"
