"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Insured!!Estimate","Benton County, Arkansas!!Percent Insured!!Estimate","Benton County, Arkansas!!Uninsured!!Estimate","Benton County, Arkansas!!Percent Uninsured!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Insured!!Estimate","Craighead County, Arkansas!!Percent Insured!!Estimate","Craighead County, Arkansas!!Uninsured!!Estimate","Craighead County, Arkansas!!Percent Uninsured!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Insured!!Estimate","Faulkner County, Arkansas!!Percent Insured!!Estimate","Faulkner County, Arkansas!!Uninsured!!Estimate","Faulkner County, Arkansas!!Percent Uninsured!!Estimate","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Insured!!Estimate","Garland County, Arkansas!!Percent Insured!!Estimate","Garland County, Arkansas!!Uninsured!!Estimate","Garland County, Arkansas!!Percent Uninsured!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Insured!!Estimate","Jefferson County, Arkansas!!Percent Insured!!Estimate","Jefferson County, Arkansas!!Uninsured!!Estimate","Jefferson County, Arkansas!!Percent Uninsured!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Insured!!Estimate","Lonoke County, Arkansas!!Percent Insured!!Estimate","Lonoke County, Arkansas!!Uninsured!!Estimate","Lonoke County, Arkansas!!Percent Uninsured!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Insured!!Estimate","Pulaski County, Arkansas!!Percent Insured!!Estimate","Pulaski County, Arkansas!!Uninsured!!Estimate","Pulaski County, Arkansas!!Percent Uninsured!!Estimate","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Insured!!Estimate","Saline County, Arkansas!!Percent Insured!!Estimate","Saline County, Arkansas!!Uninsured!!Estimate","Saline County, Arkansas!!Percent Uninsured!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Insured!!Estimate","Sebastian County, Arkansas!!Percent Insured!!Estimate","Sebastian County, Arkansas!!Uninsured!!Estimate","Sebastian County, Arkansas!!Percent Uninsured!!Estimate","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Insured!!Estimate","Washington County, Arkansas!!Percent Insured!!Estimate","Washington County, Arkansas!!Uninsured!!Estimate","Washington County, Arkansas!!Percent Uninsured!!Estimate","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Insured!!Estimate","White County, Arkansas!!Percent Insured!!Estimate","White County, Arkansas!!Uninsured!!Estimate","White County, Arkansas!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"        75 years and older","15,157","15,013","99.0%","144","1.0%","6,102","6,102","100.0%","0","0.0%","5,630","5,630","100.0%","0","0.0%","10,188","10,188","100.0%","0","0.0%","4,496","4,474","99.5%","22","0.5%","3,905","3,905","100.0%","0","0.0%","24,278","24,127","99.4%","151","0.6%","9,291","9,291","100.0%","0","0.0%","8,945","8,852","99.0%","93","1.0%","11,027","10,976","99.5%","51","0.5%","5,318","5,318","100.0%","0","0.0%","21,566,194","21,457,698","99.5%","108,496","0.5%"
"        Under 19 years","76,308","71,504","93.7%","4,804","6.3%","27,383","25,896","94.6%","1,487","5.4%","30,867","30,001","97.2%","866","2.8%","20,556","18,458","89.8%","2,098","10.2%","15,110","13,978","92.5%","1,132","7.5%","19,608","18,794","95.8%","814","4.2%","93,810","89,090","95.0%","4,720","5.0%","30,396","28,525","93.8%","1,871","6.2%","32,579","30,535","93.7%","2,044","6.3%","62,920","57,140","90.8%","5,780","9.2%","20,066","19,252","95.9%","814","4.1%","77,350,432","72,975,330","94.3%","4,375,102","5.7%"
"        19 to 64 years","163,783","141,509","86.4%","22,274","13.6%","67,574","59,651","88.3%","7,923","11.7%","77,632","66,777","86.0%","10,855","14.0%","54,227","45,488","83.9%","8,739","16.1%","35,781","32,782","91.6%","2,999","8.4%","42,646","37,402","87.7%","5,244","12.3%","228,217","199,800","87.5%","28,417","12.5%","68,355","60,218","88.1%","8,137","11.9%","73,184","61,113","83.5%","12,071","16.5%","145,921","121,379","83.2%","24,542","16.8%","45,383","39,633","87.3%","5,750","12.7%","192,987,829","168,135,929","87.1%","24,851,900","12.9%"
"        65 years and older","37,399","36,867","98.6%","532","1.4%","14,129","14,007","99.1%","122","0.9%","15,636","15,636","100.0%","0","0.0%","23,483","23,483","100.0%","0","0.0%","11,289","11,267","99.8%","22","0.2%","9,958","9,958","100.0%","0","0.0%","62,171","61,183","98.4%","988","1.6%","22,383","22,383","100.0%","0","0.0%","20,894","20,614","98.7%","280","1.3%","28,317","28,266","99.8%","51","0.2%","12,915","12,915","100.0%","0","0.0%","52,782,417","52,370,747","99.2%","411,670","0.8%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","137,581","124,407","90.4%","13,174","9.6%","53,239","47,461","89.1%","5,778","10.9%","59,652","52,872","88.6%","6,780","11.4%","46,326","40,395","87.2%","5,931","12.8%","28,964","26,519","91.6%","2,445","8.4%","34,696","31,610","91.1%","3,086","8.9%","180,973","160,281","88.6%","20,692","11.4%","59,056","53,076","89.9%","5,980","10.1%","61,126","53,451","87.4%","7,675","12.6%","118,748","100,970","85.0%","17,778","15.0%","38,588","34,526","89.5%","4,062","10.5%","157,833,027","141,745,190","89.8%","16,087,837","10.2%"
"        Female","139,909","125,473","89.7%","14,436","10.3%","55,847","52,093","93.3%","3,754","6.7%","64,483","59,542","92.3%","4,941","7.7%","51,940","47,034","90.6%","4,906","9.4%","33,216","31,508","94.9%","1,708","5.1%","37,516","34,544","92.1%","2,972","7.9%","203,225","189,792","93.4%","13,433","6.6%","62,078","58,050","93.5%","4,028","6.5%","65,531","58,811","89.7%","6,720","10.3%","118,410","105,815","89.4%","12,595","10.6%","39,776","37,274","93.7%","2,502","6.3%","165,287,651","151,736,816","91.8%","13,550,835","8.2%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","242,159","220,665","91.1%","21,494","8.9%","85,353","76,676","89.8%","8,677","10.2%","102,599","94,983","92.6%","7,616","7.4%","85,643","77,376","90.3%","8,267","9.7%","22,791","21,869","96.0%","922","4.0%","64,631","59,369","91.9%","5,262","8.1%","212,411","193,878","91.3%","18,533","8.7%","106,446","97,573","91.7%","8,873","8.3%","92,013","83,428","90.7%","8,585","9.3%","186,613","166,536","89.2%","20,077","10.8%","71,005","65,254","91.9%","5,751","8.1%","233,212,096","213,846,646","91.7%","19,365,450","8.3%"
"        Black or African American alone","N","N","N","N","N","N","N","N","N","N","14,931","12,182","81.6%","2,749","18.4%","7,854","5,550","70.7%","2,304","29.3%","35,809","33,524","93.6%","2,285","6.4%","4,065","3,682","90.6%","383","9.4%","144,745","132,285","91.4%","12,460","8.6%","9,031","8,223","91.1%","808","8.9%","8,830","7,871","89.1%","959","10.9%","9,129","7,998","87.6%","1,131","12.4%","4,455","3,859","86.6%","596","13.4%","40,702,085","36,578,046","89.9%","4,124,039","10.1%"
"        American Indian and Alaska Native alone","4,314","3,147","72.9%","1,167","27.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,777,677","2,247,099","80.9%","530,578","19.1%"
"        Asian alone","10,818","10,539","97.4%","279","2.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,431","8,221","97.5%","210","2.5%","N","N","N","N","N","5,594","4,952","88.5%","642","11.5%","6,074","4,908","80.8%","1,166","19.2%","N","N","N","N","N","18,534,191","17,315,729","93.4%","1,218,462","6.6%"
"        Native Hawaiian and Other Pacific Islander alone","1,907","13","0.7%","1,894","99.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","6,769","3,969","58.6%","2,800","41.4%","N","N","N","N","N","612,857","537,523","87.7%","75,334","12.3%"
"        Some other race alone","5,019","3,681","73.3%","1,338","26.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,738","15,851","84.6%","2,887","15.4%","N","N","N","N","N","16,143,634","12,711,066","78.7%","3,432,568","21.3%"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,543","10,133","96.1%","410","3.9%","N","N","N","N","N","8,145","7,202","88.4%","943","11.6%","7,584","6,560","86.5%","1,024","13.5%","N","N","N","N","N","11,138,138","10,245,897","92.0%","892,241","8.0%"
"        Hispanic or Latino (of any race)","47,575","36,497","76.7%","11,078","23.3%","N","N","N","N","N","N","N","N","N","N","5,784","3,041","52.6%","2,743","47.4%","N","N","N","N","N","N","N","N","N","N","23,537","14,862","63.1%","8,675","36.9%","6,176","4,864","78.8%","1,312","21.2%","18,739","15,106","80.6%","3,633","19.4%","40,872","31,086","76.1%","9,786","23.9%","N","N","N","N","N","59,686,770","48,551,702","81.3%","11,135,068","18.7%"
"        White alone, not Hispanic or Latino","201,361","189,569","94.1%","11,792","5.9%","81,532","74,020","90.8%","7,512","9.2%","99,268","92,448","93.1%","6,820","6.9%","80,536","74,956","93.1%","5,580","6.9%","22,686","21,764","95.9%","922","4.1%","62,108","57,780","93.0%","4,328","7.0%","197,533","185,529","93.9%","12,004","6.1%","101,295","93,407","92.2%","7,888","7.8%","86,955","79,190","91.1%","7,765","8.9%","165,567","151,437","91.5%","14,130","8.5%","68,774","63,044","91.7%","5,730","8.3%","194,023,129","181,892,205","93.7%","12,130,924","6.3%"
"    LIVING ARRANGEMENTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In family households","239,295","214,244","89.5%","25,051","10.5%","88,773","81,340","91.6%","7,433","8.4%","98,266","90,359","92.0%","7,907","8.0%","78,758","69,729","88.5%","9,029","11.5%","48,086","45,226","94.1%","2,860","5.9%","63,251","57,996","91.7%","5,255","8.3%","304,411","278,703","91.6%","25,708","8.4%","104,994","96,847","92.2%","8,147","7.8%","102,301","90,029","88.0%","12,272","12.0%","183,872","158,034","85.9%","25,838","14.1%","62,517","58,160","93.0%","4,357","7.0%","263,940,213","240,098,070","91.0%","23,842,143","9.0%"
"            In married couple families","193,586","176,003","90.9%","17,583","9.1%","61,263","55,910","91.3%","5,353","8.7%","71,369","66,619","93.3%","4,750","6.7%","54,353","50,978","93.8%","3,375","6.2%","28,643","26,533","92.6%","2,110","7.4%","50,970","46,339","90.9%","4,631","9.1%","191,928","178,972","93.2%","12,956","6.8%","78,552","75,201","95.7%","3,351","4.3%","74,356","66,423","89.3%","7,933","10.7%","138,024","120,808","87.5%","17,216","12.5%","43,722","41,647","95.3%","2,075","4.7%","190,121,888","176,180,183","92.7%","13,941,705","7.3%"
"            In other families","45,709","38,241","83.7%","7,468","16.3%","27,510","25,430","92.4%","2,080","7.6%","26,897","23,740","88.3%","3,157","11.7%","24,405","18,751","76.8%","5,654","23.2%","19,443","18,693","96.1%","750","3.9%","12,281","11,657","94.9%","624","5.1%","112,483","99,731","88.7%","12,752","11.3%","26,442","21,646","81.9%","4,796","18.1%","27,945","23,606","84.5%","4,339","15.5%","45,848","37,226","81.2%","8,622","18.8%","18,795","16,513","87.9%","2,282","12.1%","73,818,325","63,917,887","86.6%","9,900,438","13.4%"
"                Male reference person, no spouse present","11,547","9,989","86.5%","1,558","13.5%","4,542","4,306","94.8%","236","5.2%","8,198","7,326","89.4%","872","10.6%","7,199","5,377","74.7%","1,822","25.3%","4,663","4,403","94.4%","260","5.6%","4,194","4,027","96.0%","167","4.0%","25,353","20,868","82.3%","4,485","17.7%","8,296","6,552","79.0%","1,744","21.0%","5,367","4,466","83.2%","901","16.8%","14,053","11,016","78.4%","3,037","21.6%","3,828","3,338","87.2%","490","12.8%","21,227,309","17,829,442","84.0%","3,397,867","16.0%"
"                Female reference person, no spouse present","34,162","28,252","82.7%","5,910","17.3%","22,968","21,124","92.0%","1,844","8.0%","18,699","16,414","87.8%","2,285","12.2%","17,206","13,374","77.7%","3,832","22.3%","14,780","14,290","96.7%","490","3.3%","8,087","7,630","94.3%","457","5.7%","87,130","78,863","90.5%","8,267","9.5%","18,146","15,094","83.2%","3,052","16.8%","22,578","19,140","84.8%","3,438","15.2%","31,795","26,210","82.4%","5,585","17.6%","14,967","13,175","88.0%","1,792","12.0%","52,591,016","46,088,445","87.6%","6,502,571","12.4%"
"        In non-family households and other living arrangements","38,195","35,636","93.3%","2,559","6.7%","20,313","18,214","89.7%","2,099","10.3%","25,869","22,055","85.3%","3,814","14.7%","19,508","17,700","90.7%","1,808","9.3%","14,094","12,801","90.8%","1,293","9.2%","8,961","8,158","91.0%","803","9.0%","79,787","71,370","89.5%","8,417","10.5%","16,140","14,279","88.5%","1,861","11.5%","24,356","22,233","91.3%","2,123","8.7%","53,286","48,751","91.5%","4,535","8.5%","15,847","13,640","86.1%","2,207","13.9%","59,180,465","53,383,936","90.2%","5,796,529","9.8%"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native born","243,475","225,984","92.8%","17,491","7.2%","104,223","96,587","92.7%","7,636","7.3%","120,889","109,726","90.8%","11,163","9.2%","94,235","85,728","91.0%","8,507","9.0%","N","N","N","N","N","70,324","65,245","92.8%","5,079","7.2%","363,342","335,410","92.3%","27,932","7.7%","116,606","107,535","92.2%","9,071","7.8%","115,483","104,186","90.2%","11,297","9.8%","210,102","189,149","90.0%","20,953","10.0%","77,001","70,580","91.7%","6,421","8.3%","278,548,300","257,788,435","92.5%","20,759,865","7.5%"
"        Foreign born","34,015","23,896","70.3%","10,119","29.7%","4,863","2,967","61.0%","1,896","39.0%","3,246","2,688","82.8%","558","17.2%","4,031","1,701","42.2%","2,330","57.8%","N","N","N","N","N","1,888","909","48.1%","979","51.9%","20,856","14,663","70.3%","6,193","29.7%","4,528","3,591","79.3%","937","20.7%","11,174","8,076","72.3%","3,098","27.7%","27,056","17,636","65.2%","9,420","34.8%","1,363","1,220","89.5%","143","10.5%","44,572,378","35,693,571","80.1%","8,878,807","19.9%"
"            Naturalized","12,908","11,853","91.8%","1,055","8.2%","2,433","2,320","95.4%","113","4.6%","2,342","2,233","95.3%","109","4.7%","1,481","1,294","87.4%","187","12.6%","N","N","N","N","N","654","581","88.8%","73","11.2%","9,768","8,845","90.6%","923","9.4%","2,820","2,515","89.2%","305","10.8%","3,522","3,307","93.9%","215","6.1%","7,420","6,779","91.4%","641","8.6%","659","524","79.5%","135","20.5%","23,002,416","21,041,210","91.5%","1,961,206","8.5%"
"            Not a citizen","21,107","12,043","57.1%","9,064","42.9%","2,430","647","26.6%","1,783","73.4%","904","455","50.3%","449","49.7%","2,550","407","16.0%","2,143","84.0%","N","N","N","N","N","1,234","328","26.6%","906","73.4%","11,088","5,818","52.5%","5,270","47.5%","1,708","1,076","63.0%","632","37.0%","7,652","4,769","62.3%","2,883","37.7%","19,636","10,857","55.3%","8,779","44.7%","704","696","98.9%","8","1.1%","21,569,962","14,652,361","67.9%","6,917,601","32.1%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With a disability","32,048","30,482","95.1%","1,566","4.9%","17,323","16,573","95.7%","750","4.3%","15,029","14,643","97.4%","386","2.6%","18,696","18,164","97.2%","532","2.8%","10,953","10,792","98.5%","161","1.5%","11,256","11,213","99.6%","43","0.4%","61,605","58,604","95.1%","3,001","4.9%","18,929","18,495","97.7%","434","2.3%","26,930","25,297","93.9%","1,633","6.1%","29,139","26,985","92.6%","2,154","7.4%","14,576","14,221","97.6%","355","2.4%","41,089,958","38,758,402","94.3%","2,331,556","5.7%"
"        No disability","245,442","219,398","89.4%","26,044","10.6%","91,763","82,981","90.4%","8,782","9.6%","109,106","97,771","89.6%","11,335","10.4%","79,570","69,265","87.0%","10,305","13.0%","51,227","47,235","92.2%","3,992","7.8%","60,956","54,941","90.1%","6,015","9.9%","322,593","291,469","90.4%","31,124","9.6%","102,205","92,631","90.6%","9,574","9.4%","99,727","86,965","87.2%","12,762","12.8%","208,019","179,800","86.4%","28,219","13.6%","63,788","57,579","90.3%","6,209","9.7%","282,030,720","254,723,604","90.3%","27,307,116","9.7%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","178,129","158,550","89.0%","19,579","11.0%","67,028","60,579","90.4%","6,449","9.6%","73,088","66,380","90.8%","6,708","9.2%","70,618","63,607","90.1%","7,011","9.9%","40,519","38,398","94.8%","2,121","5.2%","47,679","43,215","90.6%","4,464","9.4%","259,219","234,773","90.6%","24,446","9.4%","82,355","75,603","91.8%","6,752","8.2%","82,663","73,289","88.7%","9,374","11.3%","140,485","121,924","86.8%","18,561","13.2%","50,156","45,033","89.8%","5,123","10.2%","216,102,534","195,268,604","90.4%","20,833,930","9.6%"
"            Less than high school graduate","18,875","14,097","74.7%","4,778","25.3%","5,859","5,065","86.4%","794","13.6%","4,694","3,758","80.1%","936","19.9%","6,105","4,905","80.3%","1,200","19.7%","4,525","4,223","93.3%","302","6.7%","5,316","4,156","78.2%","1,160","21.8%","21,852","16,054","73.5%","5,798","26.5%","8,363","7,337","87.7%","1,026","12.3%","13,003","10,316","79.3%","2,687","20.7%","22,335","15,527","69.5%","6,808","30.5%","9,166","7,292","79.6%","1,874","20.4%","24,366,390","18,999,096","78.0%","5,367,294","22.0%"
"            High school graduate (includes equivalency)","51,287","43,489","84.8%","7,798","15.2%","22,547","18,763","83.2%","3,784","16.8%","23,723","21,015","88.6%","2,708","11.4%","19,894","16,923","85.1%","2,971","14.9%","16,034","14,806","92.3%","1,228","7.7%","19,571","17,656","90.2%","1,915","9.8%","67,419","58,857","87.3%","8,562","12.7%","28,647","25,392","88.6%","3,255","11.4%","23,177","19,874","85.7%","3,303","14.3%","38,317","32,297","84.3%","6,020","15.7%","21,525","19,151","89.0%","2,374","11.0%","57,696,941","50,447,775","87.4%","7,249,166","12.6%"
"            Some college or associate's degree","45,708","41,139","90.0%","4,569","10.0%","21,298","19,717","92.6%","1,581","7.4%","23,152","20,918","90.4%","2,234","9.6%","24,352","21,805","89.5%","2,547","10.5%","11,767","11,302","96.0%","465","4.0%","13,844","12,812","92.5%","1,032","7.5%","78,665","71,207","90.5%","7,458","9.5%","23,173","21,513","92.8%","1,660","7.2%","25,608","22,803","89.0%","2,805","11.0%","34,642","30,061","86.8%","4,581","13.2%","11,484","10,738","93.5%","746","6.5%","61,702,996","56,353,545","91.3%","5,349,451","8.7%"
