"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Insured!!Estimate","Baldwin County, Alabama!!Percent Insured!!Estimate","Baldwin County, Alabama!!Uninsured!!Estimate","Baldwin County, Alabama!!Percent Uninsured!!Estimate","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Insured!!Estimate","Calhoun County, Alabama!!Percent Insured!!Estimate","Calhoun County, Alabama!!Uninsured!!Estimate","Calhoun County, Alabama!!Percent Uninsured!!Estimate","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Insured!!Estimate","Cullman County, Alabama!!Percent Insured!!Estimate","Cullman County, Alabama!!Uninsured!!Estimate","Cullman County, Alabama!!Percent Uninsured!!Estimate","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Insured!!Estimate","DeKalb County, Alabama!!Percent Insured!!Estimate","DeKalb County, Alabama!!Uninsured!!Estimate","DeKalb County, Alabama!!Percent Uninsured!!Estimate","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Insured!!Estimate","Elmore County, Alabama!!Percent Insured!!Estimate","Elmore County, Alabama!!Uninsured!!Estimate","Elmore County, Alabama!!Percent Uninsured!!Estimate","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Insured!!Estimate","Etowah County, Alabama!!Percent Insured!!Estimate","Etowah County, Alabama!!Uninsured!!Estimate","Etowah County, Alabama!!Percent Uninsured!!Estimate","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Insured!!Estimate","Houston County, Alabama!!Percent Insured!!Estimate","Houston County, Alabama!!Uninsured!!Estimate","Houston County, Alabama!!Percent Uninsured!!Estimate","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Insured!!Estimate","Jefferson County, Alabama!!Percent Insured!!Estimate","Jefferson County, Alabama!!Uninsured!!Estimate","Jefferson County, Alabama!!Percent Uninsured!!Estimate","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Insured!!Estimate","Lauderdale County, Alabama!!Percent Insured!!Estimate","Lauderdale County, Alabama!!Uninsured!!Estimate","Lauderdale County, Alabama!!Percent Uninsured!!Estimate","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Insured!!Estimate","Lee County, Alabama!!Percent Insured!!Estimate","Lee County, Alabama!!Uninsured!!Estimate","Lee County, Alabama!!Percent Uninsured!!Estimate","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Insured!!Estimate","Limestone County, Alabama!!Percent Insured!!Estimate","Limestone County, Alabama!!Uninsured!!Estimate","Limestone County, Alabama!!Percent Uninsured!!Estimate","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Insured!!Estimate","Madison County, Alabama!!Percent Insured!!Estimate","Madison County, Alabama!!Uninsured!!Estimate","Madison County, Alabama!!Percent Uninsured!!Estimate","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Insured!!Estimate","Marshall County, Alabama!!Percent Insured!!Estimate","Marshall County, Alabama!!Uninsured!!Estimate","Marshall County, Alabama!!Percent Uninsured!!Estimate","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Insured!!Estimate","Mobile County, Alabama!!Percent Insured!!Estimate","Mobile County, Alabama!!Uninsured!!Estimate","Mobile County, Alabama!!Percent Uninsured!!Estimate","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Insured!!Estimate","Montgomery County, Alabama!!Percent Insured!!Estimate","Montgomery County, Alabama!!Uninsured!!Estimate","Montgomery County, Alabama!!Percent Uninsured!!Estimate","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Insured!!Estimate","Morgan County, Alabama!!Percent Insured!!Estimate","Morgan County, Alabama!!Uninsured!!Estimate","Morgan County, Alabama!!Percent Uninsured!!Estimate","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Insured!!Estimate","St. Clair County, Alabama!!Percent Insured!!Estimate","St. Clair County, Alabama!!Uninsured!!Estimate","St. Clair County, Alabama!!Percent Uninsured!!Estimate","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Insured!!Estimate","Shelby County, Alabama!!Percent Insured!!Estimate","Shelby County, Alabama!!Uninsured!!Estimate","Shelby County, Alabama!!Percent Uninsured!!Estimate","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Insured!!Estimate","Talladega County, Alabama!!Percent Insured!!Estimate","Talladega County, Alabama!!Uninsured!!Estimate","Talladega County, Alabama!!Percent Uninsured!!Estimate","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Insured!!Estimate","Tuscaloosa County, Alabama!!Percent Insured!!Estimate","Tuscaloosa County, Alabama!!Uninsured!!Estimate","Tuscaloosa County, Alabama!!Percent Uninsured!!Estimate","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Insured!!Estimate","Walker County, Alabama!!Percent Insured!!Estimate","Walker County, Alabama!!Uninsured!!Estimate","Walker County, Alabama!!Percent Uninsured!!Estimate","United States!!Total!!Estimate","United States!!Insured!!Estimate","United States!!Percent Insured!!Estimate","United States!!Uninsured!!Estimate","United States!!Percent Uninsured!!Estimate"
"        75 years and older","18,156","18,156","100.0%","0","0.0%","8,128","8,128","100.0%","0","0.0%","6,073","6,073","100.0%","0","0.0%","4,541","4,541","100.0%","0","0.0%","4,775","4,775","100.0%","0","0.0%","8,297","8,297","100.0%","0","0.0%","7,605","7,540","99.1%","65","0.9%","41,393","41,136","99.4%","257","0.6%","7,780","7,780","100.0%","0","0.0%","7,781","7,781","100.0%","0","0.0%","6,428","6,428","100.0%","0","0.0%","22,970","22,970","100.0%","0","0.0%","6,555","6,555","100.0%","0","0.0%","26,650","26,626","99.9%","24","0.1%","13,882","13,882","100.0%","0","0.0%","9,394","9,394","100.0%","0","0.0%","5,404","5,404","100.0%","0","0.0%","13,107","13,107","100.0%","0","0.0%","5,627","5,627","100.0%","0","0.0%","10,527","10,527","100.0%","0","0.0%","4,880","4,880","100.0%","0","0.0%","21,566,194","21,457,698","99.5%","108,496","0.5%"
"        Under 19 years","49,101","47,760","97.3%","1,341","2.7%","25,187","24,280","96.4%","907","3.6%","19,587","19,245","98.3%","342","1.7%","18,767","18,292","97.5%","475","2.5%","18,968","18,030","95.1%","938","4.9%","22,810","20,615","90.4%","2,195","9.6%","25,754","25,006","97.1%","748","2.9%","158,033","153,077","96.9%","4,956","3.1%","20,000","18,310","91.6%","1,690","8.5%","38,861","38,128","98.1%","733","1.9%","23,979","22,689","94.6%","1,290","5.4%","85,310","82,781","97.0%","2,529","3.0%","25,365","25,098","98.9%","267","1.1%","102,180","99,921","97.8%","2,259","2.2%","56,862","55,247","97.2%","1,615","2.8%","28,175","26,243","93.1%","1,932","6.9%","21,474","21,298","99.2%","176","0.8%","53,276","52,163","97.9%","1,113","2.1%","18,202","17,466","96.0%","736","4.0%","48,736","46,770","96.0%","1,966","4.0%","14,701","11,216","76.3%","3,485","23.7%","77,350,432","72,975,330","94.3%","4,375,102","5.7%"
"        19 to 64 years","124,972","108,740","87.0%","16,232","13.0%","65,743","54,462","82.8%","11,281","17.2%","48,208","39,959","82.9%","8,249","17.1%","40,114","30,997","77.3%","9,117","22.7%","44,079","40,518","91.9%","3,561","8.1%","59,085","48,179","81.5%","10,906","18.5%","60,228","47,622","79.1%","12,606","20.9%","389,292","332,980","85.5%","56,312","14.5%","52,817","43,762","82.9%","9,055","17.1%","104,510","93,620","89.6%","10,890","10.4%","55,812","46,106","82.6%","9,706","17.4%","224,914","199,714","88.8%","25,200","11.2%","54,406","43,652","80.2%","10,754","19.8%","240,303","196,707","81.9%","43,596","18.1%","128,554","109,275","85.0%","19,279","15.0%","68,434","58,346","85.3%","10,088","14.7%","51,680","46,595","90.2%","5,085","9.8%","127,676","114,398","89.6%","13,278","10.4%","44,357","37,311","84.1%","7,046","15.9%","131,034","118,154","90.2%","12,880","9.8%","36,369","28,436","78.2%","7,933","21.8%","192,987,829","168,135,929","87.1%","24,851,900","12.9%"
"        65 years and older","46,838","46,483","99.2%","355","0.8%","20,145","20,054","99.5%","91","0.5%","15,046","14,893","99.0%","153","1.0%","11,511","11,180","97.1%","331","2.9%","12,362","12,362","100.0%","0","0.0%","19,575","19,291","98.5%","284","1.5%","18,622","18,532","99.5%","90","0.5%","105,640","105,258","99.6%","382","0.4%","19,028","19,028","100.0%","0","0.0%","20,581","20,581","100.0%","0","0.0%","15,742","15,575","98.9%","167","1.1%","56,664","56,488","99.7%","176","0.3%","16,182","16,007","98.9%","175","1.1%","66,629","66,149","99.3%","480","0.7%","34,819","34,819","100.0%","0","0.0%","21,183","21,183","100.0%","0","0.0%","14,207","14,207","100.0%","0","0.0%","34,966","34,966","100.0%","0","0.0%","14,163","14,163","100.0%","0","0.0%","28,102","28,092","100.0%","10","0.0%","11,826","11,753","99.4%","73","0.6%","52,782,417","52,370,747","99.2%","411,670","0.8%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","106,961","97,080","90.8%","9,881","9.2%","52,442","45,199","86.2%","7,243","13.8%","39,954","35,290","88.3%","4,664","11.7%","34,864","29,306","84.1%","5,558","15.9%","35,994","33,460","93.0%","2,534","7.0%","48,771","41,570","85.2%","7,201","14.8%","49,786","42,174","84.7%","7,612","15.3%","308,093","274,118","89.0%","33,975","11.0%","44,515","39,748","89.3%","4,767","10.7%","82,028","76,543","93.3%","5,485","6.7%","45,802","39,119","85.4%","6,683","14.6%","176,789","161,035","91.1%","15,754","8.9%","46,121","40,645","88.1%","5,476","11.9%","193,353","167,577","86.7%","25,776","13.3%","101,918","89,173","87.5%","12,745","12.5%","57,451","51,542","89.7%","5,909","10.3%","41,293","37,901","91.8%","3,392","8.2%","103,911","96,400","92.8%","7,511","7.2%","37,049","32,428","87.5%","4,621","12.5%","100,096","92,821","92.7%","7,275","7.3%","31,114","25,770","82.8%","5,344","17.2%","157,833,027","141,745,190","89.8%","16,087,837","10.2%"
"        Female","113,950","105,903","92.9%","8,047","7.1%","58,633","53,597","91.4%","5,036","8.6%","42,887","38,807","90.5%","4,080","9.5%","35,528","31,163","87.7%","4,365","12.3%","39,415","37,450","95.0%","1,965","5.0%","52,699","46,515","88.3%","6,184","11.7%","54,818","48,986","89.4%","5,832","10.6%","344,872","317,197","92.0%","27,675","8.0%","47,330","41,352","87.4%","5,978","12.6%","81,924","75,786","92.5%","6,138","7.5%","49,731","45,251","91.0%","4,480","9.0%","190,099","177,948","93.6%","12,151","6.4%","49,832","44,112","88.5%","5,720","11.5%","215,759","195,200","90.5%","20,559","9.5%","118,317","110,168","93.1%","8,149","6.9%","60,341","54,230","89.9%","6,111","10.1%","46,068","44,199","95.9%","1,869","4.1%","112,007","105,127","93.9%","6,880","6.1%","39,673","36,512","92.0%","3,161","8.0%","107,776","100,195","93.0%","7,581","7.0%","31,782","25,635","80.7%","6,147","19.3%","165,287,651","151,736,816","91.8%","13,550,835","8.2%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","189,325","175,379","92.6%","13,946","7.4%","80,403","72,983","90.8%","7,420","9.2%","78,892","70,423","89.3%","8,469","10.7%","58,715","51,641","88.0%","7,074","12.0%","58,869","55,405","94.1%","3,464","5.9%","79,432","71,052","89.5%","8,380","10.5%","70,844","62,460","88.2%","8,384","11.8%","338,890","313,445","92.5%","25,445","7.5%","78,351","70,323","89.8%","8,028","10.2%","116,272","109,557","94.2%","6,715","5.8%","75,432","66,409","88.0%","9,023","12.0%","246,303","232,039","94.2%","14,264","5.8%","89,431","78,619","87.9%","10,812","12.1%","237,711","213,161","89.7%","24,550","10.3%","75,206","71,041","94.5%","4,165","5.5%","96,279","85,418","88.7%","10,861","11.3%","76,493","72,099","94.3%","4,394","5.7%","172,931","164,344","95.0%","8,587","5.0%","48,816","44,607","91.4%","4,209","8.6%","133,638","125,050","93.6%","8,588","6.4%","56,279","46,897","83.3%","9,382","16.7%","233,212,096","213,846,646","91.7%","19,365,450","8.3%"
"        Black or African American alone","17,668","16,020","90.7%","1,648","9.3%","24,662","21,741","88.2%","2,921","11.8%","N","N","N","N","N","N","N","N","N","N","15,049","14,105","93.7%","944","6.3%","15,798","12,837","81.3%","2,961","18.7%","29,225","24,754","84.7%","4,471","15.3%","282,433","251,560","89.1%","30,873","10.9%","10,476","8,568","81.8%","1,908","18.2%","37,272","33,117","88.9%","4,155","11.1%","12,929","12,342","95.5%","587","4.5%","90,355","80,359","88.9%","9,996","11.1%","3,820","3,527","92.3%","293","7.7%","148,853","130,581","87.7%","18,272","12.3%","129,344","115,302","89.1%","14,042","10.9%","15,649","14,965","95.6%","684","4.4%","N","N","N","N","N","26,478","24,081","90.9%","2,397","9.1%","25,216","22,047","87.4%","3,169","12.6%","67,971","62,484","91.9%","5,487","8.1%","N","N","N","N","N","40,702,085","36,578,046","89.9%","4,124,039","10.1%"
