"Label","Canadian County, Oklahoma!!Total!!Estimate","Canadian County, Oklahoma!!Total!!Margin of Error","Canadian County, Oklahoma!!With a disability!!Estimate","Canadian County, Oklahoma!!With a disability!!Margin of Error","Canadian County, Oklahoma!!Percent with a disability!!Estimate","Canadian County, Oklahoma!!Percent with a disability!!Margin of Error","Cleveland County, Oklahoma!!Total!!Estimate","Cleveland County, Oklahoma!!Total!!Margin of Error","Cleveland County, Oklahoma!!With a disability!!Estimate","Cleveland County, Oklahoma!!With a disability!!Margin of Error","Cleveland County, Oklahoma!!Percent with a disability!!Estimate","Cleveland County, Oklahoma!!Percent with a disability!!Margin of Error","Comanche County, Oklahoma!!Total!!Estimate","Comanche County, Oklahoma!!Total!!Margin of Error","Comanche County, Oklahoma!!With a disability!!Estimate","Comanche County, Oklahoma!!With a disability!!Margin of Error","Comanche County, Oklahoma!!Percent with a disability!!Estimate","Comanche County, Oklahoma!!Percent with a disability!!Margin of Error","Creek County, Oklahoma!!Total!!Estimate","Creek County, Oklahoma!!Total!!Margin of Error","Creek County, Oklahoma!!With a disability!!Estimate","Creek County, Oklahoma!!With a disability!!Margin of Error","Creek County, Oklahoma!!Percent with a disability!!Estimate","Creek County, Oklahoma!!Percent with a disability!!Margin of Error","Muskogee County, Oklahoma!!Total!!Estimate","Muskogee County, Oklahoma!!Total!!Margin of Error","Muskogee County, Oklahoma!!With a disability!!Estimate","Muskogee County, Oklahoma!!With a disability!!Margin of Error","Muskogee County, Oklahoma!!Percent with a disability!!Estimate","Muskogee County, Oklahoma!!Percent with a disability!!Margin of Error","Oklahoma County, Oklahoma!!Total!!Estimate","Oklahoma County, Oklahoma!!Total!!Margin of Error","Oklahoma County, Oklahoma!!With a disability!!Estimate","Oklahoma County, Oklahoma!!With a disability!!Margin of Error","Oklahoma County, Oklahoma!!Percent with a disability!!Estimate","Oklahoma County, Oklahoma!!Percent with a disability!!Margin of Error","Payne County, Oklahoma!!Total!!Estimate","Payne County, Oklahoma!!Total!!Margin of Error","Payne County, Oklahoma!!With a disability!!Estimate","Payne County, Oklahoma!!With a disability!!Margin of Error","Payne County, Oklahoma!!Percent with a disability!!Estimate","Payne County, Oklahoma!!Percent with a disability!!Margin of Error","Pottawatomie County, Oklahoma!!Total!!Estimate","Pottawatomie County, Oklahoma!!Total!!Margin of Error","Pottawatomie County, Oklahoma!!With a disability!!Estimate","Pottawatomie County, Oklahoma!!With a disability!!Margin of Error","Pottawatomie County, Oklahoma!!Percent with a disability!!Estimate","Pottawatomie County, Oklahoma!!Percent with a disability!!Margin of Error","Rogers County, Oklahoma!!Total!!Estimate","Rogers County, Oklahoma!!Total!!Margin of Error","Rogers County, Oklahoma!!With a disability!!Estimate","Rogers County, Oklahoma!!With a disability!!Margin of Error","Rogers County, Oklahoma!!Percent with a disability!!Estimate","Rogers County, Oklahoma!!Percent with a disability!!Margin of Error","Tulsa County, Oklahoma!!Total!!Estimate","Tulsa County, Oklahoma!!Total!!Margin of Error","Tulsa County, Oklahoma!!With a disability!!Estimate","Tulsa County, Oklahoma!!With a disability!!Margin of Error","Tulsa County, Oklahoma!!Percent with a disability!!Estimate","Tulsa County, Oklahoma!!Percent with a disability!!Margin of Error","Wagoner County, Oklahoma!!Total!!Estimate","Wagoner County, Oklahoma!!Total!!Margin of Error","Wagoner County, Oklahoma!!With a disability!!Estimate","Wagoner County, Oklahoma!!With a disability!!Margin of Error","Wagoner County, Oklahoma!!Percent with a disability!!Estimate","Wagoner County, Oklahoma!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","24,288","±4,378","1,842","±816","7.6%","±3.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,635","±2,523","1,582","±522","9.0%","±3.0","N","N","N","N","N","N","16,143,634","±121,900","1,357,581","±26,319","8.4%","±0.2"
"        Two or more races","7,735","±1,936","1,050","±539","13.6%","±7.1","18,437","±2,775","2,259","±754","12.3%","±4.0","12,245","±2,507","1,919","±840","15.7%","±6.4","3,967","±782","592","±277","14.9%","±6.8","7,134","±1,520","1,278","±567","17.9%","±6.2","46,298","±4,682","3,966","±987","8.6%","±2.1","5,589","±1,109","714","±351","12.8%","±5.5","3,772","±1,064","469","±252","12.4%","±7.3","8,295","±1,091","1,388","±506","16.7%","±5.6","51,666","±3,708","5,793","±1,041","11.2%","±1.8","7,144","±1,299","882","±448","12.3%","±5.3","11,138,138","±119,104","1,226,192","±23,616","11.0%","±0.2"
"        White alone, not Hispanic or Latino","109,688","±634","16,331","±2,071","14.9%","±1.9","197,353","±957","29,851","±2,187","15.1%","±1.1","60,029","±1,641","13,222","±1,995","22.0%","±3.4","53,149","±329","8,588","±794","16.2%","±1.5","36,184","±460","8,540","±1,068","23.6%","±3.0","434,215","±1,890","71,956","±3,913","16.6%","±0.9","61,737","±394","8,820","±1,373","14.3%","±2.2","51,192","±451","8,905","±1,038","17.4%","±2.0","64,970","±600","10,371","±1,023","16.0%","±1.6","393,602","±979","53,649","±2,661","13.6%","±0.7","57,066","±372","9,417","±1,002","16.5%","±1.8","194,023,129","±29,680","27,321,676","±104,964","14.1%","±0.1"
"        Hispanic or Latino (of any race)","14,306","±134","1,248","±576","8.7%","±4.0","25,587","±360","1,378","±585","5.4%","±2.3","14,217","±564","2,574","±1,043","18.1%","±7.4","3,292","±2","540","±425","16.4%","±12.9","4,144","±175","729","±288","17.6%","±6.9","141,806","±402","11,234","±1,784","7.9%","±1.3","N","N","N","N","N","N","3,660","±232","560","±279","15.3%","±7.5","4,618","±71","298","±190","6.5%","±4.1","86,198","±336","6,191","±1,006","7.2%","±1.2","5,459","±15","357","±227","6.5%","±4.2","59,686,770","±16,460","5,405,562","±47,616","9.1%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","9,165","±514","243","±301","2.7%","±3.3","14,784","±6","259","±225","1.8%","±1.5","8,032","±5","82","±128","1.0%","±1.6","3,934","±169","0","±165","0.0%","±2.8","4,280","±374","0","±165","0.0%","±2.6","57,841","±76","274","±224","0.5%","±0.4","3,924","±492","0","±165","0.0%","±2.8","4,386","±203","0","±165","0.0%","±2.5","5,635","±167","65","±80","1.2%","±1.4","45,843","±351","496","±338","1.1%","±0.7","4,622","±187","34","±58","0.7%","±1.2","19,401,454","±22,231","138,659","±7,336","0.7%","±0.1"
"        5 to 17 years","29,336","±513","1,204","±570","4.1%","±1.9","45,291","±260","3,235","±1,033","7.1%","±2.3","19,418","±694","2,111","±974","10.9%","±5.0","12,827","±167","682","±362","5.3%","±2.8","12,316","±374","1,301","±532","10.6%","±4.4","144,603","±128","7,210","±1,411","5.0%","±1.0","11,599","±493","541","±347","4.7%","±3.0","12,613","±306","918","±336","7.3%","±2.7","15,714","±168","838","±305","5.3%","±1.9","117,646","±412","5,270","±810","4.5%","±0.7","14,858","±186","754","±272","5.1%","±1.8","53,433,593","±32,613","3,006,292","±34,953","5.6%","±0.1"
"        18 to 34 years","32,488","±1,239","2,677","±1,075","8.2%","±3.3","80,855","±1,620","5,278","±1,500","6.5%","±1.8","26,648","±1,751","4,003","±905","15.0%","±3.5","13,877","±418","1,273","±504","9.2%","±3.5","13,563","±617","1,454","±504","10.7%","±3.7","189,545","±1,627","14,558","±2,704","7.7%","±1.4","32,116","±993","1,966","±779","6.1%","±2.4","15,166","±654","1,582","±548","10.4%","±3.6","19,517","±390","2,247","±552","11.5%","±2.8","151,434","±713","8,879","±1,146","5.9%","±0.8","16,760","±368","1,433","±456","8.6%","±2.7","74,020,428","±40,229","4,970,992","±46,138","6.7%","±0.1"
"        35 to 64 years","55,596","±1,224","9,197","±1,658","16.5%","±3.0","98,324","±1,621","13,977","±1,633","14.2%","±1.7","38,996","±1,638","10,209","±1,809","26.2%","±4.5","27,409","±376","4,610","±695","16.8%","±2.5","23,982","±606","5,361","±775","22.4%","±3.2","283,470","±915","44,716","±3,454","15.8%","±1.2","21,406","±795","3,340","±813","15.6%","±3.9","26,913","±829","4,600","±677","17.1%","±2.4","35,811","±529","5,824","±774","16.3%","±2.1","237,148","±626","32,072","±2,191","13.5%","±0.9","31,245","±408","4,455","±833","14.3%","±2.6","123,482,786","±47,507","15,303,033","±71,361","12.4%","±0.1"
"        65 to 74 years","12,201","±494","3,342","±873","27.4%","±6.8","23,130","±820","6,364","±933","27.5%","±4.2","8,341","±738","2,340","±716","28.1%","±8.5","7,594","±336","2,115","±365","27.9%","±4.6","6,726","±288","2,298","±353","34.2%","±5.4","66,671","±711","19,809","±1,858","29.7%","±2.8","5,874","±280","2,150","±461","36.6%","±7.7","6,659","±359","2,324","±388","34.9%","±5.3","8,587","±382","2,655","±532","30.9%","±5.6","56,712","±237","14,597","±1,055","25.7%","±1.9","8,035","±323","2,964","±505","36.9%","±6.4","31,216,223","±24,889","7,522,485","±44,879","24.1%","±0.1"
"        75 years and over","7,226","±415","4,534","±745","62.7%","±9.6","15,735","±522","8,197","±905","52.1%","±5.3","5,426","±331","2,959","±624","54.5%","±10.9","5,119","±311","2,377","±430","46.4%","±7.5","4,184","±294","2,371","±460","56.7%","±9.7","42,911","±803","22,713","±1,738","52.9%","±3.9","5,246","±713","3,059","±799","58.3%","±10.5","4,921","±328","2,433","±436","49.4%","±8.6","6,060","±345","2,959","±525","48.8%","±8.4","37,269","±482","17,601","±1,300","47.2%","±3.3","5,447","±225","2,966","±454","54.5%","±8.0","21,566,194","±17,007","10,148,497","±50,504","47.1%","±0.2"
"    DISABILITY TYPE BY DETAILED AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With a hearing difficulty","(X)","(X)","7,391","±1,449","5.1%","±1.0","(X)","(X)","12,658","±1,993","4.6%","±0.7","(X)","(X)","6,069","±1,306","5.7%","±1.2","(X)","(X)","3,335","±601","4.7%","±0.8","(X)","(X)","2,908","±603","4.5%","±0.9","(X)","(X)","32,547","±3,020","4.1%","±0.4","(X)","(X)","3,571","±848","4.5%","±1.1","(X)","(X)","3,627","±708","5.1%","±1.0","(X)","(X)","4,897","±828","5.4%","±0.9","(X)","(X)","25,044","±1,794","3.9%","±0.3","(X)","(X)","4,684","±829","5.8%","±1.0","(X)","(X)","11,495,247","±58,968","3.6%","±0.1"
"            Population under 18 years","38,501","±86","243","±301","0.6%","±0.8","60,075","±260","894","±585","1.5%","±1.0","27,450","±694","359","±251","1.3%","±0.9","16,761","±15","33","±52","0.2%","±0.3","16,596","±19","34","±55","0.2%","±0.3","202,444","±138","1,109","±669","0.5%","±0.3","15,523","±15","0","±165","0.0%","±0.7","16,999","±373","28","±45","0.2%","±0.3","21,349","±33","91","±93","0.4%","±0.4","163,489","±327","868","±361","0.5%","±0.2","19,480","±3","89","±103","0.5%","±0.5","72,835,047","±33,175","401,932","±13,537","0.6%","±0.1"
"                Population under 5 years","9,165","±514","243","±301","2.7%","±3.3","14,784","±6","144","±187","1.0%","±1.3","8,032","±5","82","±128","1.0%","±1.6","3,934","±169","0","±165","0.0%","±2.8","4,280","±374","0","±165","0.0%","±2.6","57,841","±76","192","±176","0.3%","±0.3","3,924","±492","0","±165","0.0%","±2.8","4,386","±203","0","±165","0.0%","±2.5","5,635","±167","65","±80","1.2%","±1.4","45,843","±351","299","±191","0.7%","±0.4","4,622","±187","34","±58","0.7%","±1.2","19,401,454","±22,231","95,422","±6,236","0.5%","±0.1"
"                Population 5 to 17 years","29,336","±513","0","±165","0.0%","±0.4","45,291","±260","750","±566","1.7%","±1.3","19,418","±694","277","±205","1.4%","±1.1","12,827","±167","33","±52","0.3%","±0.4","12,316","±374","34","±55","0.3%","±0.4","144,603","±128","917","±626","0.6%","±0.4","11,599","±493","0","±165","0.0%","±1.0","12,613","±306","28","±45","0.2%","±0.4","15,714","±168","26","±41","0.2%","±0.3","117,646","±412","569","±285","0.5%","±0.2","14,858","±186","55","±81","0.4%","±0.5","53,433,593","±32,613","306,510","±10,945","0.6%","±0.1"
"            Population 18 to 64 years","88,084","±979","3,418","±1,128","3.9%","±1.3","179,179","±1,500","5,406","±1,515","3.0%","±0.8","65,644","±1,952","3,297","±1,061","5.0%","±1.6","41,286","±467","1,323","±379","3.2%","±0.9","37,545","±649","1,242","±420","3.3%","±1.1","473,015","±1,770","11,736","±1,963","2.5%","±0.4","53,522","±977","1,234","±524","2.3%","±1.0","42,079","±1,005","1,113","±454","2.6%","±1.1","55,328","±576","2,121","±584","3.8%","±1.1","388,582","±1,169","9,559","±1,223","2.5%","±0.3","48,005","±274","1,706","±568","3.6%","±1.2","197,503,214","±33,702","3,866,792","±42,373","2.0%","±0.1"
"                Population 18 to 34 years","32,488","±1,239","543","±382","1.7%","±1.2","80,855","±1,620","1,237","±909","1.5%","±1.1","26,648","±1,751","347","±356","1.3%","±1.3","13,877","±418","128","±113","0.9%","±0.8","13,563","±617","114","±99","0.8%","±0.7","189,545","±1,627","1,698","±612","0.9%","±0.3","32,116","±993","158","±183","0.5%","±0.6","15,166","±654","118","±140","0.8%","±0.9","19,517","±390","294","±183","1.5%","±0.9","151,434","±713","1,202","±480","0.8%","±0.3","16,760","±368","91","±115","0.5%","±0.7","74,020,428","±40,229","629,160","±17,786","0.8%","±0.1"
"                Population 35 to 64 years","55,596","±1,224","2,875","±1,133","5.2%","±2.0","98,324","±1,621","4,169","±1,144","4.2%","±1.1","38,996","±1,638","2,950","±1,027","7.6%","±2.6","27,409","±376","1,195","±361","4.4%","±1.3","23,982","±606","1,128","±365","4.7%","±1.5","283,470","±915","10,038","±1,834","3.5%","±0.6","21,406","±795","1,076","±461","5.0%","±2.1","26,913","±829","995","±394","3.7%","±1.4","35,811","±529","1,827","±550","5.1%","±1.5","237,148","±626","8,357","±1,137","3.5%","±0.5","31,245","±408","1,615","±551","5.2%","±1.7","123,482,786","±47,507","3,237,632","±35,535","2.6%","±0.1"
"            Population 65 years and over","19,427","±519","3,730","±856","19.2%","±4.4","38,865","±759","6,358","±1,250","16.4%","±3.1","13,767","±759","2,413","±677","17.5%","±4.8","12,713","±364","1,979","±425","15.6%","±3.2","10,910","±232","1,632","±379","15.0%","±3.5","109,582","±581","19,702","±2,084","18.0%","±1.9","11,120","±748","2,337","±631","21.0%","±5.5","11,580","±272","2,486","±509","21.5%","±4.3","14,647","±556","2,685","±643","18.3%","±4.1","93,981","±400","14,617","±1,304","15.6%","±1.4","13,482","±255","2,889","±560","21.4%","±4.2","52,782,417","±26,301","7,226,523","±35,464","13.7%","±0.1"
"                Population 65 to 74 years","12,201","±494","1,562","±609","12.8%","±4.9","23,130","±820","2,438","±723","10.5%","±3.1","8,341","±738","864","±425","10.4%","±5.0","7,594","±336","896","±323","11.8%","±4.1","6,726","±288","582","±218","8.7%","±3.2","66,671","±711","8,586","±1,497","12.9%","±2.2","5,874","±280","755","±333","12.9%","±5.8","6,659","±359","917","±259","13.8%","±3.7","8,587","±382","1,388","±454","16.2%","±4.9","56,712","±237","6,433","±832","11.3%","±1.5","8,035","±323","1,401","±384","17.4%","±4.9","31,216,223","±24,889","2,681,672","±22,286","8.6%","±0.1"
"                Population 75 years and over","7,226","±415","2,168","±789","30.0%","±10.8","15,735","±522","3,920","±837","24.9%","±5.0","5,426","±331","1,549","±444","28.5%","±8.1","5,119","±311","1,083","±323","21.2%","±5.8","4,184","±294","1,050","±336","25.1%","±8.1","42,911","±803","11,116","±1,570","25.9%","±3.7","5,246","±713","1,582","±489","30.2%","±8.6","4,921","±328","1,569","±391","31.9%","±7.8","6,060","±345","1,297","±383","21.4%","±6.2","37,269","±482","8,184","±1,071","22.0%","±2.8","5,447","±225","1,488","±416","27.3%","±7.5","21,566,194","±17,007","4,544,851","±35,135","21.1%","±0.2"
"        With a vision difficulty","(X)","(X)","5,928","±1,647","4.1%","±1.1","(X)","(X)","6,336","±1,393","2.3%","±0.5","(X)","(X)","5,666","±1,401","5.3%","±1.3","(X)","(X)","1,767","±491","2.5%","±0.7","(X)","(X)","2,064","±566","3.2%","±0.9","(X)","(X)","22,622","±2,550","2.9%","±0.3","(X)","(X)","2,411","±745","3.0%","±0.9","(X)","(X)","2,244","±607","3.2%","±0.9","(X)","(X)","2,047","±451","2.2%","±0.5","(X)","(X)","16,619","±1,634","2.6%","±0.3","(X)","(X)","2,054","±580","2.5%","±0.7","(X)","(X)","7,467,040","±58,337","2.3%","±0.1"
"            Population under 18 years","38,501","±86","518","±377","1.3%","±1.0","60,075","±260","681","±560","1.1%","±0.9","27,450","±694","781","±492","2.8%","±1.8","16,761","±15","338","±278","2.0%","±1.7","16,596","±19","229","±190","1.4%","±1.1","202,444","±138","1,519","±682","0.8%","±0.3","15,523","±15","121","±120","0.8%","±0.8","16,999","±373","50","±60","0.3%","±0.4","21,349","±33","258","±167","1.2%","±0.8","163,489","±327","1,108","±463","0.7%","±0.3","19,480","±3","56","±60","0.3%","±0.3","72,835,047","±33,175","547,083","±17,074","0.8%","±0.1"
"                Population under 5 years","9,165","±514","0","±165","0.0%","±1.2","14,784","±6","115","±132","0.8%","±0.9","8,032","±5","82","±128","1.0%","±1.6","3,934","±169","0","±165","0.0%","±2.8","4,280","±374","0","±165","0.0%","±2.6","57,841","±76","82","±136","0.1%","±0.2","3,924","±492","0","±165","0.0%","±2.8","4,386","±203","0","±165","0.0%","±2.5","5,635","±167","65","±80","1.2%","±1.4","45,843","±351","366","±316","0.8%","±0.7","4,622","±187","0","±165","0.0%","±2.4","19,401,454","±22,231","75,769","±5,791","0.4%","±0.1"
"                Population 5 to 17 years","29,336","±513","518","±377","1.8%","±1.3","45,291","±260","566","±532","1.2%","±1.2","19,418","±694","699","±463","3.6%","±2.4","12,827","±167","338","±278","2.6%","±2.2","12,316","±374","229","±190","1.9%","±1.5","144,603","±128","1,437","±667","1.0%","±0.5","11,599","±493","121","±120","1.0%","±1.0","12,613","±306","50","±60","0.4%","±0.5","15,714","±168","193","±158","1.2%","±1.0","117,646","±412","742","±307","0.6%","±0.3","14,858","±186","56","±60","0.4%","±0.4","53,433,593","±32,613","471,314","±15,522","0.9%","±0.1"
