"Label","Ascension Parish, Louisiana!!Total!!Estimate","Ascension Parish, Louisiana!!Total!!Margin of Error","Ascension Parish, Louisiana!!With a disability!!Estimate","Ascension Parish, Louisiana!!With a disability!!Margin of Error","Ascension Parish, Louisiana!!Percent with a disability!!Estimate","Ascension Parish, Louisiana!!Percent with a disability!!Margin of Error","Bossier Parish, Louisiana!!Total!!Estimate","Bossier Parish, Louisiana!!Total!!Margin of Error","Bossier Parish, Louisiana!!With a disability!!Estimate","Bossier Parish, Louisiana!!With a disability!!Margin of Error","Bossier Parish, Louisiana!!Percent with a disability!!Estimate","Bossier Parish, Louisiana!!Percent with a disability!!Margin of Error","Caddo Parish, Louisiana!!Total!!Estimate","Caddo Parish, Louisiana!!Total!!Margin of Error","Caddo Parish, Louisiana!!With a disability!!Estimate","Caddo Parish, Louisiana!!With a disability!!Margin of Error","Caddo Parish, Louisiana!!Percent with a disability!!Estimate","Caddo Parish, Louisiana!!Percent with a disability!!Margin of Error","Calcasieu Parish, Louisiana!!Total!!Estimate","Calcasieu Parish, Louisiana!!Total!!Margin of Error","Calcasieu Parish, Louisiana!!With a disability!!Estimate","Calcasieu Parish, Louisiana!!With a disability!!Margin of Error","Calcasieu Parish, Louisiana!!Percent with a disability!!Estimate","Calcasieu Parish, Louisiana!!Percent with a disability!!Margin of Error","East Baton Rouge Parish, Louisiana!!Total!!Estimate","East Baton Rouge Parish, Louisiana!!Total!!Margin of Error","East Baton Rouge Parish, Louisiana!!With a disability!!Estimate","East Baton Rouge Parish, Louisiana!!With a disability!!Margin of Error","East Baton Rouge Parish, Louisiana!!Percent with a disability!!Estimate","East Baton Rouge Parish, Louisiana!!Percent with a disability!!Margin of Error","Iberia Parish, Louisiana!!Total!!Estimate","Iberia Parish, Louisiana!!Total!!Margin of Error","Iberia Parish, Louisiana!!With a disability!!Estimate","Iberia Parish, Louisiana!!With a disability!!Margin of Error","Iberia Parish, Louisiana!!Percent with a disability!!Estimate","Iberia Parish, Louisiana!!Percent with a disability!!Margin of Error","Jefferson Parish, Louisiana!!Total!!Estimate","Jefferson Parish, Louisiana!!Total!!Margin of Error","Jefferson Parish, Louisiana!!With a disability!!Estimate","Jefferson Parish, Louisiana!!With a disability!!Margin of Error","Jefferson Parish, Louisiana!!Percent with a disability!!Estimate","Jefferson Parish, Louisiana!!Percent with a disability!!Margin of Error","Lafayette Parish, Louisiana!!Total!!Estimate","Lafayette Parish, Louisiana!!Total!!Margin of Error","Lafayette Parish, Louisiana!!With a disability!!Estimate","Lafayette Parish, Louisiana!!With a disability!!Margin of Error","Lafayette Parish, Louisiana!!Percent with a disability!!Estimate","Lafayette Parish, Louisiana!!Percent with a disability!!Margin of Error","Lafourche Parish, Louisiana!!Total!!Estimate","Lafourche Parish, Louisiana!!Total!!Margin of Error","Lafourche Parish, Louisiana!!With a disability!!Estimate","Lafourche Parish, Louisiana!!With a disability!!Margin of Error","Lafourche Parish, Louisiana!!Percent with a disability!!Estimate","Lafourche Parish, Louisiana!!Percent with a disability!!Margin of Error","Livingston Parish, Louisiana!!Total!!Estimate","Livingston Parish, Louisiana!!Total!!Margin of Error","Livingston Parish, Louisiana!!With a disability!!Estimate","Livingston Parish, Louisiana!!With a disability!!Margin of Error","Livingston Parish, Louisiana!!Percent with a disability!!Estimate","Livingston Parish, Louisiana!!Percent with a disability!!Margin of Error","Orleans Parish, Louisiana!!Total!!Estimate","Orleans Parish, Louisiana!!Total!!Margin of Error","Orleans Parish, Louisiana!!With a disability!!Estimate","Orleans Parish, Louisiana!!With a disability!!Margin of Error","Orleans Parish, Louisiana!!Percent with a disability!!Estimate","Orleans Parish, Louisiana!!Percent with a disability!!Margin of Error","Ouachita Parish, Louisiana!!Total!!Estimate","Ouachita Parish, Louisiana!!Total!!Margin of Error","Ouachita Parish, Louisiana!!With a disability!!Estimate","Ouachita Parish, Louisiana!!With a disability!!Margin of Error","Ouachita Parish, Louisiana!!Percent with a disability!!Estimate","Ouachita Parish, Louisiana!!Percent with a disability!!Margin of Error","Rapides Parish, Louisiana!!Total!!Estimate","Rapides Parish, Louisiana!!Total!!Margin of Error","Rapides Parish, Louisiana!!With a disability!!Estimate","Rapides Parish, Louisiana!!With a disability!!Margin of Error","Rapides Parish, Louisiana!!Percent with a disability!!Estimate","Rapides Parish, Louisiana!!Percent with a disability!!Margin of Error","St. Landry Parish, Louisiana!!Total!!Estimate","St. Landry Parish, Louisiana!!Total!!Margin of Error","St. Landry Parish, Louisiana!!With a disability!!Estimate","St. Landry Parish, Louisiana!!With a disability!!Margin of Error","St. Landry Parish, Louisiana!!Percent with a disability!!Estimate","St. Landry Parish, Louisiana!!Percent with a disability!!Margin of Error","St. Tammany Parish, Louisiana!!Total!!Estimate","St. Tammany Parish, Louisiana!!Total!!Margin of Error","St. Tammany Parish, Louisiana!!With a disability!!Estimate","St. Tammany Parish, Louisiana!!With a disability!!Margin of Error","St. Tammany Parish, Louisiana!!Percent with a disability!!Estimate","St. Tammany Parish, Louisiana!!Percent with a disability!!Margin of Error","Tangipahoa Parish, Louisiana!!Total!!Estimate","Tangipahoa Parish, Louisiana!!Total!!Margin of Error","Tangipahoa Parish, Louisiana!!With a disability!!Estimate","Tangipahoa Parish, Louisiana!!With a disability!!Margin of Error","Tangipahoa Parish, Louisiana!!Percent with a disability!!Estimate","Tangipahoa Parish, Louisiana!!Percent with a disability!!Margin of Error","Terrebonne Parish, Louisiana!!Total!!Estimate","Terrebonne Parish, Louisiana!!Total!!Margin of Error","Terrebonne Parish, Louisiana!!With a disability!!Estimate","Terrebonne Parish, Louisiana!!With a disability!!Margin of Error","Terrebonne Parish, Louisiana!!Percent with a disability!!Estimate","Terrebonne Parish, Louisiana!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,414","±3,762","1,502","±864","13.2%","±6.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,521","±3,127","519","±297","6.9%","±3.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,143,634","±121,900","1,357,581","±26,319","8.4%","±0.2"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","4,359","±1,667","997","±595","22.9%","±11.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","9,369","±2,363","1,989","±874","21.2%","±8.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,020","±1,612","661","±373","8.2%","±4.5","N","N","N","N","N","N","3,555","±1,476","936","±585","26.3%","±16.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,138,138","±119,104","1,226,192","±23,616","11.0%","±0.2"
"        White alone, not Hispanic or Latino","84,804","±438","10,315","±1,480","12.2%","±1.7","78,923","±1,381","10,544","±1,891","13.4%","±2.4","103,105","±1,065","21,376","±2,815","20.7%","±2.7","134,509","±532","19,072","±2,157","14.2%","±1.6","192,002","±1,228","26,409","±3,769","13.8%","±2.0","40,552","±200","6,899","±1,356","17.0%","±3.3","222,275","±998","34,891","±2,576","15.7%","±1.2","158,169","±550","18,340","±2,267","11.6%","±1.4","74,310","±365","15,758","±2,008","21.2%","±2.7","121,558","±853","17,936","±3,342","14.8%","±2.8","118,485","±755","11,658","±1,509","9.8%","±1.3","84,691","±2,618","12,401","±1,793","14.6%","±2.1","77,463","±676","11,694","±1,984","15.1%","±2.6","44,137","±284","5,462","±1,183","12.4%","±2.7","201,137","±819","38,831","±4,312","19.3%","±2.2","83,858","±708","16,645","±2,609","19.8%","±3.1","72,664","±431","11,507","±1,743","15.8%","±2.4","194,023,129","±29,680","27,321,676","±104,964","14.1%","±0.1"
"        Hispanic or Latino (of any race)","N","N","N","N","N","N","N","N","N","N","N","N","6,887","±4","737","±455","10.7%","±6.6","8,170","±102","901","±642","11.0%","±7.9","19,263","±114","1,934","±705","10.0%","±3.7","N","N","N","N","N","N","64,248","±215","7,426","±1,768","11.6%","±2.7","11,165","±122","761","±455","6.8%","±4.1","N","N","N","N","N","N","N","N","N","N","N","N","21,453","±43","1,767","±503","8.2%","±2.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,012","±355","1,677","±927","11.2%","±6.2","N","N","N","N","N","N","N","N","N","N","N","N","59,686,770","±16,460","5,405,562","±47,616","9.1%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","7,066","±1,132","0","±224","0.0%","±2.9","8,513","±559","0","±224","0.0%","±2.4","15,740","±746","0","±224","0.0%","±1.3","14,862","±505","0","±224","0.0%","±1.4","28,550","±582","637","±730","2.2%","±2.5","4,794","±423","109","±204","2.3%","±4.3","27,907","±785","31","±52","0.1%","±0.2","15,860","±507","250","±305","1.6%","±1.9","6,994","±1,697","0","±224","0.0%","±2.9","8,844","±759","0","±224","0.0%","±2.3","22,464","±188","412","±443","1.8%","±2.0","10,261","±341","64","±111","0.6%","±1.1","8,603","±167","0","±224","0.0%","±2.4","5,912","±251","0","±224","0.0%","±3.4","15,105","±202","81","±130","0.5%","±0.9","9,124","±443","0","±224","0.0%","±2.2","7,319","±1,247","0","±224","0.0%","±2.8","19,401,454","±22,231","138,659","±7,336","0.7%","±0.1"
"        5 to 17 years","26,557","±1,133","1,789","±878","6.7%","±3.3","22,915","±511","1,050","±514","4.6%","±2.2","40,390","±835","5,422","±2,518","13.4%","±6.2","36,415","±567","2,787","±1,073","7.7%","±2.9","71,346","±577","6,422","±1,623","9.0%","±2.3","12,686","±400","1,243","±525","9.8%","±4.2","67,177","±806","3,460","±1,281","5.2%","±1.9","41,767","±574","2,070","±1,094","5.0%","±2.6","15,768","±1,679","2,085","±1,022","13.2%","±6.1","27,032","±757","2,480","±1,233","9.2%","±4.6","54,616","±57","4,826","±1,495","8.8%","±2.7","27,436","±472","726","±410","2.6%","±1.5","23,237","±189","1,992","±774","8.6%","±3.3","15,242","±135","777","±514","5.1%","±3.4","46,737","±278","5,029","±1,487","10.8%","±3.2","23,617","±458","2,409","±1,188","10.2%","±5.1","20,370","±1,318","1,395","±975","6.8%","±4.6","53,433,593","±32,613","3,006,292","±34,953","5.6%","±0.1"
"        18 to 34 years","28,404","±1,573","1,279","±631","4.5%","±2.3","24,574","±1,867","952","±596","3.9%","±2.4","51,078","±1,293","4,388","±1,532","8.6%","±3.0","45,597","±1,571","2,936","±1,067","6.4%","±2.4","122,778","±909","13,315","±3,086","10.8%","±2.5","14,602","±1,281","1,567","±1,036","10.7%","±7.0","92,945","±967","10,359","±1,825","11.1%","±2.0","61,104","±1,340","3,599","±1,258","5.9%","±2.1","22,335","±1,091","1,644","±697","7.4%","±3.1","32,559","±1,171","3,534","±1,277","10.9%","±3.9","99,302","±455","6,019","±1,286","6.1%","±1.3","34,402","±1,211","3,166","±1,130","9.2%","±3.2","26,785","±1,026","2,095","±872","7.8%","±3.2","16,804","±1,231","763","±576","4.5%","±3.4","47,071","±1,342","6,346","±1,803","13.5%","±3.9","31,768","±1,546","3,546","±1,514","11.2%","±4.7","24,617","±1,335","2,110","±1,029","8.6%","±4.1","74,020,428","±40,229","4,970,992","±46,138","6.7%","±0.1"
"        35 to 64 years","47,538","±1,690","6,621","±1,651","13.9%","±3.5","46,620","±1,634","5,882","±1,239","12.6%","±2.6","86,306","±1,041","14,204","±2,532","16.5%","±3.0","73,691","±1,650","10,609","±1,906","14.4%","±2.6","152,056","±1,118","24,785","±3,369","16.3%","±2.2","26,182","±1,272","4,405","±1,126","16.8%","±4.3","165,295","±833","25,059","±2,808","15.2%","±1.7","90,893","±1,466","10,493","±1,848","11.5%","±2.0","35,824","±1,242","7,204","±1,593","20.1%","±4.5","52,728","±1,311","7,140","±1,811","13.5%","±3.5","151,255","±586","20,875","±2,345","13.8%","±1.5","52,520","±1,729","8,023","±1,445","15.3%","±2.7","47,302","±1,158","7,191","±1,572","15.2%","±3.2","29,533","±1,287","2,553","±708","8.6%","±2.5","103,595","±1,355","18,746","±2,915","18.1%","±2.8","49,416","±1,601","12,247","±2,232","24.8%","±4.6","40,473","±1,688","6,322","±1,285","15.6%","±3.1","123,482,786","±47,507","15,303,033","±71,361","12.4%","±0.1"
"        65 to 74 years","10,710","±1,239","3,160","±888","29.5%","±7.1","11,236","±536","2,902","±980","25.8%","±8.7","24,447","±750","7,636","±1,493","31.2%","±6.2","18,411","±482","4,663","±984","25.3%","±5.4","38,179","±470","12,200","±1,615","32.0%","±4.2","6,198","±795","1,071","±559","17.3%","±9.2","45,493","±676","11,149","±1,577","24.5%","±3.5","20,004","±749","4,666","±1,232","23.3%","±5.9","9,222","±553","3,646","±882","39.5%","±8.9","11,612","±548","3,952","±1,596","34.0%","±13.5","37,529","±444","9,724","±1,087","25.9%","±2.9","13,585","±424","3,024","±845","22.3%","±6.3","12,720","±700","5,599","±1,049","44.0%","±7.6","7,858","±166","2,376","±759","30.2%","±9.7","27,529","±448","9,318","±1,284","33.8%","±4.7","12,221","±434","3,768","±912","30.8%","±7.4","9,043","±775","2,868","±718","31.7%","±8.2","31,216,223","±24,889","7,522,485","±44,879","24.1%","±0.1"
"        75 years and over","5,425","±587","2,877","±846","53.0%","±13.1","6,511","±414","2,706","±581","41.6%","±9.0","16,848","±714","9,083","±1,380","53.9%","±7.8","12,279","±229","5,823","±1,032","47.4%","±8.5","24,454","±667","11,550","±1,650","47.2%","±6.4","4,582","±580","2,097","±690","45.8%","±14.6","30,197","±634","15,346","±1,495","50.8%","±4.9","12,401","±716","6,861","±1,103","55.3%","±8.0","6,477","±421","4,546","±521","70.2%","±7.8","7,143","±516","2,932","±789","41.0%","±11.6","21,674","±559","11,521","±1,157","53.2%","±4.9","9,531","±254","4,630","±784","48.6%","±8.4","8,018","±379","3,239","±709","40.4%","±8.6","5,415","±451","1,834","±458","33.9%","±9.0","17,240","±631","9,255","±1,155","53.7%","±6.8","7,253","±509","4,632","±807","63.9%","±10.4","7,258","±817","3,259","±856","44.9%","±10.8","21,566,194","±17,007","10,148,497","±50,504","47.1%","±0.2"
