"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!With a disability!!Estimate","Boone County, Kentucky!!With a disability!!Margin of Error","Boone County, Kentucky!!Percent with a disability!!Estimate","Boone County, Kentucky!!Percent with a disability!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!With a disability!!Estimate","Bullitt County, Kentucky!!With a disability!!Margin of Error","Bullitt County, Kentucky!!Percent with a disability!!Estimate","Bullitt County, Kentucky!!Percent with a disability!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!With a disability!!Estimate","Campbell County, Kentucky!!With a disability!!Margin of Error","Campbell County, Kentucky!!Percent with a disability!!Estimate","Campbell County, Kentucky!!Percent with a disability!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!With a disability!!Estimate","Christian County, Kentucky!!With a disability!!Margin of Error","Christian County, Kentucky!!Percent with a disability!!Estimate","Christian County, Kentucky!!Percent with a disability!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!With a disability!!Estimate","Daviess County, Kentucky!!With a disability!!Margin of Error","Daviess County, Kentucky!!Percent with a disability!!Estimate","Daviess County, Kentucky!!Percent with a disability!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!With a disability!!Estimate","Fayette County, Kentucky!!With a disability!!Margin of Error","Fayette County, Kentucky!!Percent with a disability!!Estimate","Fayette County, Kentucky!!Percent with a disability!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!With a disability!!Estimate","Hardin County, Kentucky!!With a disability!!Margin of Error","Hardin County, Kentucky!!Percent with a disability!!Estimate","Hardin County, Kentucky!!Percent with a disability!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!With a disability!!Estimate","Jefferson County, Kentucky!!With a disability!!Margin of Error","Jefferson County, Kentucky!!Percent with a disability!!Estimate","Jefferson County, Kentucky!!Percent with a disability!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!With a disability!!Estimate","Kenton County, Kentucky!!With a disability!!Margin of Error","Kenton County, Kentucky!!Percent with a disability!!Estimate","Kenton County, Kentucky!!Percent with a disability!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!With a disability!!Estimate","McCracken County, Kentucky!!With a disability!!Margin of Error","McCracken County, Kentucky!!Percent with a disability!!Estimate","McCracken County, Kentucky!!Percent with a disability!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!With a disability!!Estimate","Madison County, Kentucky!!With a disability!!Margin of Error","Madison County, Kentucky!!Percent with a disability!!Estimate","Madison County, Kentucky!!Percent with a disability!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!With a disability!!Estimate","Oldham County, Kentucky!!With a disability!!Margin of Error","Oldham County, Kentucky!!Percent with a disability!!Estimate","Oldham County, Kentucky!!Percent with a disability!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!With a disability!!Estimate","Warren County, Kentucky!!With a disability!!Margin of Error","Warren County, Kentucky!!Percent with a disability!!Estimate","Warren County, Kentucky!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,143,634","±121,900","1,357,581","±26,319","8.4%","±0.2"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","14,450","±3,429","734","±483","5.1%","±3.6","N","N","N","N","N","N","18,087","±3,189","2,276","±627","12.6%","±3.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,571","±2,071","1,383","±775","30.3%","±8.3","11,138,138","±119,104","1,226,192","±23,616","11.0%","±0.2"
"        White alone, not Hispanic or Latino","115,546","±829","16,945","±2,941","14.7%","±2.6","76,341","±521","12,120","±1,745","15.9%","±2.3","85,177","±723","11,537","±1,698","13.5%","±2.0","39,846","±1,151","9,164","±1,576","23.0%","±4.0","87,241","±777","16,284","±1,950","18.7%","±2.2","224,839","±828","30,525","±2,939","13.6%","±1.3","80,758","±1,270","15,173","±2,349","18.8%","±2.8","504,578","±991","79,976","±4,604","15.9%","±0.9","146,292","±459","20,121","±1,906","13.8%","±1.3","53,266","±801","8,307","±1,317","15.6%","±2.4","82,482","±554","14,503","±1,857","17.6%","±2.3","56,089","±734","6,106","±1,149","10.9%","±2.1","101,964","±596","14,047","±2,078","13.8%","±2.0","194,023,129","±29,680","27,321,676","±104,964","14.1%","±0.1"
"        Hispanic or Latino (of any race)","5,747","±203","826","±557","14.4%","±9.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,352","±4","312","±203","9.3%","±6.1","23,772","±179","954","±465","4.0%","±2.0","6,118","±253","462","±315","7.6%","±5.2","45,081","±270","2,937","±927","6.5%","±2.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,439","±55","854","±670","11.5%","±9.0","59,686,770","±16,460","5,405,562","±47,616","9.1%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","8,935","±708","0","±201","0.0%","±1.9","3,908","±160","100","±127","2.6%","±3.2","5,548","±488","110","±168","2.0%","±3.1","6,580","±587","112","±164","1.7%","±2.5","6,765","±336","0","±201","0.0%","±2.4","19,479","±387","205","±211","1.1%","±1.1","7,122","±5","335","±360","4.7%","±5.1","47,566","±164","73","±119","0.2%","±0.3","10,986","±765","139","±249","1.3%","±2.3","4,265","±357","45","±97","1.1%","±2.3","5,579","±534","0","±201","0.0%","±3.0","3,469","±390","0","±201","0.0%","±4.7","8,472","±381","0","±201","0.0%","±2.0","19,401,454","±22,231","138,659","±7,336","0.7%","±0.1"
"        5 to 17 years","25,568","±710","2,689","±1,225","10.5%","±4.8","13,613","±343","1,043","±696","7.7%","±5.1","13,817","±475","596","±542","4.3%","±3.9","12,447","±633","1,180","±646","9.5%","±5.4","17,845","±337","1,606","±622","9.0%","±3.4","47,798","±108","2,290","±878","4.8%","±1.8","19,610","±565","1,051","±481","5.4%","±2.5","120,328","±528","7,966","±1,662","6.6%","±1.4","28,368","±790","1,816","±829","6.4%","±2.9","10,472","±494","846","±553","8.1%","±5.3","13,640","±576","1,776","±713","13.0%","±5.2","13,014","±222","622","±291","4.8%","±2.2","21,850","±388","1,620","±608","7.4%","±2.8","53,433,593","±32,613","3,006,292","±34,953","5.6%","±0.1"
"        18 to 34 years","26,995","±1,148","3,152","±1,112","11.7%","±4.2","16,611","±514","798","±381","4.8%","±2.3","22,303","±648","1,439","±590","6.5%","±2.6","14,634","±1,455","2,440","±1,176","16.7%","±7.7","20,420","±733","2,107","±762","10.3%","±3.8","92,897","±611","6,643","±1,390","7.2%","±1.5","21,987","±1,342","2,431","±969","11.1%","±4.4","176,773","±575","16,064","±2,227","9.1%","±1.3","38,711","±828","2,989","±830","7.7%","±2.2","12,233","±841","1,202","±646","9.8%","±5.1","28,137","±940","2,430","±636","8.6%","±2.2","11,403","±666","1,259","±545","11.0%","±4.8","38,898","±1,131","4,363","±1,481","11.2%","±3.9","74,020,428","±40,229","4,970,992","±46,138","6.7%","±0.1"
"        35 to 64 years","53,244","±1,255","6,852","±2,053","12.9%","±3.9","33,653","±893","5,083","±1,136","15.1%","±3.4","35,692","±659","5,276","±1,224","14.8%","±3.4","18,145","±981","4,053","±1,094","22.3%","±6.0","37,633","±1,051","6,691","±1,284","17.8%","±3.4","115,760","±1,013","15,003","±2,183","13.0%","±1.9","41,634","±1,280","7,995","±1,564","19.2%","±3.7","289,410","±646","46,605","±3,128","16.1%","±1.1","63,732","±789","8,536","±1,473","13.4%","±2.3","24,882","±1,009","3,885","±936","15.6%","±3.8","31,961","±1,089","7,183","±1,159","22.5%","±3.5","25,808","±1,050","2,374","±803","9.2%","±3.1","46,125","±1,272","7,659","±1,360","16.6%","±3.0","123,482,786","±47,507","15,303,033","±71,361","12.4%","±0.1"
"        65 to 74 years","11,431","±423","2,849","±737","24.9%","±6.1","8,373","±716","2,410","±1,007","28.8%","±10.3","9,322","±411","1,935","±507","20.8%","±5.6","5,515","±533","1,816","±615","32.9%","±11.4","9,882","±389","3,628","±698","36.7%","±6.9","25,658","±568","5,904","±925","23.0%","±3.5","10,060","±711","3,669","±1,062","36.5%","±9.6","75,331","±595","19,708","±2,129","26.2%","±2.8","15,122","±456","3,395","±840","22.5%","±5.6","6,911","±413","2,098","±653","30.4%","±8.9","7,943","±324","2,379","±705","30.0%","±8.7","6,202","±524","863","±454","13.9%","±6.9","10,192","±817","2,367","±855","23.2%","±8.5","31,216,223","±24,889","7,522,485","±44,879","24.1%","±0.1"
"        75 years and over","6,762","±204","3,456","±616","51.1%","±9.2","5,079","±294","3,624","±468","71.4%","±7.7","5,652","±373","2,984","±613","52.8%","±10.0","3,183","±349","2,254","±461","70.8%","±11.3","7,107","±310","3,802","±762","53.5%","±10.4","17,154","±591","8,396","±1,134","48.9%","±6.2","5,873","±467","2,883","±654","49.1%","±11.0","49,336","±615","22,707","±1,697","46.0%","±3.4","8,927","±400","4,793","±711","53.7%","±7.9","5,367","±336","1,994","±641","37.2%","±12.1","4,806","±186","1,830","±644","38.1%","±13.4","3,328","±353","1,199","±485","36.0%","±13.9","6,126","±353","2,167","±642","35.4%","±10.1","21,566,194","±17,007","10,148,497","±50,504","47.1%","±0.2"
"    DISABILITY TYPE BY DETAILED AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With a hearing difficulty","(X)","(X)","6,384","±1,719","4.8%","±1.3","(X)","(X)","3,966","±962","4.9%","±1.2","(X)","(X)","3,489","±897","3.8%","±1.0","(X)","(X)","3,351","±940","5.5%","±1.6","(X)","(X)","6,275","±1,255","6.3%","±1.3","(X)","(X)","9,239","±1,580","2.9%","±0.5","(X)","(X)","6,128","±1,439","5.8%","±1.3","(X)","(X)","25,224","±2,707","3.3%","±0.4","(X)","(X)","6,200","±1,135","3.7%","±0.7","(X)","(X)","2,602","±824","4.1%","±1.3","(X)","(X)","3,168","±886","3.4%","±1.0","(X)","(X)","1,573","±518","2.5%","±0.8","(X)","(X)","5,239","±1,207","4.0%","±0.9","(X)","(X)","11,495,247","±58,968","3.6%","±0.1"
"            Population under 18 years","34,503","±26","553","±666","1.6%","±1.9","17,521","±309","100","±127","0.6%","±0.7","19,365","±171","0","±201","0.0%","±0.9","19,027","±222","133","±167","0.7%","±0.9","24,610","±40","0","±201","0.0%","±0.7","67,277","±405","291","±283","0.4%","±0.4","26,732","±565","307","±358","1.1%","±1.3","167,894","±519","194","±292","0.1%","±0.2","39,354","±132","49","±81","0.1%","±0.2","14,737","±503","106","±140","0.7%","±1.0","19,219","±482","287","±258","1.5%","±1.3","16,483","±393","39","±68","0.2%","±0.4","30,322","±73","108","±156","0.4%","±0.5","72,835,047","±33,175","401,932","±13,537","0.6%","±0.1"
"                Population under 5 years","8,935","±708","0","±201","0.0%","±1.9","3,908","±160","100","±127","2.6%","±3.2","5,548","±488","0","±201","0.0%","±3.0","6,580","±587","112","±164","1.7%","±2.5","6,765","±336","0","±201","0.0%","±2.4","19,479","±387","0","±201","0.0%","±0.9","7,122","±5","235","±331","3.3%","±4.6","47,566","±164","0","±201","0.0%","±0.4","10,986","±765","0","±201","0.0%","±1.5","4,265","±357","45","±97","1.1%","±2.3","5,579","±534","0","±201","0.0%","±3.0","3,469","±390","0","±201","0.0%","±4.7","8,472","±381","0","±201","0.0%","±2.0","19,401,454","±22,231","95,422","±6,236","0.5%","±0.1"
"                Population 5 to 17 years","25,568","±710","553","±666","2.2%","±2.6","13,613","±343","0","±201","0.0%","±1.2","13,817","±475","0","±201","0.0%","±1.2","12,447","±633","21","±36","0.2%","±0.3","17,845","±337","0","±201","0.0%","±0.9","47,798","±108","291","±283","0.6%","±0.6","19,610","±565","72","±122","0.4%","±0.6","120,328","±528","194","±292","0.2%","±0.2","28,368","±790","49","±81","0.2%","±0.3","10,472","±494","61","±111","0.6%","±1.1","13,640","±576","287","±258","2.1%","±1.9","13,014","±222","39","±68","0.3%","±0.5","21,850","±388","108","±156","0.5%","±0.7","53,433,593","±32,613","306,510","±10,945","0.6%","±0.1"
"            Population 18 to 64 years","80,239","±679","2,969","±1,286","3.7%","±1.6","50,264","±808","917","±364","1.8%","±0.7","57,995","±820","1,309","±540","2.3%","±0.9","32,779","±1,414","1,117","±572","3.4%","±1.8","58,053","±1,135","2,451","±819","4.2%","±1.4","208,657","±1,084","3,446","±922","1.7%","±0.4","63,621","±1,724","2,799","±1,025","4.4%","±1.6","466,183","±881","9,435","±1,968","2.0%","±0.4","102,443","±575","2,089","±743","2.0%","±0.7","37,115","±865","1,150","±594","3.1%","±1.6","60,098","±807","1,352","±588","2.2%","±1.0","37,211","±943","799","±468","2.1%","±1.3","85,023","±965","3,017","±947","3.5%","±1.1","197,503,214","±33,702","3,866,792","±42,373","2.0%","±0.1"
"                Population 18 to 34 years","26,995","±1,148","760","±550","2.8%","±2.0","16,611","±514","86","±146","0.5%","±0.9","22,303","±648","156","±159","0.7%","±0.7","14,634","±1,455","430","±454","2.9%","±3.1","20,420","±733","212","±181","1.0%","±0.9","92,897","±611","668","±506","0.7%","±0.5","21,987","±1,342","281","±300","1.3%","±1.4","176,773","±575","1,351","±646","0.8%","±0.4","38,711","±828","217","±268","0.6%","±0.7","12,233","±841","281","±363","2.3%","±3.0","28,137","±940","246","±235","0.9%","±0.8","11,403","±666","38","±65","0.3%","±0.6","38,898","±1,131","866","±630","2.2%","±1.6","74,020,428","±40,229","629,160","±17,786","0.8%","±0.1"
"                Population 35 to 64 years","53,244","±1,255","2,209","±1,099","4.1%","±2.1","33,653","±893","831","±347","2.5%","±1.0","35,692","±659","1,153","±506","3.2%","±1.4","18,145","±981","687","±308","3.8%","±1.7","37,633","±1,051","2,239","±777","5.9%","±2.1","115,760","±1,013","2,778","±822","2.4%","±0.7","41,634","±1,280","2,518","±1,007","6.0%","±2.4","289,410","±646","8,084","±1,830","2.8%","±0.6","63,732","±789","1,872","±687","2.9%","±1.1","24,882","±1,009","869","±485","3.5%","±2.0","31,961","±1,089","1,106","±516","3.5%","±1.6","25,808","±1,050","761","±466","2.9%","±1.8","46,125","±1,272","2,151","±602","4.7%","±1.3","123,482,786","±47,507","3,237,632","±35,535","2.6%","±0.1"
"            Population 65 years and over","18,193","±489","2,862","±806","15.7%","±4.3","13,452","±809","2,949","±945","21.9%","±6.1","14,974","±494","2,180","±584","14.6%","±3.9","8,698","±531","2,101","±761","24.2%","±8.9","16,989","±505","3,824","±963","22.5%","±5.7","42,812","±630","5,502","±1,213","12.9%","±2.8","15,933","±879","3,022","±788","19.0%","±4.9","124,667","±408","15,595","±1,837","12.5%","±1.5","24,049","±634","4,062","±914","16.9%","±3.8","12,278","±563","1,346","±503","11.0%","±4.0","12,749","±319","1,529","±600","12.0%","±4.7","9,530","±595","735","±309","7.7%","±3.2","16,318","±823","2,114","±842","13.0%","±5.2","52,782,417","±26,301","7,226,523","±35,464","13.7%","±0.1"
"                Population 65 to 74 years","11,431","±423","1,158","±577","10.1%","±4.8","8,373","±716","1,217","±768","14.5%","±8.1","9,322","±411","705","±344","7.6%","±3.7","5,515","±533","777","±588","14.1%","±10.9","9,882","±389","1,693","±667","17.1%","±6.9","25,658","±568","2,021","±607","7.9%","±2.4","10,060","±711","1,331","±584","13.2%","±5.8","75,331","±595","5,132","±1,024","6.8%","±1.4","15,122","±456","1,412","±672","9.3%","±4.5","6,911","±413","615","±314","8.9%","±4.5","7,943","±324","492","±327","6.2%","±4.1","6,202","±524","265","±155","4.3%","±2.4","10,192","±817","1,454","±777","14.3%","±7.8","31,216,223","±24,889","2,681,672","±22,286","8.6%","±0.1"
"                Population 75 years and over","6,762","±204","1,704","±514","25.2%","±7.6","5,079","±294","1,732","±542","34.1%","±9.7","5,652","±373","1,475","±489","26.1%","±8.5","3,183","±349","1,324","±466","41.6%","±13.1","7,107","±310","2,131","±783","30.0%","±10.9","17,154","±591","3,481","±952","20.3%","±5.6","5,873","±467","1,691","±564","28.8%","±9.6","49,336","±615","10,463","±1,506","21.2%","±3.1","8,927","±400","2,650","±648","29.7%","±7.4","5,367","±336","731","±384","13.6%","±7.1","4,806","±186","1,037","±490","21.6%","±10.2","3,328","±353","470","±288","14.1%","±8.1","6,126","±353","660","±292","10.8%","±4.8","21,566,194","±17,007","4,544,851","±35,135","21.1%","±0.2"
