"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!With a disability!!Estimate","Aiken County, South Carolina!!With a disability!!Margin of Error","Aiken County, South Carolina!!Percent with a disability!!Estimate","Aiken County, South Carolina!!Percent with a disability!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!With a disability!!Estimate","Anderson County, South Carolina!!With a disability!!Margin of Error","Anderson County, South Carolina!!Percent with a disability!!Estimate","Anderson County, South Carolina!!Percent with a disability!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!With a disability!!Estimate","Beaufort County, South Carolina!!With a disability!!Margin of Error","Beaufort County, South Carolina!!Percent with a disability!!Estimate","Beaufort County, South Carolina!!Percent with a disability!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!With a disability!!Estimate","Berkeley County, South Carolina!!With a disability!!Margin of Error","Berkeley County, South Carolina!!Percent with a disability!!Estimate","Berkeley County, South Carolina!!Percent with a disability!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!With a disability!!Estimate","Charleston County, South Carolina!!With a disability!!Margin of Error","Charleston County, South Carolina!!Percent with a disability!!Estimate","Charleston County, South Carolina!!Percent with a disability!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!With a disability!!Estimate","Darlington County, South Carolina!!With a disability!!Margin of Error","Darlington County, South Carolina!!Percent with a disability!!Estimate","Darlington County, South Carolina!!Percent with a disability!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!With a disability!!Estimate","Dorchester County, South Carolina!!With a disability!!Margin of Error","Dorchester County, South Carolina!!Percent with a disability!!Estimate","Dorchester County, South Carolina!!Percent with a disability!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!With a disability!!Estimate","Florence County, South Carolina!!With a disability!!Margin of Error","Florence County, South Carolina!!Percent with a disability!!Estimate","Florence County, South Carolina!!Percent with a disability!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!With a disability!!Estimate","Greenville County, South Carolina!!With a disability!!Margin of Error","Greenville County, South Carolina!!Percent with a disability!!Estimate","Greenville County, South Carolina!!Percent with a disability!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!With a disability!!Estimate","Greenwood County, South Carolina!!With a disability!!Margin of Error","Greenwood County, South Carolina!!Percent with a disability!!Estimate","Greenwood County, South Carolina!!Percent with a disability!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!With a disability!!Estimate","Horry County, South Carolina!!With a disability!!Margin of Error","Horry County, South Carolina!!Percent with a disability!!Estimate","Horry County, South Carolina!!Percent with a disability!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!With a disability!!Estimate","Kershaw County, South Carolina!!With a disability!!Margin of Error","Kershaw County, South Carolina!!Percent with a disability!!Estimate","Kershaw County, South Carolina!!Percent with a disability!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!With a disability!!Estimate","Lancaster County, South Carolina!!With a disability!!Margin of Error","Lancaster County, South Carolina!!Percent with a disability!!Estimate","Lancaster County, South Carolina!!Percent with a disability!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!With a disability!!Estimate","Laurens County, South Carolina!!With a disability!!Margin of Error","Laurens County, South Carolina!!Percent with a disability!!Estimate","Laurens County, South Carolina!!Percent with a disability!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!With a disability!!Estimate","Lexington County, South Carolina!!With a disability!!Margin of Error","Lexington County, South Carolina!!Percent with a disability!!Estimate","Lexington County, South Carolina!!Percent with a disability!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!With a disability!!Estimate","Oconee County, South Carolina!!With a disability!!Margin of Error","Oconee County, South Carolina!!Percent with a disability!!Estimate","Oconee County, South Carolina!!Percent with a disability!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!With a disability!!Estimate","Orangeburg County, South Carolina!!With a disability!!Margin of Error","Orangeburg County, South Carolina!!Percent with a disability!!Estimate","Orangeburg County, South Carolina!!Percent with a disability!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!With a disability!!Estimate","Pickens County, South Carolina!!With a disability!!Margin of Error","Pickens County, South Carolina!!Percent with a disability!!Estimate","Pickens County, South Carolina!!Percent with a disability!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!With a disability!!Estimate","Richland County, South Carolina!!With a disability!!Margin of Error","Richland County, South Carolina!!Percent with a disability!!Estimate","Richland County, South Carolina!!Percent with a disability!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!With a disability!!Estimate","Spartanburg County, South Carolina!!With a disability!!Margin of Error","Spartanburg County, South Carolina!!Percent with a disability!!Estimate","Spartanburg County, South Carolina!!Percent with a disability!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!With a disability!!Estimate","Sumter County, South Carolina!!With a disability!!Margin of Error","Sumter County, South Carolina!!Percent with a disability!!Estimate","Sumter County, South Carolina!!Percent with a disability!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!With a disability!!Estimate","York County, South Carolina!!With a disability!!Margin of Error","York County, South Carolina!!Percent with a disability!!Estimate","York County, South Carolina!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","21,437","±3,939","1,421","±777","6.6%","±3.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,845","±2,180","1,800","±1,077","20.4%","±10.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,143,634","±121,900","1,357,581","±26,319","8.4%","±0.2"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","5,662","±2,138","713","±386","12.6%","±5.8","8,311","±1,995","859","±499","10.3%","±6.3","10,200","±2,885","712","±522","7.0%","±4.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,617","±3,371","1,516","±737","9.7%","±4.6","N","N","N","N","N","N","7,855","±2,226","940","±513","12.0%","±7.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,047","±2,359","1,389","±713","13.8%","±6.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,138,138","±119,104","1,226,192","±23,616","11.0%","±0.2"
"        White alone, not Hispanic or Latino","110,959","±778","16,343","±2,283","14.7%","±2.0","155,158","±559","27,523","±3,040","17.7%","±2.0","128,086","±1,055","16,002","±2,170","12.5%","±1.7","137,990","±2,239","19,499","±2,582","14.1%","±1.9","263,244","±1,414","24,175","±2,752","9.2%","±1.0","35,971","±308","6,370","±1,230","17.7%","±3.4","102,828","±543","13,419","±2,346","13.0%","±2.3","69,948","±384","8,179","±1,203","11.7%","±1.7","352,361","±903","46,270","±3,424","13.1%","±1.0","41,214","±410","6,011","±1,088","14.6%","±2.6","273,331","±1,150","48,155","±3,113","17.6%","±1.1","45,202","±370","7,713","±1,277","17.1%","±2.8","67,826","±296","10,339","±1,661","15.2%","±2.4","44,917","±450","9,276","±1,588","20.7%","±3.5","219,722","±795","31,806","±2,692","14.5%","±1.2","66,226","±482","13,278","±2,200","20.0%","±3.3","28,665","±75","5,233","±1,165","18.3%","±4.1","107,397","±273","16,901","±2,246","15.7%","±2.1","160,486","±1,908","18,864","±2,703","11.8%","±1.7","214,562","±544","34,805","±2,751","16.2%","±1.3","44,732","±994","7,353","±1,213","16.4%","±2.7","194,866","±712","21,583","±2,273","11.1%","±1.2","194,023,129","±29,680","27,321,676","±104,964","14.1%","±0.1"
"        Hispanic or Latino (of any race)","N","N","N","N","N","N","N","N","N","N","N","N","20,920","±292","1,155","±701","5.5%","±3.4","15,270","±330","910","±708","6.0%","±4.6","21,297","±357","1,389","±640","6.5%","±3.0","N","N","N","N","N","N","9,217","±184","1,551","±1,175","16.8%","±12.8","3,889","±2","332","±199","8.5%","±5.1","49,363","±323","3,743","±1,130","7.6%","±2.3","N","N","N","N","N","N","21,578","±13","958","±526","4.4%","±2.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,663","±142","1,071","±684","5.7%","±3.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,169","±1,004","3,147","±1,219","17.3%","±6.4","23,140","±156","1,582","±823","6.8%","±3.6","N","N","N","N","N","N","16,582","±63","553","±275","3.3%","±1.7","59,686,770","±16,460","5,405,562","±47,616","9.1%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","9,550","±756","163","±258","1.7%","±2.7","11,149","±293","197","±239","1.8%","±2.1","9,597","±250","0","±218","0.0%","±2.0","13,961","±926","0","±218","0.0%","±1.4","23,800","±455","87","±151","0.4%","±0.6","3,851","±3","103","±180","2.7%","±4.7","9,631","±272","166","±271","1.7%","±2.8","8,574","±749","44","±75","0.5%","±0.9","31,988","±260","486","±373","1.5%","±1.2","4,356","±874","0","±218","0.0%","±4.4","15,624","±373","0","±218","0.0%","±1.3","3,847","±3","0","±218","0.0%","±5.0","5,843","±274","0","±218","0.0%","±3.3","3,915","±432","36","±71","0.9%","±1.8","16,247","±661","61","±104","0.4%","±0.6","3,262","±422","0","±218","0.0%","±5.9","4,441","±3","0","±218","0.0%","±4.3","6,914","±548","307","±268","4.4%","±3.9","23,781","±471","77","±127","0.3%","±0.5","19,682","±228","29","±49","0.1%","±0.2","7,033","±381","0","±218","0.0%","±2.8","16,586","±173","131","±158","0.8%","±0.9","19,401,454","±22,231","138,659","±7,336","0.7%","±0.1"
"        5 to 17 years","27,278","±653","1,747","±928","6.4%","±3.4","34,392","±442","1,597","±806","4.6%","±2.4","25,606","±834","1,405","±940","5.5%","±3.7","40,092","±943","2,459","±983","6.1%","±2.5","56,937","±408","1,996","±828","3.5%","±1.5","10,792","±41","360","±342","3.3%","±3.2","29,638","±252","1,685","±897","5.7%","±3.0","23,685","±755","601","±400","2.5%","±1.7","87,876","±358","4,809","±1,027","5.5%","±1.2","11,244","±732","193","±165","1.7%","±1.5","47,149","±594","2,963","±1,058","6.3%","±2.2","11,503","±8","768","±523","6.7%","±4.6","15,230","±274","742","±540","4.9%","±3.5","10,769","±532","732","±466","6.8%","±4.3","52,529","±665","2,121","±726","4.0%","±1.4","12,759","±463","1,291","±646","10.1%","±5.1","14,768","±615","434","±400","2.9%","±2.7","16,577","±568","1,036","±465","6.2%","±2.8","63,781","±1,141","4,296","±1,573","6.7%","±2.5","53,832","±147","3,880","±1,075","7.2%","±2.0","18,324","±381","1,317","±707","7.2%","±3.9","50,730","±371","1,795","±651","3.5%","±1.3","53,433,593","±32,613","3,006,292","±34,953","5.6%","±0.1"
"        18 to 34 years","35,828","±1,715","2,089","±945","5.8%","±2.6","41,665","±888","4,137","±1,718","9.9%","±4.1","34,770","±1,914","3,453","±1,266","9.9%","±3.6","50,143","±1,621","3,438","±1,340","6.9%","±2.7","98,807","±1,484","2,585","±1,100","2.6%","±1.1","14,390","±978","978","±687","6.8%","±4.9","33,854","±1,357","3,203","±1,198","9.5%","±3.5","29,891","±614","879","±509","2.9%","±1.7","117,461","±801","10,021","±2,076","8.5%","±1.8","15,334","±1,251","872","±486","5.7%","±3.1","64,459","±1,520","4,018","±1,225","6.2%","±1.9","12,162","±508","1,374","±721","11.3%","±5.9","16,970","±812","801","±660","4.7%","±3.9","14,166","±1,035","896","±508","6.3%","±3.5","61,799","±1,082","4,006","±1,028","6.5%","±1.7","14,697","±996","1,340","±644","9.1%","±4.4","18,368","±361","780","±361","4.2%","±2.0","38,368","±784","2,263","±654","5.9%","±1.7","107,177","±2,143","7,755","±1,601","7.2%","±1.5","71,317","±672","5,137","±1,231","7.2%","±1.7","21,215","±1,219","1,059","±480","5.0%","±2.3","57,217","±998","3,343","±1,006","5.8%","±1.8","74,020,428","±40,229","4,970,992","±46,138","6.7%","±0.1"
"        35 to 64 years","63,176","±1,358","8,852","±1,685","14.0%","±2.7","77,581","±748","15,118","±2,534","19.5%","±3.3","63,595","±1,815","6,569","±1,504","10.3%","±2.4","85,734","±1,283","13,914","±1,776","16.2%","±2.1","154,385","±1,539","15,305","±2,576","9.9%","±1.7","24,271","±1,069","3,858","±1,126","15.9%","±4.5","63,586","±1,109","8,501","±1,837","13.4%","±2.9","51,071","±524","7,349","±1,174","14.4%","±2.3","198,910","±1,034","24,146","±2,700","12.1%","±1.4","24,725","±1,199","2,261","±678","9.1%","±2.8","137,462","±1,501","22,823","±2,528","16.6%","±1.8","26,180","±663","4,650","±1,022","17.8%","±3.9","37,495","±894","6,511","±1,514","17.4%","±4.0","25,825","±1,103","6,083","±1,166","23.6%","±4.6","118,082","±1,194","15,181","±2,204","12.9%","±1.8","29,253","±1,151","5,684","±1,450","19.4%","±5.2","30,750","±646","4,764","±1,338","15.5%","±4.3","42,943","±904","7,294","±1,571","17.0%","±3.7","141,430","±2,024","23,637","±2,383","16.7%","±1.6","120,096","±1,380","19,648","±2,450","16.4%","±2.1","37,256","±1,133","4,879","±1,032","13.1%","±2.8","113,107","±878","9,790","±1,758","8.7%","±1.5","123,482,786","±47,507","15,303,033","±71,361","12.4%","±0.1"
"        65 to 74 years","19,828","±407","4,065","±841","20.5%","±4.2","21,983","±792","6,442","±1,003","29.3%","±4.5","31,471","±772","5,464","±1,256","17.4%","±4.0","20,019","±642","4,712","±943","23.5%","±4.9","42,852","±442","9,531","±1,454","22.2%","±3.4","7,630","±406","2,423","±831","31.8%","±11.6","15,204","±810","4,359","±1,342","28.7%","±8.3","14,490","±304","2,246","±714","15.5%","±4.8","49,711","±773","11,963","±1,435","24.1%","±2.9","8,004","±729","1,765","±659","22.1%","±7.9","57,648","±865","14,080","±1,664","24.4%","±2.8","7,950","±542","1,778","±705","22.4%","±8.5","11,965","±561","3,300","±759","27.6%","±6.1","6,849","±454","2,426","±602","35.4%","±8.7","29,167","±787","9,300","±1,292","31.9%","±4.4","11,432","±637","3,123","±743","27.3%","±6.7","10,225","±201","2,327","±651","22.8%","±6.3","12,149","±680","3,862","±1,113","31.8%","±7.9","33,870","±752","9,672","±1,582","28.6%","±4.5","30,977","±648","10,575","±1,440","34.1%","±4.5","10,718","±488","2,230","±738","20.8%","±6.9","26,215","±385","6,071","±1,078","23.2%","±4.1","31,216,223","±24,889","7,522,485","±44,879","24.1%","±0.1"
"        75 years and over","12,825","±602","6,000","±1,011","46.8%","±7.5","14,432","±741","7,471","±1,184","51.8%","±8.3","21,934","±527","7,870","±1,526","35.9%","±6.9","11,391","±381","5,523","±1,319","48.5%","±11.3","25,523","±396","11,512","±1,227","45.1%","±4.8","4,972","±409","2,567","±620","51.6%","±12.7","8,417","±1,020","4,042","±1,232","48.0%","±10.5","8,841","±242","4,152","±764","47.0%","±8.7","33,153","±679","15,591","±1,619","47.0%","±4.7","5,752","±729","3,371","±755","58.6%","±12.0","30,332","±866","13,569","±1,591","44.7%","±5.0","4,260","±591","2,399","±497","56.3%","±11.0","8,531","±544","3,005","±1,005","35.2%","±11.2","4,849","±511","2,715","±638","56.0%","±10.0","18,369","±832","8,856","±1,104","48.2%","±5.5","7,290","±336","3,802","±744","52.2%","±9.2","6,756","±173","4,020","±738","59.5%","±10.8","9,095","±527","4,809","±867","52.9%","±8.6","20,396","±904","10,731","±1,415","52.6%","±6.1","19,687","±501","10,021","±1,269","50.9%","±6.1","6,824","±294","3,611","±974","52.9%","±13.5","15,304","±365","5,930","±906","38.7%","±6.0","21,566,194","±17,007","10,148,497","±50,504","47.1%","±0.2"
"    DISABILITY TYPE BY DETAILED AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With a hearing difficulty","(X)","(X)","7,539","±1,384","4.5%","±0.8","(X)","(X)","9,272","±1,867","4.6%","±0.9","(X)","(X)","8,408","±1,705","4.5%","±0.9","(X)","(X)","7,150","±1,396","3.2%","±0.6","(X)","(X)","12,494","±1,980","3.1%","±0.5","(X)","(X)","2,709","±1,142","4.1%","±1.7","(X)","(X)","6,357","±1,613","4.0%","±1.0","(X)","(X)","4,636","±1,065","3.4%","±0.8","(X)","(X)","18,414","±2,238","3.5%","±0.4","(X)","(X)","2,574","±730","3.7%","±1.0","(X)","(X)","15,864","±1,788","4.5%","±0.5","(X)","(X)","2,225","±661","3.4%","±1.0","(X)","(X)","3,732","±1,050","3.9%","±1.1","(X)","(X)","3,718","±729","5.6%","±1.1","(X)","(X)","10,932","±1,728","3.7%","±0.6","(X)","(X)","5,182","±1,214","6.6%","±1.6","(X)","(X)","3,485","±945","4.1%","±1.1","(X)","(X)","4,072","±1,089","3.2%","±0.9","(X)","(X)","12,106","±1,744","3.1%","±0.4","(X)","(X)","12,766","±1,812","4.0%","±0.6","(X)","(X)","3,607","±1,415","3.6%","±1.4","(X)","(X)","6,864","±1,363","2.5%","±0.5","(X)","(X)","11,495,247","±58,968","3.6%","±0.1"
"            Population under 18 years","36,828","±205","412","±618","1.1%","±1.7","45,541","±340","0","±218","0.0%","±0.4","35,203","±922","359","±565","1.0%","±1.6","54,053","±250","44","±78","0.1%","±0.1","80,737","±732","468","±365","0.6%","±0.5","14,643","±42","0","±218","0.0%","±1.3","39,269","±104","169","±196","0.4%","±0.5","32,259","±290","73","±90","0.2%","±0.3","119,864","±274","834","±457","0.7%","±0.4","15,600","±1,228","18","±32","0.1%","±0.2","62,773","±461","124","±158","0.2%","±0.3","15,350","±8","222","±356","1.4%","±2.3","21,073","±26","227","±361","1.1%","±1.7","14,684","±278","36","±71","0.2%","±0.5","68,776","±110","255","±187","0.4%","±0.3","16,021","±179","168","±231","1.0%","±1.4","19,209","±615","170","±271","0.9%","±1.4","23,491","±154","97","±127","0.4%","±0.5","87,562","±936","221","±201","0.3%","±0.2","73,514","±261","0","±218","0.0%","±0.3","25,357","±11","66","±109","0.3%","±0.4","67,316","±321","368","±256","0.5%","±0.4","72,835,047","±33,175","401,932","±13,537","0.6%","±0.1"
"                Population under 5 years","9,550","±756","0","±218","0.0%","±2.0","11,149","±293","0","±218","0.0%","±1.8","9,597","±250","0","±218","0.0%","±2.0","13,961","±926","0","±218","0.0%","±1.4","23,800","±455","87","±151","0.4%","±0.6","3,851","±3","0","±218","0.0%","±5.0","9,631","±272","0","±218","0.0%","±2.0","8,574","±749","44","±75","0.5%","±0.9","31,988","±260","239","±229","0.7%","±0.7","4,356","±874","0","±218","0.0%","±4.4","15,624","±373","0","±218","0.0%","±1.3","3,847","±3","0","±218","0.0%","±5.0","5,843","±274","0","±218","0.0%","±3.3","3,915","±432","36","±71","0.9%","±1.8","16,247","±661","0","±218","0.0%","±1.2","3,262","±422","0","±218","0.0%","±5.9","4,441","±3","0","±218","0.0%","±4.3","6,914","±548","0","±218","0.0%","±2.8","23,781","±471","77","±127","0.3%","±0.5","19,682","±228","0","±218","0.0%","±1.0","7,033","±381","0","±218","0.0%","±2.8","16,586","±173","131","±158","0.8%","±0.9","19,401,454","±22,231","95,422","±6,236","0.5%","±0.1"
"                Population 5 to 17 years","27,278","±653","412","±618","1.5%","±2.3","34,392","±442","0","±218","0.0%","±0.6","25,606","±834","359","±565","1.4%","±2.2","40,092","±943","44","±78","0.1%","±0.2","56,937","±408","381","±332","0.7%","±0.6","10,792","±41","0","±218","0.0%","±1.8","29,638","±252","169","±196","0.6%","±0.7","23,685","±755","29","±52","0.1%","±0.2","87,876","±358","595","±372","0.7%","±0.4","11,244","±732","18","±32","0.2%","±0.3","47,149","±594","124","±158","0.3%","±0.3","11,503","±8","222","±356","1.9%","±3.1","15,230","±274","227","±361","1.5%","±2.4","10,769","±532","0","±218","0.0%","±1.8","52,529","±665","255","±187","0.5%","±0.4","12,759","±463","168","±231","1.3%","±1.8","14,768","±615","170","±271","1.2%","±1.8","16,577","±568","97","±127","0.6%","±0.8","63,781","±1,141","144","±149","0.2%","±0.2","53,832","±147","0","±218","0.0%","±0.4","18,324","±381","66","±109","0.4%","±0.6","50,730","±371","237","±213","0.5%","±0.4","53,433,593","±32,613","306,510","±10,945","0.6%","±0.1"
"            Population 18 to 64 years","99,004","±1,216","1,648","±604","1.7%","±0.6","119,246","±809","2,758","±1,362","2.3%","±1.1","98,365","±1,746","1,946","±712","2.0%","±0.7","135,877","±1,720","3,080","±980","2.3%","±0.7","253,192","±2,082","3,162","±1,102","1.2%","±0.4","38,661","±330","1,206","±899","3.1%","±2.3","97,440","±1,103","3,186","±1,218","3.3%","±1.2","80,962","±815","2,068","±837","2.6%","±1.0","316,371","±1,298","5,950","±1,391","1.9%","±0.4","40,059","±1,242","670","±455","1.7%","±1.1","201,921","±1,233","4,879","±1,293","2.4%","±0.6","38,342","±346","797","±366","2.1%","±1.0","54,465","±719","827","±486","1.5%","±0.9","39,991","±449","1,521","±524","3.8%","±1.3","179,881","±1,046","4,043","±1,171","2.2%","±0.7","43,950","±788","1,236","±642","2.8%","±1.5","49,118","±895","638","±374","1.3%","±0.8","81,311","±597","1,676","±680","2.1%","±0.8","248,607","±2,802","5,222","±1,131","2.1%","±0.5","191,413","±1,447","4,234","±938","2.2%","±0.5","58,471","±1,292","1,205","±681","2.1%","±1.2","170,324","±1,133","1,886","±671","1.1%","±0.4","197,503,214","±33,702","3,866,792","±42,373","2.0%","±0.1"
"                Population 18 to 34 years","35,828","±1,715","113","±168","0.3%","±0.5","41,665","±888","430","±411","1.0%","±1.0","34,770","±1,914","270","±325","0.8%","±0.9","50,143","±1,621","634","±573","1.3%","±1.2","98,807","±1,484","391","±424","0.4%","±0.4","14,390","±978","670","±783","4.7%","±5.5","33,854","±1,357","1,429","±967","4.2%","±2.8","29,891","±614","228","±236","0.8%","±0.8","117,461","±801","1,001","±489","0.9%","±0.4","15,334","±1,251","295","±363","1.9%","±2.3","64,459","±1,520","461","±389","0.7%","±0.6","12,162","±508","0","±218","0.0%","±1.6","16,970","±812","0","±218","0.0%","±1.2","14,166","±1,035","143","±170","1.0%","±1.2","61,799","±1,082","135","±129","0.2%","±0.2","14,697","±996","111","±146","0.8%","±1.0","18,368","±361","69","±81","0.4%","±0.4","38,368","±784","0","±218","0.0%","±0.5","107,177","±2,143","595","±393","0.6%","±0.4","71,317","±672","322","±513","0.5%","±0.7","21,215","±1,219","237","±222","1.1%","±1.1","57,217","±998","250","±209","0.4%","±0.4","74,020,428","±40,229","629,160","±17,786","0.8%","±0.1"
"                Population 35 to 64 years","63,176","±1,358","1,535","±528","2.4%","±0.8","77,581","±748","2,328","±1,090","3.0%","±1.4","63,595","±1,815","1,676","±696","2.6%","±1.1","85,734","±1,283","2,446","±756","2.9%","±0.9","154,385","±1,539","2,771","±973","1.8%","±0.6","24,271","±1,069","536","±332","2.2%","±1.4","63,586","±1,109","1,757","±664","2.8%","±1.0","51,071","±524","1,840","±847","3.6%","±1.7","198,910","±1,034","4,949","±1,422","2.5%","±0.7","24,725","±1,199","375","±248","1.5%","±1.0","137,462","±1,501","4,418","±1,217","3.2%","±0.9","26,180","±663","797","±366","3.0%","±1.4","37,495","±894","827","±486","2.2%","±1.3","25,825","±1,103","1,378","±514","5.3%","±2.0","118,082","±1,194","3,908","±1,156","3.3%","±1.0","29,253","±1,151","1,125","±612","3.8%","±2.1","30,750","±646","569","±370","1.9%","±1.2","42,943","±904","1,676","±680","3.9%","±1.6","141,430","±2,024","4,627","±1,169","3.3%","±0.8","120,096","±1,380","3,912","±1,035","3.3%","±0.9","37,256","±1,133","968","±640","2.6%","±1.7","113,107","±878","1,636","±594","1.4%","±0.5","123,482,786","±47,507","3,237,632","±35,535","2.6%","±0.1"
"            Population 65 years and over","32,653","±576","5,479","±1,136","16.8%","±3.4","36,415","±808","6,514","±1,262","17.9%","±3.4","53,405","±711","6,103","±1,340","11.4%","±2.5","31,410","±761","4,026","±957","12.8%","±3.1","68,375","±583","8,864","±1,345","13.0%","±2.0","12,602","±261","1,503","±629","11.9%","±5.0","23,621","±734","3,002","±1,103","12.7%","±4.4","23,331","±351","2,495","±631","10.7%","±2.7","82,864","±864","11,630","±1,661","14.0%","±2.0","13,756","±666","1,886","±495","13.7%","±3.6","87,980","±832","10,861","±1,318","12.3%","±1.5","12,210","±251","1,206","±407","9.9%","±3.3","20,496","±301","2,678","±1,003","13.1%","±4.8","11,698","±340","2,161","±542","18.5%","±4.6","47,536","±1,000","6,634","±1,060","14.0%","±2.2","18,722","±683","3,778","±936","20.2%","±4.8","16,981","±285","2,677","±750","15.8%","±4.4","21,244","±626","2,299","±630","10.8%","±3.0","54,266","±974","6,663","±1,310","12.3%","±2.4","50,664","±863","8,532","±1,526","16.8%","±2.9","17,542","±577","2,336","±1,177","13.3%","±6.7","41,519","±601","4,610","±1,064","11.1%","±2.6","52,782,417","±26,301","7,226,523","±35,464","13.7%","±0.1"
